"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Ewa Jolanta MATECKA";"Łukasz MIKOŁAJCZYK";"Liczba obwodów"
"301701";"gmina miejska";"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";52220;56480;15281;36939;25;202;9;9;0;1;0;0;8;36936;8;0;36936;1231;448;783;0;35705;22206;13499;42
"301702";"gmina miejsko-wiejska";"gm. Nowe Skalmierzyce";"ostrowski";"wielkopolskie";11130;12159;4111;7019;5;19;0;0;0;0;0;0;0;7019;0;0;7019;262;49;213;0;6757;3152;3605;9
"301703";"gmina miejsko-wiejska";"gm. Odolanów";"ostrowski";"wielkopolskie";10572;11517;3779;6793;12;15;0;0;0;0;0;0;0;6791;0;0;6791;276;68;208;0;6515;2367;4148;16
"301704";"gmina wiejska";"gm. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";13604;14868;4874;8730;8;33;0;0;0;0;0;0;0;8730;0;0;8730;324;93;231;0;8406;3682;4724;13
"301705";"gmina wiejska";"gm. Przygodzice";"ostrowski";"wielkopolskie";8680;9503;2844;5836;0;19;0;0;0;0;0;0;0;5833;0;0;5833;215;76;139;0;5618;2597;3021;8
"301706";"gmina miejsko-wiejska";"gm. Raszków";"ostrowski";"wielkopolskie";8380;9144;3033;5347;2;8;0;0;0;0;0;0;0;5347;0;0;5347;174;33;141;0;5173;2100;3073;7
"301707";"gmina wiejska";"gm. Sieroszewice";"ostrowski";"wielkopolskie";6949;7562;2849;4100;3;8;0;0;0;0;0;0;0;4096;0;0;4096;182;29;153;0;3914;1446;2468;8
"301708";"gmina wiejska";"gm. Sośnie";"ostrowski";"wielkopolskie";4731;5205;2002;2729;2;7;0;0;0;0;0;0;0;2729;0;0;2729;112;16;96;0;2617;988;1629;6
"301801";"gmina wiejska";"gm. Czajków";"ostrzeszowski";"wielkopolskie";1851;2037;696;1155;0;7;0;0;0;0;0;0;0;1155;0;0;1155;53;7;46;0;1102;464;638;2
"301802";"gmina wiejska";"gm. Doruchów";"ostrzeszowski";"wielkopolskie";3841;4171;1522;2319;3;3;0;0;0;0;0;0;0;2319;0;0;2319;95;15;80;0;2224;904;1320;5
"301803";"gmina miejsko-wiejska";"gm. Grabów nad Prosną";"ostrzeszowski";"wielkopolskie";5742;6242;2134;3608;2;25;0;0;0;0;0;0;0;3607;0;0;3607;159;27;132;0;3448;1602;1846;10
"301804";"gmina wiejska";"gm. Kobyla Góra";"ostrzeszowski";"wielkopolskie";4410;4764;1673;2737;1;25;0;0;0;0;0;0;0;2737;0;0;2737;124;15;109;0;2613;1431;1182;12
"301805";"gmina wiejska";"gm. Kraszewice";"ostrzeszowski";"wielkopolskie";2580;2815;1020;1560;2;9;0;0;0;0;0;0;0;1560;0;0;1560;66;8;58;0;1494;638;856;3
"301806";"gmina miejsko-wiejska";"gm. Mikstat";"ostrzeszowski";"wielkopolskie";4430;4823;1737;2693;0;20;0;0;0;0;0;0;0;2692;0;0;2692;157;30;127;0;2535;863;1672;7
"301807";"gmina miejsko-wiejska";"gm. Ostrzeszów";"ostrzeszowski";"wielkopolskie";17401;18744;6153;11247;11;44;5;5;0;0;0;0;5;11250;5;0;11250;437;112;325;0;10813;6234;4579;17
