"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Konrad Stanisław RĘKAS";"Rafał Artur STACHURA";"Józef ZAJĄC"
"4d73-1a9c-919d-6968-62be-c164-43ec-a0a7";"060303";"18";"8";"wieś";"stały";"Świetlica, Janów ul. Balladyny 5, 22-151 Chełm";"gm. Chełm";"chełmski";"lubelskie";"500";"558";"132";"368";"0";"0";"0";"0";"0";"0";"0";"0";"0";"368";"0";"0";"368";"5";"0";"5";"0";"363";"31";"124";"208"
"060b-5cb2-ec8e-db50-9ad4-5cc9-dd28-20bb";"060303";"18";"9";"wieś";"stały";"Urząd Gminy Chełm, Pokrówka ul. Gminna 18, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"880";"974";"301";"579";"0";"1";"0";"0";"0";"0";"0";"0";"0";"579";"0";"0";"579";"13";"5";"8";"0";"566";"29";"185";"352"
"754c-3dd8-daa6-9b34-e0de-1914-f7cb-8ae3";"060303";"18";"10";"wieś";"stały";"Siedziba Krajowego Ośrodka Wsparcia Rolnictwa w Pokrówce, Pokrówka ul. Wiosenna 4, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"510";"557";"190";"320";"0";"1";"0";"0";"0";"0";"0";"0";"0";"320";"0";"0";"320";"4";"1";"3";"0";"316";"23";"101";"192"
"48e6-1ec8-92df-ee8f-dde3-a914-af50-1eba";"060303";"18";"11";"wieś";"stały";"Świetlica, Żółtańce 44b, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"220";"238";"73";"147";"0";"1";"0";"0";"0";"0";"0";"0";"0";"147";"0";"0";"147";"6";"2";"4";"0";"141";"6";"29";"106"
"481c-1e3e-e215-b18c-7e1d-3f28-e7db-2f74";"060303";"18";"12";"wieś";"stały";"Szkoła Podstawowa, Żółtańce-Kolonia ul. Metalowa 89, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"480";"528";"157";"323";"1";"0";"0";"0";"0";"0";"0";"0";"0";"323";"0";"0";"323";"5";"0";"5";"0";"318";"17";"113";"188"
"7941-8a8d-96c1-edf2-3d2a-ed07-6d1f-7505";"060303";"18";"13";"wieś";"stały";"Szkoła Podstawowa, Strupin Duży 122, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"760";"823";"345";"415";"0";"1";"0";"0";"0";"0";"0";"0";"0";"415";"0";"0";"415";"4";"3";"1";"0";"411";"29";"93";"289"
"0213-91b6-942b-264c-432c-2d74-dac7-f3d7";"060303";"18";"14";"wieś";"stały";"Świetlica, Rożdżałów 118a, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"430";"474";"188";"242";"0";"1";"0";"0";"0";"0";"0";"0";"0";"242";"0";"0";"242";"2";"0";"2";"0";"240";"17";"38";"185"
"7d88-3d43-5f2c-1d31-95a1-6b8d-21f4-9697";"060303";"18";"15";"wieś";"stały";"Świetlica, Depułtycze Królewskie-Kolonia 18, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"380";"412";"158";"222";"0";"2";"0";"0";"0";"0";"0";"0";"0";"222";"0";"0";"222";"2";"0";"2";"0";"220";"13";"37";"170"
"784f-7e58-95f3-1872-c118-bb78-ce67-7fb8";"060303";"18";"16";"wieś";"stały";"Świetlica, Stare Depułtycze 10b, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"330";"354";"162";"168";"0";"0";"0";"0";"0";"0";"0";"0";"0";"168";"0";"0";"168";"3";"1";"2";"0";"165";"8";"7";"150"
"0bc4-3271-5b4d-cc8c-cf71-d1ff-cd32-7011";"060303";"18";"17";"wieś";"stały";"Szkoła Podstawowa, Uher 32, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"660";"731";"278";"382";"0";"1";"0";"0";"0";"0";"0";"0";"0";"380";"0";"0";"380";"2";"0";"2";"0";"378";"15";"64";"299"
"0aa6-f85b-adfe-c706-3358-19c2-52b6-c31c";"060303";"18";"18";"wieś";"stały";"Świetlica, Zawadówka 25D, 22-100 Chełm";"gm. Chełm";"chełmski";"lubelskie";"650";"728";"216";"434";"0";"1";"0";"0";"0";"0";"0";"0";"0";"434";"0";"0";"434";"9";"3";"6";"0";"425";"30";"124";"271"
"6411-3301-181c-bcf4-782a-330f-c3a1-20ae";"060304";"18";"1";"wieś";"stały";"Wiejski Ośrodek Kultury, Brzeźno 3, 22-174 Brzeźno";"gm. Dorohusk";"chełmski";"lubelskie";"790";"857";"334";"456";"0";"1";"0";"0";"0";"0";"0";"0";"0";"456";"0";"0";"456";"6";"0";"6";"0";"450";"41";"88";"321"
"2227-5cae-f14e-f45b-7943-7cb3-6223-60ec";"060304";"18";"2";"wieś";"stały";"Wiejski Ośrodek Kultury, Wólka Okopska 67, 22-174 Brzeźno";"gm. Dorohusk";"chełmski";"lubelskie";"570";"616";"268";"302";"0";"1";"0";"0";"0";"0";"0";"0";"0";"302";"0";"0";"302";"13";"1";"12";"0";"289";"36";"68";"185"
"cc2d-a893-c631-f2bf-9e22-d53a-8512-5334";"060304";"18";"3";"wieś";"stały";"Szkoła Podstawowa, Świerże ul. Jana Pawła II 59, 22-175 Dorohusk";"gm. Dorohusk";"chełmski";"lubelskie";"540";"583";"229";"311";"0";"2";"0";"0";"0";"0";"0";"0";"0";"311";"0";"0";"311";"12";"2";"10";"0";"299";"21";"72";"206"
"a250-f0e1-00c9-e10e-9b12-1512-5730-2e5d";"060304";"18";"4";"wieś";"stały";"Środowiskowy Dom Samopomocy ""Cytrynka"", Dorohusk-Osada ul. Niepodległości 25, 22-175 Dorohusk";"gm. Dorohusk";"chełmski";"lubelskie";"640";"697";"308";"332";"0";"1";"0";"0";"0";"0";"0";"0";"0";"332";"0";"0";"332";"10";"2";"8";"0";"322";"31";"68";"223"
"6722-c030-4157-390d-5210-e3b3-8b19-6230";"060304";"18";"5";"wieś";"stały";"Szkoła Podstawowa w Dorohusku, Dorohusk-Osada Niepodległości 49, 22-175 Dorohusk";"gm. Dorohusk";"chełmski";"lubelskie";"1040";"1133";"382";"658";"1";"5";"0";"0";"0";"0";"0";"0";"0";"658";"0";"0";"658";"12";"5";"7";"0";"646";"34";"153";"459"
"5c96-571c-97ae-4605-60d0-43ec-18dd-da7f";"060304";"18";"6";"wieś";"stały";"Świetlica KGW, Turka 2, 22-175 Dorohusk";"gm. Dorohusk";"chełmski";"lubelskie";"550";"599";"289";"261";"0";"0";"0";"0";"0";"0";"0";"0";"0";"261";"0";"0";"261";"4";"1";"3";"0";"257";"17";"40";"200"
"a994-95a3-45f6-6895-d964-27fd-0401-67a4";"060304";"18";"7";"wieś";"stały";"Świetlica Wiejska, Michałówka 78, 22-175 Dorohusk";"gm. Dorohusk";"chełmski";"lubelskie";"590";"652";"276";"314";"0";"2";"0";"0";"0";"0";"0";"0";"0";"314";"0";"0";"314";"8";"2";"6";"0";"306";"15";"45";"246"
"b1c2-6fc9-1a27-4da9-5aa2-525e-75e2-f5e9";"060305";"18";"1";"wieś";"stały";"Świetlica Wiejska Siedliszcze, Siedliszcze 61, 22-145 Dubienka";"gm. Dubienka";"chełmski";"lubelskie";"460";"497";"225";"235";"2";"0";"0";"0";"0";"0";"0";"0";"0";"235";"0";"0";"235";"5";"0";"5";"0";"230";"23";"48";"159"
"f865-dee9-f208-c9da-fc97-ed88-4125-7c0d";"060305";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Dubience, ul. 3 Maja 4, 22-145 Dubienka";"gm. Dubienka";"chełmski";"lubelskie";"1029";"1123";"485";"544";"1";"11";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"16";"8";"8";"0";"528";"49";"198";"281"
"c9b3-dabe-6dd8-44da-3e75-3b09-99d6-9081";"060305";"18";"3";"wieś";"stały";"Remiza OSP, Skryhiczyn 78, 22-145 Dubienka";"gm. Dubienka";"chełmski";"lubelskie";"330";"354";"155";"175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"4";"1";"3";"0";"171";"19";"42";"110"
"e221-f5df-5b31-3dbd-2794-92d9-580f-81c7";"060306";"18";"1";"wieś";"stały";"Szkoła Podstawowa, Czerniejów 8, 22-113 Kamień";"gm. Kamień";"chełmski";"lubelskie";"340";"374";"193";"147";"0";"0";"0";"0";"0";"0";"0";"0";"0";"147";"0";"0";"147";"0";"0";"0";"0";"147";"9";"34";"104"
"b692-1d58-a2c9-6a11-3c5c-157c-a9a0-2279";"060306";"18";"2";"wieś";"stały";"Szkoła Podstawowa, Kamień-Kolonia 55, 22-113 Kamień";"gm. Kamień";"chełmski";"lubelskie";"1410";"1568";"622";"788";"2";"7";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"7";"5";"2";"0";"781";"49";"164";"568"
"a8cc-07f4-4120-dc69-9646-dc3f-c6bb-08d9";"060306";"18";"3";"wieś";"stały";"Świetlica Wiejska, Pławanice 33C, 22-113 Kamień";"gm. Kamień";"chełmski";"lubelskie";"260";"290";"120";"140";"1";"0";"0";"0";"0";"0";"0";"0";"0";"140";"0";"0";"140";"6";"0";"6";"0";"134";"10";"39";"85"
"3714-0077-aae1-254e-8e05-75a3-396f-42de";"060306";"18";"4";"wieś";"stały";"Świetlica Wiejska, Strachosław 77A, 22-113 Kamień";"gm. Kamień";"chełmski";"lubelskie";"530";"587";"231";"299";"0";"1";"0";"0";"0";"0";"0";"0";"0";"299";"0";"0";"299";"9";"3";"6";"0";"290";"32";"67";"191"
"1af7-60ac-3c0d-b745-0748-4936-822a-7b8a";"060306";"18";"5";"wieś";"stały";"Świetlica Wiejska, Wolawce 41, 22-113 Kamień";"gm. Kamień";"chełmski";"lubelskie";"480";"518";"223";"257";"0";"0";"0";"0";"0";"0";"0";"0";"0";"257";"0";"0";"257";"9";"2";"7";"0";"248";"24";"35";"189"
"1836-1a2b-86c0-8649-3461-0ed9-a9e1-4e7f";"060307";"18";"1";"wieś";"stały";"Świetlica Wiejska w Poniatówce, Wygnańce 32, 22-122 Leśniowice";"gm. Leśniowice";"chełmski";"lubelskie";"330";"361";"203";"127";"1";"0";"0";"0";"0";"0";"0";"0";"0";"127";"0";"0";"127";"3";"0";"3";"0";"124";"13";"39";"72"
"caab-254d-ebf5-64b2-81e8-2940-2a98-d5a9";"060307";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Leśniowicach, Leśniowice 24B, 22-122 Leśniowice";"gm. Leśniowice";"chełmski";"lubelskie";"900";"996";"479";"421";"1";"3";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"10";"3";"7";"0";"411";"27";"122";"262"
"8d1b-d075-14c5-feb1-23f3-d37a-3fe9-9ee1";"060307";"18";"3";"wieś";"stały";"Świetlica w Rakołupach Dużych, Rakołupy Duże 5A, 22-122 Leśniowice";"gm. Leśniowice";"chełmski";"lubelskie";"600";"655";"321";"279";"1";"1";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"4";"0";"4";"0";"275";"7";"65";"203"
"989e-76a4-0f64-703c-3d1d-98a3-5479-ae64";"060307";"18";"4";"wieś";"stały";"Szkoła Podstawowa w Sielcu, Sielec 67A, 22-122 Leśniowice";"gm. Leśniowice";"chełmski";"lubelskie";"580";"641";"278";"302";"1";"4";"0";"0";"0";"0";"0";"0";"0";"302";"0";"0";"302";"4";"1";"3";"0";"298";"30";"80";"188"
"c790-13cb-4ed7-cde5-14ea-8282-22cd-fd57";"060307";"18";"5";"wieś";"stały";"Dom spotkań ""Na pograniczu kultur"", Kumów Plebański 1, 22-122 Leśniowice";"gm. Leśniowice";"chełmski";"lubelskie";"360";"396";"153";"207";"1";"2";"0";"0";"0";"0";"0";"0";"0";"207";"0";"0";"207";"5";"2";"3";"0";"202";"11";"33";"158"
"e615-67ce-018b-c48f-f368-97a2-5c3a-a34c";"060308";"18";"1";"wieś";"stały";"Świetlica Wiejska w Kaniem, Kanie 119f, 22-170 Rejowiec Fabryczny";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";"930";"1019";"421";"509";"0";"3";"0";"0";"0";"0";"0";"0";"0";"507";"0";"0";"507";"13";"2";"11";"0";"494";"32";"99";"363"
"d424-9df3-6361-97da-ae4a-9ef4-e734-e5ba";"060308";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Krasnem, Krasne 31, 22-170 Rejowiec Fabryczny";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";"490";"538";"280";"210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"210";"0";"0";"210";"2";"2";"0";"0";"208";"23";"42";"143"
"4c13-5b77-26da-98c2-5dc8-93d4-48d9-225b";"060308";"18";"3";"wieś";"stały";"Gminny Ośrodek Kultury im. Ryszarda Kapuścińskiego, Pawłów ul. Lubelska 23 a, 22-170 Rejowiec Fabryczny";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";"720";"785";"370";"350";"0";"0";"0";"0";"0";"0";"0";"0";"0";"350";"0";"0";"350";"6";"1";"5";"0";"344";"22";"74";"248"
"e785-8034-31fc-32a3-a223-4dce-8862-4d54";"060308";"18";"4";"wieś";"stały";"Budynek wielofunkcyjny w Lisznie, Liszno 57, 22-170 Rejowiec Fabryczny";"gm. Rejowiec Fabryczny";"chełmski";"lubelskie";"1000";"1094";"466";"534";"0";"0";"0";"0";"0";"0";"0";"0";"0";"534";"0";"0";"534";"8";"1";"7";"0";"526";"32";"77";"417"
"98a6-7a77-d8e9-bae6-edb4-d1e7-258b-e005";"060309";"18";"1";"wieś";"stały";"Gminny Ośrodek Kultury w Rudzie-Hucie, Ruda-Kolonia 28a, 22-110 Ruda-Huta";"gm. Ruda-Huta";"chełmski";"lubelskie";"540";"598";"239";"301";"1";"5";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"10";"1";"9";"0";"291";"33";"86";"172"
"4759-201f-944a-bc0d-0c1e-f49e-ae1c-6a1a";"060309";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Rudzie-Hucie, ul. Stanisława Wójtowicza 9, 22-110 Ruda-Huta";"gm. Ruda-Huta";"chełmski";"lubelskie";"1560";"1709";"656";"904";"1";"1";"0";"0";"0";"0";"0";"0";"0";"904";"0";"0";"904";"23";"1";"22";"0";"881";"74";"198";"609"
"084f-f243-9103-5a48-cb07-ac0c-9bc0-dd97";"060309";"18";"3";"wieś";"stały";"Świetlica, Leśniczówka 20B, 22-110 Ruda-Huta";"gm. Ruda-Huta";"chełmski";"lubelskie";"550";"593";"245";"305";"0";"0";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"305";"7";"0";"7";"0";"298";"23";"70";"205"
"7cc1-25f0-7a44-8355-0d05-983a-5b5d-9ecf";"060309";"18";"4";"wieś";"stały";"Świetlica Wiejska, Żalin 76A, 22-110 Ruda-Huta";"gm. Ruda-Huta";"chełmski";"lubelskie";"420";"456";"214";"206";"0";"0";"0";"0";"0";"0";"0";"0";"0";"206";"0";"0";"206";"19";"2";"17";"0";"187";"25";"48";"114"
"0643-49b6-87a7-1e22-0064-f65d-8e95-4c32";"060309";"18";"5";"wieś";"stały";"Centrum Kultury, Rudka 58, 22-110 Ruda-Huta";"gm. Ruda-Huta";"chełmski";"lubelskie";"230";"256";"106";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"5";"0";"5";"0";"119";"10";"37";"72"
"827b-b02a-d60f-d917-ff9d-3601-d6d5-27fc";"060310";"18";"1";"wieś";"stały";"Chutcze-świetlica, Chutcze 36, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"230";"259";"112";"118";"0";"3";"0";"0";"0";"0";"0";"0";"0";"118";"0";"0";"118";"2";"0";"2";"0";"116";"7";"23";"86"
"3725-4ed2-d714-73cc-bc1a-01b0-b069-e0b3";"060310";"18";"2";"wieś";"stały";"Szkoła Podstawowa w Wólce Petryłowskiej, Petryłów 15, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"580";"640";"287";"293";"0";"1";"0";"0";"0";"0";"0";"0";"0";"293";"0";"0";"293";"6";"1";"5";"0";"287";"11";"88";"188"
"7893-f7b4-c3c1-c74e-58b1-0de9-607a-15a9";"060310";"18";"3";"wieś";"stały";"Bukowa Wielka-Szkoła Podstawowa, Bukowa Wielka 34, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"560";"606";"288";"272";"0";"2";"0";"0";"0";"0";"0";"0";"0";"272";"0";"0";"272";"3";"0";"3";"0";"269";"62";"15";"192"
"77fd-633a-f2c9-dd2c-210b-fd5c-f316-9547";"060310";"18";"4";"wieś";"stały";"Łukówek-świetlica, Łukówek 50, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"220";"236";"91";"129";"0";"1";"0";"0";"0";"0";"0";"0";"0";"129";"0";"0";"129";"4";"1";"3";"0";"125";"13";"42";"70"
"6cdb-8fe1-02e9-acbf-6ed1-2a17-e2c3-119e";"060310";"18";"5";"wieś";"stały";"Czułczyce-Szkoła Podstawowa, Czułczyce 71, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"910";"992";"489";"421";"0";"0";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"8";"2";"6";"0";"413";"24";"100";"289"
"6854-c33d-0a8e-8a72-d222-48d0-f4c7-bc59";"060310";"18";"6";"wieś";"stały";"Sawin, Chutecka 12/lokal Urzędu Gminy Sawin, 22-107 Sawin";"gm. Sawin";"chełmski";"lubelskie";"1580";"1724";"694";"886";"2";"2";"0";"0";"0";"0";"0";"0";"0";"886";"0";"0";"886";"13";"2";"11";"0";"873";"75";"266";"532"
"c8b5-61a6-4e8f-b59b-e6ea-6a70-c10c-0e11";"060311";"18";"1";"wieś";"stały";"Świetlica Chojno Nowe Drugie, Chojno Nowe Drugie 45, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"760";"833";"494";"266";"1";"2";"0";"0";"0";"0";"0";"0";"0";"266";"0";"0";"266";"4";"0";"4";"0";"262";"16";"31";"215"
"3e58-3287-0c85-9020-ce3a-52c4-5d78-83ef";"060311";"18";"2";"wieś";"stały";"Świetlica, Chojeniec-Kolonia 26, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"300";"327";"165";"135";"0";"0";"0";"0";"0";"0";"0";"0";"0";"135";"0";"0";"135";"1";"0";"1";"0";"134";"12";"23";"99"
"a262-5113-e298-17bd-b857-10ec-edb0-4e98";"060311";"18";"3";"wieś";"stały";"Świetlica, Anusin 24, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"409";"448";"200";"209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"209";"0";"0";"209";"0";"0";"0";"0";"209";"16";"43";"150"
"c76e-3637-0db0-75f1-81c2-a799-43e2-e77a";"060311";"18";"4";"wieś";"stały";"Świetlica, Wola Korybutowa-Kolonia 27B, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"490";"545";"229";"261";"0";"2";"0";"0";"0";"0";"0";"0";"0";"261";"0";"0";"261";"8";"0";"8";"0";"253";"17";"44";"192"
"c126-1232-0b67-b0fa-7d8c-5670-f9c2-7c91";"060311";"18";"5";"wieś";"stały";"Warsztat Terapii Zajęciowej, Majdan Zahorodyński 1/1, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"230";"251";"106";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124";"0";"0";"124";"3";"0";"3";"0";"121";"6";"17";"98"
"dc1c-abfa-b7a2-630d-a42a-e948-026f-ec8f";"060311";"18";"6";"wieś";"stały";"Świetlica, Kulik 65, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"350";"392";"170";"180";"0";"0";"0";"0";"0";"0";"0";"0";"0";"180";"0";"0";"180";"2";"0";"2";"0";"178";"14";"38";"126"
"a0fb-41f6-7612-6d67-4317-8415-d3dd-d18c";"060311";"18";"7";"wieś";"stały";"Świetlica, Mogilnica 49/4, 22-130 Siedliszcze";"gm. Siedliszcze";"chełmski";"lubelskie";"410";"448";"235";"175";"0";"3";"0";"0";"0";"0";"0";"0";"0";"175";"0";"0";"175";"6";"0";"6";"0";"169";"18";"55";"96"
