"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Władysław KOMARNICKI";"Janusz MAKSYMOWICZ";"Marek Tomasz SURMACZ";"Anna SYNOWIEC"
"0577-0175-9ff9-d88c-6dce-94dd-7321-58cf";"080102";"21";"4";"wieś";"stały";"Szkoła Podstawowa, Jenin Lipowa 1, 66-450 Bogdaniec";"gm. Bogdaniec";"gorzowski";"lubuskie";"1610";"1762";"516";"1094";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1094";"0";"0";"1094";"10";"1";"9";"0";"1084";"412";"46";"332";"294"
"c477-b7f4-9f52-efea-ad56-9d00-6172-7201";"080102";"21";"5";"wieś";"stały";"Świetlica wiejska, Jeżyki 23A, 66-450 Bogdaniec";"gm. Bogdaniec";"gorzowski";"lubuskie";"340";"368";"137";"203";"0";"0";"0";"0";"0";"0";"0";"0";"0";"203";"0";"0";"203";"1";"1";"0";"0";"202";"76";"17";"52";"57"
"7641-bd86-292f-b2cd-3e29-ff3a-ca65-2a6b";"080103";"21";"1";"wieś";"stały";"Sala Szkoły Podstawowej w Deszcznie, Lubuska 61, 66-446 Deszczno";"gm. Deszczno";"gorzowski";"lubuskie";"2110";"2324";"696";"1414";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1413";"0";"0";"1413";"19";"7";"12";"0";"1394";"547";"75";"387";"385"
"f5f0-fbd5-6ae6-a7b9-16e3-f2a8-9870-fecd";"080103";"21";"2";"wieś";"stały";"Sala Szkoły Podstawowej im. Jana Pawła II w Ciecierzycach, Ciecierzyce Borkowska 2, 66-446 Deszczno";"gm. Deszczno";"gorzowski";"lubuskie";"1400";"1534";"510";"890";"0";"2";"0";"0";"0";"0";"0";"0";"0";"890";"0";"2";"888";"15";"4";"11";"0";"873";"301";"42";"305";"225"
"5108-9929-8234-1da6-43d0-84b9-9ce3-a9c7";"080103";"21";"3";"wieś";"stały";"Sala Szkoły Podstawowej w Ulimiu, Ulim Rubinowa 5, 66-446 Deszczno";"gm. Deszczno";"gorzowski";"lubuskie";"1370";"1502";"502";"868";"2";"3";"0";"0";"0";"0";"0";"0";"0";"868";"0";"0";"868";"11";"4";"7";"0";"857";"354";"44";"226";"233"
"b83c-1bd9-d5ee-a99a-1875-23b0-932b-c1ff";"080103";"21";"4";"wieś";"stały";"Sala Szkoły Podstawowej w Boleminie, Bolemin 102, 66-446 Deszczno";"gm. Deszczno";"gorzowski";"lubuskie";"1130";"1234";"586";"544";"1";"2";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"7";"1";"6";"0";"537";"135";"27";"209";"166"
"1d61-4a77-c028-359c-ed64-9ada-cfde-37b0";"080103";"21";"5";"wieś";"stały";"Sala Środowiskowego Domu Samopomocy w Brzozowcu, Brzozowiec ul. Szkolna 13, 66-446 Deszczno";"gm. Deszczno";"gorzowski";"lubuskie";"750";"827";"276";"474";"0";"2";"0";"0";"0";"0";"0";"0";"0";"474";"0";"0";"474";"8";"2";"6";"0";"466";"110";"23";"204";"129"
"bd64-49af-3667-0d1d-5df6-8957-4502-e0e5";"080104";"21";"1";"wieś";"stały";"Urząd Gminy Kłodawa (sala posiedzeń), ul. Gorzowska 40, 66-415 Kłodawa";"gm. Kłodawa";"gorzowski";"lubuskie";"1290";"1397";"333";"957";"0";"11";"0";"0";"0";"0";"0";"0";"0";"956";"0";"0";"956";"19";"5";"14";"0";"937";"382";"56";"222";"277"
"7bb1-67fd-2a2b-1e95-6d46-a3b4-a343-3058";"080104";"21";"2";"wieś";"stały";"Świetlica wiejska w Różankach, Różanki ul. Niepodległości 25, 66-415 Kłodawa";"gm. Kłodawa";"gorzowski";"lubuskie";"1120";"1200";"323";"797";"2";"8";"0";"0";"0";"0";"0";"0";"0";"797";"0";"1";"796";"19";"7";"12";"0";"777";"299";"33";"215";"230"
"a7f3-6e7f-1f4d-ff8e-5ede-1da5-4e8a-d13d";"080104";"21";"3";"wieś";"stały";"Szkoła Podstawowa w Kłodawie, ul. Szkolna 1, 66-415 Kłodawa";"gm. Kłodawa";"gorzowski";"lubuskie";"849";"923";"145";"704";"0";"10";"0";"0";"0";"0";"0";"0";"0";"704";"0";"0";"704";"5";"3";"2";"0";"699";"275";"32";"128";"264"
