"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Agnieszka Maria KOŁACZ-LESZCZYŃSKA";"Mirosław Aleksander LUBIŃSKI";"Kamil Krzysztof ZIELIŃSKI"
"b773-f756-7e5a-b823-c4ba-9404-2149-c937";"021901";"4";"13";"miasto";"stały";"Urząd Stanu Cywilnego, ul. Armii Krajowej 47, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1720";"1859";"468";"1252";"3";"5";"1";"1";"0";"0";"0";"0";"1";"1250";"1";"0";"1250";"11";"9";"2";"0";"1239";"725";"126";"388"
"7d33-cdb8-94de-8c61-9793-d910-d91d-e6a0";"021901";"4";"14";"miasto";"stały";"Szkoła Podstawowa nr 8 (sala gimnastyczna), ul. Wałbrzyska 39, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1984";"2156";"541";"1443";"3";"5";"1";"1";"0";"0";"0";"0";"1";"1444";"1";"0";"1444";"25";"7";"18";"0";"1419";"833";"109";"477"
"271f-5b67-9bb3-16c6-72c5-65f6-7cbe-dc34";"021901";"4";"15";"miasto";"stały";"Szkoła Podstawowa nr 8 (budynek główny), ul. Wałbrzyska 39, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1700";"1827";"460";"1240";"1";"11";"0";"0";"0";"0";"0";"0";"0";"1240";"0";"0";"1240";"16";"10";"6";"0";"1224";"702";"107";"415"
"c32e-8137-b842-371c-aeae-cb82-7983-4c7c";"021901";"4";"16";"miasto";"stały";"Szkoła Podstawowa nr 315, pl. Wojska Polskiego 3, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1770";"1896";"703";"1067";"3";"10";"1";"1";"0";"0";"0";"0";"1";"1068";"1";"0";"1068";"19";"2";"17";"0";"1049";"598";"112";"339"
"63f7-0105-fc5f-17df-f1b6-7c2a-e5b0-9691";"021901";"4";"17";"miasto";"stały";"Świdnicki Ośrodek Kultury Galeria Fotografii, ul. Rynek 44, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1750";"1900";"638";"1112";"3";"10";"1";"1";"0";"0";"0";"0";"1";"1111";"1";"0";"1111";"29";"3";"26";"0";"1082";"616";"99";"367"
"56f0-e2e6-20ba-c045-e835-6668-911b-3117";"021901";"4";"18";"miasto";"stały";"Centrum Wspierania Organizacji Pozarządowych, ul. Długa 33, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1830";"1980";"732";"1098";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"19";"1";"18";"0";"1079";"553";"112";"414"
"b8c4-c730-7a9c-ea48-0d6b-848c-b5c5-dc03";"021901";"4";"19";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. Wodna 5 - 7, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1650";"1775";"673";"977";"1";"1";"0";"0";"0";"0";"0";"0";"0";"977";"0";"0";"977";"19";"1";"18";"0";"958";"532";"87";"339"
"2126-a9b0-d941-71a2-1517-c10e-913c-9284";"021901";"4";"20";"miasto";"stały";"Szkoła Podstawowa nr 6, budynek przy ul. Jodłowej, ul. Jodłowa 21, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1700";"1847";"535";"1165";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1165";"0";"0";"1165";"24";"4";"20";"0";"1141";"615";"86";"440"
"7a61-5696-cbc9-f35e-1c91-e10a-2f8e-cf37";"021901";"4";"21";"miasto";"stały";"Szkoła Podstawowa nr 6, budynek przy ul. Jodłowej, ul. Jodłowa 21, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1621";"1761";"568";"1053";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1052";"0";"0";"1052";"9";"5";"4";"0";"1043";"553";"89";"401"
"05df-d2d7-0b44-21ba-96ba-01a3-7c89-3f0c";"021901";"4";"22";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej Sekcja Terenowa nr 3, ul. Westerplatte 47, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1673";"1828";"559";"1114";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1113";"0";"0";"1113";"22";"8";"14";"0";"1091";"595";"107";"389"
"5507-35fe-406a-5342-366f-fe21-40bd-0bde";"021901";"4";"23";"miasto";"stały";"Miejska Biblioteka Publiczna Filia nr 5, ul. Kraszowicka 55, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"1931";"2074";"520";"1411";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1412";"1";"0";"1412";"26";"7";"19";"0";"1386";"812";"132";"442"
"19eb-8d08-6c56-3ee4-c8fb-5a38-7d85-aac4";"021901";"4";"24";"miasto";"zakład leczniczy";"Regionalny Szpital Specjalistyczny ""Latawiec"", ul. Leśna 27 - 29, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"250";"126";"171";"79";"0";"1";"0";"0";"0";"0";"0";"0";"0";"79";"0";"0";"79";"2";"2";"0";"0";"77";"30";"8";"39"
"ec6f-164f-bbec-1196-243c-0826-a6f2-09b8";"021901";"4";"25";"miasto";"areszt śledczy";"Areszt Śledczy, ul. Trybunalska 16, 58-100 Świdnica";"m. Świdnica";"świdnicki";"dolnośląskie";"270";"269";"100";"170";"0";"0";"0";"0";"0";"0";"0";"0";"0";"170";"0";"0";"170";"6";"1";"5";"0";"164";"114";"19";"31"
"ac14-61a0-b45f-ab74-1edc-8edb-7a4e-553b";"021902";"4";"1";"miasto";"stały";"Spółdzielnia Mieszkaniowa, ul. Królowej Elżbiety 1A, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1020";"1093";"282";"738";"0";"0";"0";"0";"0";"0";"0";"0";"0";"738";"0";"0";"738";"8";"4";"4";"0";"730";"417";"91";"222"
"2430-6dc4-5573-18aa-0a3a-ccc9-16b9-ced4";"021902";"4";"2";"miasto";"stały";"Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Bolesława Krzywoustego 46, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1090";"1176";"336";"754";"0";"4";"0";"0";"0";"0";"0";"0";"0";"754";"0";"0";"754";"11";"2";"9";"0";"743";"405";"81";"257"
"86d8-950d-37a7-e06a-0754-1076-960b-3c24";"021902";"4";"3";"miasto";"stały";"Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II, ul. Księcia Bolka 17, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"900";"968";"230";"670";"0";"4";"0";"0";"0";"0";"0";"0";"0";"670";"0";"0";"670";"14";"3";"11";"0";"656";"355";"67";"234"
"a26d-b38d-ffea-b134-7db2-8dec-3d0e-7b1f";"021902";"4";"4";"miasto";"stały";"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi im. Nauczycieli Tajnego Nauczania, ul. Mieszka Starego 4, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"830";"898";"282";"548";"0";"2";"0";"0";"0";"0";"0";"0";"0";"548";"0";"0";"548";"11";"2";"9";"0";"537";"267";"60";"210"
"d8d3-ea60-fe3a-2ea6-5003-b24f-a2cc-7ab2";"021902";"4";"5";"miasto";"stały";"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi im. Nauczycieli Tajnego Nauczania, ul. Mieszka Starego 4, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"790";"862";"221";"569";"0";"3";"0";"0";"0";"0";"0";"0";"0";"569";"0";"0";"569";"17";"6";"11";"0";"552";"310";"78";"164"
"e6cc-f7e6-5342-7852-ced6-c504-bcaa-ac84";"021902";"4";"6";"miasto";"stały";"Szkoła Podstawowa nr 1 (Sala lekcyjna), ul. Marszałka Józefa Piłsudskiego 28, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1250";"1354";"490";"760";"0";"2";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"13";"6";"7";"0";"747";"367";"81";"299"
"711b-d980-76d9-60db-a824-90e3-7171-4de3";"021902";"4";"7";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Janusza Korczaka (Sala gimnastyczna), ul. Ofiar Oświęcimskich 58, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"750";"815";"291";"459";"0";"3";"0";"0";"0";"0";"0";"0";"0";"459";"0";"0";"459";"6";"2";"4";"0";"453";"250";"54";"149"
"4d55-fd70-ffc9-a9b0-e050-a0f5-20f4-c9ef";"021902";"4";"8";"miasto";"stały";"Budynek biurowy ""TERMET"" S. A., ul. Długa 13, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"860";"927";"366";"494";"1";"1";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"9";"4";"5";"0";"485";"215";"66";"204"
"e112-4619-f7d2-ca75-32c6-3e26-6acd-c80f";"021902";"4";"9";"miasto";"stały";"Szkoła Podstawowa nr 4 im. Janusza Korczaka (Sala lekcyjna), ul. Ofiar Oświęcimskich 58, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"820";"891";"280";"540";"1";"1";"0";"0";"0";"0";"0";"0";"0";"540";"0";"0";"540";"13";"3";"10";"0";"527";"291";"66";"170"
"9e8e-9321-eefb-d079-a9cd-baac-5ff4-37cb";"021902";"4";"10";"miasto";"stały";"Szkoła Podstawowa nr 1 (Sala gimnastyczna), ul. Marszałka Józefa Piłsudskiego 28, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1270";"1378";"574";"696";"3";"2";"0";"0";"0";"0";"0";"0";"0";"696";"0";"0";"696";"12";"0";"12";"0";"684";"292";"80";"312"
"e273-4731-689e-1c95-da5a-25d2-7293-950f";"021902";"4";"11";"miasto";"stały";"Urząd Miejski w Świebodzicach, ul. Stefana Żeromskiego 27, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1070";"1169";"547";"523";"0";"4";"0";"0";"0";"0";"0";"0";"0";"523";"0";"0";"523";"13";"3";"10";"0";"510";"177";"66";"267"
"7863-191a-ab1d-3c32-de74-4451-2e2b-07b5";"021902";"4";"12";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Władysława Broniewskiego (Sala lekcyjna), ul. Świdnicka 13, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1291";"1405";"499";"792";"20";"2";"0";"0";"0";"0";"0";"0";"0";"792";"0";"0";"792";"13";"3";"10";"0";"779";"385";"85";"309"
"1ed3-c06a-690d-3142-c8e0-9e7e-05b7-18f8";"021902";"4";"13";"miasto";"stały";"Szkoła Podstawowa nr 3 im. Władysława Broniewskiego (Sala gimnastyczna), ul. Wolności 23, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1081";"1163";"444";"637";"0";"3";"0";"0";"0";"0";"0";"0";"0";"637";"0";"0";"637";"14";"4";"10";"0";"623";"299";"75";"249"
"3e5a-8b22-87bd-5c8c-8dd6-4908-d78e-fc17";"021902";"4";"14";"miasto";"stały";"Przedszkole nr 3 Niezapominajka, ul. Spokojna 3, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1750";"1907";"603";"1145";"3";"7";"0";"0";"0";"0";"0";"0";"0";"1146";"0";"0";"1146";"36";"16";"20";"0";"1110";"558";"142";"410"
"bbed-dffd-4b87-288e-c70b-b3c4-80f6-1b5e";"021902";"4";"15";"miasto";"stały";"Szkoła Podstawowa Integracyjna im. Henryka Sienkiewicza (Sala gimnastyczna), ul. Ciernie 30, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"1350";"1483";"533";"817";"0";"2";"0";"0";"0";"0";"0";"0";"0";"817";"0";"0";"817";"18";"4";"14";"0";"799";"366";"99";"334"
"191a-70b3-fcdf-46a8-6224-52a1-ca1b-cb87";"021902";"4";"16";"miasto";"zakład leczniczy";"Mikulicz Sp. z o. o., ul. Marii Skłodowskiej-Curie 3 - 7, 58-160 Świebodzice";"m. Świebodzice";"świdnicki";"dolnośląskie";"89";"68";"78";"11";"0";"1";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"11";"2";"0";"2";"0";"9";"2";"3";"4"
"a196-a1bc-9ff4-9cb6-a16e-be83-6535-1e8c";"021903";"4";"1";"wieś";"stały";"Gminny Ośrodek Kultury, Sportu i Rekreacji w Dobromierzu, Plac Wolności 19, 58-170 Dobromierz";"gm. Dobromierz";"świdnicki";"dolnośląskie";"631";"694";"282";"349";"0";"0";"0";"0";"0";"0";"0";"0";"0";"349";"0";"0";"349";"2";"2";"0";"0";"347";"153";"21";"173"
"ccaa-11a1-24ca-5cf1-a607-518a-e2ac-0cb5";"021903";"4";"2";"wieś";"stały";"Gminny Ośrodek Kultury, Sportu i Rekreacji w Dobromierzu, Plac Wolności 19, 58-170 Dobromierz";"gm. Dobromierz";"świdnicki";"dolnośląskie";"661";"716";"251";"410";"1";"2";"1";"1";"0";"0";"0";"0";"1";"411";"1";"0";"411";"6";"4";"2";"0";"405";"150";"33";"222"
"559a-805e-5f16-f9f8-20d0-cbb7-9545-7771";"021903";"4";"3";"wieś";"stały";"Szkoła Podstawowa w Roztoce, ul. Jana Pawła II 7/9, 58-173 Roztoka";"gm. Dobromierz";"świdnicki";"dolnośląskie";"751";"821";"297";"454";"0";"0";"0";"0";"0";"0";"0";"0";"0";"453";"0";"0";"453";"9";"0";"9";"0";"444";"165";"46";"233"
"4302-faa4-a3b9-3e20-99da-6fae-8c37-acbb";"021903";"4";"4";"wieś";"stały";"Szkoła Podstawowa w Roztoce, Jana Pawła II 7/9, 58-173 Roztoka";"gm. Dobromierz";"świdnicki";"dolnośląskie";"751";"823";"326";"425";"0";"0";"0";"0";"0";"0";"0";"0";"0";"425";"0";"0";"425";"8";"1";"7";"0";"417";"168";"39";"210"
"e7ff-b028-84f9-7cd3-baef-8a04-c0ce-bdf7";"021903";"4";"5";"wieś";"stały";"Szkoła Podstawowa w Gniewkowie, Gniewków 3, 58-173 Roztoka";"gm. Dobromierz";"świdnicki";"dolnośląskie";"1010";"1116";"505";"505";"1";"4";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"15";"1";"14";"0";"490";"181";"48";"261"
"425e-578c-e67a-fd5a-e13a-b22d-bce3-1f4d";"021904";"4";"1";"miasto";"stały";"Sala sportowa i edukacyjna, ul. Świdnicka 15a, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"1530";"1677";"646";"884";"2";"2";"0";"0";"0";"0";"0";"0";"0";"884";"0";"0";"884";"18";"8";"10";"0";"866";"356";"82";"428"
"edaf-22b4-fe2f-6b7f-ba9c-2150-12ad-4ea7";"021904";"4";"2";"miasto";"stały";"Sala sportowa i edukacyjna, ul. Świdnicka 15a, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"900";"962";"368";"532";"2";"1";"0";"0";"0";"0";"0";"0";"0";"532";"0";"0";"532";"10";"4";"6";"0";"522";"231";"58";"233"
"5e0d-45f7-dec2-428e-ae6d-21a5-0a42-f92a";"021904";"4";"3";"miasto";"stały";"Szkoła Podstawowa im. Marii Konopnickiej (sala sportowa), ul. Mickiewicza 10, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"970";"1072";"366";"604";"2";"2";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"14";"10";"4";"0";"590";"260";"46";"284"
"15dc-da30-cb15-5c60-b2db-c171-e49d-636c";"021904";"4";"4";"miasto";"stały";"Szkoła Podstawowa im. Marii Konopnickiej (sala sportowa), ul. Mickiewicza 10, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"970";"1053";"441";"529";"0";"2";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"14";"5";"9";"0";"515";"171";"63";"281"
"b426-5604-62af-1ca3-c65f-999d-c3a5-18da";"021904";"4";"5";"wieś";"stały";"Świetlica wiejska, Pastuchów ul. Wyzwolenia 22, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"1240";"1348";"632";"608";"2";"3";"0";"0";"0";"0";"0";"0";"0";"608";"0";"0";"608";"20";"2";"18";"0";"588";"228";"62";"298"
"5e76-33b7-39ae-e67c-64e1-4383-9586-5b74";"021904";"4";"6";"wieś";"stały";"Szkoła Podstawowa w Starym Jaworowie, Stary Jaworów 38, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"1240";"1342";"500";"740";"1";"6";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"23";"2";"21";"0";"717";"285";"81";"351"
"a081-e9c5-a60a-b38f-be2c-225a-32a8-bda2";"021904";"4";"7";"wieś";"stały";"Dom Strażaka w Bolesławicach, Bolesławice 51B, 58-140 Jaworzyna Śląska";"gm. Jaworzyna Śląska";"świdnicki";"dolnośląskie";"650";"710";"245";"405";"0";"3";"0";"0";"0";"0";"0";"0";"0";"405";"0";"0";"405";"10";"5";"5";"0";"395";"205";"43";"147"
"d165-e4e6-4edf-fbf1-ccf2-d807-93fa-72bc";"021905";"4";"1";"wieś";"stały";"Sala gimnastyczna, Wiry 10a, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"930";"1026";"386";"544";"2";"1";"0";"0";"0";"0";"0";"0";"0";"544";"0";"0";"544";"6";"2";"4";"0";"538";"205";"49";"284"
"8442-423d-5872-c923-4914-e9d5-a710-998a";"021905";"4";"2";"wieś";"stały";"Świetlica wiejska, Mysłaków 22, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"940";"1029";"338";"602";"0";"2";"0";"0";"0";"0";"0";"0";"0";"602";"0";"0";"602";"8";"2";"6";"0";"594";"146";"52";"396"
"58fa-caf3-a800-2561-8497-2d3a-d154-69d9";"021905";"4";"3";"wieś";"stały";"Świetlica wiejska, Biała 46, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"310";"335";"105";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"205";"0";"0";"205";"4";"2";"2";"0";"201";"97";"25";"79"
"7ec3-a8a8-56a3-476a-af6c-246b-04a3-b53c";"021905";"4";"4";"wieś";"stały";"Świetlica wiejska, Chwałków 4a, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"270";"293";"106";"164";"0";"0";"0";"0";"0";"0";"0";"0";"0";"164";"0";"0";"164";"4";"3";"1";"0";"160";"65";"22";"73"
"b81f-aa22-7f67-f55a-6055-62fe-ae20-d75a";"021905";"4";"5";"wieś";"stały";"Świetlica wiejska, Gola Świdnicka 43, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"380";"413";"157";"223";"0";"0";"0";"0";"0";"0";"0";"0";"0";"223";"0";"0";"223";"6";"2";"4";"0";"217";"96";"34";"87"
"39b4-b0f5-28a6-1699-5ae8-883f-4495-154f";"021905";"4";"6";"wieś";"stały";"Biblioteka Publiczna, Szczepanów 9a, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"860";"934";"331";"529";"0";"3";"0";"0";"0";"0";"0";"0";"0";"529";"0";"0";"529";"18";"3";"15";"0";"511";"187";"56";"268"
"bacb-6ac4-f9b3-3f7a-4e52-c157-b1ec-ac02";"021905";"4";"7";"wieś";"stały";"Urząd Gminy, ul. J. Tuwima 2, 58-124 Marcinowice";"gm. Marcinowice";"świdnicki";"dolnośląskie";"620";"713";"137";"483";"1";"22";"0";"0";"0";"0";"0";"0";"0";"483";"0";"0";"483";"3";"2";"1";"0";"480";"215";"59";"206"
