"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Władysław Marcin KOSINIAK-KAMYSZ - nr na liście 1";"Joanna Ewa KORDULA - nr na liście 2";"Stanisław Andrzej SORYS - nr na liście 3";"Ryszard DROŻDŻAK - nr na liście 4";"Marcin Stanisław GAWEŁ - nr na liście 5";"Bogusław KAMIŃSKI - nr na liście 6";"Grzegorz DUDA - nr na liście 7";"Anna Teresa SKALAK - nr na liście 8";"Adam Roman BIEDROŃ - nr na liście 9";"Maria Stefania ŁAKOMA - nr na liście 10";"Marian Józef ZALEWSKI - nr na liście 11";"Stella Józefa DĄBROŚ - nr na liście 12";"Tadeusz Kazimierz ŻAK - nr na liście 13";"Magdalena Anna POWROŹNIK - nr na liście 14";"Artur Piotr CHMIELA - nr na liście 15";"Beata Maria MYŚKÓW-SKOCZEK - nr na liście 16";"Małgorzata Anna TOKARCZYK-KOZIOŁ - nr na liście 17";"Marcin Krzysztof MIKOS - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Anna Maria PIECZARKA - nr na liście 1";"Józefa SZCZUREK-ŻELAZKO - nr na liście 2";"Michał Jan WOJTKIEWICZ - nr na liście 3";"Urszula Beata RUSECKA - nr na liście 4";"Wiesław KRAJEWSKI - nr na liście 5";"Piotr Paweł SAK - nr na liście 6";"Anna Małgorzata CZECH - nr na liście 7";"Stanisław Marcin BUKOWIEC - nr na liście 8";"Mariusz Artur ZAJĄC - nr na liście 9";"Norbert Jakub KACZMARCZYK - nr na liście 10";"Jarosław Jan SORYS - nr na liście 11";"Piotr WAJDA - nr na liście 12";"Celina Joanna JACEWICZ - nr na liście 13";"Małgorzata Anna JAŚKO - nr na liście 14";"Magdalena Anna KOPCZYŃSKA - nr na liście 15";"Kazimierz Józef ŻUROWSKI - nr na liście 16";"Dariusz Piotr PIETRUSZKA - nr na liście 17";"Wojciech SKRUCH - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Jacek Andrzej JABŁOŃSKI - nr na liście 1";"Jerzy Andrzej WOŹNIAK - nr na liście 2";"Ewa SKOWROŃSKA - nr na liście 3";"Dorota KOCOŃ - nr na liście 4";"Stanisław Andrzej PIWOWARSKI - nr na liście 5";"Agnieszka Anna SIENICKA - nr na liście 6";"Antoni CZAPKIEWICZ - nr na liście 7";"Maria Bernadeta WILCZYŃSKA - nr na liście 8";"Przemysław Tomasz DAŃDA - nr na liście 9";"Przemysław WĘGRZYN - nr na liście 10";"Romana Anna JEWUŁA - nr na liście 11";"Renata Lucyna NIZIOŁEK - nr na liście 12";"Liliana Karolina KONOPKA - nr na liście 13";"Artur Łukasz BOROWICZ - nr na liście 14";"Justyna Magdalena MAŁEK - nr na liście 15";"Maciej Jan MROZOWSKI - nr na liście 16";"Alicja Łucja SERWIN - nr na liście 17";"Andrzej Stefan SZTORC - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Czesław Alfred KWAŚNIAK - nr na liście 1";"Radosław Michał MACOŃ - nr na liście 2";"Konrad Mariusz WÓJCIKIEWICZ - nr na liście 3";"Barbara Janina ŁACH - nr na liście 4";"Grzegorz Wojciech POCIĘGIEL - nr na liście 5";"Andrzej Piotr SZUBA - nr na liście 6";"Agata Magdalena SMOŁA - nr na liście 7";"Ewelina Anna JEZIOREK - nr na liście 8";"Marta Magdalena MUCHA - nr na liście 9";"Maria Barbara LECHOWICZ - nr na liście 10";"Kamil STACHOWICZ - nr na liście 11";"Alina Barbara BORYCZKA - nr na liście 12";"Karol Zygmunt SERAFIN - nr na liście 13";"Maciej Zbigniew SOSIN - nr na liście 14";"Jadwiga Maria NOWAK - nr na liście 15";"Bartłomiej Bogusław NIEDZIUŁKA - nr na liście 16";"Krzysztof Grzegorz GAGATEK - nr na liście 17";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Urszula Danuta AUGUSTYN - nr na liście 1";"Robert Marian WARDZAŁA - nr na liście 2";"Jacek Paweł PAJĄK - nr na liście 3";"Lech Jerzy PANKIEWICZ - nr na liście 4";"Barbara Maria KRUPA - nr na liście 5";"Grzegorz Maciej CYGONIK - nr na liście 6";"Jolanta Agata KRAMARCZYK - nr na liście 7";"Krzysztof Tadeusz JANAS - nr na liście 8";"Anna Beata POLAŃSKA - nr na liście 9";"Adam Marian KRAMARCZYK - nr na liście 10";"Rafał Leszek ROJEWSKI - nr na liście 11";"Łukasz SADKIEWICZ - nr na liście 12";"Piotr SZKLARSKI - nr na liście 13";"Magdalena Joanna ŁACNA - nr na liście 14";"Oliwia Julia BŁESZYŃSKA - nr na liście 15";"Tomasz Antoni KLUZA - nr na liście 16";"Dominika Kinga GONDEK-PODOSEK - nr na liście 17";"Bogusław SAMBOR - nr na liście 18"
"2eb3-f943-d6a5-726b-7757-eef7-e4f4-d427";"121602";"15";"4";"wieś";"stały";"Dom Ludowy, Jana Pawła II 11, 33-180 Gromnik";"gm. Gromnik";"tarnowski";"małopolskie";"1143";"1248";"383";"760";"0";"3";"0";"0";"0";"0";"0";"0";"0";"760";"0";"0";"760";"9";"4";"5";"0";"751";"123";"95";"2";"17";"0";"0";"0";"3";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"2";"516";"276";"13";"53";"0";"9";"36";"33";"3";"2";"14";"6";"3";"0";"2";"3";"3";"2";"58";"22";"10";"5";"1";"1";"0";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"55";"32";"3";"1";"4";"2";"1";"2";"0";"3";"0";"3";"1";"0";"0";"0";"0";"3";"35";"15";"16";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"522f-5ef2-1dc0-61db-7aa6-5a59-1cc3-f8f5";"121602";"15";"5";"wieś";"stały";"Dom Ludowy, Jana Pawła II 11, 33-180 Gromnik";"gm. Gromnik";"tarnowski";"małopolskie";"1317";"1451";"435";"882";"0";"4";"0";"0";"0";"0";"0";"0";"0";"881";"0";"0";"881";"10";"6";"4";"0";"871";"127";"107";"1";"8";"1";"0";"2";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"3";"1";"645";"371";"19";"83";"0";"20";"27";"20";"1";"13";"10";"6";"5";"0";"0";"7";"1";"3";"59";"29";"12";"3";"2";"0";"2";"3";"0";"0";"2";"0";"0";"0";"2";"2";"0";"0";"0";"1";"32";"17";"1";"0";"1";"0";"1";"2";"0";"1";"0";"0";"1";"0";"1";"0";"1";"6";"38";"21";"13";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0"
"a869-fdfa-21be-84d8-ec99-e253-57fb-d942";"121602";"15";"6";"wieś";"stały";"Dom Ludowy, Rzepiennik Marciszewski 144, 33-180 Gromnik";"gm. Gromnik";"tarnowski";"małopolskie";"488";"536";"225";"263";"0";"3";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"8";"6";"2";"0";"255";"32";"25";"0";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"205";"130";"9";"21";"0";"4";"11";"6";"1";"1";"8";"3";"0";"0";"0";"1";"1";"1";"8";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"9";"3";"0";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"1";"1";"0";"0";"6";"1";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"457c-ec02-8560-7d85-303d-355b-b66d-6b06";"121602";"15";"7";"wieś";"stały";"Dom Ludowy, Siemiechów 282, 33-181 Siemiechów";"gm. Gromnik";"tarnowski";"małopolskie";"1354";"1481";"587";"767";"0";"0";"0";"0";"0";"0";"0";"0";"0";"767";"0";"0";"767";"8";"4";"4";"0";"759";"59";"46";"0";"8";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"635";"351";"25";"51";"3";"77";"28";"25";"2";"8";"16";"3";"4";"1";"8";"5";"3";"0";"25";"12";"6";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"40";"23";"8";"1";"1";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"1";"0";"2";"13";"5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"355c-6984-90f5-aa47-2b30-63f4-9011-a772";"121603";"15";"1";"wieś";"stały";"Gminne Przedszkole, ul. Stefana Jaracza 1, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"1556";"1688";"543";"1013";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1013";"0";"0";"1013";"22";"13";"9";"0";"991";"91";"64";"4";"2";"1";"0";"0";"3";"2";"2";"0";"0";"1";"0";"1";"0";"0";"10";"1";"653";"342";"21";"26";"4";"94";"51";"53";"3";"5";"27";"3";"2";"1";"5";"7";"1";"0";"8";"47";"21";"4";"4";"4";"2";"1";"1";"1";"0";"0";"2";"1";"1";"0";"2";"0";"0";"3";"92";"38";"18";"2";"2";"2";"5";"0";"4";"3";"2";"4";"4";"1";"4";"1";"0";"2";"108";"42";"47";"1";"1";"8";"2";"0";"1";"1";"1";"0";"0";"0";"2";"0";"1";"1";"0"
"2f70-ffd6-8fb1-c700-878b-c0a8-feaa-5581";"121603";"15";"2";"wieś";"stały";"Szkoła Podstawowa, Pawęzów 66, 33-103 Tarnów";"gm. Lisia Góra";"tarnowski";"małopolskie";"700";"760";"219";"481";"1";"1";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"4";"2";"2";"0";"477";"68";"54";"1";"0";"2";"0";"0";"1";"0";"4";"1";"0";"0";"2";"0";"0";"1";"2";"0";"263";"124";"11";"18";"1";"14";"31";"39";"2";"1";"8";"0";"1";"0";"1";"1";"1";"1";"9";"38";"15";"1";"4";"1";"3";"1";"1";"0";"0";"0";"2";"2";"1";"0";"1";"1";"1";"4";"31";"10";"4";"1";"2";"1";"0";"2";"0";"2";"2";"0";"0";"0";"0";"3";"1";"3";"77";"35";"25";"1";"0";"5";"0";"2";"5";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"c47a-3712-d186-f35b-267a-3832-220f-80ad";"121603";"15";"3";"wieś";"stały";"Zespół Szkoły Podstawowej i Gminnego Przedszkola, Nowa Jastrząbka 156, 33-151 Nowa Jastrząbka";"gm. Lisia Góra";"tarnowski";"małopolskie";"859";"932";"271";"588";"0";"3";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"4";"2";"2";"0";"584";"47";"34";"0";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"2";"5";"0";"464";"286";"15";"16";"4";"42";"35";"20";"1";"2";"21";"1";"4";"0";"4";"5";"2";"1";"5";"12";"9";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"31";"15";"5";"5";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"30";"15";"10";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"bd7a-34c7-0b41-e3b7-65e4-14ab-ed31-9fa3";"121603";"15";"4";"wieś";"stały";"Szkoła Podstawowa, Zaczarnie 25, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"1402";"1515";"604";"798";"0";"4";"0";"0";"0";"0";"0";"0";"0";"798";"0";"0";"798";"8";"5";"3";"0";"790";"74";"60";"0";"1";"0";"0";"0";"2";"0";"0";"2";"0";"0";"5";"0";"0";"0";"2";"2";"552";"351";"8";"21";"1";"53";"36";"32";"1";"9";"8";"4";"5";"1";"4";"8";"1";"0";"9";"32";"12";"2";"0";"5";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"3";"1";"0";"4";"57";"24";"5";"7";"2";"1";"3";"2";"0";"1";"2";"0";"1";"1";"3";"1";"0";"4";"75";"44";"27";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"9bd6-5e0f-aa38-a04c-c56e-392e-e3c8-c31b";"121603";"15";"5";"wieś";"stały";"Dom Strażaka, Nowe Żukowice 48A, 33-151 Nowa Jastrząbka";"gm. Lisia Góra";"tarnowski";"małopolskie";"706";"776";"192";"514";"0";"2";"0";"0";"0";"0";"0";"0";"0";"514";"0";"0";"514";"4";"3";"1";"0";"510";"43";"20";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"1";"411";"262";"7";"10";"3";"34";"42";"14";"9";"0";"6";"3";"2";"0";"1";"4";"1";"1";"12";"20";"8";"3";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"1";"19";"14";"2";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"17";"6";"6";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"74e6-8bb0-a377-37f3-4515-16d8-5c8a-2c63";"121603";"15";"6";"wieś";"stały";"Szkoła Podstawowa, Stare Żukowice 132A, 33-151 Nowa Jastrząbka";"gm. Lisia Góra";"tarnowski";"małopolskie";"1344";"1480";"451";"893";"0";"1";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"2";"0";"2";"0";"891";"81";"67";"1";"0";"2";"0";"1";"3";"1";"0";"2";"0";"0";"1";"0";"0";"0";"3";"0";"706";"453";"18";"21";"7";"82";"42";"27";"2";"4";"27";"0";"0";"1";"1";"5";"1";"3";"12";"13";"7";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"46";"23";"5";"5";"0";"1";"3";"2";"1";"2";"0";"0";"0";"2";"0";"1";"0";"1";"45";"19";"19";"1";"0";"2";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"d001-b52a-ed8a-0e17-59d2-02fe-7fdd-cb9e";"121603";"15";"7";"wieś";"stały";"Szkoła Podstawowa, Łukowa 86A, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"850";"923";"278";"572";"1";"0";"0";"0";"0";"0";"0";"0";"0";"572";"0";"0";"572";"11";"7";"4";"0";"561";"48";"34";"0";"2";"0";"0";"0";"5";"2";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0";"451";"256";"11";"19";"2";"63";"27";"34";"5";"2";"15";"2";"0";"2";"2";"4";"1";"1";"5";"10";"6";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"27";"14";"2";"0";"2";"1";"0";"0";"1";"1";"0";"1";"1";"0";"0";"1";"0";"3";"25";"6";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"1534-f8f6-c400-b091-f3d7-cf4f-f2b2-71bb";"121603";"15";"8";"wieś";"stały";"Szkoła Podstawowa, Breń 25, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"560";"611";"178";"382";"1";"0";"0";"0";"0";"0";"0";"0";"0";"382";"0";"0";"382";"4";"3";"1";"0";"378";"26";"23";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"306";"169";"11";"31";"2";"33";"10";"24";"4";"1";"12";"0";"1";"0";"1";"4";"0";"0";"3";"9";"3";"0";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"23";"14";"0";"0";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"3";"14";"8";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"4000-2559-e56f-559e-ff37-30d1-9423-c894";"121603";"15";"9";"wieś";"stały";"Szkoła Podstawowa, Brzozówka ul. Tarnowska 36, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"948";"1042";"301";"647";"2";"1";"0";"0";"0";"0";"0";"0";"0";"647";"0";"0";"647";"5";"3";"2";"0";"642";"109";"90";"1";"5";"0";"0";"0";"3";"0";"1";"0";"0";"0";"5";"0";"0";"0";"4";"0";"306";"170";"0";"12";"2";"23";"35";"14";"0";"0";"21";"1";"1";"0";"11";"4";"0";"2";"10";"45";"30";"2";"2";"4";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"1";"73";"32";"2";"5";"0";"0";"0";"6";"1";"6";"11";"1";"1";"2";"2";"1";"0";"3";"109";"60";"41";"0";"0";"2";"0";"0";"4";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"ba4f-77cf-d60e-c95b-6e3b-6680-bf32-de6d";"121603";"15";"10";"wieś";"stały";"Szkoła Podstawowa, Kobierzyn 61A, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"428";"469";"152";"276";"0";"1";"0";"0";"0";"0";"0";"0";"0";"276";"0";"0";"276";"5";"4";"1";"0";"271";"28";"19";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"3";"0";"216";"129";"3";"10";"0";"22";"24";"8";"4";"0";"6";"2";"0";"1";"0";"2";"0";"0";"5";"7";"1";"0";"2";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"11";"10";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"1";"3";"0";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"d2d3-3788-1677-8bba-2243-6919-9bcf-a192";"121603";"15";"11";"wieś";"stały";"Gminny Ośrodek Kultury, Śmigno 30, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"645";"693";"246";"399";"0";"5";"0";"0";"0";"0";"0";"0";"0";"399";"0";"0";"399";"7";"5";"2";"0";"392";"66";"48";"1";"2";"0";"0";"1";"1";"1";"5";"1";"0";"0";"2";"0";"0";"1";"3";"0";"208";"111";"6";"13";"1";"26";"14";"13";"0";"3";"6";"1";"7";"0";"3";"4";"0";"0";"0";"28";"16";"3";"4";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"45";"17";"1";"7";"2";"1";"4";"2";"0";"0";"3";"3";"0";"0";"1";"1";"0";"3";"45";"28";"13";"0";"0";"2";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"f709-8476-0c49-dab1-4519-a1c1-9238-6c5b";"121603";"15";"12";"wieś";"stały";"Gminne Przedszkole, ul. Stefana Jaracza 1, 33-140 Lisia Góra";"gm. Lisia Góra";"tarnowski";"małopolskie";"773";"834";"254";"519";"1";"2";"0";"0";"0";"0";"0";"0";"0";"519";"0";"0";"519";"8";"5";"3";"0";"511";"86";"71";"3";"1";"0";"0";"0";"2";"0";"4";"0";"0";"0";"0";"0";"0";"0";"2";"3";"290";"136";"13";"8";"2";"51";"16";"36";"3";"2";"11";"1";"2";"1";"1";"7";"0";"0";"0";"35";"16";"4";"4";"3";"1";"1";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"36";"16";"2";"1";"1";"1";"4";"3";"0";"1";"1";"0";"1";"0";"5";"0";"0";"0";"64";"38";"20";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"12c4-b207-6a8c-f17b-660c-b4c2-0cee-0511";"121604";"15";"1";"wieś";"stały";"Budynek Szkoły Podstawowej w Dąbrówce Szczepanowskiej, Dąbrówka Szczepanowska 184, 33-115 Janowice";"gm. Pleśna";"tarnowski";"małopolskie";"384";"415";"170";"214";"0";"0";"0";"0";"0";"0";"0";"0";"0";"214";"0";"0";"214";"3";"3";"0";"0";"211";"34";"18";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"144";"117";"3";"7";"1";"2";"5";"2";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0";"2";"5";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"4";"2";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"18";"8";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"1c46-afd4-7956-6f36-43b4-ed7f-c20e-3837";"121604";"15";"2";"wieś";"stały";"Dom Kultury w Janowicach, Janowice 128A, 33-115 Janowice";"gm. Pleśna";"tarnowski";"małopolskie";"832";"914";"320";"512";"0";"1";"0";"0";"0";"0";"0";"0";"0";"512";"0";"0";"512";"7";"3";"4";"0";"505";"74";"40";"0";"29";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"355";"241";"6";"38";"3";"7";"11";"9";"0";"5";"10";"4";"0";"0";"0";"4";"1";"2";"14";"22";"17";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"15";"7";"1";"0";"1";"1";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0";"25";"11";"10";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"1164-db0b-8c78-b759-2d96-e231-e088-88f0";"121604";"15";"3";"wieś";"stały";"Szkoła Podstawowa w Lichwinie, Lichwin 182A, 33-172 Siedliska";"gm. Pleśna";"tarnowski";"małopolskie";"839";"904";"340";"499";"0";"2";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"9";"8";"1";"0";"490";"95";"29";"0";"63";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"348";"250";"6";"33";"0";"8";"11";"14";"3";"2";"2";"4";"2";"0";"0";"1";"0";"0";"12";"13";"6";"0";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"17";"7";"4";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"17";"6";"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2cc6-5a77-8947-9f5d-bb62-7145-7905-790a";"121604";"15";"4";"wieś";"stały";"Szkoła Podstawowa w Lubince, Lubinka 11, 33-115 Janowice";"gm. Pleśna";"tarnowski";"małopolskie";"271";"296";"128";"143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"143";"0";"0";"143";"2";"1";"1";"0";"141";"16";"7";"0";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"99";"66";"1";"8";"0";"4";"6";"6";"0";"0";"2";"0";"0";"0";"0";"1";"2";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"7";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"11";"7";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"d700-dc8b-9ea8-58f7-e4b3-ae7c-afb9-cf7d";"121604";"15";"5";"wieś";"stały";"Centrum Kultury w Pleśnej, Pleśna 240, 33-171 Pleśna";"gm. Pleśna";"tarnowski";"małopolskie";"828";"892";"255";"573";"0";"1";"0";"0";"0";"0";"0";"0";"0";"573";"0";"0";"573";"3";"3";"0";"0";"570";"102";"29";"0";"66";"0";"1";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"368";"163";"18";"29";"1";"7";"33";"8";"1";"2";"21";"65";"0";"1";"0";"2";"2";"2";"13";"19";"16";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"26";"14";"4";"1";"0";"3";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"55";"37";"14";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"603d-3911-7d58-4600-c7f0-8ce2-14d7-98f7";"121604";"15";"6";"wieś";"stały";"Szkoła Podstawowa w Pleśnej, Pleśna 228, 33-171 Pleśna";"gm. Pleśna";"tarnowski";"małopolskie";"989";"1086";"288";"701";"1";"3";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"10";"5";"5";"0";"691";"139";"22";"0";"116";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"398";"218";"11";"28";"2";"13";"20";"1";"1";"3";"28";"56";"2";"0";"2";"4";"0";"1";"8";"27";"14";"4";"3";"0";"4";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"44";"25";"6";"2";"2";"0";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"83";"46";"26";"1";"0";"1";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"1";"1";"2"
"30d9-d7eb-5641-1435-3dfc-b833-a1e5-8d71";"121604";"15";"7";"wieś";"stały";"Budynek Gimnazjum w Pleśnej, Pleśna 228A, 33-171 Pleśna";"gm. Pleśna";"tarnowski";"małopolskie";"842";"915";"295";"547";"3";"2";"0";"0";"0";"0";"0";"0";"0";"547";"0";"0";"547";"5";"3";"2";"0";"542";"122";"25";"1";"87";"0";"1";"2";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"1";"1";"326";"178";"11";"33";"1";"4";"12";"13";"2";"0";"20";"32";"2";"0";"0";"0";"0";"1";"17";"24";"17";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"22";"11";"1";"1";"0";"2";"0";"1";"0";"2";"1";"1";"0";"0";"0";"0";"1";"1";"48";"32";"11";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
