"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Kazimierz Sławomir KLIMEK";"Krzysztof Stanisław MRÓZ";"Jerzy Jan POKÓJ"
"23c9-4dc4-fb64-0abd-1ba0-0b94-5ea3-be8a";"020503";"2";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka";"gm. Męcinka";"jaworski";"dolnośląskie";"1300";"1380";"491";"809";"1";"7";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"15";"5";"10";"0";"794";"133";"460";"201"
"ee6a-2e77-6013-3edf-cd93-a2ed-67b3-c3e8";"020503";"2";"2";"wieś";"stały";"Świetlica Wiejska, Małuszów 17, 59-424 Męcinka";"gm. Męcinka";"jaworski";"dolnośląskie";"400";"484";"99";"301";"0";"0";"0";"0";"0";"0";"0";"0";"0";"301";"0";"0";"301";"8";"2";"6";"0";"293";"38";"193";"62"
"c0da-4198-a073-f3df-3d7d-72e1-b047-1255";"020503";"2";"3";"wieś";"stały";"Była Szkoła Filialna, Pomocne 51, 59-424 Męcinka";"gm. Męcinka";"jaworski";"dolnośląskie";"900";"930";"470";"430";"0";"0";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"22";"9";"13";"0";"408";"80";"223";"105"
"f3cc-340d-6e10-0a61-99f4-1231-bbc2-8035";"020503";"2";"4";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Męcinka";"gm. Męcinka";"jaworski";"dolnośląskie";"1000";"1148";"370";"630";"0";"0";"0";"0";"0";"0";"0";"0";"0";"630";"0";"0";"630";"14";"3";"11";"0";"616";"92";"389";"135"
"9a83-3e34-2f89-1f19-739f-8b33-f3e6-4080";"020504";"2";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mściwojów";"gm. Mściwojów";"jaworski";"dolnośląskie";"971";"972";"428";"543";"3";"1";"0";"0";"0";"0";"0";"0";"0";"543";"0";"0";"543";"13";"3";"10";"0";"530";"96";"293";"141"
"0c37-e99a-b1f3-744f-0cfe-2229-3ce5-d352";"020504";"2";"2";"wieś";"stały";"Szkoła Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mściwojów";"gm. Mściwojów";"jaworski";"dolnośląskie";"1000";"1127";"394";"606";"0";"0";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"14";"3";"11";"0";"592";"123";"279";"190"
"8fba-6d5a-1510-df1a-1d78-582a-f149-1770";"020504";"2";"3";"wieś";"stały";"Świetlica wiejska w Mściwojowie, Mściwojów 54B, 59-407 Mściwojów";"gm. Mściwojów";"jaworski";"dolnośląskie";"1000";"1105";"396";"604";"2";"2";"0";"0";"0";"0";"0";"0";"0";"603";"0";"0";"603";"18";"7";"11";"0";"585";"99";"342";"144"
"7568-dbf7-244d-31eb-f1e0-6669-0403-e77c";"020505";"2";"1";"wieś";"stały";"Świetlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice";"gm. Paszowice";"jaworski";"dolnośląskie";"1800";"1927";"731";"1069";"2";"10";"0";"0";"0";"0";"0";"0";"0";"1069";"0";"0";"1069";"31";"16";"15";"0";"1038";"184";"568";"286"
"474a-ea1a-1050-6e15-b88f-4451-8007-4258";"020505";"2";"2";"wieś";"stały";"Świetlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice";"gm. Paszowice";"jaworski";"dolnośląskie";"1100";"1263";"476";"624";"0";"2";"0";"0";"0";"0";"0";"0";"0";"624";"0";"0";"624";"13";"5";"8";"0";"611";"123";"322";"166"
"6238-87cd-e848-4157-2986-da5d-4ef9-b785";"020506";"2";"1";"wieś";"stały";"Szkoła Podstawowa, Budziszów Wielki 10, 59-430 Wądroże Wielkie";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"1423";"1570";"592";"831";"9";"2";"0";"0";"0";"0";"0";"0";"0";"831";"0";"0";"831";"16";"7";"9";"0";"815";"163";"435";"217"
"27fb-d92e-db4b-cecb-0ee3-7068-b9c4-c269";"020506";"2";"2";"wieś";"stały";"Szkoła Podstawowa, Wądroże Wielkie 169, 59-430 Wądroże Wielkie";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"1402";"1576";"544";"858";"0";"6";"0";"0";"0";"0";"0";"0";"0";"858";"0";"0";"858";"22";"6";"16";"0";"836";"149";"431";"256"
"e7f5-c6c7-3136-c85b-f286-6145-f6c3-a0ea";"020506";"2";"3";"wieś";"dom pomocy społecznej";"Dom Pomocy Społecznej w Jaworze-Dom w Mierczycach, Mierczyce 34, 59-430 Wądroże Wielkie";"gm. Wądroże Wielkie";"jaworski";"dolnośląskie";"70";"58";"47";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"23";"4";"1";"3";"0";"19";"8";"7";"4"
"046a-691c-e446-0101-649d-872c-ede7-56e7";"020601";"2";"1";"miasto";"stały";"Niepubliczna Szkoła Podstawowa w Karpaczu, Szkoła 707, ul. Myśliwska 15c, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"700";"979";"109";"591";"0";"197";"0";"0";"0";"0";"0";"0";"0";"591";"0";"0";"591";"6";"3";"3";"0";"585";"142";"125";"318"
"1e3e-faef-dff0-4a66-e7f7-4603-a715-fe01";"020601";"2";"2";"miasto";"stały";"Szkoła Podstawowa w Karpaczu, ul. Konstytucji 3 Maja 48a, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"725";"917";"136";"589";"1";"202";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"10";"5";"5";"0";"579";"140";"116";"323"
"0660-7af0-e2bf-29b0-2c41-4b4c-6b79-49e9";"020601";"2";"3";"miasto";"stały";"Hala Widowiskowo-Sportowa, ul. Konstytucji 3 Maja 48b, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"849";"1143";"17";"832";"0";"419";"0";"0";"0";"0";"0";"0";"0";"832";"0";"0";"832";"11";"3";"8";"0";"821";"166";"220";"435"
"1455-1eef-7543-17a7-d09a-2770-ef17-ac9c";"020601";"2";"4";"miasto";"stały";"OKW ""Krucze Skały"", ul. Wilcza 1, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"920";"1155";"111";"809";"4";"241";"0";"0";"0";"0";"0";"0";"0";"809";"0";"0";"809";"14";"4";"10";"0";"795";"148";"203";"444"
"abd9-ec8b-f276-0bbc-e88e-20d6-2c2a-2bd7";"020601";"2";"5";"miasto";"stały";"Muzeum Zabawek, ul. Kolejowa 3, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"700";"755";"198";"502";"0";"46";"0";"0";"0";"0";"0";"0";"0";"502";"0";"10";"492";"10";"0";"10";"0";"482";"102";"116";"264"
"14ac-51af-1a2c-cf55-af7b-3ec3-290c-faf6";"020601";"2";"6";"miasto";"zakład leczniczy";"Centrum Medyczne Karpacz, ul. Myśliwska 13, 58-540 Karpacz";"m. Karpacz";"jeleniogórski";"dolnośląskie";"130";"99";"49";"81";"0";"13";"0";"0";"0";"0";"0";"0";"0";"81";"0";"0";"81";"3";"0";"3";"0";"78";"26";"30";"22"
"5ea9-12c1-f0c8-e247-9473-e02e-9d31-0ce0";"020602";"2";"1";"miasto";"stały";"Miejska Biblioteka Publiczna Filia Wojków, ul. Górna 2, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"500";"549";"164";"336";"1";"8";"0";"0";"0";"0";"0";"0";"0";"336";"0";"0";"336";"3";"1";"2";"0";"333";"113";"102";"118"
"f798-7225-1fee-0712-a84b-aaa0-97be-e858";"020602";"2";"2";"miasto";"stały";"Miejski Ośrodek Pomocy Społecznej, ul. Zamkowa 5, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"1000";"1074";"470";"530";"2";"2";"1";"1";"0";"0";"0";"0";"1";"531";"1";"0";"531";"18";"4";"14";"0";"513";"136";"184";"193"
"de45-9064-92ee-6370-94ee-af8e-31c9-8b8d";"020602";"2";"3";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. 1 Maja 72, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"1601";"1743";"637";"963";"1";"12";"0";"0";"0";"0";"0";"0";"0";"963";"0";"0";"963";"30";"9";"21";"0";"933";"206";"320";"407"
"4e0e-5681-8d93-e4b3-9dcd-f36d-af7d-c735";"020602";"2";"4";"miasto";"stały";"Szkoła Podstawowa nr 1 Centrum Wczesnej Profilaktyki Zdrowotnej, ul. Stanisława Staszica 18, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"1400";"1518";"585";"815";"3";"11";"0";"0";"0";"0";"0";"0";"0";"815";"0";"0";"815";"21";"12";"9";"0";"794";"173";"289";"332"
"9b11-bc87-5fe3-a8ff-c2e5-7068-b9a6-345a";"020602";"2";"5";"miasto";"stały";"Miejski Ośrodek Kultury, ul. Szkolna 2, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"2099";"2221";"791";"1308";"4";"11";"0";"0";"0";"0";"0";"0";"0";"1308";"0";"0";"1308";"18";"6";"12";"0";"1290";"326";"392";"572"
"02cf-7b58-e717-6df0-d3a6-61a8-7f7b-ec8d";"020602";"2";"6";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Szkolna 1, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"1000";"1096";"500";"499";"1";"0";"0";"0";"0";"0";"0";"0";"0";"499";"0";"0";"499";"9";"3";"6";"0";"490";"123";"187";"180"
"79dd-31af-725e-ecaa-2921-5bd5-4f17-2008";"020602";"2";"7";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Ludwika Waryńskiego 38, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"55";"53";"34";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"0";"0";"21";"0";"0";"0";"0";"21";"5";"8";"8"
"78fb-9f4c-5299-b2c1-f8d6-ec96-ed49-95b9";"020602";"2";"8";"miasto";"zakład leczniczy";"Powiatowe Centrum Zdrowia Spółka z o. o. w Kowarach, Szpital „Bukowiec”, ul. Sanatoryjna 15, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"120";"85";"84";"36";"0";"7";"0";"0";"0";"0";"0";"0";"0";"36";"0";"0";"36";"0";"0";"0";"0";"36";"8";"14";"14"
"adcb-2446-05c5-eeb9-afd2-656e-2e94-8093";"020602";"2";"9";"miasto";"zakład leczniczy";"Wojewódzkie Centrum Szpitalne Kotliny Jeleniogórskiej Jednostka zamiejscowa „Wysoka Łąka”, ul. Sanatoryjna 27, 58-530 Kowary";"m. Kowary";"jeleniogórski";"dolnośląskie";"100";"35";"65";"35";"0";"4";"0";"0";"0";"0";"0";"0";"0";"35";"0";"0";"35";"3";"1";"2";"0";"32";"10";"14";"8"
"93a7-1db8-3e09-5d86-e512-ac22-50a3-eff1";"020603";"2";"1";"miasto";"stały";"Przedszkole Samorządowe nr 1 w Piechowicach, ul. Kryształowa 77, 58-573 Piechowice";"m. Piechowice";"jeleniogórski";"dolnośląskie";"1100";"1267";"407";"693";"3";"43";"0";"0";"0";"0";"0";"0";"0";"693";"0";"0";"693";"15";"6";"9";"0";"678";"152";"217";"309"
"60d7-b08b-838d-6838-2ffd-cc5b-71f3-1203";"020603";"2";"2";"miasto";"stały";"Szkoła Podstawowa nr 1 w Piechowicach, ul. Szkolna 6, 58-573 Piechowice";"m. Piechowice";"jeleniogórski";"dolnośląskie";"1302";"1497";"415";"887";"1";"37";"0";"0";"0";"0";"0";"0";"0";"887";"0";"0";"887";"14";"4";"10";"0";"873";"213";"324";"336"
"acc1-7b51-8117-a714-8325-2b3b-0898-11e6";"020603";"2";"3";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice";"m. Piechowice";"jeleniogórski";"dolnośląskie";"1300";"1416";"381";"919";"3";"4";"0";"0";"0";"0";"0";"0";"0";"919";"0";"0";"919";"20";"10";"10";"0";"899";"187";"307";"405"
"9ae9-fa33-b607-a48e-42b7-ee4f-2f29-091b";"020603";"2";"4";"miasto";"stały";"Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach, ul. Tysiąclecia 28, 58-573 Piechowice";"m. Piechowice";"jeleniogórski";"dolnośląskie";"813";"831";"368";"445";"0";"0";"0";"0";"0";"0";"0";"0";"0";"445";"0";"0";"445";"10";"5";"5";"0";"435";"95";"167";"173"
