"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Jacek PROTAS - nr na liście 1";"Bernadeta Justyna HORDEJUK - nr na liście 2";"Elżbieta Kazimiera GELERT - nr na liście 3";"Piotr CIEŚLIŃSKI - nr na liście 4";"Ewa Barbara DEMBEK - nr na liście 5";"Katarzyna KRÓLAK - nr na liście 6";"Marian JANICKI - nr na liście 7";"Leszek Jan DZIĄG - nr na liście 8";"Elżbieta ZABŁOCKA - nr na liście 9";"Antoni CZYŻYK - nr na liście 10";"Ryszard KOWALSKI - nr na liście 11";"Krystyna JANCZEWSKA - nr na liście 12";"Marek BORKOWSKI - nr na liście 13";"Angelika Jolanta DOMAŃSKA - nr na liście 14";"Łukasz PIŚKIEWICZ - nr na liście 15";"Miron SYCZ - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Andrzej Piotr WYRĘBEK - nr na liście 1";"Kaja Ewelina SZYNKIELEWSKA - nr na liście 2";"Krystian Maciej ŁOŻYŃSKI - nr na liście 3";"Tomasz Jacek KACZKOWSKI - nr na liście 4";"Marek HUL - nr na liście 5";"Agnieszka Maria POŁEĆ - nr na liście 6";"Teresa Genowefa RUKSZTEŁŁO - nr na liście 7";"Marika ZENOWICZ - nr na liście 8";"Genowefa Grażyna SZCZEPAŃSKA - nr na liście 9";"Marek CHRAPAN - nr na liście 10";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Zbigniew ZIEJEWSKI - nr na liście 1";"Piotr ŻUCHOWSKI - nr na liście 2";"Dariusz FREJNIK - nr na liście 3";"Edward Mieczysław PIETRULEWICZ - nr na liście 4";"Paweł SZAKIEWICZ - nr na liście 5";"Małgorzata Dorota SOWICKA - nr na liście 6";"Monika Barbara MARCHALEWSKA - nr na liście 7";"Robert Jan HUSZCZA - nr na liście 8";"Katarzyna GRANACKA - nr na liście 9";"Andrzej Janusz WIŚNIEWSKI - nr na liście 10";"Anetta Krystyna SŁOMCZYŃSKA-KĄDZIOŁKA - nr na liście 11";"Wioletta JASKÓLSKA - nr na liście 12";"Adam Jacek ŻYLIŃSKI - nr na liście 13";"Ewa NISIEWICZ - nr na liście 14";"Krzysztof GROBLEWSKI - nr na liście 15";"Stanisław ŻELICHOWSKI - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Leonard Seweryn KRASULSKI - nr na liście 1";"Jerzy Zbigniew WILK - nr na liście 2";"Zbigniew BABALSKI - nr na liście 3";"Marcin KAZIMIERCZUK - nr na liście 4";"Monika Anna MODZELEWSKA-KOZIOŁ - nr na liście 5";"Damian Jan GODZIŃSKI - nr na liście 6";"Paweł Andrzej KOWSZYŃSKI - nr na liście 7";"Adam OŁDAKOWSKI - nr na liście 8";"Anna WĘGŁOWSKA - nr na liście 9";"Karolina Ewa GOIK - nr na liście 10";"Anna PIĄTEK - nr na liście 11";"Grażyna KAMIŃSKA - nr na liście 12";"Jolanta Wiesława ANDRUSZKIEWICZ - nr na liście 13";"Robert GONTARZ - nr na liście 14";"Grzegorz KIEROZALSKI - nr na liście 15";"Jacek Roman PAWLIK - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Monika Walentyna FALEJ - nr na liście 1";"Andrzej Jan ZIELONKA - nr na liście 2";"Emilia BARTKOWSKA - nr na liście 3";"Ryszard KLIM - nr na liście 4";"Daniel Adrian ZDANOWSKI - nr na liście 5";"Sylwia PIEKART - nr na liście 6";"Janusz PASJAK - nr na liście 7";"Jakub Przemysław GIEREJ - nr na liście 8";"Robert KOLIŃSKI - nr na liście 9";"Milena FALKOWSKA-HOJAN - nr na liście 10";"Piotr PACYNO - nr na liście 11";"Urszula Klara PĄGOWSKA - nr na liście 12";"Wincenty Marian PRZYBOROWSKI - nr na liście 13";"Mirosław Józef SZULC - nr na liście 14";"Paweł WÓJCIK - nr na liście 15";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"Wojciech Adam PENKALSKI - nr na liście 1";"Agnieszka FALKOWSKA - nr na liście 2";"Stanisław Czesław JASINA - nr na liście 3";"Agnieszka Anna KUCIŃSKA - nr na liście 4";"Krzysztof KĘPIŃSKI - nr na liście 5";"Anita KOWALSKA - nr na liście 6";"Tomasz ORŁOWSKI - nr na liście 7";"Monika Marcjanna LEWANDOWSKA - nr na liście 8";"Jarosław DREWA - nr na liście 9";"Jolanta KWAŚNIEWSKA - nr na liście 10";"Piotr Roman BANACH - nr na liście 11";"Ryszard NAŁĘCZ - nr na liście 12";"Anna ŁOŻYŃSKA - nr na liście 13";"Mariusz Wojciech ZAORSKI - nr na liście 14";"Anna SYCZ - nr na liście 15";"Liczba obwodów"
"280206";"gmina wiejska";"gm. Płoskinia";"braniewski";"warmińsko-mazurskie";1837;2011;963;874;1;5;0;0;0;0;0;0;0;874;0;0;874;17;11;6;0;857;185;46;3;15;7;1;2;0;76;0;2;3;1;4;3;0;22;35;26;2;2;0;0;2;1;0;0;2;123;22;8;1;2;55;5;7;2;1;2;6;2;0;5;1;4;391;100;111;22;28;80;2;3;5;8;1;7;4;10;9;1;0;77;31;17;7;0;2;4;0;1;0;3;0;2;4;0;6;46;39;0;2;0;0;0;0;0;0;3;0;2;0;0;0;3
"280207";"gmina wiejska";"gm. Wilczęta";"braniewski";"warmińsko-mazurskie";2115;2309;1068;1047;6;7;0;0;0;0;0;0;0;1047;0;0;1047;30;27;3;0;1017;296;62;5;13;7;3;1;1;8;1;6;1;0;1;1;0;186;40;20;6;1;4;1;6;1;0;1;0;113;33;8;2;3;24;4;3;1;0;0;3;3;0;24;0;5;447;106;95;15;105;50;6;13;10;3;5;10;9;7;2;2;9;100;31;21;11;0;5;1;2;1;3;4;1;2;7;4;7;21;6;1;3;1;1;0;1;0;0;0;1;0;0;0;7;4
"280301";"gmina miejska";"m. Działdowo";"działdowski";"warmińsko-mazurskie";15103;16671;5640;9463;7;31;0;0;0;0;0;0;0;9461;0;0;9461;132;89;43;0;9329;2844;939;175;45;792;27;26;752;6;18;5;8;12;11;12;2;14;495;248;41;56;34;22;32;8;25;17;12;1001;121;87;246;9;10;27;23;4;8;211;4;23;3;9;91;125;3774;539;266;835;80;97;27;187;53;52;19;104;98;25;1314;12;66;998;415;212;136;21;36;14;7;31;11;21;8;11;12;17;46;217;25;40;6;18;7;16;8;17;2;36;8;2;13;5;14;14
"280302";"gmina wiejska";"gm. Działdowo";"działdowski";"warmińsko-mazurskie";6872;7336;3655;3217;1;4;0;0;0;0;0;0;0;3217;0;0;3217;101;79;22;0;3116;429;125;29;6;161;8;6;67;3;5;2;2;2;3;8;1;1;141;70;12;17;11;8;9;3;3;3;5;637;43;22;402;4;8;5;2;1;4;26;0;9;4;3;48;56;1657;263;117;328;53;41;13;43;15;46;6;55;58;12;566;12;29;187;60;37;33;3;11;5;3;6;6;2;3;3;2;6;7;65;11;7;3;2;3;6;4;7;0;9;1;0;3;0;9;12
"280303";"gmina wiejska";"gm. Iłowo-Osada";"działdowski";"warmińsko-mazurskie";5099;5561;2388;2711;2;10;0;0;0;0;0;0;0;2711;0;0;2711;74;51;23;0;2637;490;169;36;11;92;6;13;126;6;5;1;8;2;3;6;1;5;175;91;11;9;20;16;14;1;6;3;4;307;41;31;35;1;9;10;5;4;3;26;5;5;0;8;16;108;1348;211;94;393;28;47;20;16;13;30;16;39;33;12;362;6;28;254;122;48;22;7;9;8;5;3;8;5;3;2;0;5;7;63;15;12;0;5;2;1;3;4;1;12;1;2;2;2;1;5
"280304";"gmina miejsko-wiejska";"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";10393;11249;4771;5622;6;35;0;0;0;0;0;0;0;5622;0;2;5620;143;112;31;0;5477;773;306;62;19;235;26;14;68;4;10;5;7;1;4;6;1;5;299;139;14;57;20;21;18;6;16;4;4;1044;131;34;19;5;14;12;11;7;4;697;2;8;3;2;47;48;2675;409;117;689;62;114;31;31;27;160;19;96;71;28;771;13;37;551;192;46;50;9;25;14;3;165;5;3;7;9;4;3;16;135;24;14;0;10;1;8;5;8;1;12;1;4;42;1;4;10
"280305";"gmina wiejska";"gm. Płośnica";"działdowski";"warmińsko-mazurskie";4165;4530;1968;2197;1;7;0;0;0;0;0;0;0;2197;0;0;2197;62;47;15;0;2135;213;80;18;4;36;5;2;44;5;4;1;1;1;0;5;3;4;91;49;5;16;8;7;1;0;1;3;1;569;44;20;39;3;2;6;1;1;1;9;1;2;2;0;418;20;1124;147;59;159;27;23;14;44;13;26;8;21;149;10;408;5;11;109;46;23;19;2;2;5;0;1;2;1;1;0;1;1;5;29;5;6;0;3;1;2;1;0;1;1;0;0;4;0;5;5
"280306";"gmina wiejska";"gm. Rybno";"działdowski";"warmińsko-mazurskie";5178;5762;2108;3070;4;32;0;0;0;0;0;0;0;3070;0;0;3070;85;57;28;0;2985;391;126;52;11;52;8;10;108;2;6;3;1;1;4;5;1;1;179;80;20;32;9;5;8;1;7;7;10;344;72;51;39;1;3;11;10;0;3;25;4;4;8;5;79;29;1804;125;43;242;21;18;18;7;8;23;5;26;64;9;1180;8;7;208;101;20;28;2;13;9;5;7;3;4;5;3;1;2;5;59;10;7;0;3;4;6;8;6;2;4;2;2;2;1;2;9
"280401";"gmina wiejska";"gm. Elbląg";"elbląski";"warmińsko-mazurskie";5290;5750;2496;2794;3;12;1;1;0;0;1;0;0;2795;0;1;2794;36;22;14;0;2758;779;209;13;309;76;10;12;2;4;2;78;3;5;3;12;15;26;179;95;22;13;9;7;20;1;3;2;7;282;75;16;3;40;47;30;6;6;8;7;9;4;7;10;1;13;1089;276;478;36;37;44;9;80;15;18;7;27;21;20;3;3;15;339;113;120;21;11;8;12;0;5;9;6;2;2;1;7;22;90;25;9;10;3;2;6;2;7;4;7;6;0;1;0;8;5
"280402";"gmina wiejska";"gm. Godkowo";"elbląski";"warmińsko-mazurskie";2298;2484;1289;1009;1;10;0;0;0;0;0;0;0;1009;0;0;1009;27;21;6;0;982;179;57;1;20;15;4;9;3;0;4;1;1;3;2;4;0;55;30;20;2;2;0;1;1;0;0;1;3;101;37;8;6;0;3;2;2;4;6;1;1;5;2;13;2;9;585;124;134;27;155;18;6;19;22;14;5;19;13;22;2;1;4;62;30;18;7;0;1;1;0;0;0;1;0;2;0;2;0;25;2;2;5;2;1;3;1;1;0;1;2;4;0;0;1;3
"280403";"gmina wiejska";"gm. Gronowo Elbląskie";"elbląski";"warmińsko-mazurskie";3559;3890;1746;1813;3;5;0;0;0;0;0;0;0;1813;0;0;1813;47;32;15;0;1766;501;109;9;245;42;5;4;7;1;4;26;3;5;2;7;26;6;93;34;15;7;5;9;9;1;5;2;6;173;64;10;4;9;26;14;7;5;7;1;0;4;2;7;1;12;683;182;272;24;29;33;5;40;12;11;7;22;21;13;3;0;9;242;84;79;17;3;7;6;0;6;4;5;1;1;3;2;24;74;8;8;9;3;1;5;2;4;0;12;1;11;2;0;8;2
"280404";"gmina wiejska";"gm. Markusy";"elbląski";"warmińsko-mazurskie";2865;3145;1506;1358;0;12;0;0;0;0;0;0;0;1359;0;0;1359;43;38;5;0;1316;301;73;4;115;15;4;5;1;0;3;44;0;1;2;2;2;30;75;37;7;6;9;5;2;1;2;2;4;145;40;13;3;8;31;12;4;1;1;3;1;3;4;7;4;10;658;132;306;18;75;19;1;27;8;14;7;27;8;9;0;4;3;105;31;36;5;1;1;3;1;1;1;0;3;7;0;1;14;32;4;1;4;2;2;1;2;1;1;7;0;1;0;1;5;3
"280405";"gmina wiejska";"gm. Milejewo";"elbląski";"warmińsko-mazurskie";2449;2678;1001;1448;3;6;0;0;0;0;0;0;0;1448;0;0;1448;31;23;8;0;1417;344;98;2;141;42;6;7;0;1;8;18;2;1;4;4;8;2;116;65;13;7;4;7;9;0;2;5;4;157;30;10;8;24;29;13;1;2;1;2;1;5;3;18;2;8;595;199;209;23;32;24;18;31;8;8;4;12;9;11;2;0;5;165;40;55;11;5;2;5;0;0;7;3;0;2;0;24;11;40;10;1;1;2;0;3;0;2;0;6;8;2;0;2;3;2
"280406";"gmina miejsko-wiejska";"gm. Młynary";"elbląski";"warmińsko-mazurskie";3297;3555;1551;1746;1;12;0;0;0;0;0;0;0;1746;0;0;1746;41;27;14;0;1705;309;131;5;88;8;5;3;3;10;5;18;3;6;4;2;6;12;86;47;11;3;9;3;2;0;1;3;7;394;35;11;3;5;22;6;1;1;3;1;3;2;0;293;2;6;715;280;187;18;59;28;12;39;6;14;5;23;6;7;5;4;22;157;85;30;5;4;3;4;2;0;4;3;1;2;1;2;11;44;11;5;4;3;0;5;2;2;1;2;1;1;1;2;4;3
"280407";"gmina miejsko-wiejska";"gm. Pasłęk";"elbląski";"warmińsko-mazurskie";13958;15076;6392;7566;5;21;0;0;0;0;0;0;0;7566;0;0;7566;121;84;37;0;7445;2376;1132;26;487;285;12;59;10;17;19;37;2;53;13;24;17;183;403;197;27;19;13;23;55;4;6;10;49;691;212;66;15;27;52;48;39;12;19;12;11;17;25;76;9;51;2860;812;1043;117;96;125;26;134;77;39;21;110;43;105;15;7;90;888;324;216;50;16;18;18;6;10;18;11;2;88;7;12;92;227;38;13;49;15;6;5;11;15;3;30;9;6;3;3;21;15
