Nr komisji;Siedziba;TERYT Gminy;Gmina;Powiat;Województwo;Nr okręgu;Liczba komisji;Liczba uwzględnionych komisji;Komisja otrzymała kart do głosowania;Liczba wyborców uprawnionych do głosowania;Nie wykorzystano kart do głosowania;Liczba wyborców, którym wydano karty do głosowania;Liczba wyborców, którym wysłano pakiety wyborcze;Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie);Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania;Liczba otrzymanych kopert zwrotnych;Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu;Liczba kopert zwrotnych, w których oświadczenie nie było podpisane;Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania;Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania;Liczba kopert na kartę do głosowania wrzuconych do urny;Liczba kart wyjętych z urny;W tym liczba kart wyjętych z kopert na kartę do głosowania;Liczba kart nieważnych;Liczba kart ważnych;Liczba głosów nieważnych;W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona;Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów;KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY;KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE;KOMITET WYBORCZY NOWA LEWICA;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ;KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ;KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI;KOMITET WYBORCZY POLSKA JEST JEDNA;KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU;KOMITET WYBORCZY NORMALNY KRAJ;KOMITET WYBORCZY ANTYPARTIA;KOMITET WYBORCZY RUCH NAPRAWY POLSKI;KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
2;Szkoła Podstawowa w Przedmościu, Przedmoście ul. Szkolna 3, 67-210 Głogów;20302;gm. Głogów;głogowski;dolnośląskie;1;1;1;1185;1262;220;965;0;965;1;8;0;0;0;0;0;0;965;0;0;965;19;11;8;0;946;30;97;76;419;75;236;13;;;;;
3;Zespół Szkolno-Przedszkolny w Serbach, Serby ul. Ogrodowa 18, 67-210 Głogów;20302;gm. Głogów;głogowski;dolnośląskie;1;1;1;1731;1835;333;1398;1;1399;3;19;1;0;0;0;0;1;1399;1;0;1399;19;12;7;0;1380;34;130;108;550;104;450;4;;;;;
4;Szkoła Podstawowa w Wilkowie, Wilków ul. Głogowska 5 a, 67-200 Głogów;20302;gm. Głogów;głogowski;dolnośląskie;1;1;1;869;926;186;683;0;683;1;20;0;0;0;0;0;0;683;0;0;683;11;7;4;0;672;13;62;36;329;37;185;10;;;;;
1;Szkoła Podstawowa, Jaczów ul. Główna 20, 67-210 Głogów;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;1345;1411;195;1150;0;1150;1;7;0;0;0;0;0;0;1150;0;0;1150;17;8;9;0;1133;18;157;96;376;93;376;17;;;;;
2;Szkoła Podstawowa, ul. Głogowska 19, 67-222 Jerzmanowa;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;921;985;135;786;0;786;1;6;0;0;0;0;0;0;786;0;0;786;9;4;5;0;777;17;101;72;250;41;288;8;;;;;
3;Świetlica Wiejska, Kurowice 42A, 67-210 Głogów;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;674;641;131;543;0;543;1;12;0;0;0;0;0;0;543;0;0;543;4;2;2;0;539;6;86;50;170;44;170;13;;;;;
4;Świetlica Wiejska, Bądzów 39A, 67-222 Jerzmanowa;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;291;302;60;231;0;231;0;0;0;0;0;0;0;0;231;0;0;231;12;9;3;0;219;1;36;25;91;25;36;5;;;;;
5;Świetlica Wiejska, Smardzów 54, 67-222 Jerzmanowa;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;220;226;33;187;0;187;0;1;0;0;0;0;0;0;187;0;0;187;3;2;1;0;184;5;26;9;75;16;50;3;;;;;
6;Świetlica Wiejska, Łagoszów Mały 44 A, 67-222 Jerzmanowa;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;251;263;70;181;0;181;2;5;0;0;0;0;0;0;181;0;0;181;13;8;5;0;168;5;34;13;56;9;50;1;;;;;
7;Świetlica Wiejska, Gaiki 30, 67-222 Jerzmanowa;20303;gm. Jerzmanowa;głogowski;dolnośląskie;1;1;1;292;319;75;217;1;218;1;4;1;0;0;0;0;1;218;1;0;218;1;1;0;0;217;5;28;32;89;12;46;5;;;;;
1;Zespół Szkolno-Przedszkolny w Kotli Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 2, 67-240 Kotla;20304;gm. Kotla;głogowski;dolnośląskie;1;1;1;1328;1411;339;987;0;987;3;15;0;0;0;0;0;0;989;0;0;989;32;14;18;0;957;17;37;42;390;53;410;8;;;;;
2;Budynek komunalny, Chociemyśl 24, 67-240 Kotla;20304;gm. Kotla;głogowski;dolnośląskie;1;1;1;380;406;110;270;0;270;0;1;0;0;0;0;0;0;270;0;0;270;9;3;6;0;261;5;6;5;121;15;102;7;;;;;
3;Budynek komunalny, Sobczyce 38, 67-240 Kotla;20304;gm. Kotla;głogowski;dolnośląskie;1;1;1;634;677;109;525;1;526;1;4;1;0;0;1;0;0;525;0;0;525;11;3;8;0;514;13;23;20;225;32;198;3;;;;;
4;Sala wiejska, Głogówko 21 A, 67-240 Kotla;20304;gm. Kotla;głogowski;dolnośląskie;1;1;1;432;458;96;336;0;336;0;6;0;0;0;0;0;0;336;0;0;336;6;5;1;0;330;6;23;19;127;12;139;4;;;;;
5;Sala wiejska, Skidniów 9, 67-240 Kotla;20304;gm. Kotla;głogowski;dolnośląskie;1;1;1;332;359;153;179;0;179;0;1;0;0;0;0;0;0;179;0;0;179;11;10;1;0;168;5;6;5;77;11;64;0;;;;;
1;Gminny Ośrodek Kultury, Białołęka 12, 67-221 Białołęka;20305;gm. Pęcław;głogowski;dolnośląskie;1;1;1;525;566;137;388;1;389;0;6;1;0;0;0;0;1;389;1;0;389;11;6;5;0;378;11;72;21;164;29;77;4;;;;;
2;Świetlica Wiejska, Piersna 26, 67-221 Białołęka;20305;gm. Pęcław;głogowski;dolnośląskie;1;1;1;546;581;136;409;0;409;1;6;0;0;0;0;0;0;410;0;0;410;16;10;6;0;394;13;32;15;247;27;57;3;;;;;
3;Sala Wiejska, Pęcław 1 D, 67-221 Białołęka;20305;gm. Pęcław;głogowski;dolnośląskie;1;1;1;441;463;131;310;0;310;0;1;0;0;0;0;0;0;310;0;0;310;9;8;1;0;301;5;51;11;154;20;58;2;;;;;
1;Szkoła Podstawowa, Nielubia 80, 67-231 Żukowice;20306;gm. Żukowice;głogowski;dolnośląskie;1;1;1;1221;1317;298;923;0;923;1;6;0;0;0;0;0;0;923;0;0;923;24;15;9;0;899;35;85;81;427;70;182;19;;;;;
2;Szkoła Podstawowa, Brzeg Głogowski 27, 67-231 Żukowice;20306;gm. Żukowice;głogowski;dolnośląskie;1;1;1;1168;1237;308;860;0;860;5;5;0;0;0;0;0;0;860;0;0;860;22;15;7;0;838;20;71;77;322;51;289;8;;;;;
1;SPZOZ Ośrodek Rehabilitacji Dzieci Niepełnosprawnych, ul. Osiedle Kazimierza Wielkiego 25, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;1145;1217;316;829;0;829;0;4;0;0;0;0;0;0;829;0;0;829;9;7;2;0;820;42;114;89;290;48;222;15;;;;;
2;Ośrodek Pomocy Społecznej, ul. Poznańska 23, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;1536;1632;388;1148;0;1148;2;9;0;0;0;0;0;0;1148;0;0;1148;16;9;7;0;1132;33;160;139;356;42;398;4;;;;;
3;Szkoła Podstawowa Nr 3, ul. Podwale 20, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;1640;1777;513;1127;1;1128;2;25;1;0;0;0;0;1;1128;1;0;1128;28;12;16;0;1100;58;143;106;421;81;279;12;;;;;
4;Szkoła Podstawowa Nr 1, ul. Szkolna 2, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;902;939;238;664;0;664;0;10;0;0;0;0;0;0;664;0;2;662;7;5;2;0;655;21;74;70;205;35;240;10;;;;;
5;Szkoła Podstawowa Nr 3, ul. Poznańska 2, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;950;992;390;560;0;560;0;19;0;0;0;0;0;0;560;0;0;560;11;7;4;0;549;28;70;83;175;26;158;9;;;;;
6;Zespół Żłobek i Klub Dziecięcy, ul. Piastów 34, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;849;908;232;617;0;617;2;10;0;0;0;0;0;0;617;0;0;617;11;6;5;0;606;23;58;66;234;49;172;4;;;;;
7;Szkoła Podstawowa Nr 1, ul. Marii Konopnickiej 2, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;1755;1828;390;1365;3;1368;1;19;3;0;1;0;0;2;1367;2;0;1367;15;12;3;0;1352;51;193;180;373;85;450;20;;;;;
8;Filia biblioteczna, Czernina ul. Rynek 8, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;949;1027;332;617;0;617;0;11;0;0;0;0;0;0;617;0;0;617;23;13;10;0;594;21;88;44;247;57;130;7;;;;;
9;Świetlica Wiejska, Kłoda Górowska 45, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;600;643;211;389;0;389;1;8;0;0;0;0;0;0;389;0;0;389;7;3;4;0;382;13;57;33;189;22;62;6;;;;;
10;Świetlica Wiejska, Stara Góra 33A, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;1100;1169;302;798;0;798;1;14;0;0;0;0;0;0;798;0;0;798;9;6;3;0;789;35;118;64;300;62;192;18;;;;;
11;Zespół Szkoła Podstawowa i Przedszkole, Witoszyce 10, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;901;982;337;564;0;564;0;0;0;0;0;0;0;0;564;0;0;564;19;13;6;0;545;25;108;35;235;34;103;5;;;;;
12;Przedszkole Publiczne, Glinka 6, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;700;771;262;438;0;438;0;0;0;0;0;0;0;0;438;0;0;438;15;3;12;0;423;30;56;40;169;27;95;6;;;;;
13;Świetlica Wiejska, Ślubów 22A, 56-200 Góra;20401;gm. Góra;górowski;dolnośląskie;3;1;1;300;320;98;202;0;202;0;3;0;0;0;0;0;0;202;0;0;202;6;4;2;0;196;12;40;22;71;17;33;1;;;;;
1;Dom Kultury, Luboszyce 15, 56-209 Jemielno;20402;gm. Jemielno;górowski;dolnośląskie;3;1;1;601;659;184;417;0;417;3;6;0;0;0;0;0;0;417;0;0;417;12;9;3;0;405;12;54;35;180;35;81;8;;;;;
2;Urząd Gminy Jemielno, Jemielno 81, 56-209 Jemielno;20402;gm. Jemielno;górowski;dolnośląskie;3;1;1;701;739;236;465;0;465;0;6;0;0;0;0;0;0;464;0;0;464;17;5;12;0;447;15;47;50;208;41;68;18;;;;;
3;Świetlica Wiejska, Psary 44, 56-209 Jemielno;20402;gm. Jemielno;górowski;dolnośląskie;3;1;1;549;570;190;359;0;359;0;6;0;0;0;0;0;0;359;0;0;359;8;5;3;0;351;9;36;44;191;25;41;5;;;;;
4;Świetlica Wiejska, Kietlów 1, 56-209 Jemielno;20402;gm. Jemielno;górowski;dolnośląskie;3;1;1;200;229;34;166;0;166;1;2;0;0;0;0;0;0;166;0;0;166;9;8;1;0;157;15;4;17;103;3;12;3;;;;;
1;Zespół Szkół w Sicinach, Siciny 78, 56-215 Niechlów;20403;gm. Niechlów;górowski;dolnośląskie;3;1;1;1061;1102;390;659;0;659;0;9;0;0;0;0;0;0;658;0;2;656;29;20;9;0;627;37;71;67;288;48;105;11;;;;;
2;Gminny Ośrodek Kultury, ul. Dworcowa 9, 56-215 Niechlów;20403;gm. Niechlów;górowski;dolnośląskie;3;1;1;850;921;214;636;0;636;0;0;0;0;0;0;0;0;636;0;0;636;27;17;10;0;609;64;58;38;314;48;67;20;;;;;
3;Świetlica wiejska, Lipowiec 16, 56-215 Niechlów;20403;gm. Niechlów;górowski;dolnośląskie;3;1;1;800;835;272;528;0;528;1;9;0;0;0;0;0;0;528;0;0;528;18;11;7;0;510;14;38;34;321;37;61;5;;;;;
4;Świetlica wiejska w Naratowie, Naratów 21, 56-215 Niechlów;20403;gm. Niechlów;górowski;dolnośląskie;3;1;1;649;672;224;425;0;425;0;4;0;0;0;0;0;0;425;0;0;425;7;4;3;0;418;24;38;54;199;33;63;7;;;;;
1;Szkoła Podstawowa, Czarnoborsko 10, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;950;980;306;644;2;646;3;5;2;0;0;0;0;2;646;2;0;646;29;12;17;0;617;18;76;50;300;46;112;15;;;;;
2;Ośrodek Pomocy Społecznej, ul. Krzywa 11, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;1900;2031;516;1384;0;1384;10;4;0;0;0;0;0;0;1379;0;0;1379;51;32;19;0;1328;40;148;161;433;96;434;16;;;;;
3;Zespół Placówek Kultury, ul. Zacisze 10D, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;300;350;87;213;0;213;0;5;0;0;0;0;0;0;213;0;0;213;9;6;3;0;204;6;28;26;69;19;53;3;;;;;
4;Szkoła Podstawowa, Pobiel 75, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;350;390;102;248;0;248;0;6;0;0;0;0;0;0;248;0;0;248;10;6;4;0;238;7;42;15;100;34;37;3;;;;;
5;Świetlica wiejska, Kamień Górowski 8A, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;650;719;215;435;0;435;1;6;0;0;0;0;0;0;435;0;0;435;19;13;6;0;416;21;44;19;206;29;92;5;;;;;
6;Świetlica Wiejska, Cieszkowice 41, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;200;232;41;159;0;159;0;1;0;0;0;0;0;0;159;0;0;159;3;2;1;0;156;9;20;19;57;8;40;3;;;;;
7;Świetlica Wiejska, Czeladź Wielka 48, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;300;351;60;240;0;240;1;3;0;0;0;0;0;0;240;0;0;240;5;3;2;0;235;8;18;7;124;25;49;4;;;;;
8;Świetlica Wiejska, Lubiel 37, 56-210 Wąsosz;20404;gm. Wąsosz;górowski;dolnośląskie;3;1;1;350;352;108;242;0;242;1;2;0;0;0;0;0;0;242;0;0;242;11;11;0;0;231;15;30;16;120;11;39;0;;;;;
1;Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1397;1488;421;976;0;976;3;18;0;0;0;0;0;0;976;0;0;976;12;7;5;0;964;22;85;114;395;62;278;8;;;;;
2;Europejskie Centrum Młodzieży Euroregionu NYSA, ul. Parkowa 5, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1907;2105;281;1626;1;1627;4;51;1;0;0;0;0;1;1627;1;1;1626;9;7;2;0;1617;47;188;221;475;95;576;15;;;;;
3;Powiatowe Centrum Kształcenia Zawodowego i Ustawicznego, ul. Wrocławska 30a, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;927;1003;185;742;1;743;3;12;1;0;0;0;0;1;743;1;0;743;7;5;2;0;736;18;76;68;288;31;250;5;;;;;
4;Szkoła Podstawowa Nr 2, pl. Bankowy 1, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1259;1340;355;904;0;904;0;19;0;0;0;0;0;0;903;0;0;903;18;5;13;0;885;25;69;117;350;39;278;7;;;;;
5;Dolnośląski Zespół Szkół w Jaworze, ul. kard. Stefana Wyszyńskiego 1, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1038;1115;333;705;1;706;1;13;1;0;0;0;0;1;706;1;0;706;24;15;9;0;682;25;45;85;243;47;229;8;;;;;
6;Miejska Biblioteka Publiczna, pl. Seniora 4, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1455;1402;641;814;1;815;2;29;1;0;0;0;0;1;815;1;0;815;10;7;3;0;805;20;64;98;306;40;260;17;;;;;
7;Filia Nr 1 Miejskiej Biblioteki Publicznej, ul. Stanisława Moniuszki 10, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1194;1178;321;873;1;874;0;13;1;0;0;0;0;1;874;1;2;872;10;7;3;0;862;21;85;103;352;40;250;11;;;;;
8;Szkoła Podstawowa Nr 1, ul. Stanisława Moniuszki 4, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1164;1263;260;904;1;905;1;11;1;0;0;0;0;1;905;1;0;905;22;10;12;0;883;20;75;94;369;45;267;13;;;;;
9;Specjalny Ośrodek Szkolno-Wychowawczy, ul. Ignacego Paderewskiego 6, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1472;1568;343;1129;0;1129;2;10;0;0;0;0;0;0;1129;0;0;1129;20;9;11;0;1109;17;120;119;393;71;381;8;;;;;
10;Hufiec ZHP w Jaworze, ul. Jurija Gagarina 9A, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1274;1363;234;1040;0;1040;2;17;0;0;0;0;0;0;1040;0;1;1039;13;6;7;0;1026;29;100;108;449;46;288;6;;;;;
11;Oddział zamiejscowy Przedszkola Publicznego nr 4, ul. Romana Dmowskiego 5, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1335;1442;246;1089;0;1089;2;13;0;0;0;0;0;0;1089;0;0;1089;9;5;4;0;1080;25;94;100;454;48;349;10;;;;;
12;Szkoła Podstawowa nr 4, ul. Starojaworska 82, 59-400 Jawor;20501;m. Jawor;jaworski;dolnośląskie;1;1;1;1047;1159;278;769;0;769;0;9;0;0;0;0;0;0;769;0;0;769;12;8;4;0;757;16;56;78;337;49;217;4;;;;;
1;Centrum Kulturalno-Biblioteczne Gminy Bolków, ul. Szpitalna 16, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;1029;1113;317;712;0;712;7;8;0;0;0;0;0;0;712;0;0;712;18;13;5;0;694;25;82;79;252;24;229;3;;;;;
2;Galeria Historyczno-Artystyczna ARS ET HISTORIA w Bolkowie, ul. Niepodległości 10, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;963;1000;268;695;0;695;1;15;0;0;0;0;0;0;695;0;1;694;12;7;5;0;682;15;68;61;231;50;246;11;;;;;
3;Zakład Gospodarki Komunalnej w Bolkowie, ul. Kolejowa 5, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;1051;1152;272;778;2;780;3;8;2;0;0;0;0;2;780;2;0;780;15;10;5;0;765;18;69;73;292;49;252;12;;;;;
4;Przedszkole Samorządowe, ul. Henryka Sienkiewicza 39, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;577;618;208;369;0;369;1;4;0;0;0;0;0;0;369;0;3;366;17;13;4;0;349;11;35;52;115;27;105;4;;;;;
5;Świetlica Wiejska, Mysłów 44, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;410;442;121;289;0;289;0;2;0;0;0;0;0;0;289;0;0;289;16;9;7;0;273;14;32;21;124;12;68;2;;;;;
6;Świetlica Wiejska, Kaczorów ul. Nowa Wieś 1B, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;514;543;141;373;0;373;0;5;0;0;0;0;0;0;373;0;0;373;16;11;5;0;357;12;41;28;121;40;109;6;;;;;
7;Świetlica Wiejska, Lipa 67, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;632;665;246;386;0;386;0;0;0;0;0;0;0;0;386;0;0;386;15;10;5;0;371;9;31;41;199;18;72;1;;;;;
8;Szkoła Podstawowa, Sady Górne 94, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;318;343;93;225;0;225;1;3;0;0;0;0;0;0;225;0;0;225;6;4;2;0;219;2;18;29;83;20;63;4;;;;;
9;Świetlica Wiejska, Wierzchosławice 106, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;662;701;235;427;0;427;0;7;0;0;0;0;0;0;427;0;0;427;15;7;8;0;412;7;39;49;173;23;118;3;;;;;
10;Świetlica Wiejska, Stare Rochowice 53, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;300;321;111;189;0;189;0;1;0;0;0;0;0;0;189;0;0;189;6;5;1;0;183;4;15;9;94;17;43;1;;;;;
11;Świetlica Wiejska, Wolbromek 43B, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;359;378;117;241;0;241;0;0;0;0;0;0;0;0;242;0;0;242;13;8;5;0;229;10;51;28;87;8;45;0;;;;;
12;Świetlica Wiejska, Sady Dolne 37A, 59-420 Bolków;20502;gm. Bolków;jaworski;dolnośląskie;1;1;1;269;294;65;204;0;204;3;2;0;0;0;0;0;0;204;0;0;204;6;4;2;0;198;5;37;11;63;11;71;0;;;;;
1;Zespół Szkolno-Przedszkolny w Męcince, Męcinka 10B, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;631;692;110;522;0;522;2;22;0;0;0;0;0;0;522;0;1;521;12;10;2;0;509;15;56;29;222;36;140;11;;;;;
2;Świetlica Wiejska, Małuszów 17, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;259;277;57;202;0;202;1;2;0;0;0;0;0;0;202;0;0;202;5;1;4;0;197;3;18;9;118;9;38;2;;;;;
3;Była Szkoła Filialna, Pomocne 51, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;543;567;191;352;0;352;2;4;0;0;0;0;0;0;352;0;0;352;11;8;3;0;341;9;40;29;152;31;70;10;;;;;
4;Zespół Szkolno-Przedszkolny w Piotrowicach, Piotrowice 139, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;843;914;191;652;1;653;0;15;1;0;0;0;0;1;653;1;0;653;4;2;2;0;649;12;60;64;309;43;160;1;;;;;
5;Świetlica Wiejska, Chroślice 9B, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;180;183;31;149;0;149;0;2;0;0;0;0;0;0;149;0;0;149;3;0;3;0;146;6;16;12;78;9;22;3;;;;;
6;Świetlica Wiejska, Sichów 9, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;288;316;65;223;0;223;0;1;0;0;0;0;0;0;223;0;0;223;6;3;3;0;217;3;25;15;112;14;48;0;;;;;
7;Świetlica Wiejska, Słup 31, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;190;206;38;152;0;152;0;2;0;0;0;0;0;0;152;0;0;152;5;2;3;0;147;0;16;16;76;6;29;4;;;;;
8;Świetlica Wiejska, Przybyłowice 19, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;158;170;20;138;0;138;0;1;0;0;0;0;0;0;138;0;0;138;5;3;2;0;133;3;22;8;65;12;23;0;;;;;
9;Świetlica Wiejska, Myślinów 38C, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;279;306;71;208;0;208;0;6;0;0;0;0;0;0;208;0;0;208;2;2;0;0;206;6;10;28;98;18;45;1;;;;;
10;Świetlica Wiejska, Chełmiec 31A, 59-424 Męcinka;20503;gm. Męcinka;jaworski;dolnośląskie;1;1;1;289;305;77;212;0;212;0;0;0;0;0;0;0;0;212;0;0;212;2;1;1;0;210;6;14;8;121;11;49;1;;;;;
1;Zespół Szkolno-Przedszkolny w Targoszynie, Targoszyn 51, 59-407 Mściwojów;20504;gm. Mściwojów;jaworski;dolnośląskie;1;1;1;841;894;220;621;0;621;4;6;0;0;0;0;0;0;621;0;0;621;20;13;7;0;601;24;69;48;270;30;149;11;;;;;
2;Szkoła Podstawowa w Snowidzy, Snowidza 91A, 59-407 Mściwojów;20504;gm. Mściwojów;jaworski;dolnośląskie;1;1;1;985;1046;300;685;0;685;1;3;0;0;0;0;0;0;685;0;0;685;12;9;3;0;673;14;89;49;241;46;222;12;;;;;
3;Świetlica wiejska w Mściwojowie, Mściwojów 54B, 59-407 Mściwojów;20504;gm. Mściwojów;jaworski;dolnośląskie;1;1;1;983;1054;265;718;0;718;3;4;0;0;0;0;0;0;718;0;0;718;16;12;4;0;702;23;100;59;274;49;192;5;;;;;
1;Świetlica Wiejska w Paszowicach, Paszowice 136, 59-411 Paszowice;20505;gm. Paszowice;jaworski;dolnośląskie;1;1;1;1471;1591;351;1118;0;1118;8;7;0;0;0;0;0;0;1119;0;1;1118;17;7;10;0;1101;19;135;100;476;74;276;21;;;;;
2;Świetlica Wiejska w Wiadrowie, Wiadrów 39A, 59-411 Paszowice;20505;gm. Paszowice;jaworski;dolnośląskie;1;1;1;1113;1185;337;776;0;776;0;5;0;0;0;0;0;0;776;0;0;776;21;15;6;0;755;25;96;65;325;67;172;5;;;;;
3;Świetlica Wiejska w Zębowicach, Zębowice 43, 59-411 Paszowice;20505;gm. Paszowice;jaworski;dolnośląskie;1;1;1;359;378;72;287;1;288;0;1;1;0;0;0;0;1;288;1;0;288;4;3;1;0;284;10;45;29;102;24;72;2;;;;;
1;Szkoła Podstawowa, Budziszów Wielki 10, 59-430 Wądroże Wielkie;20506;gm. Wądroże Wielkie;jaworski;dolnośląskie;1;1;1;1400;1534;354;1046;0;1046;9;29;0;0;0;0;0;0;1046;0;0;1046;31;20;11;0;1015;20;234;79;403;72;199;8;;;;;
2;Szkoła Podstawowa, Wądroże Wielkie 169, 59-430 Wądroże Wielkie;20506;gm. Wądroże Wielkie;jaworski;dolnośląskie;1;1;1;1399;1478;384;1015;0;1015;4;14;0;0;0;0;0;0;1014;0;0;1014;9;4;5;0;1005;22;170;66;381;64;285;17;;;;;
1;Niepubliczna Szkoła Podstawowa w Karpaczu, Szkoła 707, ul. Myśliwska 15c, 58-540 Karpacz;20601;m. Karpacz;karkonoski;dolnośląskie;1;1;1;929;1031;146;783;0;783;0;187;0;0;0;0;0;0;783;0;0;783;11;6;5;0;772;25;98;77;156;39;371;6;;;;;
2;Szkoła Podstawowa w Karpaczu, ul. Konstytucji 3 Maja 48a, 58-540 Karpacz;20601;m. Karpacz;karkonoski;dolnośląskie;1;1;1;910;887;257;652;1;653;0;173;1;0;0;0;0;1;652;1;0;652;7;3;4;0;645;14;71;79;122;26;328;5;;;;;
