"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEŃKOWSKI Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"JACKOWSKI Jan Maria - KWW JANA MARII JACKOWSKIEGO";"JANOWSKI Gabriel - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
4;"Świetlica Wiejska w Wyszynach Kościelnych, Wyszyny Kościelne ul. Główna 1, 06-561 Stupsk";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;133;104;31
5;"Świetlica Wiejska w Zdrojach, Zdroje 84, 06-561 Stupsk";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;90;34;18
6;"Krajowy Ośrodek Mieszkalno-Rehabilitacyjny dla osób Chorych na Stwardnienie Rozsiane, Dąbek 129, 06-561 Stupsk";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;29;12;6
7;"Villa Trojany Całodobowy Dom Opieki, Żmijewo-Trojany 17, 06-560 Konopki";141306;"gm. Stupsk";"mławski";"mazowieckie";1;1;7;9;4
1;"Zespół Placówek Oświatowych w Szreńsku, ul. Budzyn 12, 06-550 Szreńsk";141307;"gm. Szreńsk";"mławski";"mazowieckie";1;1;663;402;112
2;"Świetlica Wiejska w Miączynie Dużym, Miączyn Duży 12, 06-550 Szreńsk";141307;"gm. Szreńsk";"mławski";"mazowieckie";1;1;217;99;31
3;"Szkoła Podstawowa w Proszkowie, Proszkowo 3, 06-550 Szreńsk";141307;"gm. Szreńsk";"mławski";"mazowieckie";1;1;224;108;57
1;"Gminna Hala Sportowa w Szydłowie, ul. Szkolna 2A, 06-516 Szydłowo";141308;"gm. Szydłowo";"mławski";"mazowieckie";1;1;353;344;103
2;"Szkoła Podstawowa w Nosarzewie Borowym im. Wojciecha Piechowskiego, Nosarzewo Borowe 34, 06-516 Szydłowo";141308;"gm. Szydłowo";"mławski";"mazowieckie";1;1;408;246;103
3;"Szkoła Podstawowa w Dębsku, Dębsk 104, 06-516 Szydłowo";141308;"gm. Szydłowo";"mławski";"mazowieckie";1;1;265;188;55
4;"Świetlica Wiejska w Szydłówku, Szydłówek 39, 06-516 Szydłowo";141308;"gm. Szydłowo";"mławski";"mazowieckie";1;1;100;64;27
1;"Szkoła Podstawowa w Wieczfni Kościelnej, Wieczfnia Kościelna 56C, 06-513 Wieczfnia Kościelna";141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";1;1;307;247;87
2;"Świetlica Wiejska w Grzebsku, Grzebsk 21 A, 06-513 Wieczfnia Kościelna";141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";1;1;179;79;40
3;"Szkoła Podstawowa w Uniszkach Zawadzkich, Uniszki Zawadzkie 24, 06-513 Wieczfnia Kościelna";141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";1;1;230;158;38
4;"Szkoła Podstawowa w Windykach, Windyki 20, 06-513 Wieczfnia Kościelna";141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";1;1;180;104;28
5;"Świetlica Wiejska w Kuklinie, Kuklin 87, 06-513 Wieczfnia Kościelna";141309;"gm. Wieczfnia Kościelna";"mławski";"mazowieckie";1;1;115;52;22
1;"Szkoła Podstawowa w Wiśniewie, Wiśniewo 78, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;93;148;50
2;"Szkoła Podstawowa w Starych Kosinach, Stare Kosiny 1, 06-521 Wiśniewo";141310;"gm. Wiśniewo";"mławski";"mazowieckie";1;1;219;158;55
