"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRASKA Waldemar Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIĘCKOWSKI Paweł Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BORKOWSKI Krzysztof Wawrzyniec - KWW KW BORKOWSKIEGO PAKT SENACKI";"WYRZYKOWSKI Paweł Stanisław - KW ZJEDNOCZENI"
3;"Zespół Oświatowy w Mokobodach, ul. Wiatraczna 14, 08-124 Mokobody";142604;"gm. Mokobody";"siedlecki";"mazowieckie";1;1;678;110;137;45
4;"Świetlica Ziomaki, Ziomaki 85, 08-124 Mokobody";142604;"gm. Mokobody";"siedlecki";"mazowieckie";1;1;215;26;34;11
1;"Szkoła Podstawowa w Mordach, ul. Kilińskiego 13, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;438;100;315;71
2;"Świetlica Wiejska w Czepielinie, Czepielin 10A, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;279;37;103;16
3;"Miejsko-Gminny Ośrodek Kultury w Mordach, ul. Parkowa 9, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;217;44;123;27
4;"Świetlica Wiejska w Krzymoszach, Krzymosze 40E, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;297;45;91;22
5;"Szkoła Podstawowa w Radzikowie Wielkim, Radzików Wielki ul. Szkolna 5, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;249;53;77;33
6;"Świetlica Wiejska w Wojnowie, Wojnów 7, 08-140 Mordy";142605;"gm. Mordy";"siedlecki";"mazowieckie";1;1;248;34;105;27
1;"Szkoła Podstawowa w Paprotni, ul. Jana Pawła II 5, 08-107 Paprotnia";142606;"gm. Paprotnia";"siedlecki";"mazowieckie";1;1;541;89;180;25
2;"Zespół Szkolno-Przedszkolny w Hołubli, Hołubla ul. Unitów Podlaskich 35, 08-107 Paprotnia";142606;"gm. Paprotnia";"siedlecki";"mazowieckie";1;1;346;37;191;41
1;"Budynek Wiejski Dąbrowa, Dąbrowa 103, 08-109 Przesmyki";142607;"gm. Przesmyki";"siedlecki";"mazowieckie";1;1;163;26;45;19
2;"Świetlica Wiejska Kamianki Lackie, Kamianki Lackie 67, 08-109 Przesmyki";142607;"gm. Przesmyki";"siedlecki";"mazowieckie";1;1;117;24;55;12
3;"Świetlica Wiejska Łysów, Łysów 27, 08-109 Przesmyki";142607;"gm. Przesmyki";"siedlecki";"mazowieckie";1;1;149;53;78;15
4;"Gminny Ośrodek Kultury Przesmyki, ul. 1 Maja 1, 08-109 Przesmyki";142607;"gm. Przesmyki";"siedlecki";"mazowieckie";1;1;409;59;128;19
5;"Świetlica Wiejska Kukawki, Kukawki 24, 08-109 Przesmyki";142607;"gm. Przesmyki";"siedlecki";"mazowieckie";1;1;174;26;33;25
1;"Szkoła Podstawowa w Pruszynie, Pruszyn ul. Dolina Liwca 46, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;329;106;355;58
2;"Zespół Oświatowy w Stoku Lackim, Stok Lacki ul. Siedlecka 135, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;786;230;560;143
3;"Zespół Oświatowo-Wychowawczy w Białkach, Białki ul. Diamentowa 1, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;519;147;327;65
4;"Zespół Oświatowy w Żelkowie-Kolonii, Żelków-Kolonia ul. Siedlecka 202, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;512;182;283;70
5;"Zespół Oświatowy w Nowych Iganiach, Nowe Iganie ul. Siedlecka 113, 08-103 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;486;163;378;91
6;"Filia Biblioteczna w Nowym Opolu, Nowe Opole ul. Spacerowa 1, 08-103 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;321;101;207;62
7;"Zespół Oświatowo-Wychowawczy w Strzale, Chodów ul. Sokołowska 1, 08-119 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;766;218;480;110
8;"Świetlica w Żaboklikach, Żabokliki ul. Korczewska 46, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;325;114;230;49
9;"Świetlica wiejska w Golicach, Golice ul. Siedlecka 135, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;256;79;149;28
10;"Świetlica wiejska w Starym Opolu, Stare Opole ul. Wiśniowa 7, 08-103 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;252;76;177;37
11;"Świetlica wiejska w Ujrzanowie, Ujrzanów 120, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;177;69;126;40
12;"Świetlica wiejska w Wołyńcach, Wołyńce ul. Bursztynowa 27, 08-110 Siedlce";142608;"gm. Siedlce";"siedlecki";"mazowieckie";1;1;322;64;129;34
1;"Zespół Szkolno-Przedszkolny w Skórcu, ul. Siedlecka 9, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;382;95;149;34
2;"Szkoła Podstawowa w Grali-Dąbrowiźnie, Grala-Dąbrowizna 65, 08-114 Skórzec";142609;"gm. Skórzec";"siedlecki";"mazowieckie";1;1;151;21;24;10
