"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻYWNO Maciej Zenon - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GROMKO Mariusz Krzysztof - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASPERCZUK Zbigniew Cezary - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Szkoła Podstawowa im. Henryka Sienkiewicza w Choroszczy, ul. Powstania Styczniowego 26A, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;740;667;260
2;"Świetlica Miejko-Gminnego Centrum Kultury i Sportu w Choroszczy, ul. Henryka Sienkiewicza 29, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;293;342;82
3;"Remiza OSP w Złotorii, Złotoria 50, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;114;352;52
4;"Świetlica wiejska w Rogowie, Rogowo 55A, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;113;155;35
5;"Świetlica wiejska w Izbiszczach, Izbiszcze 53, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;128;215;37
6;"Świetlica wiejska w Barszczewie, Barszczewo 42, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;393;312;129
7;"Remiza OSP w Klepaczach, Klepacze ul. Niewodnicka 19, 15-635 Białystok";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;684;484;165
8;"Świetlica wiejska w Łyskach, Łyski ul. Białostocka 89, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;775;399;277
9;"Remiza OSP w Choroszczy, ul. Dominikańska 22, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;383;310;113
10;"Świetlica wiejska w Żółtkach, Żółtki 22, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;188;201;69
11;"Świetlica wiejska w Pańkach, Pańki 74, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;64;109;21
12;"Świetlica wiejska w Oliszkach, Oliszki ul. Zielona 38, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;466;278;92
13;"Dom Pomocy Społecznej w Choroszczy, ul. Aleja Niepodległości 4, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;11;45;8
14;"Samodzielny Publiczny Psychiatryczny Zakład Opieki Zdrowotnej w Choroszczy, pl. Plac im. dr Zygmunta Brodowicza 1, 16-070 Choroszcz";200201;"gm. Choroszcz";"białostocki";"podlaskie";1;1;67;193;49
1;"Szkoła Podstawowa Nr 1, ul. Bolesława Prusa 1, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;499;471;158
2;"Zespół Szkół, ul. Henryka Sienkiewicza 7, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;457;490;121
3;"Szkoła Podstawowa Nr 2, ul. Traugutta 28, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;433;391;101
4;"Dom Kultury, ul. Kościelna 8, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;359;381;154
5;"Wiejski Dom Kultury, Czarna Wieś Kościelna ul. Wesoła 26, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;353;324;126
6;"Centrum Rękodzieła Ludowego, Niemczyn 42, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;80;127;38
7;"Budynek Przychodni, ul. Torowa 1, 16-020 Czarna Białostocka";200202;"gm. Czarna Białostocka";"białostocki";"podlaskie";1;1;200;248;91
1;"Wiejski Dom Kultury w Nowym Aleksandrowie, Nowe Aleksandrowo ul. Pogodna 109, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;511;469;153
2;"Gminne Centrum Kultury, ul. Lipowa 71, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;497;407;137
3;"Wiejski Dom Kultury w Kozińcach, Kozińce 9, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;156;178;66
4;"Wiejski Dom Kultury w Pogorzałkach, Pogorzałki 153, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;150;148;44
5;"Zespół Szkolno-Przedszkolny, Fasty ul. Białostocka 5, 15-694 Białystok";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;558;336;171
6;"Świetlica w Letnikach, Letniki 71, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;218;260;73
7;"Szkoła Podstawowa w Obrubnikach, Obrubniki 33, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;122;189;39
8;"Świetlica w Chrabołach, Chraboły 41, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;115;216;59
9;"Świetlica w Gniłej, Gniła 13, 16-002 Dobrzyniewo Duże";200203;"gm. Dobrzyniewo Duże";"białostocki";"podlaskie";1;1;109;168;52
1;"Gminne Centrum Kultury w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 4, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;361;78;45
2;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;315;129;52
3;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;312;107;37
4;"Świetlica w Słuczance, Słuczanka 22, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;110;41;23
5;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;44;25;15
6;"Świetlica w Podozieranach, Podozierany 37, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;45;44;4
7;"Szkoła Podstawowa w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 18, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;39;50;7
8;"Gminne Centrum Kultury w Gródku, ul. Aleksandra i Grzegorza Chodkiewiczów 4, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;218;72;40
9;"Szkoła Podstawowa w Załukach, Załuki 5, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;131;63;20
10;"Szkoła Podstawowa w Załukach, Załuki 5, 16-040 Gródek";200204;"gm. Gródek";"białostocki";"podlaskie";1;1;152;61;28
1;"Świetlica Wiejska w Tryczówce, Tryczówka 39A, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;228;294;77
2;"Ośrodek Kultury w Juchnowcu Kościelnym, pl. Królowej Rodzin 1, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;225;333;100
3;"Zespół Szkół im. Ks. Jerzego Popiełuszki w Juchnowcu Górnym, Juchnowiec Górny ul. Szkolna 5, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;210;416;113
4;"Świetlica Wiejska w Lewickich, Lewickie 74, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;198;168;55
5;"Świetlica wiejska w Ignatkach, ul. Wspólna 11, 16-001 Ignatki";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;310;295;128
6;"Zespół Szkół w Księżynie, Księżyno ul. Szkolna 7, 16-001 Kleosin";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;437;391;164
7;"Remiza OSP w Hermanówce, Hermanówka 1A, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;415;223;96
8;"Świetlica Wiejska w Olmontach, Olmonty 93, 15-603 Białystok";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;492;207;98
9;"Świetlica w Hryniewiczach, Hryniewicze 30A, 15-378 Białystok";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;330;163;83
10;"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;529;483;166
11;"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;308;239;88
12;"Szkoła Podstawowa im. Jana Pawła II w Kleosinie, ul. Zambrowska 20, 16-001 Kleosin";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;350;343;149
13;"Świetlica w Brończanach, Brończany 25C, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;65;119;32
14;"Świetlica w Ignatkach-Osiedle, ul. Jeździecka 14, 16-001 Ignatki-Osiedle";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;493;217;112
15;"Dom Pomocy Społecznej w Czerewkach, Czerewki 1, 16-061 Juchnowiec Kościelny";200205;"gm. Juchnowiec Kościelny";"białostocki";"podlaskie";1;1;9;19;4
1;"Szkoła Podstawowa w Łupiance Starej, Łupianka Stara 1, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;41;165;31
2;"Szkoła Podstawowa w Płonce Kościelnej, Płonka Kościelna 47, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;90;377;70
3;"Szkoła Podstawowa w Łapach (Osse), ul. Letnia 1, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;293;581;134
4;"Budynek po Szkole Podstawowej w Daniłowie Dużym, Daniłowo Duże 53, 18-112 Poświętne";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;55;149;34
5;"Wiejski Dom Kultury w Uhowie, Uhowo ul. Kościelna 42, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;277;404;78
6;"Przedszkole Nr 2 w Łapach, ul. Cmentarna 23, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;297;540;101
7;"Przedszkole Nr 2 w Łapach, ul. Cmentarna 23, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;351;689;107
8;"Szkoła Podstawowa Nr 2 w Łapach im. M. Kopernika, ul. Piękna 17, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;225;386;78
9;"Szkoła Podstawowa Nr 1 w Łapach im. Papieża Jana Pawła II, ul. Jana Matejki 19, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;298;472;106
10;"Szkoła Podstawowa Nr 1 w Łapach im. Papieża Jana Pawła II, ul. Polna 9, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;364;645;113
11;"Centrum Usług Społecznych w Łapach, Łapy ul. Główna 50, 18-100 Łapy (wejście od ul. Nowej)";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;234;440;94
12;"I Liceum Ogólnokształcące w Łapach, ul. Bohaterów Westerplatte 10, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;209;362;65
13;"Przedszkole Nr 1 w Łapach, ul. Polna 27, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;212;286;70
14;"Ośrodek Przedsiębiorczości w Łapach, ul. gen. Władysława Sikorskiego 22a, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;241;409;72
15;"Wiejski Dom Kultury w Bokinach, Bokiny 73, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;29;150;17
16;"Świetlica Wiejska w Gąsówce-Skwarkach, Gąsówka-Skwarki 8, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;12;108;29
17;"Wiejski Dom Kultury w Łapach-Szołajdach, Łapy-Szołajdy 1, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;93;371;56
18;"Dom Pomocy Społecznej w Uhowie, Uhowo ul. Surażska 67, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;10;43;4
19;"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Janusza Korczaka 23, 18-100 Łapy";200206;"gm. Łapy";"białostocki";"podlaskie";1;1;4;12;4
1;"Gminny Ośrodek Kultury w Michałowie, ul. Białostocka 19, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;350;222;91
2;"Szkoła Podstawowa w Michałowie, ul. Sienkiewicza 21, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;396;251;66
3;"Urząd Miejski w Michałowie, ul. Białostocka 11, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;243;129;53
4;"Dom Ludowy w Sokolu, Sokole 59, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;106;42;21
5;"Świetlica w Topolanach, Topolany 29, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;41;48;8
6;"Remiza OSP w Nowej Woli, Nowa Wola 80, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;109;71;30
7;"Ośrodek Zdrowia w Juszkowym Grodzie, Juszkowy Gród 20, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;84;81;16
8;"Świetlica na Osiedlu Bondary, Osiedle Bondary Blok nr 5, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;102;57;37
9;"Ośrodek Zdrowia w Szymkach, Szymki 104, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;110;107;26
10;"Remiza OSP w Jałówce, Jałówka ul. Dworna 20, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;31;56;13
11;"Dom Pomocy Społecznej ”Spokojna Przystań” w Garbarach, Garbary 1, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;25;40;20
12;"Dom Pomocy Społecznej „Jawor” w Jałówce, Jałówka ul. Leśna 11, 16-050 Michałowo";200207;"gm. Michałowo";"białostocki";"podlaskie";1;1;3;17;1
1;"Wiejski Dom Kultury w Poświętnem, Poświętne 21A, 18-112 Poświętne";200208;"gm. Poświętne";"białostocki";"podlaskie";1;1;130;490;88
2;"Świetlica Wiejska w Brzozowie Starym, Brzozowo Stare 35, 18-112 Poświętne";200208;"gm. Poświętne";"białostocki";"podlaskie";1;1;94;424;53
3;"Remiza OSP w Pietkowie, Pietkowo 49, 18-112 Poświętne";200208;"gm. Poświętne";"białostocki";"podlaskie";1;1;83;315;43
1;"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;520;367;129
2;"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;540;300;117
3;"Zespół Szkolno-Przedszkolny w Ogrodniczkach, Ogrodniczki ul. Zagórna 7, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;364;79;61
4;"Świetlica Strażnicy OSP, Sokołda 16, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;58;48;17
5;"Szkoła Podstawowa w Sobolewie, Sobolewo ul. Podlaska 8, 15-509 Białystok";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;651;298;149
6;"Żłobek Samorządowy w Sobolewie, Sobolewo 94a, 15-521 Białystok";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;1109;441;243
7;"Przedszkole Samorządowe w Grabówce, Grabówka ul. Leszczynowa 14, 15-523 Białystok";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;953;322;186
8;"Przedszkole Samorządowe w Grabówce, Grabówka ul. Leszczynowa 14/1, 15-523 Białystok";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;710;253;137
9;"Sportowa Szkoła Podstawowa w Supraślu, ul. Józefa Piłsudskiego 1, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;339;241;83
10;"Gminna Pracownia Edukacji Kulturalnej w Ciasnem, Ciasne ul. Zielona 3, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;183;89;48
11;"Gminna Pracownia Edukacji Kulturalnej w Karakulach, Karakule 74, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;263;148;79
12;"Gminna Pracownia Edukacji Kulturalnej w Sowlanach, ul. św. Krzyża 13, 15-528 Sowlany";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;185;137;73
13;"Gminna Pracownia Edukacji Kulturalnej w Henrykowie, Henrykowo 10 B, 15-511 Henrykowo";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;121;79;50
14;"Szpital Uzdrowiskowy w Supraślu, ul. Uroczysko Pustelnia 1, 16-030 Supraśl";200209;"gm. Supraśl";"białostocki";"podlaskie";1;1;67;51;4
1;"Miejsko-Gminny Ośrodek Kultury w Surażu, ul. Bielska 4, 18-105 Suraż";200210;"gm. Suraż";"białostocki";"podlaskie";1;1;195;385;73
2;"Świetlica Wiejska, Zawyki 79, 18-105 Suraż";200210;"gm. Suraż";"białostocki";"podlaskie";1;1;52;130;21
3;"Świetlica Wiejska, Rynki 3, 18-105 Suraż";200210;"gm. Suraż";"białostocki";"podlaskie";1;1;24;112;16
4;"Siedziba Stowarzyszenia ""Zielona Szkoła "", Doktorce 1, 18-105 Suraż";200210;"gm. Suraż";"białostocki";"podlaskie";1;1;48;97;11
1;"Urząd Gminy w Turośni Kościelnej, ul. Białostocka 5, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;273;504;136
2;"Szkoła Podstawowa w Turośni Dolnej, Turośń Dolna ul. Szkolna 2, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;166;366;77
3;"Szkoła Podstawowa w Tołczach, Tołcze 6, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;238;287;89
4;"Świetlica wiejska w Baciutach, Baciuty ul. Wygoda 1, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;129;106;61
5;"Świetlica wiejska w Niewodnicy Koryckiej, Niewodnica Korycka ul. Tadeusza Kościuszki 52, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;660;294;142
6;"Świetlica wiejska w Pomigaczach, Pomigacze 46, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;70;115;29
7;"Świetlica wiejska w Trypuciach, Trypucie 54A, 18-106 Turośń Kościelna";200211;"gm. Turośń Kościelna";"białostocki";"podlaskie";1;1;124;106;49
1;"Zespół Szkół i Przedszkole w Tykocinie, ul. Jana Kochanowskiego 1, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;392;546;147
2;"Budynek OSP, Jeżewo Stare 28, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;84;232;59
3;"Budynek OSP, Saniki 18A, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;15;106;12
4;"Świetlica wiejska, Łaziuki 23, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;73;182;40
5;"Budynek OSP, Łopuchowo 14, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;45;163;30
6;"Świetlica wiejska, Siekierki 5, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;62;231;56
7;"Szkoła Podstawowa, Radule 87, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;104;252;65
8;"Świetlica wiejska, Sierki 88, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;22;118;19
9;"Świetlica Wiejska w Sawinie, Sawino 3, 16-080 Tykocin";200212;"gm. Tykocin";"białostocki";"podlaskie";1;1;25;104;19
1;"Szkoła Podstawowa Nr 1 im. Ks. W. Rabczyńskiego, ul. Adama Mickiewicza 2, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;532;417;137
2;"Szkoła Podstawowa im. króla Zygmunta Augusta, ul. Polna 1/4a, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;814;545;193
3;"Szkoła Podstawowa im. króla Zygmunta Augusta, ul. Polna 1/4a, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;635;429;157
4;"Przedszkole, ul. Henryka Sienkiewicza 24, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;732;503;208
5;"Przedszkole, ul. Polna 1/4c, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;661;384;141
6;"Publiczna Szkoła Podstawowa, Studzianki ul. Supraślska 2, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;387;189;98
7;"Szkoła Podstawowa, Sochonie ul. Kościelna 1, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;414;187;89
8;"Świetlica wiejska w Nowodworcach, Nowodworce ul. 3-go Maja 5, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;700;316;183
9;"Świetlica wiejska w Dąbrówkach, Dąbrówki ul. Wesoła 7, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;173;127;49
10;"Świetlica wiejska w Jurowcach, Jurowce ul. Zagórna 6, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;588;285;132
11;"Świetlica wiejska w Rybnikach, Rybniki 1, 16-010 Wasilków";200213;"gm. Wasilków";"białostocki";"podlaskie";1;1;69;68;24
1;"Szkoła Podstawowa w Zabłudowie, ul. Adama Mickiewicza 20, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;144;107;44
2;"Szkoła Podstawowa w Dobrzyniówce, Dobrzyniówka 40, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;194;255;74
3;"Szkoła Podstawowa w Rafałówce, Rafałówka 64, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;239;259;108
4;"Świetlica Wiejska w Kurianach, Kuriany 29, 15-588 Białystok";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;278;190;76
5;"Była Szkoła Podstawowa w Zwierkach, Zwierki 43, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;239;204;92
6;"Wiejski Dom Kultury w Krynickich, Krynickie 55, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;152;206;46
7;"Wiejski Dom Kultury w Rybołach, Ryboły 129, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;264;107;42
8;"Świetlica Wiejska w Halickich, Halickie 3, 15-593 Białystok";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;234;195;70
9;"Szkoła Podstawowa w Zabłudowie, ul. Adama Mickiewicza 20, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;197;306;99
10;"Szkoła Podstawowa w Zabłudowie, ul. Adama Mickiewicza 20, 16-060 Zabłudów";200214;"gm. Zabłudów";"białostocki";"podlaskie";1;1;320;313;108
1;"Sala Widowiskowa Urzędu Gminy Zawady, pl. Plac Wolności 12, 16-075 Zawady";200215;"gm. Zawady";"białostocki";"podlaskie";1;1;188;571;119
2;"Świetlica Wiejska w Nowych Chlebiotkach, Nowe Chlebiotki 38, 16-075 Zawady";200215;"gm. Zawady";"białostocki";"podlaskie";1;1;51;251;38
1;"Zespół Szkół w Dąbrowie Białostockiej, ul. Tysiąclecia Państwa Polskiego 24, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;315;421;74
2;"Miejsko-Gminny Ośrodek Kultury, ul. Gen. E. J. Godlewskiego 1, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;169;255;49
3;"Szkoła Podstawowa, ul. Południowa 13, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;313;428;132
4;"Budynek po byłym Gimnazjum w Dąbrowie Białostockiej, ul. Szkolna 9a, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;223;310;74
5;"Miejsko-Gminna Biblioteka Publiczna, ul. Gen. E. J. Godlewskiego 3, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;65;208;40
6;"Zespół Szkolno-Przedszkolny w Różanymstoku, Różanystok 2, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;184;323;110
7;"Szkoła Podstawowa w Nierośnie, Nierośno 33, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;115;256;63
8;"Szkoła Podstawowa w Zwierzyńcu Wielkim, Zwierzyniec Wielki 17, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;126;232;51
9;"Szkoła Podstawowa w Suchodolinie, Suchodolina 1, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;56;218;34
10;"Świetlica Wiejska w Reszkowcach, Reszkowce 28A, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;38;122;17
11;"Świetlica Wiejska w Ostrowiu, Ostrowie 1, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;49;45;13
12;"Świetlica Wiejska w Kamiennej Starej, Kamienna Stara ul. Długa 32, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;27;107;14
13;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Dąbrowie Białostockiej (szpital), ul. Marii Skłodowskiej-Curie 15, 16-200 Dąbrowa Białostocka";201101;"gm. Dąbrowa Białostocka";"sokólski";"podlaskie";1;1;1;8;1
