"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
6;"Szkoła Podstawowa, Wiączyń Dolny 18B, 92-701 Wiączyń Dolny";100608;"gm. Nowosolna";"łódzki wschodni";"łódzkie";1;1;71;37;169
1;"Szkoła Podstawowa im. Jana Długosza w Rzgowie, ul. Szkolna 3, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;516;184;714
2;"Szkoła Podstawowa im. Jana Długosza w Rzgowie, ul. Szkolna 3, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;277;94;426
3;"Ochotnicza Straż Pożarna w Starej Gadce, Stara Gadka ul. Lucerniana 41a, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;218;52;257
4;"Ochotnicza Straż Pożarna w Starowej Górze, Starowa Góra ul. Kuchenna 2, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;481;215;1046
5;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Guzewie, Guzew ul. Edukacyjna 6, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;224;75;279
6;"Szkoła Podstawowa im. Św. Królowej Jadwigi w Kalinie, Tadzin 24, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;427;141;403
7;"Ochotnicza Straż Pożarna w Grodzisku, Grodzisko 47a, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;164;37;208
8;"Świetlica wiejska w Czyżeminku, Czyżeminek 34A, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;91;28;82
9;"Ochotnicza Straż Pożarna w Prawdzie, Prawda 34, 95-030 Rzgów";100610;"gm. Rzgów";"łódzki wschodni";"łódzkie";1;1;58;20;87
1;"Budynek byłego Gimnazjum Nr 1 w Tuszynie, ul. Piotrkowska 13, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;197;72;274
2;"Miejskie Centrum Kultury w Tuszynie, ul. Noworzgowska 20A, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;231;64;237
3;"Miejskie Centrum Kultury w Tuszynie, ul. Noworzgowska 20A, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;233;66;218
4;"Szkoła Podstawowa Nr 1 w Tuszynie, ul. Piotrkowska 15, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;109;47;196
5;"Przedszkole Miejskie Nr 2 w Tuszynie, ul. Sienkiewicza 8, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;193;63;255
6;"Budynek byłego Gimnazjum Nr 2 w Tuszynie, ul. Poniatowskiego 11, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;149;59;351
7;"Filia Miejskiego Centrum Kultury w Tuszynie, ul. Prusa 7, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;159;54;261
8;"Szkoła Podstawowa Nr 2 w Tuszynie, ul. Poniatowskiego 11, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;135;83;279
9;"Dzienny Dom ""Senior-Wigor"" w Tuszynie, ul. 3 Maja 49, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;100;39;98
10;"Remiza OSP w Modlicy, Modlica 88, 95-080 Modlica";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;95;33;96
11;"Hala Widowiskowo-Sportowa w Tuszynie, ul. Tysiąclecia 8, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;165;56;251
12;"Świetlica Wiejska w Kruszowie, Kruszów ul. Trybunalska 19, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;98;29;112
13;"Szkoła Podstawowa w Wodzinie Prywatnym, Wodzin Prywatny ul. Szkolna 1, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;280;66;109
14;"Szkoła Podstawowa w Górkach Dużych, Górki Duże ul. Jutroszewska 17, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;130;30;125
15;"Świetlica Wiejska w Woli Kazubowej, Wola Kazubowa ul. Górecka 82, 95-080 Tuszyn";100611;"gm. Tuszyn";"łódzki wschodni";"łódzkie";1;1;223;75;508
