"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
24;"Świetlica Wiejska w Nowym Dworze, Nowy Dwór 5A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;10;157;126;33;10
25;"Świetlica Wiejska w Chojniku, Chojnik 74A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;11;80;69;13;1
26;"Świetlica Wiejska w Kalniku, Kalnik 16A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;8;65;124;13;2
27;"Świetlica Wiejska w Markowie, Markowo 7, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;11;111;130;33;7
28;"Świetlica Wiejska w Maliniaku, Maliniak 1A, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;5;59;56;15;6
29;"Szpital Miejski w Morągu Sp. z o. o., ul. Generała Jana Henryka Dąbrowskiego 16, 14-300 Morąg";281508;"gm. Morąg";"ostródzki";"warmińsko-mazurskie";1;1;4;14;23;1;3
1;"Szkoła Podstawowa w Brzydowie, Brzydowo 27, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;10;195;111;35;3
2;"Szkoła Podstawowa w Durągu, Durąg 14, 14-106 Szyldak";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;15;290;113;30;5
3;"Zespół Przedszkolno-Szkolny w Tyrowie, Tyrowo 41, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;20;322;103;33;18
4;"Zespół Szkół Rolniczych w Ostródzie, ul. Stefana Czarnieckiego 69, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;50;768;215;85;27
5;"Szkoła Podstawowa w Idzbarku, Idzbark ul. Niepodległości 1, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;7;284;88;27;9
6;"Szkoła Podstawowa w Zwierzewie, Zwierzewo 36, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;10;254;67;47;42
7;"Świetlica Wiejska w Starych Jabłonkach, ul. Olsztyńska 20, 14-133 Stare Jabłonki";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;18;320;131;35;10
8;"Szkoła Podstawowa w Szyldaku, ul. Szkolna 12, 14-106 Szyldak";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;10;219;102;20;10
9;"Gminne Centrum Kulturalno-Biblioteczne w Samborowie, Samborowo ul. Ostródzka 17, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;27;448;214;40;15
10;"Świetlica Wiejska w Turznicy, Turznica 23, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;6;185;80;30;5
11;"Świetlica Wiejska w Reszkach, Reszki 36, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;2;101;40;14;0
12;"Szkoła Podstawowa w Lipowie, Lipowo 16, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;6;150;72;17;9
13;"Świetlica Wiejska w Pietrzwałdzie, Pietrzwałd 20b, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;7;245;121;4;3
14;"Środowiskowy Dom Samopomocy w Wygodzie, Wygoda 10, 14-120 Dąbrówno";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;14;238;71;19;1
15;"Gminny Ośrodek Pomocy Społecznej w Ostródzie, ul. 11 Listopada 39, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;22;249;74;24;8
16;"Świetlica Wiejska w Ornowie, Ornowo 9AC, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;4;87;42;7;2
17;"Świetlica Wiejska w Grabinku, Grabinek 22B, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;4;143;47;11;2
18;"Świetlica Wiejska w Lubajnach, Lubajny 44, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;5;181;65;15;42
19;"Świetlica Wiejska w Ostrowinie, Ostrowin 20, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;6;84;43;8;4
20;"Świetlica Wiejska w Smykówku, Smykówko 22A, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;2;94;95;14;0
21;"Świetlica Wiejska w Międzylesiu, Międzylesie ul. Lipowa 7A, 14-100 Ostróda";281509;"gm. Ostróda";"ostródzki";"warmińsko-mazurskie";1;1;8;179;38;15;7
