"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"DULSKI Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"BRZEZIN Gustaw Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ORZECHOWSKA Bogusława - KW PRAWO I SPRAWIEDLIWOŚĆ";"FIAŁKOWSKI Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DĄBROWSKI Tomasz Kiejstut - KOMITET WYBORCZY WOLNOŚCIOWCY"
15;"Świetlica Wiejska, Wlewsk 10C, 13-230 Lidzbark";280304;"gm. Lidzbark";"działdowski";"warmińsko-mazurskie";1;1;9;49;78;13;3
1;"Szkoła Podstawowa, ul. Lipowa 5, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;36;246;266;64;25
2;"Remiza OSP, Gródki 59, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;23;162;125;44;10
3;"Świetlica Wiejska, Skurpie 12, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;7;63;63;10;9
4;"Szkoła Podstawowa, Niechłonin 92, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;14;115;165;20;7
5;"Remiza OSP, Wielki Łęck 39, 13-230 Lidzbark";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;12;77;94;20;7
6;"Świetlica Wiejska, Turza Mała 10A, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;9;40;64;9;3
7;"Świetlica Wiejska, Przełęk 30, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;6;63;71;10;5
8;"Świetlica Wiejska, Rutkowice 33, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;6;34;72;12;3
9;"Świetlica Wiejska, Jabłonowo 63, 13-230 Lidzbark";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;7;51;142;22;4
10;"Remiza OSP, Zalesie 98, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;4;94;90;8;0
11;"Świetlica Wiejska, Mały Łęck 38, 13-206 Płośnica";280305;"gm. Płośnica";"działdowski";"warmińsko-mazurskie";1;1;6;54;57;14;3
