"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Zespół Szkół, Uście Gorlickie 267, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;85;334;230;64
2;"Zespół Szkół, Brunary 50, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;27;108;262;54
3;"Szkoła Podstawowa, Śnietnica 28, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;9;76;148;31
4;"Zespół Szkolno – Przedszkolny, Wysowa-Zdrój 97, 38-316 Wysowa-Zdrój";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;82;407;258;62
5;"Świetlica Wiejska, Gładyszów 99, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;25;68;63;15
6;"Publiczne Przedszkole, Smerekowiec 41, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;27;72;89;38
7;"Świetlica Wiejska, Zdynia 30, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;8;55;53;18
8;"Szkoła Podstawowa, Banica 24, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;9;91;103;21
9;"Szkoła Podstawowa, Hańczowa 96, 38-316 Wysowa-Zdrój";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;27;129;106;24
10;"Świetlica Wiejska, Kwiatoń 22, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;13;92;65;18
11;"Świetlica Wiejska, Czarna 15, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;14;30;66;5
12;"Świetlica Wiejska, Stawisza 14, 38-315 Uście Gorlickie";120510;"gm. Uście Gorlickie";"gorlicki";"małopolskie";1;1;6;28;82;15
