"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
13;"Zespół Szkolno – Przedszkolny, Stróże 396, 33-331 Stróże";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;117;386;779;176
14;"Szkoła Podstawowa, Wawrzka 61, 33-332 Florynka";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;13;24;214;36
15;"Szkoła Podstawowa, Wyskitna 44, 33-331 Stróże";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;31;44;226;47
16;"Dom Kultury (Remiza OSP), Krużlowa Niżna 15, 33-325 Krużlowa Wyżna";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;42;62;431;55
17;"Dom Kultury, Chodorowa 18, 33-325 Krużlowa Wyżna";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;8;30;92;14
1;"Zespół Szkolno – Przedszkolny, Kamionka Wielka 154, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;84;237;594;141
2;"Szkoła Podstawowa im. Ks. Prof. Piotra Poręby, Mystków 208, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;99;224;650;153
3;"Szkoła Podstawowa im. Wincentego Witosa, Królowa Górna 16, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;35;78;341;81
4;"Szkoła Podstawowa, Jamnica 182, 33-300 Nowy Sącz";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;35;95;264;58
5;"Szkoła Podstawowa im. Bł. Karoliny Kózkówny, Mszalnica 127, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;65;118;455;104
6;"Remiza OSP, Bogusza 13, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;34;85;235;46
7;"Szkoła Podstawowa, Królowa Polska 1, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;30;80;341;59
8;"Zespół Szkolno – Przedszkolny, Kamionka Wielka 154, 33-334 Kamionka Wielka";121005;"gm. Kamionka Wielka";"nowosądecki";"małopolskie";1;1;72;192;639;129
1;"Urząd Gminy, Korzenna 325, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;116;221;912;179
2;"Dom Kultury, Mogilno 112, 33-326 Mogilno";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;36;92;419;67
3;"Szkoła Podstawowa im. Księdza Kardynała Stefana Wyszyńskiego, Siedlce 162, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;33;109;441;73
4;"Dom Kultury, Jasienna 207, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;26;106;353;45
5;"Budynek wielofunkcyjny (dawna szkoła), Bukowiec 94, 33-323 Lipnica Wielka";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;7;27;86;13
6;"Szkoła Podstawowa im. Jana Pawła II, Lipnica Wielka 25, 33-323 Lipnica Wielka";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;43;177;686;78
7;"Szkoła Podstawowa, Wojnarowa 278, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;37;161;575;81
8;"Szkoła Podstawowa, Janczowa 104, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;18;54;198;30
9;"Szkoła Podstawowa im. Generała Franciszka Gągora, Koniuszowa 203, 33-326 Mogilno";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;37;120;456;101
10;"Szkoła Podstawowa, Łęka 1, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;21;75;276;51
11;"Budynek byłej Szkoły Podstawowej, Łyczana 72, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;14;79;172;30
12;"Szkoła Podstawowa, Miłkowa 114, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;25;45;241;29
13;"Szkoła Podstawowa, Posadowa Mogilska 131, 33-326 Mogilno";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;30;59;293;42
14;"Szkoła Podstawowa, Trzycierz 68, 33-322 Korzenna";121006;"gm. Korzenna";"nowosądecki";"małopolskie";1;1;21;55;205;32
1;"Szkoła Podstawowa Nr 2 im. Polskich Olimpijczyków, ul. Józefa Ignacego Kraszewskiego 158, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;66;216;272;67
2;"Miejskie Przedsiębiorstwo Gospodarki Komunalnej Spółka z o. o., ul. Józefa Ignacego Kraszewskiego 37, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;76;363;319;98
3;"Gminne Przedszkole Nr 2 ""Mali Odkrywcy"", ul. Władysława Reymonta 10, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;124;566;478;128
4;"Środowiskowy Dom Samopomocy, ul. Źródlana 59, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;71;238;301;70
5;"Centrum Kultury Kino Cyfrowe Jaworzyna II, ul. Marszałka Józefa Piłsudskiego 19, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;112;677;625;107
6;"Hotel Victoria Cechini, ul. Kazimierza Pułaskiego 29, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;78;449;336;52
7;"Zespół Szkolno-Przedszkolny Nr 1, ul. Marszałka Józefa Piłsudskiego 91, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;69;360;374;77
8;"Urząd Miejski, ul. Józefa Ignacego Kraszewskiego 7, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;81;415;407;67
9;"Świetlica Środowiskowa, Mochnaczka Wyżna 104, 33-383 Tylicz";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;23;97;177;67
10;"Szkoła Podstawowa, Mochnaczka Niżna 44, 33-383 Tylicz";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;32;112;148;53
11;"Wiejski Dom Kultury, ul. Rynek 1, 33-383 Tylicz";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;37;274;306;93
12;"Samorządowe Centrum Edukacji Szkolnej, ul. Kazimierza Wielkiego 9, 33-383 Tylicz";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;29;78;152;34
13;"Wiejski Dom Kultury, Muszynka 51, 33-383 Tylicz";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;12;60;89;23
14;"Dom Ludowy, Berest 23, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;51;135;203;62
15;"Szkoła Podstawowa, Polany 1, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;26;74;178;42
16;"Dom Kultury, Piorunka 63, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;6;71;92;25
17;"Szkoła Podstawowa, Czyrna 36, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;14;55;78;16
18;"SPZOZ Szpital im. dr J. Dietla, ul. Józefa Ignacego Kraszewskiego 142, 33-380 Krynica-Zdrój";121007;"gm. Krynica-Zdrój";"nowosądecki";"małopolskie";1;1;2;9;19;1
1;"Szkoła Podstawowa, Czaczów 67A, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;22;36;274;41
2;"Szkoła Podstawowa, Maciejowa 83, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;28;79;319;47
3;"Urząd Gminy, Łabowa 38, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;57;249;538;119
4;"Szkoła Podstawowa, Nowa Wieś 96, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;50;104;397;90
5;"Szkoła Podstawowa w Nowej Wsi Filia w Roztoce Wielkiej, Roztoka Wielka 20A, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;28;39;248;44
6;"Świetlica Wiejska, Łosie 25, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;12;31;65;13
7;"Remiza OSP, Kamianna 36, 33-336 Łabowa";121008;"gm. Łabowa";"nowosądecki";"małopolskie";1;1;10;24;73;16
1;"Zespół Szkolno – Przedszkolny, Łącko 284, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;44;185;332;88
2;"Zespół Szkolno – Przedszkolny, Czarny Potok 111, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;29;77;164;47
3;"Zespół Szkolno – Przedszkolny, Jazowsko 171, 33-389 Jazowsko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;55;226;753;90
4;"Szkoła Podstawowa, Obidza 206, 33-389 Jazowsko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;45;128;456;56
5;"Remiza OSP, Zabrzeż 394, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;84;230;554;100
6;"Szkoła Podstawowa, Zagorzyn 172, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;64;169;760;124
7;"Zespół Szkolno – Przedszkolny, Łącko 284, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;30;133;174;53
8;"Świetlica Środowiskowa, Brzyna 183, 33-389 Jazowsko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;13;40;232;31
9;"Szkoła Podstawowa, Kicznia 121, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;22;64;313;59
10;"Szkoła Podstawowa, Szczereż 69, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;8;58;227;27
11;"Zespół Szkolno – Przedszkolny, Łącko 284, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;81;322;570;126
12;"Zespół Szkolno-Przedszkolny, Kadcza 89, 33-389 Jazowsko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;52;124;360;69
13;"Szkoła Podstawowa, Maszkowice 27, 33-390 Łącko";121009;"gm. Łącko";"nowosądecki";"małopolskie";1;1;34;131;336;61
1;"Szkoła Podstawowa im. Jana Pawła II, Łososina Dolna 82, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;48;166;582;81
2;"Szkoła Podstawowa im. Jana Pawła II, Łososina Dolna 82, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;42;106;565;61
3;"Szkoła Podstawowa im. mjra pil. Jerzego Iszkowskiego, ul. św. Floriana 20, 33-312 Tęgoborze";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;80;294;867;159
4;"Szkoła Podstawowa im. mjra pil. Jerzego Iszkowskiego, ul. św. Floriana 20, 33-312 Tęgoborze";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;30;96;447;62
5;"Szkoła Podstawowa im. Św. Świerada, Witowice Dolne 95, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;37;71;362;58
6;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego, Michalczowa 87, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;13;42;208;30
7;"Szkoła Podstawowa im. mjr Henryka Sucharskiego, Żbikowice 55, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;16;51;214;36
8;"Remiza OSP, Tabaszowa ., 33-312 Tabaszowa";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;22;77;227;31
9;"Klub Seniora, Łęki 25, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;8;52;189;37
10;"Szkoła Podstawowa, Rąbkowa 59, 33-312 Tęgoborze";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;23;43;256;23
11;"Szkoła Podstawowa, Skrzętla-Rojówka 66, 33-312 Tęgoborze";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;10;21;143;5
12;"Szkoła Podstawowa, Stańkowa 101, 33-314 Łososina Dolna";121010;"gm. Łososina Dolna";"nowosądecki";"małopolskie";1;1;7;31;142;18
1;"Szkoła Podstawowa Nr 1, ul. Rynek 13, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;58;366;432;113
2;"Krajowa Szkoła Skarbowości, Filia w Muszynie, ul. Nowa 70, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;38;151;102;45
3;"Przedszkole, ul. Piłsudskiego 89, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;77;468;397;117
4;"Szkoła Podstawowa Nr 2, ul. Kościuszki 54, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;44;116;267;45
5;"Świetlica Wiejska, Andrzejówka 46, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;9;52;131;23
6;"Szkoła Podstawowa, Milik 28, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;25;79;283;35
7;"Szkoła Podstawowa, Żegiestów 77A, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;36;154;232;71
8;"Świetlica Wiejska, Szczawnik 43b, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;47;159;283;70
9;"Świetlica Wiejska, Złockie 28b, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;53;217;227;69
10;"Świetlica Wiejska, Jastrzębik 22e, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;24;44;124;34
11;"Szkoła Podstawowa, Powroźnik 42, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;82;294;409;123
12;"Świetlica Wiejska, Leluchów 14, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;5;40;50;14
13;"Świetlica Wiejska, Wojkowa 22, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;4;27;78;12
14;"Dom Pomocy Społecznej, ul. Zielona 26, 33-370 Muszyna";121011;"gm. Muszyna";"nowosądecki";"małopolskie";1;1;7;6;25;7
1;"Szkoła Podstawowa, ul. Parkowa 1, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;65;220;286;98
2;"Szkoła Podstawowa, Frycowa 177, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;51;165;418;84
3;"Szkoła Podstawowa, Żeleźnikowa Wielka ul. św. Jana Pawła II 93, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;33;109;401;57
4;"Szkoła Podstawowa, Żeleźnikowa Mała 38, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;20;37;217;24
5;"Szkoła Podstawowa, Bącza-Kunina 37, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;11;40;221;48
6;"Szkoła Podstawowa, Homrzyska 41, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;16;23;210;24
7;"Szkoła Podstawowa, ul. Parkowa 1, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;68;228;479;120
8;"Szkoła Podstawowa, ul. Parkowa 1, 33-335 Nawojowa";121012;"gm. Nawojowa";"nowosądecki";"małopolskie";1;1;45;173;472;109
1;"Miejsko – Gminny Ośrodek Kultury, ul. Rynek 11, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;85;495;674;129
2;"Szkoła Podstawowa Nr 1, ul. Krynicka 2, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;68;358;535;76
3;"Szkoła Podstawowa Nr 2, inne Kosarzyska 23, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;43;179;295;62
4;"Remiza OSP, Głębokie 100, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;2;65;126;25
5;"Szkoła Podstawowa, Kokuszka 95, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;14;45;200;27
6;"Świetlica Środowiskowa, Łomnica-Zdrój 571, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;42;144;618;77
7;"Szkoła Podstawowa, Wierchomla Wielka 144, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;27;125;256;37
8;"Świetlica Środowiskowa, Zubrzyk 90, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;10;50;113;25
9;"Świetlica ""Młodowianka"", Młodów 111, 33-350 Piwniczna-Zdrój";121013;"gm. Piwniczna-Zdrój";"nowosądecki";"małopolskie";1;1;15;75;148;28
1;"Szkoła Podstawowa, Brzezna 447, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;123;345;863;154
2;"Dom Parafialny w Brzeznej-Strzygańcu, Brzezna 244, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;9;22;170;38
3;"Szkoła Podstawowa, Długołęka-Świerkla 64, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;36;80;305;48
4;"Szkoła Podstawowa, Gostwica 27, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;68;137;513;90
5;"Szkoła Podstawowa, Mokra Wieś 141, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;27;34;188;42
6;"Szkoła Podstawowa, Rogi 53, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;18;36;122;18
7;"Świetlica Wiejska, Naszacowice 96, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;47;86;278;58
8;"Strażnica OSP, Juraszowa 48, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;19;29;102;9
9;"Szkoła Podstawowa, Olszana 127, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;67;133;441;57
10;"Szkoła Podstawowa, Olszanka 24, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;31;62;274;51
11;"Szkoła Podstawowa, Podegrodzie 6, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;130;213;675;138
12;"Strażnica OSP, Podrzecze 44, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;33;109;204;36
13;"Szkoła Podstawowa, Stadła 30, 33-386 Podegrodzie";121014;"gm. Podegrodzie";"nowosądecki";"małopolskie";1;1;45;90;274;68
1;"Hala Sportowa przy Szkole Podstawowej, Rytro 99, 33-343 Rytro";121015;"gm. Rytro";"nowosądecki";"małopolskie";1;1;69;365;604;116
2;"Hala Sportowa przy Szkole Podstawowej, Rytro 99, 33-343 Rytro";121015;"gm. Rytro";"nowosądecki";"małopolskie";1;1;51;190;616;65
1;"""Dom Kingi"" Klasztor Sióstr Klarysek, ul. Plac Świętej Kingi 1, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;35;212;280;60
2;"Gminne Przedszkole, ul. Podegrodzka 2a, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;103;444;613;144
3;"Szkoła Podstawowa Nr 2, ul. Daszyńskiego 23, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;90;307;398;91
4;"Szkoła Podstawowa Nr 1, ul. Mickiewicza 59, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;127;514;791;180
5;"Środowiskowy Dom Samopomocy, ul. Cyganowice 95, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;30;108;282;61
6;"Szkoła Podstawowa, Gołkowice Górne 65, 33-388 Gołkowice Dolne";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;92;290;710;170
7;"Szkoła Podstawowa, Gaboń 67, 33-388 Gołkowice Dolne";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;27;105;421;58
8;"Szkoła Podstawowa, ul. Mariana Cyconia 3, 33-342 Barcice";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;103;408;780;178
9;"Szkoła Podstawowa, Przysietnica 152, 33-342 Barcice";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;76;245;741;118
10;"Szkoła Podstawowa, Moszczenica Niżna 64, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;69;274;501;102
11;"Wiejski Dom Kultury, Łazy Biegonickie 272, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;51;199;452;106
12;"Szkoła Podstawowa, Popowice 165, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;16;78;216;33
13;"Szkoła Podstawowa, ul. Mariana Cyconia 3, 33-342 Barcice";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;36;174;386;53
14;"Wiejski Dom Kultury, Mostki 86, 33-340 Stary Sącz";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;47;100;233;39
15;"Szkoła Podstawowa, Skrudzina 42, 33-388 Gołkowice Dolne";121016;"gm. Stary Sącz";"nowosądecki";"małopolskie";1;1;26;68;262;55
1;"Świetlica Osiedlowa, ul. Starowiejska 2, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;74;378;472;116
2;"Katolicka Szkoła Podstawowa przy Parafii Św. Heleny, ul. św. Heleny 44, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;122;554;599;151
3;"Zespół Szkół Nr 4, ul. św. Ducha 6, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;42;198;238;72
4;"Szkoła Podstawowa Nr 1, ul. Jana Długosza 2, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;59;197;212;56
5;"Zespół Szkół Ogólnokształcących Nr 2 im. M. Konopnickiej, ul. Stefana Żeromskiego 16, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;50;328;328;85
6;"Okręgowa Spółdzielnia Mleczarska, ul. Flisaków 1, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;85;462;387;94
7;"Szkoła Podstawowa Nr 3, ul. Szkolna 9, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;88;518;424;115
8;"Grodzka Sala Bankietowa, ul. Hugo Kołłątaja 13, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;94;480;461;123
9;"Grodzka Sala Bankietowa, ul. Hugo Kołłątaja 13, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;81;402;367;115
10;"Specjalny Ośrodek Szkolno – Wychowawczy, ul. Władysława Broniewskiego 1, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;92;491;558;120
11;"Szkoła Podstawowa Nr 6, ul. Tarnowska 109, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;58;190;327;71
12;"Szkoła Podstawowa Nr 18, ul. Władysława Broniewskiego 5, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;56;269;262;60
13;"Szkoła Podstawowa Nr 18, ul. Władysława Broniewskiego 5, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;58;229;205;58
14;"Specjalny Ośrodek Szkolno – Wychowawczy, ul. Władysława Broniewskiego 1, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;70;330;374;86
15;"Przedszkole ""Jaś i Małgosia"", ul. Władysława Broniewskiego 22, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;71;334;327;78
16;"Osiedlowy Klub Kultury ""Bajka"", ul. Westerplatte 23, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;82;349;341;67
17;"Przedszkole Nr 18, al. Aleje mjr. Henryka Sucharskiego 56, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;85;336;401;85
18;"Wydział Nauk Społecznych i Sztuki Akademii Nauk Stosowanych, ul. Chruślicka 6, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;70;317;478;135
19;"Wydział Nauk Społecznych i Sztuki Akademii Nauk Stosowanych, ul. Chruślicka 6, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;64;328;448;116
20;"Szkoła Podstawowa Nr 20 z Oddziałami Integracyjnymi, ul. Nadbrzeżna 77, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;110;502;489;119
21;"Szkoła Podstawowa Nr 20 z Oddziałami Integracyjnymi, ul. Nadbrzeżna 77, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;43;220;252;49
22;"Szkoła Podstawowa Nr 11, ul. gen. Wieniawy-Długoszowskiego 126, 33-300 Nowy Sącz";126201;"m. Nowy Sącz";"Nowy Sącz";"małopolskie";1;1;76;291;350;94
