"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TYRALSKA Gaja Gabriela - KW BEZPARTYJNI SAMORZĄDOWCY";"KRZYŻANOWSKI Marcin Rafał - KW PRAWO I SPRAWIEDLIWOŚĆ";"SCHETYNA Grzegorz Juliusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
85;"Liceum Ogólnokształcące nr XI, ul. Spółdzielcza 2a, 51-662 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;124;219;574
86;"Szkoła Podstawowa nr 91, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;226;416;1042
87;"Szkoła Podstawowa nr 91, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;155;282;746
88;"Rada Osiedla Biskupin-Sępolno-Dąbie-Bartoszowice, ul. Fryderyka Pautscha 4, 51-651 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;143;217;646
89;"Sportowa Szkoła Podstawowa nr 72, ul. Trwała 17 - 19, 53-335 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;190;358;744
90;"Technikum nr 18, ul. Ślężna 2 - 24, 53-302 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;180;360;692
91;"Technikum nr 18, ul. Ślężna 2 - 24, 53-302 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;138;319;604
92;"Szkoła Podstawowa nr 30, ul. Zaporoska 28, 53-523 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;209;365;852
93;"Centrum Kształcenia Ustawicznego Budynek-C, ul. Swobodna 73, 50-089 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;213;406;818
94;"Centrum Kształcenia Ustawicznego Budynek-B, ul. Swobodna 73, 50-089 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;140;230;479
95;"Sportowa Szkoła Podstawowa nr 72, ul. Trwała 17 - 19, 53-335 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;179;352;799
96;"Zespół Szkół Ekonomiczno-Ogólnokształcących, ul. Drukarska 50, 53-312 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;172;344;689
