"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
75;"Szkoła Podstawowa Nr 58, ul. Stanisława Pigonia 2, 31-230 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;400;1031
76;"Zespół Szkolno-Przedszkolny Nr 16, ul. Józefa Mackiewicza 15, 31-214 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;373;877
77;"Zespół Szkolno-Przedszkolny Nr 16, ul. Józefa Mackiewicza 15, 31-214 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;239;1137
78;"Zespół Szkolno-Przedszkolny Nr 16, ul. Józefa Mackiewicza 15, 31-214 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;191;635
79;"Zespół Szkolno-Przedszkolny Nr 16, ul. Józefa Mackiewicza 15, 31-214 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;347;899
80;"Zespół Szkolno-Przedszkolny Nr 16, ul. Józefa Mackiewicza 15, 31-214 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;436;861
81;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;421;1690
82;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;276;894
83;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;331;959
84;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 107, ul. Zdrowa 6, 31-216 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;425;1267
85;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 15, ul. Kluczborska 3, 31-271 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;299;1017
