"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
137;"Szkoła Podstawowa Nr 138, ul. Kazimierza Wierzyńskiego 3, 30-198 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;293;623
138;"Publiczna Szkoła Podstawowa Sióstr Pijarek im. św. Józefa Kalasancjusza, ul. Grzegorza Korzeniaka 18, 30-298 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;427;535
139;"Centrum Kultury ""Dworek Białoprądnicki"" Klub Kultury ""Chełm"", ul. Chełmska 16, 30-238 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;382;1189
140;"Szkoła Podstawowa Nr 48, ul. Księcia Józefa 337, 30-243 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;536;922
141;"Centrum Kultury ""Dworek Białoprądnicki"" Klub Kultury „Przegorzały”, ul. Kamedulska 70, 30-252 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;236;643
142;"Szkoła Podstawowa Nr 72, al. Aleja Modrzewiowa 23, 30-224 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;361;1149
143;"Szkoła Podstawowa Nr 72, al. Aleja Modrzewiowa 23, 30-224 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;324;1089
144;"Szkoła Podstawowa Nr 32, ul. Królowej Jadwigi 78, 30-209 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;252;798
145;"Szkoła Podstawowa Nr 32, ul. Królowej Jadwigi 78, 30-209 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;258;782
146;"Szkoła Podstawowa Nr 31, ul. Bolesława Prusa 18, 30-117 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;335;972
147;"Zespół Szkół Ogólnokształcących Nr 18, ul. Senatorska 35, 30-106 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;355;1010
148;"Zespół Szkół Ogólnokształcących Nr 18, ul. Senatorska 35, 30-106 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;462;1121
149;"Szkoła Podstawowa Nr 110, ul. Skwerowa 3, 30-317 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;224;735
150;"Szkoła Podstawowa Nr 110, ul. Skwerowa 3, 30-317 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;319;783
151;"Szkoła Podstawowa Nr 25, ul. Komandosów 29, 30-334 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;342;942
152;"Szkoła Podstawowa Nr 25, ul. Komandosów 29, 30-334 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;344;805
153;"Szkoła Podstawowa Nr 25, ul. Komandosów 29, 30-334 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;357;763
154;"Szkoła Podstawowa Nr 25, ul. Komandosów 29, 30-334 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;372;883
155;"Zespół Szkół Łączności, ul. Monte Cassino 31, 30-337 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;352;1237
156;"Zespół Szkół Łączności, ul. Monte Cassino 31, 30-337 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;418;1475
157;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 3, ul. Praska 64, 30-322 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;242;490
158;"Szkoła Podstawowa Nr 62, ul. Ćwikłowa 1, 30-377 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;189;755
159;"Szkoła Podstawowa Nr 62, ul. Ćwikłowa 1, 30-377 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;273;631
160;"Szkoła Podstawowa Nr 54, ul. Tyniecka 122, 30-376 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;466;906
161;"Centrum Kultury Podgórza Klub Tyniec, ul. Dziewiarzy 7, 30-398 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;418;563
162;"Centrum Kultury Podgórza Klub Tyniec, ul. Dziewiarzy 7, 30-398 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;312;566
163;"Zespół Szkolno-Przedszkolny Nr 8, ul. Mieczysława Wrony 115, 30-399 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;380;816
164;"Zespół Szkolno-Przedszkolny Nr 8, ul. Mieczysława Wrony 115, 30-399 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;361;608
165;"Zespół Szkolno-Przedszkolny Nr 7, ul. Skotnicka 86, 30-394 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;450;973
166;"Zespół Szkolno-Przedszkolny Nr 7, ul. Skotnicka 86, 30-394 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;399;656
167;"Zespół Szkolno-Przedszkolny Nr 7, ul. Skotnicka 86, 30-394 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;179;603
168;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;311;1346
169;"Szkoła Podstawowa Nr 53, ul. Skośna 8, 30-383 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;312;1106
