"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
247;"Szkoła Podstawowa Nr 61, ul. Wacława Popławskiego 17, 30-818 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;480;1159
248;"Szkoła Podstawowa Nr 41, ul. Erazma Jerzmanowskiego 6, 30-836 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;416;841
249;"Szkoła Podstawowa Nr 41, ul. Erazma Jerzmanowskiego 6, 30-836 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;448;731
250;"Szkoła Podstawowa Nr 41, ul. Erazma Jerzmanowskiego 6, 30-836 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;426;926
251;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 148, ul. Żabia 20, 30-809 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;303;530
252;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 148, ul. Żabia 20, 30-809 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;348;633
253;"Zespół Szkolno-Przedszkolny Nr 19, ul. Jana Kurczaba 15, 30-868 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;446;605
254;"Zespół Szkolno-Przedszkolny Nr 19, ul. Jana Kurczaba 15, 30-868 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;288;497
255;"Zespół Szkolno-Przedszkolny Nr 19, ul. Jana Kurczaba 15, 30-868 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;317;500
256;"Zespół Szkolno-Przedszkolny Nr 19, ul. Jana Kurczaba 15, 30-868 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;401;605
257;"Zespół Szkolno-Przedszkolny Nr 10, ul. Ludwika Rydygiera 20, 30-695 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;367;734
258;"Zespół Szkolno-Przedszkolny Nr 10, ul. Ludwika Rydygiera 20, 30-695 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;390;565
259;"Zespół Szkolno-Przedszkolny Nr 11, ul. Aleksandry 17, 30-837 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;445;805
260;"Zespół Szkolno-Przedszkolny Nr 11, ul. Aleksandry 17, 30-837 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;407;873
261;"Zespół Szkolno-Przedszkolny Nr 11, ul. Aleksandry 17, 30-837 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;434;792
262;"Zespół Szkolno-Przedszkolny Nr 11, ul. Aleksandry 17, 30-837 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;501;804
263;"XXV Liceum Ogólnokształcące, ul. Telimeny 9, 30-838 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;517;942
264;"XXV Liceum Ogólnokształcące, ul. Telimeny 9, 30-838 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;530;1015
265;"Szkoła Podstawowa Nr 111, ul. Bieżanowska 204, 30-856 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;423;763
266;"Szkoła Podstawowa Nr 124, ul. Ferdynanda Weigla 2, 30-898 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;397;749
267;"Szkoła Podstawowa Nr 124, ul. Ferdynanda Weigla 2, 30-898 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;494;863
268;"Szkoła Podstawowa Nr 124, ul. Ferdynanda Weigla 2, 30-898 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;540;865
269;"Szkoła Podstawowa Nr 20, ul. Agatowa 41, 30-798 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;346;1101
270;"Szkoła Podstawowa Nr 20, ul. Agatowa 41, 30-798 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;399;1044
271;"Szkoła Podstawowa Nr 137, ul. Feliksa Wrobela 79, 30-798 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;449;437
272;"Zespół Szkolno-Przedszkolny Nr 21, ul. Golikówka 52, 30-723 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;383;486
273;"Zespół Szkolno-Przedszkolny Nr 15, ul. Seweryna Goszczyńskiego 44, 30-724 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;374;1148
274;"Zespół Szkolno-Przedszkolny Nr 15, ul. Seweryna Goszczyńskiego 44, 30-724 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;286;890
275;"Zespół Szkolno-Przedszkolny Nr 1, ul. Myśliwska 64, 30-718 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;275;1365
276;"Zespół Szkolno-Przedszkolny Nr 1, ul. Myśliwska 64, 30-718 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;491;888
277;"Zespół Szkolno-Przedszkolny Nr 1, ul. Myśliwska 64, 30-718 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;451;1315
278;"Zespół Szkolno-Przedszkolny Nr 1, ul. Myśliwska 64, 30-718 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;408;1169
279;"Samorządowe Przedszkole Nr 11, ul. Saska 11, 30-715 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;391;1010
280;"Samorządowe Przedszkole Nr 11, ul. Saska 11, 30-715 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;394;988
281;"Urząd Miasta Krakowa, ul. Wielicka 28a, 30-552 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;367;943
282;"Przedsiębiorstwo KSTU Krakowskie Centrum Terapii Uzależnień, ul. Wielicka 73, 30-552 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;548;1271
283;"Szkoła Podstawowa Nr 29, al. Aleja Edwarda Dembowskiego 12, 30-540 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;317;909
284;"Zespół Szkół Mechanicznych Nr 2, al. Aleja gen. Jana Skrzyneckiego 12, 30-363 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;291;1586
285;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 2 im. J. Korczaka, ul. Jana Zamoyskiego 100, 30-523 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;204;570
286;"Szkoła Podstawowa Nr 26, ul. Ignacego Krasickiego 34, 30-503 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;273;898
287;"Szkoła Podstawowa Nr 26, ul. Ignacego Krasickiego 34, 30-503 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;184;540
288;"Urząd Miasta Krakowa, rynek Rynek Podgórski 1, 30-533 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;241;660
289;"Szkoła Muzyczna I i II Stopnia, ul. Józefińska 10, 30-529 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;251;778
290;"XLIII Liceum Ogólnokształcące, ul. Bolesława Limanowskiego 60 - 62, 30-534 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;219;936
291;"XLIII Liceum Ogólnokształcące, ul. Bolesława Limanowskiego 60 - 62, 30-534 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;253;743
292;"XLIII Liceum Ogólnokształcące, ul. Bolesława Limanowskiego 60 - 62, 30-534 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;287;1673
406;"Szkoła Podstawowa Nr 14, ul. Profesora Wojciecha Marii Bartla 29, 30-389 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;319;999
407;"Zespół Szkolno-Przedszkolny Nr 7, ul. Skotnicka 86, 30-394 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;275;1241
408;"Szkoła Podstawowa Nr 20, ul. Agatowa 41, 30-798 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;438;992
409;"Szkoła Podstawowa Nr 50, ul. Katowicka 28, 31-151 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;302;871
412;"Bonifraterskie Centrum Medyczne sp. z o. o. , Oddział w Krakowie, Szpital Zakonu Bonifratrów św. Jana Grandego w Krakowie Sp. z o. o., ul. Trynitarska 11, 31-061 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;21;8
413;"Dom Pomocy Społecznej, ul. Krakowska 55, 31-066 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;54;24
414;"Narodowy Instytut Onkologii im. M. Skłodowskiej-Curie-Państwowy Instytut Badawczy Oddział w Krakowie, ul. Garncarska 11, 31-115 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;37;38
415;"Szpital Specjalistyczny im. J. Dietla w Krakowie, ul. Skarbowa 1, 31-121 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;46;54
416;"NZOZ Szpital na Siemiradzkiego im. R. Czerwiakowskiego sp. z o. o., ul. Henryka Siemiradzkiego 1, 31-137 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;3;4
417;"Dom Pomocy Społecznej im. Ludwika i Anny Helclów w Krakowie, ul. Helclów 2, 31-148 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;89;51
418;"Areszt Śledczy w Krakowie, ul. Montelupich 7, 31-155 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;83;319
419;"Dom Pomocy Społecznej, ul. Radziwiłłowska 8, 31-026 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;13;5
428;"5 Wojskowy Szpital Kliniczny z Polikliniką-SP ZOZ w Krakowie, ul. Wrocławska 1 - 3, 30-901 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;51;80
429;"SP ZOZ Ministerstwa Spraw Wewnętrznych i Administracji w Krakowie, ul. Kronikarza Galla 25, 30-053 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;37;24
430;"Szpital Specjalistyczny im. J. Dietla w Krakowie Małopolskie Centrum Reumatologii, Immunologii i Rehabilitacji, al. Aleja Marszałka Ferdinanda Focha 33, 30-119 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;19;10
431;"Małopolski Szpital Ortopedyczno-Rehabilitacyjny im. prof. Bogusława Frańczuka, al. Aleja Modrzewiowa 22, 30-224 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;38;44
432;"Dom Pomocy Społecznej im. św. Jana Pawła II w Krakowie, ul. Praska 25, 30-329 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;22;10
433;"Dom Pomocy Społecznej im. św. Brata Alberta, ul. Adolfa Nowaczyńskiego 1, 30-336 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;47;25
434;"Dom Pomocy Społecznej Zgromadzenia Sióstr Służebniczek Starowiejskich, ul. Podgórki Tynieckie 96, 30-398 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;34;3
435;"Dom Pomocy Społecznej, ul. dr. Józefa Babińskiego 25, 30-393 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;20;4
436;"Szpital Kliniczny im. dr. Józefa Babińskiego SP ZOZ w Krakowie, ul. dr. Józefa Babińskiego 29, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;179;160
437;"SCANMED S. A. Szpital św. Rafała, ul. Adama Bochenka 12, 30-693 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;17;14
438;"Miejskie Centrum Opieki dla Osób Starszych Przewlekle Niepełnosprawnych oraz Niesamodzielnych w Krakowie, ul. Wielicka 267, 30-663 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;83;40
439;"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Macieja Jakubowskiego 2, 30-688 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;75;59
440;"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Macieja Jakubowskiego 2, 30-688 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;54;85
441;"SP ZOZ Szpital Uniwersytecki w Krakowie, ul. Macieja Jakubowskiego 2, 30-688 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;84;73
442;"Dom Pomocy Społecznej Zakonu Przenajświętszej Trójcy w Krakowie, ul. Łanowa 1B, 30-725 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;17;8
443;"Dom Pomocy Społecznej w Krakowie, ul. Łanowa 39, 30-725 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;27;18
444;"Dom Pomocy Społecznej w Krakowie, ul. Łanowa 41, 30-725 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;73;48
