"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BERNACKI Włodzimierz - KW PRAWO I SPRAWIEDLIWOŚĆ";"MACOŃ Radosław Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORTA Adam Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KRZYCH Bartłomiej Hubert - KW POLSKA JEST JEDNA"
1;"Szkoła Podstawowa nr 1 im. Stanisława Jachowicza w Bochni, ul. Biała 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;306;72;418;45
2;"Świetlica Bocheńskich Zakładów Usług Komunalnych Sp. z o. o. w Bochni, ul. 20 Stycznia 46, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;438;113;569;70
3;"Miejski Ośrodek Sportu i Rekreacji w Bochni Hala Widowiskowo-Sportowa im. W. Stawiarskiego, ul. Księcia Józefa Poniatowskiego 32, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;394;99;532;59
4;"Remiza Ochotniczej Straży Pożarnej Chodenice w Bochni, ul. Chodenicka 57, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;319;62;415;52
5;"Miejskie Przedszkole nr 5 w Bochni, ul. Kolejowa 14, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;318;80;369;50
6;"Szkoła Podstawowa Nr 4 im. św. Barbary w Bochni, ul. Konfederatów Barskich 27, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;414;108;524;83
7;"Miejskie Przedszkole nr 6 w Bochni, ul. Murowianka 28, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;512;118;591;74
8;"Urząd Miasta Bochnia, ul. Kazimierza Wielkiego 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;489;99;683;75
9;"Szkoła Podstawowa nr 2 im. Kazimierza Brodzińskiego w Bochni, ul. Oracka 6, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;435;101;739;53
10;"Miejskie Centrum Dzieci i Młodzieży „Ochronka” w Bochni, ul. Henryka Sienkiewicza 2, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;398;78;678;67
11;"Świetlica Specjalnego Ośrodka Szkolno-Wychowawczego im. ks. Jana Twardowskiego w Bochni, ul. Kazimierza Wielkiego 67, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;400;150;565;96
12;"Szkoła Podstawowa nr 5 im. Jana Matejki w Bochni, ul. Kazimierza Wielkiego 71, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;541;145;748;94
13;"Zespół Szkół nr 1 w Bochni, ul. Edwarda Windakiewicza 23, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;322;80;404;42
14;"Miejskie Przedszkole nr 1 w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;394;74;525;53
15;"Szkoła Podstawowa nr 7 im. Jana Pawła II w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;365;52;404;44
16;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bochni ""Szpital Powiatowy"", ul. Krakowska 31, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;12;6;12;1
17;"Dom Pomocy Społecznej w Bochni (świetlica DPS), ul. Karolina 14F, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;23;1;18;3
1;"Zespół Szkół Gminnych w Proszówkach-Szkoła Podstawowa, Proszówki 365, 32-700 Proszówki";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;487;121;481;77
2;"Świetlica Wiejska w Cikowicach, Cikowice 69, 32-700 Cikowice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;204;57;225;32
3;"Świetlica Wiejska w Łapczycy, Łapczyca 496, 32-744 Łapczyca";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;616;113;383;58
4;"Zespół Szkół Gminnych im. Jana Pawła II w Nieszkowicach Małych, Nieszkowice Małe 112, 32-744 Nieszkowice Małe";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;254;56;193;37
5;"Galeria Wiejska w Chełmie, Chełm 75, 32-744 Chełm";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;158;37;97;15
6;"Zespół Szkół Gminnych im. Lotników Polskich w Nieszkowicach Wielkich, Nieszkowice Wielkie 67, 32-700 Nieszkowice Wielkie";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;516;112;251;53
7;"Zespół Szkół Gminnych im. Henryka Sienkiewicza w Bogucicach-Szkoła Podstawowa, Bogucice 83, 32-711 Bogucice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;297;79;136;35
8;"Gminne Przedszkole w Bogucicach-Oddział w Cerekwi, Cerekiew 7, 32-711 Cerekiew";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;181;34;90;20
9;"Zespół Szkół Gminnych im. Mikołaja Kopernika w Gawłowie, Gawłów 64, 32-711 Gawłów";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;264;44;153;48
10;"Gminne Przedszkole w Łapczycy-Oddział w Gierczycach, Gierczyce 39, 32-744 Gierczyce";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;251;65;217;46
11;"Świetlica Wiejska w Brzeźnicy, Brzeźnica 168, 32-700 Brzeźnica";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;391;58;233;38
12;"Świetlica Wiejska w Gorzkowie, Gorzków 7, 32-700 Gorzków";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;143;31;116;14
13;"Szkoła Podstawowa im. Króla Kazimierza Wielkiego w Damienicach, Damienice 11, 32-700 Damienice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;288;48;164;29
14;"Zespół Szkół Gminnych im. Adama Mickiewicza w Baczkowie-Szkoła Podstawowa, Baczków 23, 32-708 Baczków";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;316;58;169;20
15;"Wiejski Dom Ludowy w Pogwizdowie, Pogwizdów 218, 32-700 Pogwizdów";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;259;47;120;24
16;"Zespół Szkół Gminnych im. Henryka Sienkiewicza w Stanisławicach, Stanisławice 346, 32-015 Stanisławice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;343;81;333;43
17;"Wiejski Dom Ludowy w Buczynie, Buczyna 139, 32-742 Buczyna";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;112;27;99;13
18;"Budynek OSP w Majkowicach, Majkowice 104, 32-711 Majkowice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;138;42;69;15
19;"Świetlica Wiejska w Ostrowie Szlacheckim, Ostrów Szlachecki 83, 32-711 Ostrów Szlachecki";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;138;25;49;9
20;"Zespół Szkół Gminnych im. Bohaterów Westerplatte w Siedlcu, Siedlec 143, 32-744 Siedlec";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;251;59;209;49
1;"Urząd Gminy w Drwini, Drwinia 57, 32-709 Drwinia";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;479;66;187;39
2;"Gminne Centrum Kultury i Promocji w Grobli, Grobla 155, 32-709 Drwinia";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;568;69;176;40
3;"Zespół Szkolno-Przedszkolny w Świniarach, Świniary 74, 32-709 Drwinia";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;319;60;104;17
4;"Zespół Szkolno-Przedszkolny w Mikluszowicach, Mikluszowice 228, 32-708 Dziewin";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;578;109;201;56
5;"Zespół Szkolno-Przedszkolny w Dziewinie, Dziewin 231, 32-708 Dziewin";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;307;57;181;26
6;"Placówka Całodobowej Opieki Dom Opieki Jestem w Grobli, Grobla 229, 32-709 Drwinia";120103;"gm. Drwinia";"bocheński";"małopolskie";1;1;16;2;39;2
1;"Ośrodek Edukacji Ekologicznej w Borównej, Borówna 117, 32-724 Lipnica Murowana";120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";1;1;71;18;36;15
2;"Wiejski Dom Ludowy w Lipnicy Dolnej, Lipnica Dolna 12, 32-724 Lipnica Murowana";120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";1;1;336;50;168;34
3;"Wiejski Dom Ludowy w Lipnicy Górnej, Lipnica Górna 65, 32-724 Lipnica Murowana";120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";1;1;344;58;175;22
4;"Gminny Dom Kultury w Lipnicy Murowanej, Lipnica Murowana 74, 32-724 Lipnica Murowana";120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";1;1;267;43;147;21
5;"Publiczna Szkoła Podstawowa im. św. Jana Pawła II w Rajbrocie, Rajbrot 362, 32-725 Rajbrot";120104;"gm. Lipnica Murowana";"bocheński";"małopolskie";1;1;833;106;185;59
1;"Centrum Kultury Gminy Łapanów, Łapanów 10, 32-740 Łapanów";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;714;156;463;85
2;"Centrum Kultury Gminy Łapanów, Łapanów 10, 32-740 Łapanów";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;448;90;232;61
3;"Dom Kultury w Sobolowie, Sobolów 25, 32-742 Sobolów";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;422;86;273;43
4;"Szkoła Podstawowa w Tarnawie, Tarnawa 119, 32-741 Tarnawa";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;253;54;79;25
5;"Szkoła Podstawowa w Grabiu, Grabie 60, 32-740 Łapanów";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;376;73;136;33
6;"Szkoła Podstawowa w Cichawce, Cichawka 8, 32-740 Łapanów";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;239;44;50;7
7;"Szkoła Podstawowa w Zbydniowie, Zbydniów 80, 32-741 Tarnawa";120105;"gm. Łapanów";"bocheński";"małopolskie";1;1;176;31;69;22
1;"Remiza OSP, Królówka 315, 32-722 Królówka";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;885;124;190;54
2;"Szkoła Podstawowa im. Stanisława Lubomirskiego w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;753;155;600;101
3;"Świetlica Wiejska, Połom Duży 85, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;233;28;86;19
4;"Środowiskowy Dom Samopomocy w Muchówce, Muchówka 157, 32-722 Królówka";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;438;51;83;37
5;"Szkoła Podstawowa im. Jana Pawła II w Starym Wiśniczu, Stary Wiśnicz 480, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;1044;198;456;103
6;"Szkoła Podstawowa im. ks. Jana Twardowskiego w Kobylu, Kobyle 81, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;429;91;193;50
7;"Publiczna Szkoła Podstawowa w Chronowie, Chronów 173, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;135;22;78;24
8;"Szkoła Podstawowa im. Stanisława Lubomirskiego w Nowym Wiśniczu, ul. Kościelna 2, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;768;150;493;94
9;"Zakład Karny w Nowym Wiśniczu, Leksandrowa 1, 32-720 Nowy Wiśnicz";120106;"gm. Nowy Wiśnicz";"bocheński";"małopolskie";1;1;50;37;299;30
1;"Gminne Centrum Kultury, Czytelnictwa i Sportu w Rzezawie, budynek biblioteki w Rzezawie, ul. Kościelna 6, 32-765 Rzezawa";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;814;164;533;144
2;"Budynek OSP w Bratucicach, Bratucice 12, 32-712 Bratucice";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;191;51;97;21
3;"Publiczna Szkoła Podstawowa w Okulicach, Okulice 51, 32-712 Bratucice";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;98;26;35;15
4;"Zespół Szkolno-Przedszkolny w Łazach, Łazy 50, 32-765 Rzezawa";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;317;74;152;37
5;"Publiczna Szkoła Podstawowa w Krzeczowie, Krzeczów ul. Szkolna 2, 32-700 Bochnia";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;462;109;275;53
6;"Zespół Szkolno-Przedszkolny w Borku, Borek 148, 32-765 Rzezawa";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;473;61;143;51
7;"Dom Ludowy w Buczkowie, Buczków 137, 32-712 Bratucice";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;113;24;49;23
8;"Zespół Szkolno-Przedszkolny w Dąbrówce, Dąbrówka 1, 32-712 Bratucice";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;254;55;119;32
9;"Publiczna Szkoła Podstawowa w Jodłówce, Jodłówka 274, 32-765 Rzezawa";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;418;103;154;55
10;"Budynek Wiejski w Dębinie, Dębina 67, 32-712 Bratucice";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;120;25;60;7
11;"Budynek OSP w Ostrowie Królewskim, Ostrów Królewski 102, 32-765 Rzezawa";120107;"gm. Rzezawa";"bocheński";"małopolskie";1;1;85;19;43;10
1;"Publiczna Szkoła Podstawowa w Kamionnej, Kamionna 263, 32-732 Kamionna";120108;"gm. Trzciana";"bocheński";"małopolskie";1;1;438;71;121;42
2;"Publiczna Szkoła Podstawowa w Kierlikówce, Kierlikówka 4, 32-732 Kamionna";120108;"gm. Trzciana";"bocheński";"małopolskie";1;1;330;27;139;42
3;"Publiczna Szkoła Podstawowa w Leszczynie, Leszczyna 132, 32-733 Trzciana";120108;"gm. Trzciana";"bocheński";"małopolskie";1;1;287;58;113;28
4;"Publiczna Szkoła Podstawowa w Łąkcie Dolnej, Łąkta Dolna 136, 32-733 Trzciana";120108;"gm. Trzciana";"bocheński";"małopolskie";1;1;394;53;168;42
5;"Zespół Placówek Oświatowych w Trzcianie, Trzciana 403, 32-733 Trzciana";120108;"gm. Trzciana";"bocheński";"małopolskie";1;1;541;109;260;58
1;"Szkoła Podstawowa w Łąkcie Górnej, Łąkta Górna 304, 32-731 Żegocina";120109;"gm. Żegocina";"bocheński";"małopolskie";1;1;666;95;163;56
2;"Szkoła Podstawowa w Rozdzielu, Rozdziele 156, 32-731 Żegocina";120109;"gm. Żegocina";"bocheński";"małopolskie";1;1;362;54;87;24
3;"Urząd Gminy Żegocina, Żegocina 316, 32-731 Żegocina";120109;"gm. Żegocina";"bocheński";"małopolskie";1;1;666;91;245;73
4;"Remiza Ochotniczej Straży Pożarnej w Bytomsku, Bytomsko 125, 32-731 Żegocina";120109;"gm. Żegocina";"bocheński";"małopolskie";1;1;311;49;61;25
5;"Remiza Ochotniczej Straży Pożarnej w Bełdnie, Bełdno 22, 32-731 Żegocina";120109;"gm. Żegocina";"bocheński";"małopolskie";1;1;146;15;28;9
1;"Zespół Szkolno-Przedszkolny w Bielczy, Bielcza 294A, 32-824 Bielcza";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;466;96;157;62
2;"Hala Sportowa w Borzęcinie Górnym, Borzęcin 562, 32-825 Borzęcin";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;745;182;267;111
3;"Zespół Szkolno-Przedszkolny w Borzęcinie Dolnym, Borzęcin 321B, 32-825 Borzęcin";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;242;64;92;25
4;"Remiza OSP w Łękach, Łęki 80A, 32-823 Szczepanów";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;179;36;92;24
5;"Zespół Szkół-Sala Gimnastyczna w Przyborowie, Przyborów 192, 32-823 Szczepanów";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;516;153;263;61
6;"Świetlica Wiejska w Warysiu, Waryś 327A, 32-825 Borzęcin";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;173;36;38;9
7;"Dom Pomocy Społecznej w Borzęcinie, Borzęcin 591, 32-825 Borzęcin";120201;"gm. Borzęcin";"brzeski";"małopolskie";1;1;24;1;6;6
1;"Publiczne Przedszkole Nr 4, ul. Ogrodowa 10, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;265;72;246;51
2;"Budynek dawnego ratusza, ul. Tadeusza Kościuszki 7, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;299;90;346;47
3;"Miejski Zakład Gospodarki Mieszkaniowej Spółka z o. o., ul. Okocimska 5, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;303;67;346;55
4;"Kręgielnia BOSiR, ul. Browarna 13A, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;246;61;289;35
5;"Rejonowe Przedsiębiorstwo Wodociągów i Kanalizacji Spółka z o. o., ul. Ludwika Solskiego 13, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;385;102;425;85
6;"Publiczna Szkoła Podstawowa Nr 1, ul. Bartosza Głowackiego 57, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;286;71;352;47
7;"Publiczna Szkoła Podstawowa Nr 3, ul. Legionów Piłsudskiego 23, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;407;99;462;78
8;"Publiczna Szkoła Podstawowa Nr 3, ul. Legionów Piłsudskiego 23, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;380;103;356;53
9;"Zespół Szkolno-Przedszkolny, ul. Królowej Jadwigi 18, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;468;83;477;86
10;"Zespół Szkolno-Przedszkolny, ul. Królowej Jadwigi 18, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;472;139;517;104
11;"Publiczna Szkoła Podstawowa, Jasień ul. Zielna 1, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;877;202;600;116
12;"Publiczna Szkoła Podstawowa, Bucze ul. Okulicka 6, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;418;99;141;43
13;"Zespół Szkolno-Przedszkolny, ul. Szkolna 7, 32-851 Jadowniki";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;488;100;261;47
14;"Dom Ludowy, ul. Krakowska 98, 32-851 Jadowniki";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;901;206;485;112
15;"Dom Ludowy, Okocim ul. Goetzów Okocimskich 83, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;462;108;321;73
16;"Publiczna Szkoła Podstawowa, Poręba Spytkowska ul. Kasztelana Spytka 98, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;618;101;219;94
17;"Publiczna Szkoła Podstawowa, Mokrzyska ul. Wiślana 47, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;752;205;426;138
18;"Publiczna Szkoła Podstawowa, ul. Świętego Stanisława 5, 32-823 Szczepanów";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;361;97;192;67
19;"Dom Kultury, Sterkowiec ul. Sosnowa 18, 32-823 Szczepanów";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;270;61;160;50
20;"Dom Ludowy Strażak, Wokowice ul. Centralna 44, 32-828 Biadoliny Szlacheckie";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;133;27;71;15
21;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Brzesku, ul. Tadeusza Kościuszki 68, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;62;3;11;8
22;"Powiatowy Publiczny Zakład Opiekuńczo-Leczniczy w Brzesku, ul. Tadeusza Kościuszki 33, 32-800 Brzesko";120202;"gm. Brzesko";"brzeski";"małopolskie";1;1;12;0;8;0
1;"Publiczna Szkoła Podstawowa w Czchowie, ul. Szkolna 2, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;646;125;366;128
2;"Publiczna Szkoła Podstawowa w Wytrzyszczce, Wytrzyszczka 15, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;228;27;36;19
3;"Publiczna Szkoła Podstawowa im. Jana Pawła II w Jurkowie, Jurków 150, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;381;89;149;62
4;"Publiczna Szkoła Podstawowa im. Adama Mickiewicza w Złotej, Złota 50, 32-859 Złota";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;460;53;169;68
5;"Publiczna Szkoła Podstawowa im. Św. Urszuli Ledóchowskiej w Tymowej, Tymowa 376, 32-863 Tymowa";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;479;107;184;87
6;"Publiczna Szkoła Podstawowa im. Ignacego Jana Paderewskiego w Tworkowej, Tworkowa 36, 32-863 Tymowa";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;279;69;106;59
7;"Publiczna Szkoła Podstawowa im. ks. prof. Józefa Tischnera w Domosławicach, Domosławice 24, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;256;49;78;27
8;"Budynek Komunalny, Piaski-Drużków 1, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;139;22;53;10
9;"SPGZOZ w Czchowie, Zakład Opiekuńczo-Leczniczy, ul. Sądecka 183, 32-860 Czchów";120203;"gm. Czchów";"brzeski";"małopolskie";1;1;8;0;1;0
1;"Hala Widowiskowo-Sportowa w Dębnie, Dębno 212A, 32-852 Dębno";120204;"gm. Dębno";"brzeski";"małopolskie";1;1;522;121;267;104
2;"Publiczna Szkoła Podstawowa w Porąbce Uszewskiej, Porąbka Uszewska 306, 32-854 Porąbka Uszewska";120204;"gm. Dębno";"brzeski";"małopolskie";1;1;330;68;190;43
3;"Publiczna Szkoła Podstawowa w Łoniowej, Łoniowa 210, 32-854 Porąbka Uszewska";120204;"gm. Dębno";"brzeski";"małopolskie";1;1;305;37;106;50
