"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"FEDOROWICZ Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OSTROWSKI Krzysztof Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"JURGA Michał Aleksander - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PRZYBYLSKI Dawid Krzysztof - KWW RDIP";"PIASECKI Mirosław - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
14;"Świetlica Wiejska w Miatach, Miaty 29A, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;51;59;16;6;8
15;"Świetlica Wiejska w Zieleniu, Zieleń 72A, 62-240 Trzemeszno";300309;"gm. Trzemeszno";"gnieźnieński";"wielkopolskie";1;1;138;140;45;7;16
1;"Szkoła Podstawowa nr 2 im. Lotnictwa Polskiego w Witkowie (Budynek , , B'' Szkoły), ul. Czerniejewska 14, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;570;227;73;35;39
2;"Szkoła Podstawowa nr 2 im. Lotnictwa Polskiego w Witkowie (Budynek , , A'' Szkoły), ul. Czerniejewska 12, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;545;216;76;27;18
3;"Urząd Gminy i Miasta w Witkowie, ul. Gnieźnieńska 1, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;256;322;64;26;30
4;"Świetlica Wiejska w Sokołowie, Sokołowo 23, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;158;213;61;10;7
5;"Świetlica Wiejska w Wiekowie, Wiekowo 71A, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;119;128;28;13;10
6;"Niepubliczna Szkoła Podstawowa w Gorzykowie, Gorzykowo 3, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;70;145;37;14;18
7;"Zespół Szkolno-Przedszkolny w Mielżynie, Mielżyn ul. Strzałkowska 1, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;175;297;46;12;17
8;"Szkoła Podstawowa nr 1 im. Adama Borysa w Witkowie, ul. Poznańska 47, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;466;442;113;38;40
9;"Zespół Szkół Ponadpodstawowych im. Dezyderego Chłapowskiego w Witkowie, ul. Warszawska 29, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;450;300;112;12;42
10;"Przedszkole Miejskie w Witkowie, ul. Jasna 38, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;259;114;34;17;16
11;"Świetlica Wiejska w Małachowie-Złych Miejsc, Małachowo-Złych Miejsc 5A, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;67;107;25;9;4
12;"Świetlica Wiejska w Kołaczkowie, Kołaczkowo 30A, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;44;94;18;5;11
13;"Świetlica Wiejska w Ruchocinku, Ruchocinek 35A, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;96;113;22;6;7
14;"Świetlica Wiejska w Jaworowie, Jaworowo 20, 62-230 Witkowo";300310;"gm. Witkowo";"gnieźnieński";"wielkopolskie";1;1;44;62;19;4;6
