"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CIEŚLUKOWSKI Cezary - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KOMOROWSKI Marek Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KIEŁCZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
19;"Centrum Sportu i Rekreacji w Augustowie, ul. mjr. Henryka Sucharskiego 15, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;352;196;71
20;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Augustowie, ul. Szpitalna 12, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;8;16;3
21;"Podlaskie Centrum Sercowo-Naczyniowe Sp. z o. o. w Augustowie, ul. Marii Konopnickiej 11, 16-300 Augustów";200101;"m. Augustów";"augustowski";"podlaskie";1;1;15;45;5
1;"Centrum Kultury i Biblioteka Gminy Augustów w Żarnowie, Żarnowo Drugie 16, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;221;263;84
2;"Szkoła Podstawowa, Rutki Nowe 1, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;80;110;26
3;"Szkoła Podstawowa, Janówka 48A, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;230;369;85
4;"Szkoła Podstawowa, Netta Pierwsza 14, 16-320 Bargłów Kościelny";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;95;118;41
5;"Szkoła Podstawowa, Białobrzegi 75, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;234;224;89
6;"Szkoła Podstawowa, Kolnica 48, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;114;107;42
7;"Remiza OSP, Topiłówka 36A, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;82;89;14
8;"Remiza OSP, Pruska Wielka 10, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;46;73;20
9;"Remiza OSP, Jeziorki 16, 16-300 Augustów";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;54;68;40
10;"Remiza OSP, Netta Druga 12A, 16-320 Bargłów Kościelny";200102;"gm. Augustów";"augustowski";"podlaskie";1;1;47;78;24
1;"Budynek Urzędu Gminy w Bargłowie Kościelnym, ul. Augustowska 47, 16-320 Bargłów Kościelny";200103;"gm. Bargłów Kościelny";"augustowski";"podlaskie";1;1;403;677;161
2;"Budynek Szkoły Podstawowej, Łabętnik 10, 16-320 Bargłów Kościelny";200103;"gm. Bargłów Kościelny";"augustowski";"podlaskie";1;1;124;255;59
3;"Budynek Szkoły Podstawowej, Kroszewo 27, 16-320 Bargłów Kościelny";200103;"gm. Bargłów Kościelny";"augustowski";"podlaskie";1;1;137;233;50
4;"Szkoła Podstawowa im. Zygmunta Augusta w Tajnie Starym, Tajno Stare 31, 16-320 Bargłów Kościelny";200103;"gm. Bargłów Kościelny";"augustowski";"podlaskie";1;1;98;154;37
1;"Miejsko-Gminny Ośrodek Kultury w Lipsku, ul. Rynek 23, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;95;156;50
2;"Remiza OSP w Bartnikach, Bartniki 16, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;82;271;64
3;"Świetlica Wiejska w Rygałówce, Rygałówka 3, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;63;195;40
4;"Miejsko-Gminny Ośrodek Kultury w Lipsku, ul. Rynek 23, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;264;294;82
5;"Miejsko-Gminny Ośrodek Kultury w Lipsku, ul. Rynek 23, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;168;247;52
6;"Środowiskowy Dom Samopomocy w Kuriance, Kurianka 43, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;36;112;16
7;"Świetlica Wiejska w Skieblewie, Skieblewo 21, 16-315 Lipsk";200104;"gm. Lipsk";"augustowski";"podlaskie";1;1;43;122;27
1;"Gminny Ośrodek Kultury w Nowince, Nowinka 26A, 16-304 Nowinka";200105;"gm. Nowinka";"augustowski";"podlaskie";1;1;145;155;58
2;"Szkoła Podstawowa w Nowince, Nowinka 14, 16-304 Nowinka";200105;"gm. Nowinka";"augustowski";"podlaskie";1;1;161;200;55
3;"Szkoła Filialna im. Ks. Stanisława Chmielewskiego w Monkiniach Szkoły Podstawowej im. Powstańców Styczniowych w Nowince z siedzibą, Monkinie 27, 16-304 Nowinka";200105;"gm. Nowinka";"augustowski";"podlaskie";1;1;230;217;52
4;"Szkoła Filialna im. gen. pilota Witolda Urbanowicza w Olszance Szkoły Podstawowej im. Powstańców Styczniowych w Nowince, Olszanka 54, 16-304 Nowinka";200105;"gm. Nowinka";"augustowski";"podlaskie";1;1;120;203;30
1;"Centrum Informacji Turystycznej, Płaska 57A/Sala Nr 1, 16-326 Płaska";200106;"gm. Płaska";"augustowski";"podlaskie";1;1;199;153;93
2;"Centrum Informacji Turystycznej, Płaska 57A/Sala Nr 2, 16-326 Płaska";200106;"gm. Płaska";"augustowski";"podlaskie";1;1;250;208;63
3;"Świetlica Wiejska, Gruszki 60, 16-326 Płaska";200106;"gm. Płaska";"augustowski";"podlaskie";1;1;186;243;71
4;"Świetlica Wiejska w Strzelcowiźnie, Strzelcowizna 26A, 16-326 Strzelcowizna";200106;"gm. Płaska";"augustowski";"podlaskie";1;1;42;65;9
1;"Remiza OSP, ul. Kościuszki 10, 16-310 Sztabin";200107;"gm. Sztabin";"augustowski";"podlaskie";1;1;456;508;162
2;"Remiza OSP, Jaminy 21B, 16-310 Sztabin";200107;"gm. Sztabin";"augustowski";"podlaskie";1;1;90;126;34
3;"Remiza OSP, Krasnybór 43, 16-310 Sztabin";200107;"gm. Sztabin";"augustowski";"podlaskie";1;1;192;404;75
4;"Remiza OSP, Jaziewo 47A, 16-310 Sztabin";200107;"gm. Sztabin";"augustowski";"podlaskie";1;1;102;180;42
1;"Zespół Szkół Nr 1, ul. A. Mickiewicza 3, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;376;404;153
2;"Szkoła Podstawowa Nr 2, ul. A. Mickiewicza 2, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;322;367;159
3;"Przedszkole Miejskie Nr 4, ul. Ełcka 31, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;240;326;151
4;"Zespół Szkół Specjalnych, ul. Ełcka 11, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;210;251;105
5;"Szkoła Podstawowa Nr 1, ul. Szkolna 12, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;237;318;129
6;"Szkoła Podstawowa Nr 1, ul. Szkolna 12, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;257;276;120
7;"Grajewskie Centrum Kultury, ul. Wojska Polskiego 20, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;266;365;132
8;"Szkoła Podstawowa Nr 4, ul. Konstytucji 3-go Maja 23, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;318;333;179
9;"Szkoła Podstawowa Nr 4, ul. Konstytucji 3-go Maja 23, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;248;288;121
10;"Przedszkole Miejskie Nr 6, os. Osiedle Południe 34, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;295;265;114
11;"Przedszkole Miejskie Nr 2, ul. Ignacego Krasickiego 2, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;483;409;210
12;"Środowiskowy Dom Samopomocy, ul. Konstytucji 3-go Maja 2B, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;301;362;115
13;"Zespół Szkół Nr 2, ul. Wojska Polskiego 84, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;234;284;132
14;"Szpital Ogólny w Grajewie, ul. Konstytucji 3-go Maja 34, 19-200 Grajewo";200401;"m. Grajewo";"grajewski";"podlaskie";1;1;17;23;2
1;"Urząd Gminy Grajewo, ul. Komunalna 6, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;141;280;141
2;"Szkoła Podstawowa w Wierzbowie, Wierzbowo 72, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;103;203;80
3;"Przedszkole w Rudzie, Ruda ul. Szkolna 8, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;139;170;90
4;"Szkoła Podstawowa w Białaszewie, Białaszewo ul. Mikołaja Kopernika 2, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;92;282;72
5;"Szkoła Podstawowa w Danówku, Danówek 7, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;137;218;112
6;"Świetlica Wiejska w Ciemnoszyjach, Ciemnoszyje 54, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;109;130;51
7;"Świetlica Wiejska w Wojewodzinie, Wojewodzin 2, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;62;105;87
8;"Świetlica Wiejska w Szymanach, Szymany 67, 19-200 Grajewo";200402;"gm. Grajewo";"grajewski";"podlaskie";1;1;70;113;89
1;"Świetlica wiejska, Łoje-Awissa 1, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;10;159;21
2;"Świetlica wiejska, Glinki 32, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;19;76;7
3;"Świetlica wiejska w Słuczu, Słucz 51, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;80;206;44
4;"była Szkoła Podstawowa, Kramarzewo 1, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;29;199;43
5;"Świetlica wiejska w Klimaszewnicy, Klimaszewnica 89, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;32;146;35
6;"Świetlica wiejska, Mścichy 54, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;42;106;22
7;"Świetlica wiejska, Karwowo 34, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;40;163;22
8;"Sala centrum kultury w Radziłowie, pl. 500-lecia 14a, 19-213 Radziłów";200403;"gm. Radziłów";"grajewski";"podlaskie";1;1;125;368;68
1;"Urząd Miejski w Rajgrodzie, ul. Warszawska 32, 19-206 Rajgród";200404;"gm. Rajgród";"grajewski";"podlaskie";1;1;446;348;146
2;"Remiza OSP w Woźnejwsi, Woźnawieś 85, 19-206 Rajgród";200404;"gm. Rajgród";"grajewski";"podlaskie";1;1;89;135;63
3;"Remiza OSP w Bełdzie, Bełda 40, 19-206 Rajgród";200404;"gm. Rajgród";"grajewski";"podlaskie";1;1;94;147;44
4;"Świetlica Wiejska w Biebrzy, Biebrza 1, 19-206 Rajgród";200404;"gm. Rajgród";"grajewski";"podlaskie";1;1;84;111;36
5;"Szkoła Podstawowa w Rydzewie, Rydzewo 6, 19-206 Rajgród";200404;"gm. Rajgród";"grajewski";"podlaskie";1;1;143;224;110
1;"Zespół Szkolno-Przedszkolny, ul. Jana Kilińskiego 42, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;209;293;60
2;"Zespół Szkolno-Przedszkolny w Szczuczynie, pl. 1000-lecia 14, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;235;260;98
3;"Świetlica wiejska, Skaje 53, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;83;233;51
4;"Biblioteka-Centrum Kultury, ul. Łomżyńska 11, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;170;254;58
5;"Zespół Szkół, Niećkowo 63, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;87;248;51
6;"Szkoła Podstawowa, Niedźwiadna 49, 19-230 Szczuczyn";200405;"gm. Szczuczyn";"grajewski";"podlaskie";1;1;96;204;35
1;"Urząd Gminy, pl. Plac Rzędziana 8, 19-222 Wąsosz";200406;"gm. Wąsosz";"grajewski";"podlaskie";1;1;152;324;67
2;"Szkoła Podstawowa, Ławsk 107, 19-222 Wąsosz";200406;"gm. Wąsosz";"grajewski";"podlaskie";1;1;87;266;56
3;"Szkoła Podstawowa w Sulewie-Kownatach, Sulewo-Prusy 18, 19-222 Wąsosz";200406;"gm. Wąsosz";"grajewski";"podlaskie";1;1;68;220;46
4;"Szkoła Podstawowa w Wąsoszu, ul. Piaskowa 13, 19-222 Wąsosz";200406;"gm. Wąsosz";"grajewski";"podlaskie";1;1;21;83;15
5;"Remiza Strażacka, Żebry 23, 19-222 Wąsosz";200406;"gm. Wąsosz";"grajewski";"podlaskie";1;1;35;157;31
1;"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 22, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;110;174;52
2;"Kolneński Ośrodek Kultury i Sportu, ul. Marii Konopnickiej 4, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;164;189;90
3;"Szkoła Podstawowa Nr 2, ul. Szkolna 8, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;219;310;70
4;"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 22, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;176;339;96
5;"Zespół Szkół Technicznych, ul. Teofila Kubraka 6, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;195;216;75
6;"Starostwo Powiatowe, ul. 11 Listopada 1, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;208;220;90
7;"I Liceum Ogólnokształcące, ul. Wojska Polskiego 34, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;215;285;111
8;"Przedszkole Miejskie Nr 4, ul. Wojska Polskiego 65A, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;366;358;136
9;"Miejska Biblioteka Publiczna, ul. Marii Dąbrowskiej 4, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;160;227;73
10;"Szpital Ogólny w Kolnie, ul. Wojska Polskiego 69, 18-500 Kolno";200601;"m. Kolno";"kolneński";"podlaskie";1;1;6;14;2
1;"Świetlica, ul. kpt. Adama Gątkiewicza 31, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;85;103;28
2;"Urząd Gminy, ul. gen. Władysława Sikorskiego 1, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;140;248;54
3;"Szkoła Podstawowa im. Antoniego i Jakuba Wagów, ul. Szkolna 7, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;24;283;41
4;"Świetlica, Surały 22B, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;58;158;39
5;"Remiza OSP, Siwki 8, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;21;104;21
6;"Szkoła Podstawowa, Konopki-Monety 39, 18-507 Grabowo";200602;"gm. Grabowo";"kolneński";"podlaskie";1;1;21;130;21
1;"Gminna Biblioteka Publiczna w Czerwonem, Czerwone 50, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;152;221;78
2;"Centrum Kultury Gminy Kolno, Kozioł 41, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;40;129;38
3;"Centrum Kultury Gminy Kolno w Zabielu, Zabiele 165, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;120;292;85
4;"Remiza OSP w Janowie, Janowo 32, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;61;272;34
5;"Szkoła Podstawowa w Borkowie, Borkowo 72, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;112;190;65
6;"Szkoła Podstawowa w Wykowie, Wykowo 14, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;63;132;28
7;"Szkoła Podstawowa w Zaskrodziu, Zaskrodzie 66, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;53;245;38
8;"Remiza OSP w Starym Gromadzynie, Stary Gromadzyn 27A, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;60;168;67
9;"Centrum Kultury Gminy Kolno w Lachowie, Lachowo 64, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;63;115;33
10;"Szkoła Podstawowa w Lachowie, Lachowo 21, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;77;320;59
11;"Remiza OSP w Kumelsku, Kumelsk 20, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;78;151;42
12;"Świetlica Wiejska w Wincencie, Wincenta 15 A, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;41;53;18
13;"Świetlica Wiejska w Bialikach, Bialiki 37, 18-500 Kolno";200603;"gm. Kolno";"kolneński";"podlaskie";1;1;29;106;33
1;"Szkoła Podstawowa w Kątach, Kąty 168, 18-516 Mały Płock";200604;"gm. Mały Płock";"kolneński";"podlaskie";1;1;102;266;54
2;"Urząd Gminy w Małym Płocku, ul. Jana Kochanowskiego 15, 18-516 Mały Płock";200604;"gm. Mały Płock";"kolneński";"podlaskie";1;1;200;477;86
3;"Gminny Ośrodek Kultury w Małym Płocku, ul. ks. Tadeusza Ciborowskiego 38, 18-516 Mały Płock";200604;"gm. Mały Płock";"kolneński";"podlaskie";1;1;119;406;45
4;"Szkoła Podstawowa w Rogienicach Wielkich, Rogienice Wielkie ul. Długa 1, 18-516 Mały Płock";200604;"gm. Mały Płock";"kolneński";"podlaskie";1;1;57;122;27
5;"Szkoła Podstawowa w Chludniach, Chludnie 2, 18-516 Mały Płock";200604;"gm. Mały Płock";"kolneński";"podlaskie";1;1;68;183;35
1;"Urząd Miejski w Stawiskach, pl. Plac Wolności 13/15, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;167;263;73
2;"Gminny Ośrodek Kultury i Sportu w Stawiskach, ul. Krótka 4, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;126;240;50
3;"Szkoła Podstawowa im. Tadeusza Kościuszki w Stawiskach, ul. Polowa 12, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;60;380;73
4;"Szkoła Filialna w Jurcu Szlacheckim, Jurzec Szlachecki 53, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;18;142;20
5;"Centrum Usług Społecznych w Stawiskach, ul. Polowa 26, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;41;332;51
6;"Szkoła Podstawowa w Porytem, Poryte ul. Szkolna 23, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;73;125;18
7;"Świetlica w Budach Stawiskich, Budy Stawiskie 1, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;35;154;28
8;"Świetlica w Dzierzbi, Dzierzbia 77, 18-520 Stawiski";200605;"gm. Stawiski";"kolneński";"podlaskie";1;1;37;107;26
1;"Szkoła Podstawowa im. ks. Jana Twardowskiego, ul. Jana Pawła II 28, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;150;405;100
2;"Szkoła Podstawowa im. ks. Jana Twardowskiego, ul. Jana Pawła II 28, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;233;345;130
3;"Szkoła Podstawowa im. Marii Konopnickiej, Ptaki 27, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;106;187;58
4;"Szkoła Podstawowa im. Stanisława Krupki, Leman 48, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;81;134;33
5;"Szkoła Podstawowa w Ksebkach, Ksebki 38, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;62;128;23
6;"Szkoła Podstawowa w Łasze, Łacha 96, 18-525 Turośl";200606;"gm. Turośl";"kolneński";"podlaskie";1;1;56;149;33
1;"Urząd Miejski w Jedwabnem, ul. Żwirki i Wigury 3, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;111;227;77
2;"Szkoła Podstawowa w Jedwabnem, ul. Wojska Polskiego 17, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;65;348;79
3;"Remiza OSP w Burzynie, Burzyn ul. Cmentarna 5, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;78;448;52
4;"Miejsko Gminny Ośrodek Kultury w Jedwabnem, ul. Piękna 8, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;64;303;57
5;"Zespół Szkół Samorządowych w Jedwabnem, ul. Mickiewicza 2, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;102;307;49
6;"Klub Seniora w Orlikowie, Orlikowo 18A, 18-420 Jedwabne";200701;"gm. Jedwabne";"łomżyński";"podlaskie";1;1;8;85;8
1;"Szkoła Podstawowa, Jarnuty 1, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;116;262;75
2;"Szkoła Podstawowa, Nowe Kupiski 137, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;57;199;53
3;"Centrum Kultury Gminy Łomża, Stare Kupiski ul. Dworna 1B, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;330;401;129
4;"Centrum Kultury Gminy Łomża, Podgórze ul. Łomżyńska 30, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;103;187;55
5;"Szkoła Podstawowa, Puchały 31, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;66;263;29
6;"Szkoła Podstawowa, Wygoda ul. Łomżyńska 2, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;167;323;82
7;"Szkoła Podstawowa, Pniewo ul. Akacjowa 1, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;97;180;51
8;"Świetlica Wiejska, Boguszyce 50, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;54;190;25
9;"Świetlica Wiejska, Chojny Młode 1A, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;66;228;35
10;"Świetlica Wiejska, Jednaczewo ul. Łomżyńska 77, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;121;172;44
11;"Szkoła Podstawowa, Konarzyce ul. Szkolna 4, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;303;374;110
12;"Świetlica Wiejska, Stara Łomża przy Szosie ul. Wiejska 17, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;288;256;78
13;"Świetlica Wiejska, Giełczyn ul. Spokojna 12, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;227;182;80
14;"Świetlica Wiejska, Siemień Nadrzeczny ul. Widokowa 86A, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;55;87;26
15;"Świetlica Wiejska, Stare Modzele 53, 18-400 Łomża";200702;"gm. Łomża";"łomżyński";"podlaskie";1;1;30;78;22
