"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZEGORCZYK Hubert - KW PRAWO I SPRAWIEDLIWOŚĆ";"BORUSEWICZ Bogdan Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZOSTAK Artur - KW POLSKA PARTIA PIRATÓW"
12;"Zespół Szkolno–Przedszkolny nr 4, Gdańsk ul. Wilhelma Stryjewskiego 28, 80-620 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;322;690;85
13;"Zespół Szkolno–Przedszkolny nr 4, Gdańsk ul. Wilhelma Stryjewskiego 28, 80-620 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;337;574;80
14;"Zespół Szkolno-Przedszkolny nr 3, Gdańsk ul. Kłosowa 3, 80-627 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;358;641;106
15;"Zespół Szkolno-Przedszkolny Nr 11, Gdańsk ul. Sienna 26, 80-605 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;305;671;75
16;"Zespół Szkolno-Przedszkolny Nr 11, Gdańsk ul. Sienna 26, 80-605 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;366;676;118
17;"Szkoła Podstawowa Nr 62, Gdańsk ul. Kępna 38, 80-635 Gdańsk 8";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;263;570;86
18;"Zespół Kształcenia Podstawowego i Przedszkolnego Nr 1, Gdańsk ul. Tęczowa 6, 80-680 Gdańsk 40";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;217;734;80
19;"Szkoła Podstawowa Nr 88, Gdańsk ul. Mieczysława Boguckiego 44, 80-690 Gdańsk 40";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;286;776;99
20;"Szkoła Podstawowa Nr 29, Gdańsk ul. Miałki Szlak 74, 80-717 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;155;312;66
21;"Zespół Szkół Samochodowych, Gdańsk ul. Elbląska 54/64, 80-724 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;103;274;32
22;"Szkoła Podstawowa Nr 59, Gdańsk ul. Modra 2, 80-736 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;377;757;106
23;"Szkoła Podstawowa Nr 56, Gdańsk ul. Małomiejska 8A, 80-037 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;401;858;134
24;"Szkoła Podstawowa Nr 56, Gdańsk ul. Małomiejska 8A, 80-037 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;380;813;135
25;"Szkoła Podstawowa Nr 16, Gdańsk ul. Ubocze 3, 80-052 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;281;419;53
26;"Szkoła Podstawowa Nr 16, Gdańsk ul. Ubocze 3, 80-052 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;209;524;80
27;"Centrum Kształcenia Zawodowego i Ustawicznego Nr 2, Gdańsk ul. Smoleńska 5/7, 80-058 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;556;1198;196
28;"Przedszkole Nr 24, Gdańsk ul. Trakt św. Wojciecha 320, 80-001 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;144;361;42
29;"Szkoła Podstawowa Nr 40, Gdańsk ul. Stroma 19, 80-012 Gdańsk 9";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;126;340;47
30;"I Liceum Ogólnokształcące, Gdańsk ul. Wały Piastowskie 6, 80-855 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;321;1310;150
31;"Nadbałtyckie Centrum Kultury, Gdańsk ul. Korzenna 33/35, 80-851 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;203;520;72
32;"Szkoła Podstawowa Specjalna Nr 26, Gdańsk ul. Karpia 1, 80-882 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;292;855;83
33;"Szkoła Podstawowa Nr 50, Gdańsk ul. Grobla IV 8, 80-837 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;407;1147;132
34;"Urząd Miejski, Gdańsk ul. Długi Targ 39/40, 80-830 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;255;763;102
35;"Szkoła Podstawowa Nr 67, Gdańsk ul. Żabi Kruk 5, 80-822 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;339;1442;160
36;"Szkoła Podstawowa Nr 65, Gdańsk ul. Śluza 6, 80-770 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;419;1302;175
37;"Szkoła Podstawowa Nr 4, Gdańsk ul. Łąkowa 61, 80-769 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;300;804;133
38;"Szkoły Ekonomiczno-Handlowe, Gdańsk ul. Mariana Seredyńskiego 1A, 80-753 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;475;1742;202
39;"Zespół Szkół Ogólnokształcących Nr 6, Gdańsk ul. Głęboka 11, 80-759 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;232;600;83
40;"Instytut Kultury Miejskiej-Kunszt Wodny, Gdańsk ul. Targ Rakowy 11, 80-806 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;100;323;39
41;"Szkoła Podstawowa Nr 21, Gdańsk ul. Na Stoku 43, 80-811 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;233;542;69
42;"Szkoła Podstawowa Nr 86, Gdańsk ul. Wielkopolska 20, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;241;1155;125
43;"Szkoła Podstawowa Nr 86, Gdańsk ul. Wielkopolska 20, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;341;1823;297
44;"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;359;1828;193
45;"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;497;1531;215
46;"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;218;1293;155
47;"Szkoła Podstawowa Nr 12, Gdańsk ul. Człuchowska 6, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;433;1655;243
48;"Przedszkole Ujeścisko Sp. z o. o., Gdańsk ul. Płocka 4, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;484;1726;239
49;"Przedszkole Publiczne Słoneczna Kraina ""Ujeścisko"", Gdańsk ul. Lubelska 3A, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;167;610;92
50;"Miejski Ośrodek Pomocy Rodzinie, Centrum Pracy Socjalnej 9, Gdańsk ul. Piekarnicza 16, 80-126 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;195;1223;154
51;"Szkoła Podstawowa Nr 85, Gdańsk ul. Stolema 59, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;283;1437;180
52;"Morska Szkoła Podstawowa Gdańsk-Południe, Gdańsk ul. Srebrna 11, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;287;1471;235
53;"Morska Szkoła Podstawowa Gdańsk-Południe, Gdańsk ul. Srebrna 11, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;265;1763;277
54;"Szkoła Podstawowa Nr 86, Gdańsk ul. Wielkopolska 20, 80-180 Gdańsk 42";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;345;1851;246
55;"Szkoła Podstawowa Nr 19, Gdańsk ul. Emilii Hoene 6, 80-041 Gdańsk 7";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;462;1319;155
56;"Szkoła Podstawowa Nr 19, Gdańsk ul. Emilii Hoene 6, 80-041 Gdańsk 7";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;488;1523;164
57;"Szkoła Podstawowa Nr 19, Gdańsk ul. Emilii Hoene 6, 80-041 Gdańsk 7";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;470;1669;191
58;"Morskie Przedszkole, Gdańsk ul. Rogalińska 17, 80-809 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;397;2044;250
59;"Morska Szkoła Podstawowa, Gdańsk ul. Rogalińska 17, 80-809 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;254;1514;170
60;"Morska Szkoła Podstawowa, Gdańsk ul. Rogalińska 17, 80-809 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;346;1230;159
61;"Szkoła Podstawowa Nr 47, Gdańsk ul. Reformacka 18, 80-808 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;553;1588;197
62;"Zespół Szkół Ogólnokształcących Nr 7, Gdańsk ul. Tytusa Chałubińskiego 13, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;346;762;85
63;"Zespół Szkół Ogólnokształcących Nr 7, Gdańsk ul. Tytusa Chałubińskiego 13, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;508;1301;187
64;"Zespół Szkół Ogólnokształcących Nr 7, Gdańsk ul. Tytusa Chałubińskiego 13, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;452;1453;147
65;"Zespół Szkolno-Przedszkolny Nr 8, Gdańsk ul. Marcina Dragana 22, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;467;1030;100
66;"Zespół Szkolno-Przedszkolny Nr 8, Gdańsk ul. Marcina Dragana 22, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;423;997;120
67;"Zespół Szkolno-Przedszkolny Nr 8, Gdańsk ul. Marcina Dragana 2, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;533;1031;142
68;"Zespół Szkolno-Przedszkolny Nr 8, Gdańsk ul. Marcina Dragana 2, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;449;1094;142
69;"Szkoła Podstawowa Nr 85, Gdańsk ul. Stolema 59, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;200;1482;156
70;"Szkoła Podstawowa Nr 85, Gdańsk ul. Stolema 59, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;298;1632;180
71;"Przedszkole Nr 82, Gdańsk ul. Damroki 137, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;437;1832;247
72;"Przedszkole Nr 82, Gdańsk ul. Damroki 137, 80-177 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;294;1211;150
73;"Zespół Szkolno-Przedszkolny Nr 6, Gdańsk ul. Lawendowe Wzgórze 5, 80-175 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;306;2386;360
74;"Zespół Szkolno-Przedszkolny Nr 6, Gdańsk ul. Lawendowe Wzgórze 5, 80-175 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;340;1516;216
75;"Zespół Szkolno-Przedszkolny Nr 6, Gdańsk ul. Lawendowe Wzgórze 5, 80-175 Gdańsk 16";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;377;2329;362
76;"Zespół Szkolno-Przedszkolny Nr 8, Gdańsk ul. Marcina Dragana 2, 80-807 Gdańsk 20";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;386;1163;99
77;"Gdański Zespół Schronisk i Sportu Szkolnego Filia SSM, Gdańsk ul. Kartuska 245B, 80-122 Gdańsk 18";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;353;1399;153
78;"Szkoła Podstawowa Nr 14, Gdańsk ul. Kartuska 126A, 80-104 Gdańsk 18";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;280;799;90
79;"Szkoła Podstawowa Nr 14, Gdańsk ul. Kartuska 126A, 80-104 Gdańsk 18";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;287;858;110
80;"Szkoła Podstawowa Nr 58, Gdańsk ul. Skarpowa 3, 80-145 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;501;1413;158
81;"Szkoła Podstawowa Nr 58, Gdańsk ul. Skarpowa 3, 80-145 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;462;1405;180
82;"Gdańskie Nieruchomości, Gdańsk ul. Cygańska Góra 1, 80-171 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;285;638;79
83;"Szkoła Podstawowa Nr 43, Gdańsk ul. Ludwika Beethovena 20, 80-171 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;550;1418;163
84;"Zespół Szkolno-Przedszkolny Nr 2, Gdańsk ul. Piotra Czajkowskiego 1, 80-169 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;457;1130;107
85;"Zespół Szkolno-Przedszkolny Nr 2, Gdańsk ul. Piotra Czajkowskiego 1, 80-169 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;444;1118;154
86;"Szkoła Podstawowa Nr 1, Gdańsk ul. Poli Gojawiczyńskiej 10, 80-286 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;482;1342;145
87;"Szkoła Podstawowa Nr 1, Gdańsk ul. Poli Gojawiczyńskiej 10, 80-286 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;457;1931;224
88;"Zespół Szkół Ogólnokształcących Nr 12, Gdańsk ul. Antoniego Dobrowolskiego 6, 80-286 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;401;2028;244
89;"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;234;1727;182
90;"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;325;1791;214
91;"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;440;1450;177
92;"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;468;1366;157
93;"Szkoła Podstawowa Nr 2 z Oddziałami Sportowymi, Gdańsk ul. Heleny Marusarzówny 10, 80-288 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;436;1322;158
94;"Niepubliczny Zakład Opieki Zdrowotnej ""PRZYCHODNIA MORENA"" Sp. z o. o., Gdańsk ul. Jaśkowa Dolina 105, 80-286 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;367;920;100
95;"Akademicka Spółdzielnia Mieszkaniowa, Gdańsk ul. Księcia Józefa Poniatowskiego 13, 80-156 Gdańsk 48";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;297;1150;95
96;"Szkoła Podstawowa Nr 15, Gdańsk ul. Mariana Smoluchowskiego 13, 80-214 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;299;1009;128
97;"Szkoła Podstawowa Nr 69, Gdańsk ul. Zielony Trójkąt 1, 80-869 Gdańsk 50";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;436;1088;175
98;"Szkoła Podstawowa Nr 38, Gdańsk ul. Leśna Góra 2, 80-281 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;425;1164;136
99;"Szkoła Podstawowa Nr 38, Gdańsk ul. Leśna Góra 2, 80-281 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;423;1067;115
100;"Szkoła Podstawowa im. Św. Jana de La Salle, Gdańsk ul. Juliusza Słowackiego 101, 80-281 Gdańsk 44";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;333;1252;135
101;"Szkoła Podstawowa Nr 27, Gdańsk ul. Srebrniki 10, 80-282 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;345;1042;122
102;"Szkoła Podstawowa Nr 39, Gdańsk ul. Obywatelska 1, 80-259 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;314;1133;131
103;"Szkoła Podstawowa Nr 39, Gdańsk ul. Obywatelska 1, 80-259 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;348;1513;175
104;"Zespół Szkół Ogólnokształcących Nr 13, Gdańsk ul. Topolowa 7, 80-255 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;250;849;100
105;"Szkoła Podstawowa Nr 45, Gdańsk ul. Matki Polki 3A, 80-251 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;292;1036;126
106;"Gdański Zarząd Dróg i Zieleni, Gdańsk ul. Partyzantów 36, 80-254 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;182;699;84
107;"Gdańskie Autobusy i Tramwaje Sp. z o. o., Gdańsk ul. Jaśkowa Dolina 2, 80-252 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;206;675;110
108;"Polska Akademia Nauk Oddział w Gdańsku, Gdańsk ul. Jaśkowa Dolina 31, 80-286 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;273;930;90
109;"Uniwersyteckie Liceum Ogólnokształcące, Gdańsk ul. Romualda Traugutta 92, 80-226 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;147;708;88
110;"Pomorskie Szkoły Rzemiosł, Gdańsk ul. Jana Sobieskiego 90, 80-216 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;127;505;51
111;"Szkoły Okrętowe i Techniczne ""CONRADINUM"", Gdańsk ul. Grzegorza Piramowicza 1/2, 80-218 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;174;552;70
112;"Szkoła Podstawowa Nr 17, Gdańsk ul. Stefana Czarnieckiego 2, 80-239 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;211;756;109
113;"Centrum Kształcenia Zawodowego i Ustawicznego Nr 1, Gdańsk al. Aleja Gen. Józefa Hallera 16/18, 80-426 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;371;1347;173
114;"WINDA-Gdański Archipelag Kultury, Gdańsk ul. Racławicka 17, 80-406 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;239;705;110
115;"Szkoła Podstawowa Nr 52, Gdańsk ul. Tadeusza Kościuszki 111, 80-427 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;344;918;109
116;"Szkoła Podstawowa Nr 52, Gdańsk ul. Tadeusza Kościuszki 111, 80-427 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;429;1531;192
117;"Gdański Ośrodek Promocji Zdrowia i Profilaktyki Uzależnień, Gdańsk ul. Wrzeszczańska 29, 80-409 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;299;775;75
118;"Szkoła Podstawowa Nr 24, Gdańsk ul. Lilli Wenedy 19, 80-419 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;245;1060;88
119;"Ogólnokształcąca Szkoła Baletowa, Gdańsk al. Aleja Legionów 3, 80-441 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;308;1018;115
120;"Zespół Szkół Gastronomiczno-Hotelarskich, Gdańsk al. Aleja Legionów 7, 80-441 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;321;876;127
121;"Szkoła Podstawowa Nr 49, Gdańsk al. Aleja Legionów 11, 80-441 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;290;817;113
122;"XIX Liceum Ogólnokształcące, Gdańsk ul. Jana Pestalozziego 11/13, 80-445 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;291;995;124
123;"II Liceum Ogólnokształcące, Gdańsk ul. Jana Pestalozziego 7/9, 80-445 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;219;733;108
124;"Zespół Szkół Ogólnokształcących Nr 1, Gdańsk ul. płk. Wilka-Krzyżanowskiego 8, 80-271 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;314;1130;115
125;"Rada Dzielnicy Strzyża, Gdańsk ul. ks. Bernarda Sychty 12, 80-276 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;174;804;72
126;"Państwowe Szkoły Budownictwa, Gdańsk al. Aleja Grunwaldzka 238, 80-266 Gdańsk 6";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;163;689;94
127;"Szkoła Podstawowa Nr 48, Gdańsk ul. Zbigniewa Burzyńskiego 10, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;445;1450;165
128;"Szkoła Podstawowa Nr 48, Gdańsk ul. Zbigniewa Burzyńskiego 10, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;550;1559;183
129;"Niepubliczna Szkoła Podstawowa ""NASZA SZKOŁA"", Gdańsk ul. Konstantego Ciołkowskiego 10, 80-463 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;340;1000;121
130;"Zespół Szkół Ogólnokształcących Nr 8, Gdańsk ul. Janusza Meissnera 9, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;400;925;93
131;"Zespół Szkół Ogólnokształcących Nr 8, Gdańsk ul. Janusza Meissnera 9, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;288;1298;117
132;"XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, Gdańsk ul. Pilotów 7, 80-460 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;317;884;107
133;"XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, Gdańsk ul. Pilotów 7, 80-460 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;363;1123;103
134;"Zespół Szkolno–Przedszkolny nr 5, Gdańsk ul. Startowa 9, 80-461 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;324;841;87
135;"Zespół Szkolno–Przedszkolny nr 5, Gdańsk ul. Startowa 9, 80-461 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;310;774;77
136;"Przedszkole Nr 86, Gdańsk ul. Dywizjonu 303 nr 27, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;376;1313;167
137;"Przedszkole Nr 86, Gdańsk ul. Dywizjonu 303 nr 27, 80-462 Gdańsk 22";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;437;1334;154
138;"Zespół Szkolno-Przedszkolny nr 10, Gdańsk ul. Opolska 9, 80-395 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;355;786;106
139;"Zespół Szkolno-Przedszkolny nr 10, Gdańsk ul. Opolska 9, 80-395 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;334;799;101
140;"Szkoła Podstawowa Nr 79, Gdańsk ul. Kołobrzeska 49, 80-391 Gdańsk 53";226101;"m. Gdańsk";"Gdańsk";"pomorskie";1;1;313;855;82
