"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SKRODZKI Sławomir Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUCKI Krzysztof Aleksander - KW NOWA LEWICA";"ŁYCZAK Józef Mikołaj - KW PRAWO I SPRAWIEDLIWOŚĆ";"LISIECKI Jakub Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Środowiskowy Dom Samopomocy im. Prof. Jana Władysława Piltza, ul. Bolesława Limanowskiego 12, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;76;394;291;84
2;"Szkoła Techniczna Bydgoskiego Zakładu Doskonalenia Zawodowego w Aleksandrowie Kujawskim, ul. Długa 8, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;78;313;306;79
3;"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Strażacka 22, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;70;404;262;100
4;"Szkoła Podstawowa Nr 4 im. Jana Pawła II, ul. Strażacka 22, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;20;113;104;34
5;"Szkoła Podstawowa Nr 1 im. Polskich Podróżników, ul. gen. Władysława Sikorskiego 5, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;105;418;234;95
6;"Szkoła Podstawowa Nr 3 im. Józefa Wybickiego, ul. Szkolna 6, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;69;359;193;45
7;"Miejskie Centrum Kultury im. Mariana Szafrańskiego, ul. Parkowa 3, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;74;437;257;91
8;"Przedszkole im. Juliana Tuwima, ul. Wojska Polskiego 19, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;78;438;213;108
9;"Sala przy Izbie Przyjęć Powiatowego Szpitala w Aleksandrowie Kujawskim Sp. z o. o., ul. Juliusza Słowackiego 18, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;8;32;31;6
10;"Świetlica Kolejowego Szpitala Uzdrowiskowego Sp. z o. o. w Ciechocinku Oddział Zamiejscowy w Aleksandrowie Kujawskim, ul. Gabriela Narutowicza 12, 87-700 Aleksandrów Kujawski";40101;"m. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;19;38;71;10
1;"Przedszkole Samorządowe nr 2, ul. Wierzbowa 10, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;84;589;405;70
2;"Przedszkole Samorządowe nr 1, ul. Widok 9, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;117;841;666;89
3;"Szkoła Podstawowa nr 1, ul. Mikołaja Kopernika 18, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;100;499;381;87
4;"Szkoła Podstawowa nr 1, ul. Mikołaja Kopernika 18, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;117;543;433;91
5;"Miejskie Centrum Kultury, ul. Żelazna 5, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;85;613;426;86
6;"Szkoła Podstawowa nr 3, ul. Wojska Polskiego 37, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;80;540;380;55
7;"Szkoła Podstawowa nr 3, ul. Wojska Polskiego 37, 87-720 Ciechocinek";40102;"m. Ciechocinek";"aleksandrowski";"kujawsko-pomorskie";1;1;162;830;570;114
1;"Muzeum Stanisława Noakowskiego, ul. Adama Mickiewicza 6, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;34;114;109;35
2;"Szkoła Podstawowa, ul. Tadeusza Kościuszki 6, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;20;146;136;31
3;"Szkoła Podstawowa, ul. Tadeusza Kościuszki 5, 87-730 Nieszawa";40103;"m. Nieszawa";"aleksandrowski";"kujawsko-pomorskie";1;1;23;147;126;44
1;"Szkoła Podstawowa, ul. Toruńska 8, 87-710 Służewo";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;76;258;359;132
2;"Świetlica wiejska, Rożno-Parcele ul. Konwaliowa 48, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;70;306;163;92
3;"Świetlica wiejska, Nowa Wieś 17a, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;31;108;100;39
4;"Szkoła Podstawowa, Przybranowo 46, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;40;115;180;46
5;"Szkoła Podstawowa, Ostrowąs 81, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;43;75;119;32
6;"Żłobek Samorządowy Bursztynek, Odolion ul. Młodzieżowa 5, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;80;322;281;90
7;"Świetlica wiejska, Łazieniec ul. Podgórna 1, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;68;220;99;58
8;"Szkoła Podstawowa, Stawki ul. Szkolna 4, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;73;226;198;99
9;"Szkoła Podstawowa, Opoki 43, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;31;84;205;43
10;"Świetlica wiejska, Wołuszewo 30, 87-720 Ciechocinek";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;46;144;159;49
11;"Świetlica w Ośnie, Ośno 54a, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;25;73;81;23
12;"Dzienny Dom Pobytu w Słomkowie, Słomkowo ul. Kasztanowa 11, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;16;26;67;17
13;"Świetlica w Otłoczynie, Otłoczyn ul. Szlak Bursztynowy 37, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;21;85;75;15
14;"Muzeum Białych Kujaw w Słońsku Dolnym, Słońsk Dolny 24a, 87-720 Ciechocinek";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;13;65;62;19
15;"Dom Pomocy Społecznej dla Dzieci i Młodzieży w Grabiu, Grabie 34, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;10;30;39;4
16;"Świetlica wiejska, Ośno Drugie 28B, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;12;29;56;20
17;"Świetlica wiejska, Plebanka 13, 87-700 Aleksandrów Kujawski";40104;"gm. Aleksandrów Kujawski";"aleksandrowski";"kujawsko-pomorskie";1;1;14;21;62;19
1;"Zespół Szkolno – Przedszkolny w Bądkowie, ul. Włocławska 13, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;52;233;226;58
2;"Remiza Ochotniczej Straży Pożarnej w Wysocinie, Wysocin 42, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;43;143;248;60
3;"Świetlica wiejska w Kolonii Łowiczek, Kolonia Łowiczek 19, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;19;91;209;27
4;"Zespół Szkolno – Przedszkolny w Bądkowie, ul. Włocławska 13, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;60;160;317;67
5;"Remiza Ochotniczej Straży Pożarnej w Łówkowicach, Łówkowice 56, 87-704 Bądkowo";40105;"gm. Bądkowo";"aleksandrowski";"kujawsko-pomorskie";1;1;12;38;121;15
1;"Gminny Ośrodek Kultury w Konecku, ul. Włodzimierza Lubańskiego 15, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;22;70;145;41
2;"Szkoła Podstawowa w Świętem, Święte 1, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;31;75;158;23
3;"Szkoła Podstawowa w Straszewie, Straszewo 17, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;40;87;192;18
4;"Świetlica Wiejska w Kruszynku, Kruszynek 8a, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;24;58;171;38
5;"Zespół Szkół w Konecku, ul. Włodzimierza Lubańskiego 15, 87-702 Koneck";40106;"gm. Koneck";"aleksandrowski";"kujawsko-pomorskie";1;1;42;125;145;38
1;"Przedszkole Publiczne ""Słoneczko"", ul. Zamkowa 31, 87-721 Raciążek";40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";1;1;45;100;223;37
2;"Szkoła Podstawowa Sala gimnastyczna, ul. Szkolna 3, 87-721 Raciążek";40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";1;1;26;173;162;35
3;"Szkoła Podstawowa Świetlica, ul. Szkolna 3, 87-721 Raciążek";40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";1;1;38;186;150;52
4;"Gminny Ośrodek Kultury Kawiarnia, ul. Wysoka 4, 87-721 Raciążek";40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";1;1;37;176;161;42
5;"Świetlica Samodzielnego Publicznego Zakładu Leczniczo-Opiekuńczego w Raciążku, ul. Przedmiejska 1, 87-721 Raciążek";40107;"gm. Raciążek";"aleksandrowski";"kujawsko-pomorskie";1;1;0;13;15;2
1;"Sala Urzędu Gminy w Wagańcu, ul. Dworcowa 11, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;44;143;177;48
2;"Gminna Biblioteka Publiczna w Wagańcu, ul. Dworcowa 9, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;22;80;98;10
3;"Świetlica w Zespole Szkół im. I. J. Paderewskiego w Zbrachlinie, Zbrachlin 16, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;46;111;239;35
4;"Świetlica w Niszczewach, Niszczewy 25, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;24;76;182;26
5;"Świetlica w Brudnowie, Brudnowo 25B, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;35;57;141;35
6;"Remiza OSP w Sierzchowie, Sierzchowo 52a, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;32;55;115;35
7;"Remiza OSP w Włoszycy, Włoszyca 9, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;22;68;182;30
8;"Remiza Ochotniczej Straży Pożarnej w Plebance, Plebanka 1a, 87-731 Waganiec";40108;"gm. Waganiec";"aleksandrowski";"kujawsko-pomorskie";1;1;7;71;59;14
1;"Dom Kultury, ul. Dworcowa 1, 87-707 Zakrzewo";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;53;150;145;62
2;"Publiczna Szkoła Podstawowa, ul. Osiedlowa 25, 87-707 Zakrzewo";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;23;84;121;33
3;"Publiczna Szkoła Podstawowa, Sędzin 27A, 87-706 Sędzin";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;55;113;276;58
4;"Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich, Siniarzewo 74, 87-705 Siniarzewo";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;20;126;162;27
5;"Świetlica Wiejska w Kolonii Bodzanowskiej, Kolonia Bodzanowska 38, 87-705 Siniarzewo";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;5;32;63;13
6;"Świetlica Domu Pomocy Społecznej w Zakrzewie, ul. Inowrocławska 20, 87-707 Zakrzewo";40109;"gm. Zakrzewo";"aleksandrowski";"kujawsko-pomorskie";1;1;6;12;17;6
1;"Szkoła Podstawowa Nr 2, ul. Stefana Okrzei 1, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;111;518;375;142
2;"Szkoła Podstawowa Nr 2, ul. Szkolna 2, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;79;359;242;65
3;"Miejskie Centrum Kulturalne, ul. Józefa Piłsudskiego 22, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;59;337;221;45
4;"Szkoła Podstawowa Nr 5, pl. Plac 11 Listopada 13, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;76;351;275;89
5;"Miejski Ośrodek Pomocy Społecznej, ul. Włocławska 16a, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;37;191;208;61
6;"Miejski Ośrodek Pomocy Społecznej, ul. Włocławska 16a, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;78;340;209;80
7;"Szkoła Podstawowa Nr 3, ul. Traugutta 2, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;72;426;274;109
8;"Zespół Szkół im. Romualda Traugutta, ul. Traugutta 1, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;47;231;201;41
9;"Przedszkole Miejskie Nr 4, ul. Kazimierza Różyckiego 8, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;41;276;164;30
10;"Szpital Lipno Sp. z o. o., ul. Nieszawska 6, 87-600 Lipno";40801;"m. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;2;15;35;2
1;"Przedszkole Samorządowe w Bobrownikach, ul. Kościelna 5, 87-617 Bobrowniki";40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";1;1;29;240;158;41
2;"Przedszkole Samorządowe w Bobrownikach, ul. Kościelna 5, 87-617 Bobrowniki";40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";1;1;34;138;112;17
3;"Przedszkole Samorządowe w Bobrownikach, ul. Kościelna 5, 87-617 Bobrowniki";40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";1;1;30;124;165;34
4;"Świetlica sołecka w Gnojnie, Gnojno 24A, 87-617 Bobrowniki";40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";1;1;13;59;56;18
5;"Budynek po byłej Szkole Podstawowej w Rachcinie, Rachcin 8a, 87-617 Bobrowniki";40802;"gm. Bobrowniki";"lipnowski";"kujawsko-pomorskie";1;1;9;97;58;11
1;"Gminna Biblioteka Publiczna w Chrostkowie, Chrostkowo 99, 87-602 Chrostkowo";40803;"gm. Chrostkowo";"lipnowski";"kujawsko-pomorskie";1;1;43;94;146;49
2;"Dzienny Dom Pobytu w Stalmierzu, Stalmierz 70, 87-602 Chrostkowo";40803;"gm. Chrostkowo";"lipnowski";"kujawsko-pomorskie";1;1;45;99;224;47
3;"Świetlica Wiejska w Makówcu, Makówiec 35, 87-602 Chrostkowo";40803;"gm. Chrostkowo";"lipnowski";"kujawsko-pomorskie";1;1;37;71;144;47
4;"Zespół Szkół w Chrostkowie, Chrostkowo 80, 87-602 Chrostkowo";40803;"gm. Chrostkowo";"lipnowski";"kujawsko-pomorskie";1;1;23;65;128;50
1;"Dobrzyńskie Centrum Sportu i Turystyki-wejście B, ul. Licealna 1A, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;43;161;200;46
2;"Dobrzyńskie Centrum Sportu i Turystyki-wejście A, ul. Licealna 1A, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;48;193;264;57
3;"Dobrzyński Dom Kultury „ŻAK”, ul. Szkolna 2, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;32;141;200;35
4;"Szkoła Podstawowa w Chalinie, Chalin 36, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;22;81;115;45
5;"Szkoła Podstawowa w Dyblinie, Dyblin 1, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;25;136;205;46
6;"Remiza OSP w Grochowalsku, Grochowalsk 35, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;48;172;196;51
7;"Ochotnicza Straż Pożarna w Michałkowie, Michałkowo 22, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;22;43;149;18
8;"Remiza OSP w Krojczynie, Krojczyn 70, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;28;85;101;40
9;"Remiza OSP w Mokowie, Mokowo 24, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;30;86;127;22
10;"Remiza OSP w Płomianach, Płomiany 20A, 87-610 Dobrzyń nad Wisłą";40804;"gm. Dobrzyń nad Wisłą";"lipnowski";"kujawsko-pomorskie";1;1;21;75;103;21
1;"Szkoła Podstawowa im. Ignacego Antoniego Zboińskiego w Kikole, ul. Targowa 6, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;53;190;189;46
2;"Sala gimnastyczna przy Szkole Podstawowej im. Ignacego Antoniego Zboińskiego w Kikole, ul. Targowa 6, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;72;257;227;77
3;"Świetlica Wiejska w Grodzeniu, Grodzeń 43B, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;24;37;90;46
4;"Szkoła Podstawowa w Zajeziorzu, Zajeziorze 38, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;13;27;51;12
5;"Szkoła Podstawowa im. Ireny Sendlerowej w Woli, Wola 71B, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;60;134;202;77
6;"Świetlica Wiejska w Kikole, ul. Targowa 1A, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;34;126;129;36
7;"Świetlica Wiejska w Ciełuchowie, Ciełuchowo 18B, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;16;26;74;23
8;"Świetlica Wiejska w Wolęcinie, Wolęcin 20F, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;11;51;51;11
9;"Budynek Sołecki w Dąbrówce, Dąbrówka 25B, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;9;23;57;15
10;"Świetlica Wiejska w Moszczonnem, Moszczonne 55, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;20;68;102;31
11;"Środowiskowy Dom Samopomocy ""Koniczynka"" w Suminie, Sumin 20, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;23;67;62;21
12;"Świetlica Wiejska w Trutowie, Trutowo 15, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;7;30;46;7
13;"Świetlica Wiejska w Lubinie, Lubin 11, 87-620 Kikół";40805;"gm. Kikół";"lipnowski";"kujawsko-pomorskie";1;1;21;57;70;22
1;"Biblioteka Publiczna Gminy Lipno Filia Nr 1 w Jastrzębiu, Jastrzębie 2A, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;88;362;272;95
2;"Wiejski Dom Kultury w Trzebiegoszczu, Trzebiegoszcz 27A, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;25;80;130;44
3;"Szkoła Podstawowa w Karnkowie, Karnkowo 42, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;62;175;319;49
4;"Remiza Ochotniczej Straży Pożarnej w Wierzbicku, Wierzbick 54, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;27;86;164;30
5;"Zespół Szkół w Radomicach, Radomice 115, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;79;272;324;91
6;"Ośrodek Kultury Gminy Lipno z/s w Wichowie, Wichowo 19A, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;36;146;117;59
7;"Świetlica Wiejska w Krzyżówkach, Krzyżówki 49, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;35;114;156;44
8;"Szkoła Podstawowa w Maliszewie, Maliszewo 29, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;54;132;219;42
9;"Świetlica Wiejska w Kłokocku, Kłokock 29A, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;60;265;271;93
10;"Świetlica Wiejska w Kolankowie, Kolankowo 42a, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;12;23;41;14
11;"Remiza Ochotniczej Straży Pożarnej w Łochocinie, Łochocin 108, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;30;165;112;26
12;"Świetlica Wiejska w Ostrowitem, Ostrowite 20, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;11;35;81;23
13;"Remiza Ochotniczej Straży Pożarnej w Popowie, Popowo 86, 87-600 Lipno";40806;"gm. Lipno";"lipnowski";"kujawsko-pomorskie";1;1;27;62;66;18
1;"Szkoła Podstawowa w Skępem im. Gustawa Zielińskiego, ul. Al. 1 Maja 89, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;73;380;308;85
2;"Zespół Szkół w Skępem, ul. Wymyślińska 2, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;47;224;206;53
3;"Remiza OSP w Łąkiem, Łąkie ul. Podstawowa 36, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;39;141;185;52
4;"Remiza OSP w Wólce, Wólka 126a, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;49;123;217;61
5;"Szkoła Podstawowa w Czermnie, Czermno 19A, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;21;54;90;27
6;"Remiza OSP w Hucie, Huta 13, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;15;33;89;25
7;"Przedszkole Publiczne w Wiosce ""Przedszkole pod lipami"", Wioska 5, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;11;46;71;23
8;"Remiza OSP w Skępem, ul. Dobrzyńska 1, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;52;239;159;66
9;"Świetlica Wiejska w Żuchowie, Żuchowo 38, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;10;27;65;5
10;"Remiza OSP w Jóżefkowie, Józefkowo 23, 87-630 Skępe";40807;"gm. Skępe";"lipnowski";"kujawsko-pomorskie";1;1;20;82;97;22
1;"Gminny Ośrodek Kultury w Tłuchowie, ul. Sierpecka 26, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;67;252;281;84
2;"Publiczna Szkoła Podstawowa w Tłuchowie, ul. Szkolna 3, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;44;80;190;50
3;"Świetlica Wiejska, Jasień 51, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;29;82;162;32
4;"Publiczna Szkoła Podstawowa w Mysłakówku, Mysłakówko 12, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;35;89;200;65
5;"Świetlica Wiejska, Turza Wilcza 4a, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;36;70;207;39
6;"Świetlica Wiejska, Tłuchówek 7a, 87-605 Tłuchowo";40808;"gm. Tłuchowo";"lipnowski";"kujawsko-pomorskie";1;1;13;57;53;21
1;"Centrum Kulturalno – Oświatowo – Rekreacyjne w Czarnem, Czarne 82, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;42;116;170;43
2;"Świetlica, Zakrzewo 15A, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;6;55;57;10
3;"Szkoła Podstawowa im. W. Broniewskiego, ul. Szkolna 5, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;60;292;219;79
4;"Szkoła Podstawowa im. M. Kopernika w Zadusznikach, Zaduszniki 4, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;24;161;160;31
5;"Dom Pomocy Społecznej w Nowej Wsi, Nowa Wieś 1, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;22;68;78;29
6;"Ośrodek Kultury Gminy Wielgie, ul. Szkolna 5a, 87-603 Wielgie";40809;"gm. Wielgie";"lipnowski";"kujawsko-pomorskie";1;1;17;67;76;29
