"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KŁOSOWSKI Tomasz Jacek - KW PRAWO I SPRAWIEDLIWOŚĆ";"TYSZKIEWICZ Wadim - KWW WADIM TYSZKIEWICZ - PAKT SENACKI"
2;"Lokal w budynku Stowarzyszeń w Modrzycy, Modrzyca ul. Kowalskiej 2, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;300;797
3;"Świetlica Wiejska w Zakęciu, Zakęcie 52, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;132;290
4;"Szkoła Podstawowa im. Henryka Sienkiewicza w Niedoradzu, Niedoradz ul. Markiewiczowej 7, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;192;485
5;"Świetlica Wiejska, Ługi 30, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;59;192
6;"Koło Łowieckie „RYŚ”, Bobrowniki ul. Polna 3, 67-106 Otyń";80407;"gm. Otyń";"nowosolski";"lubuskie";1;1;123;250
1;"Szkoła Podstawowa, Bielawy 17, 67-112 Siedlisko";80408;"gm. Siedlisko";"nowosolski";"lubuskie";1;1;161;198
2;"Sala Wiejska, pl. Plac św. Floriana 16, 67-112 Siedlisko";80408;"gm. Siedlisko";"nowosolski";"lubuskie";1;1;302;679
3;"Sala Wiejska, Borowiec 23 A, 67-112 Siedlisko";80408;"gm. Siedlisko";"nowosolski";"lubuskie";1;1;79;132
4;"Sala Wiejska, Różanówka 16 a, 67-112 Siedlisko";80408;"gm. Siedlisko";"nowosolski";"lubuskie";1;1;48;126
1;"Ośrodek Pomocy Społecznej, ul. Wojska Polskiego 5, 68-130 Gozdnica";81001;"m. Gozdnica";"żagański";"lubuskie";1;1;157;292
2;"Urząd Miejski, ul. Ceramików 2, 68-130 Gozdnica";81001;"m. Gozdnica";"żagański";"lubuskie";1;1;146;259
3;"Dom Kultury, ul. Ceramików 25, 68-130 Gozdnica";81001;"m. Gozdnica";"żagański";"lubuskie";1;1;156;217
1;"Ośrodek Pomocy Społecznej, ul. Włókniarzy 3, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;406;989
2;"Publiczna Szkoła Podstawowa nr 7-sala lekcyjna nr 28, ul. Żarska 1, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;200;482
3;"Publiczna Szkoła Podstawowa nr 7-stołówka, ul. Żarska 1, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;314;824
4;"Publiczna Szkoła Podstawowa nr 7-sala nr 27, ul. Żarska 1, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;294;736
5;"Liceum Ogólnokształcące, pl. Orląt Lwowskich 4, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;258;695
6;"Publiczna Szkoła Podstawowa nr 4, ul. Wesoła 38, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;136;306
7;"Arena Żagań-Hala Sportowa-sala na parterze, ul. Kochanowskiego 6, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;367;871
8;"Centrum Kultury, ul. Jana Pawła II 7, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;215;619
9;"Miejskie Przedszkole Nr 3, ul. Skarbowa 24, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;141;309
10;"Publiczna Szkoła Podstawowa nr 5-sala nr 112, ul. Nocznickiego 18, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;394;1136
11;"Miejska Biblioteka Publiczna-sala nr 176 (Oddział dla Dzieci i Młodzieży), ul. Szprotawska 4, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;266;674
12;"Pałac Książęcy-sala nr 130, ul. Szprotawska 4, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;233;569
13;"Publiczna Szkoła Podstawowa Nr 3, ul. Szkolna 42, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;224;565
14;"105 Kresowy Szpital Wojskowy SP ZOZ w Żarach filia w Żaganiu, ul. Żelazna 1a, 68-100 Żagań";81002;"m. Żagań";"żagański";"lubuskie";1;1;13;8
1;"Szkoła Podstawowa, ul. Zielonogórska 26, 68-113 Brzeźnica";81003;"gm. Brzeźnica";"żagański";"lubuskie";1;1;267;369
2;"Świetlica Wiejska, Chotków ul. Kożuchowska 55, 68-113 Brzeźnica";81003;"gm. Brzeźnica";"żagański";"lubuskie";1;1;183;326
3;"Szkoła Podstawowa, Wichów 24, 68-113 Brzeźnica";81003;"gm. Brzeźnica";"żagański";"lubuskie";1;1;148;178
4;"Świetlica Wiejska, Jabłonów ul. Żagańska 19, 68-113 Brzeźnica";81003;"gm. Brzeźnica";"żagański";"lubuskie";1;1;96;187
1;"Hala widowiskowo-sportowa, ul. Piaskowa 2b, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;210;365
2;"Biblioteka Kultury w Iłowej, ul. Żagańska 15, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;196;431
3;"Zespół Szkół Ponadpodstawowych w Iłowej, ul. Pałacowa 1, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;205;430
4;"Świetlica Wiejska, Czyżówek 19, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;95;139
5;"Świetlica wiejska w Koninie Żagańskim, Konin Żagański 29a, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;115;170
6;"Świetlica wiejska w Szczepanowie, Szczepanów 11a, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;70;110
7;"Świetlica Wiejska, Czerna 32 a, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;112;150
8;"Świetlica Wiejska, Jankowa Żagańska 46, 68-121 Jankowa Żagańska";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;78;70
9;"Świetlica Wiejska, Borowe 18, 68-120 Iłowa";81004;"gm. Iłowa";"żagański";"lubuskie";1;1;87;98
1;"Małomicki Ośrodek Kultury, ul. Szkolna 1, 67-320 Małomice";81005;"gm. Małomice";"żagański";"lubuskie";1;1;313;609
2;"Publiczna Szkoła Podstawowa w Małomicach, ul. Plac Tysiąclecia 3, 67-320 Małomice";81005;"gm. Małomice";"żagański";"lubuskie";1;1;268;482
3;"Publiczna Szkoła Podstawowa w Chichach, Chichy 52, 67-320 Małomice";81005;"gm. Małomice";"żagański";"lubuskie";1;1;135;195
4;"Świetlica Wiejska, Bobrzany 46, 67-320 Małomice";81005;"gm. Małomice";"żagański";"lubuskie";1;1;99;139
5;"Świetlica Wiejska, Śliwnik 16A, 67-320 Małomice";81005;"gm. Małomice";"żagański";"lubuskie";1;1;44;86
1;"Sala w Urzędzie Gminy, Niegosławice 55, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;243;279
2;"Gminne Centrum Kultury Gościeszowice, Gościeszowice 90, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;123;216
3;"Szkoła Podstawowa, Przecław 83, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;144;164
4;"Sala Wiejska, Mycielin 33, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;68;116
5;"Sala Wiejska, Nowa Jabłona 5, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;85;101
6;"Sala Wiejska, Stara Jabłona 40, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;108;91
7;"Sala Wiejska, Sucha Dolna 9, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;83;98
8;"Sala Wiejska, Zimna Brzeźnica 23, 67-312 Niegosławice";81006;"gm. Niegosławice";"żagański";"lubuskie";1;1;87;71
1;"Szkoła Podstawowa nr 2 im. Wojska Polskiego w Szprotawie, ul. Sobieskiego 58, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;361;760
2;"Spółdzielnia Mieszkaniowa w Szprotawie, os. Osiedle Słoneczne 16, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;349;816
3;"Szkoła Podstawowa nr 1 im. Janusza Korczaka, ul. Kopernika 22, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;146;260
4;"Szprotawski Dom Kultury, pl. Mickiewicza 1, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;337;796
5;"Zespół Przedszkolny w Szprotawie Przedszkole nr 3 im. Pod Dębami, ul. Waszyngtona 5, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;274;544
6;"Szprotawskie Wodociągi i Kanalizacja Sp. z o. o., ul. Chrobrego 1, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;206;410
7;"Szkoła Podstawowa w Siecieborzycach, Siecieborzyce 49 a, 67-320 Małomice";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;142;276
8;"Szkoła Podstawowa w Długiem, Długie 79, 67-312 Niegosławice";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;146;212
9;"Sala Wiejska, Dzikowice brak, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;100;167
10;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Wiechlicach, Wiechlice ul. Brzozowa 17, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;329;678
11;"Szkoła Podstawowa w Lesznie Górnym, ul. Szkolna 2a, 67-321 Leszno Górne";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;242;332
12;"Sala Wiejska, Borowina brak, 67-320 Małomice";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;45;87
13;"Sala Wiejska, Dziećmiarowice brak, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;40;82
14;"Sala Wiejska, Henryków brak, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;69;129
15;"Sala Wiejska, Leszno Dolne brak, 67-321 Leszno Górne";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;93;105
16;"Sala Wiejska, Nowa Kopernia brak, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;69;161
17;"Sala Wiejska, Pasterzowice brak, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;76;191
18;"Sala Wiejska, Witków brak, 67-320 Małomice";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;65;171
19;"Nowy Szpital w Szprotawie Sp. z o. o., ul. Henrykowska 1, 67-300 Szprotawa";81007;"gm. Szprotawa";"żagański";"lubuskie";1;1;7;12
1;"Gminny Ośrodek Kultury i Biblioteki, ul. Księcia Witolda 7, 68-131 Wymiarki";81008;"gm. Wymiarki";"żagański";"lubuskie";1;1;244;371
2;"Świetlica wiejska w Witoszynie, ul. Żołnierzy II Armii WP 8, 68-131 Witoszyn";81008;"gm. Wymiarki";"żagański";"lubuskie";1;1;124;244
1;"Szkoła Podstawowa w Bożnowie, Bożnów 69, 68-100 Żagań";81009;"gm. Żagań";"żagański";"lubuskie";1;1;178;400
2;"Szkoła Podstawowa w Bukowinie Bobrzańskiej, Bukowina Bobrzańska 45, 68-100 Żagań";81009;"gm. Żagań";"żagański";"lubuskie";1;1;67;114
3;"Szkoła Podstawowa w Dzietrzychowicach, Dzietrzychowice 75, 68-111 Miodnica";81009;"gm. Żagań";"żagański";"lubuskie";1;1;121;266
4;"Szkoła Podstawowa w Jeleninie, Jelenin 69a, 68-114 Tomaszowo";81009;"gm. Żagań";"żagański";"lubuskie";1;1;92;200
5;"Szkoła Podstawowa w Miodnicy, Miodnica 54, 68-111 Miodnica";81009;"gm. Żagań";"żagański";"lubuskie";1;1;102;130
6;"Szkoła Podstawowa Trzebowie, Trzebów 28, 67-320 Małomice";81009;"gm. Żagań";"żagański";"lubuskie";1;1;100;154
7;"Klub Seniora, ul. Brzozowa 12, 68-114 Tomaszowo";81009;"gm. Żagań";"żagański";"lubuskie";1;1;117;428
8;"Świetlica wiejska w Starej Kopernii, Stara Kopernia 30B, 68-100 Żagań";81009;"gm. Żagań";"żagański";"lubuskie";1;1;93;139
9;"Świetlica Wiejska w Starym Żaganiu, Stary Żagań 6, 68-111 Miodnica";81009;"gm. Żagań";"żagański";"lubuskie";1;1;48;156
10;"Świetlica wiejska w Gorzupii Dolnej, Gorzupia Dolna 19, 68-111 Miodnica";81009;"gm. Żagań";"żagański";"lubuskie";1;1;55;68
11;"Świetlica Wiejska, Chrobrów 6 B, 68-100 Żagań";81009;"gm. Żagań";"żagański";"lubuskie";1;1;69;102
12;"Biblioteka, Rudawica 22, 67-320 Małomice";81009;"gm. Żagań";"żagański";"lubuskie";1;1;50;131
13;"Świetlica Wiejska, Pożarów 32, 68-100 Żagań";81009;"gm. Żagań";"żagański";"lubuskie";1;1;45;48
1;"Szkoła Podstawowa w Łęknicy, ul. Wojska Polskiego 19A, 68-208 Łęknica";81101;"m. Łęknica";"żarski";"lubuskie";1;1;154;439
2;"Urząd Miejski w Łęknicy, ul. Żurawska 1, 68-208 Łęknica";81101;"m. Łęknica";"żarski";"lubuskie";1;1;163;398
1;"Zespół Szkół Ogólnokształcących i Technicznych, ul. Zielonogórska 23, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;332;871
2;"Środowiskowy Dom Samopomocy, ul. Bohaterów Getta 19, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;284;805
3;"Miejskie Przedszkole nr 7, ul. Karola Szymanowskiego 2, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;251;567
4;"Szkoła Podstawowa nr 1 wejście od ul. Chopina, ul. Karola Szymanowskiego 8, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;242;465
5;"Świetlica Spółdzielni Mieszkaniowej, ul. Henryka Wieniawskiego 1, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;353;810
6;"Szkoła Podstawowa nr 1 wejście od ul. Szymanowskiego, ul. Karola Szymanowskiego 8, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;271;555
7;"Szkoła Podstawowa Nr 3, ul. Broni Pancernej 8, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;291;641
8;"Liceum Ogólnokształcące, ul. Podwale 16, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;232;507
9;"Miejskie Przedszkole nr 3, ul. 11 Listopada 22, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;231;447
10;"Szkoła Podstawowa nr 8, ul. Partyzantów 9, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;178;531
11;"Lokal gastronomiczny, ul. Zawiszy Czarnego 19, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;170;593
12;"Miejskie Przedszkole nr 8, ul. Górnośląska 28, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;164;403
13;"Filia Miejskiego Przedszkola Nr 10, ul. Częstochowska 3, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;213;643
14;"Zespół Szkół Budowlanych, ul. Górnośląska 2, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;216;544
15;"Filia Miejskiego Przedszkola Nr 10, ul. Częstochowska 3, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;315;636
16;"Szkoła Podstawowa Nr 5, ul. Okrzei 19, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;205;588
17;"Szkoła Podstawowa nr 2, ul. Gabrieli Zapolskiej 16, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;285;647
18;"Świetlica POD ""Związkowiec"", ul. Tatrzańska 11A, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;250;632
19;"Szkoła Podstawowa nr 8, ul. Partyzantów 9, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;306;827
20;"Szkoła Podstawowa Nr 10, ul. gen. Pułaskiego 4A, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;258;630
21;"Filia Żarskiego Domu Kultury, ul. Grunwaldzka 3, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;230;553
22;"105 Kresowy Szpital Wojskowy z Przychodnią-SP ZOZ, ul. Domańskiego 2, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;21;15
23;"Szpital na Wyspie Spółka z o. o., ul. Pszenna 2, 68-200 Żary";81102;"m. Żary";"żarski";"lubuskie";1;1;13;8
1;"Urząd Gminy Brody, ul. Rynek 2, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;145;273
2;"Gminna Biblioteka Publiczna w Brodach, ul. Kilińskiego 9, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;90;168
3;"Filia Gminnej Biblioteki Publicznej w Bieczu, Biecz 82, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;83;169
4;"Świetlica Wiejska, Datyń 28, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;54;82
5;"Świetlica Wiejska, Zasieki 12, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;48;122
6;"Świetlica Wiejska, Koło 27A, 68-343 Brody";81103;"gm. Brody";"żarski";"lubuskie";1;1;79;167
1;"Miejsko-Gminny Ośrodek Kultury, ul. Plac Armii Krajowej 2, 68-320 Jasień";81104;"gm. Jasień";"żarski";"lubuskie";1;1;366;830
