"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
13;"Ochotnicza Straż Pożarna Widów, Widów ul. Stawowa 2, 44-172 Poniszowice";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;84;78
14;"Świetlica wiejska, Słupsko ul. Lipowa 1, 44-172 Poniszowice";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;101;107
15;"Budynek wielofunkcyjny w sołectwie Niewiesze, Niewiesze ul. Plażowa 19, 44-172 Poniszowice";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;65;113
16;"Świetlica wiejska, Łany ul. Pyskowicka 40, 44-160 Rudziniec";240505;"gm. Rudziniec";"gliwicki";"śląskie";1;1;64;120
1;"Szkoła Podstawowa w Sośnicowicach, ul. Gimnazjalna 6, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;119;364
2;"Świetlica Rady Sołeckiej w Trachach, Trachy ul. Raciborska 31, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;117;222
3;"Zespół Szkolno-Przedszkolny w Sierakowicach, Sierakowice ul. Wiejska 1, 44-156 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;205;412
4;"Zespół Szkolno-Przedszkolny w Kozłowie, Kozłów ul. Marcina 33, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;193;355
5;"Miejskie Przedszkole w Sośnicowicach, Oddział Zamiejscowy w Łanach Wielkich, Łany Wielkie ul. Wiejska 9, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;120;222
6;"Gminne Przedszkole w Smolnicy, Smolnica ul. Szkolna 1D, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;182;653
7;"Świetlica Rady Sołeckiej w Rachowicach, Rachowice ul. Wiejska 111, 44-156 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;122;265
8;"Szkoła Podstawowa w Bargłówce, Bargłówka ul. Raciborska 67, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;98;277
9;"Szkoła Podstawowa w Sośnicowicach, ul. Gimnazjalna 6, 44-153 Sośnicowice";240506;"gm. Sośnicowice";"gliwicki";"śląskie";1;1;135;449
1;"Szkoła Podstawowa nr 2 im. Gustawa Morcinka w Toszku, ul. Wilkowicka 2, 44-180 Toszek";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;385;629
2;"Szkoła Podstawowa nr 1 im. Ireny Sendler w Toszku, ul. Dworcowa 27, 44-180 Toszek";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;263;495
3;"Szkoła Podstawowa nr 1 im. Ireny Sendler w Toszku, ul. Dworcowa 27, 44-180 Toszek";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;233;311
4;"Szkoła Podstawowa nr 2 im. Gustawa Morcinka w Toszku, ul. Wilkowicka 2, 44-180 Toszek";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;268;294
5;"Budynek Ochotniczej Straży Pożarnej w Kotulinie, ul. Kolejowa 5B, 44-180 Kotulin";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;233;369
6;"Szkoła Podstawowa w Paczynie, ul. Wiejska 80, 44-120 Paczyna";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;202;310
7;"Szkoła Podstawowa im. Królowej Jadwigi w Pniowie, ul. Szkolna 4/1, 44-120 Pniów";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;124;277
8;"SP ZOZ Szpital Psychiatryczny w Toszku, ul. Gliwicka 5, 44-180 Toszek";240507;"gm. Toszek";"gliwicki";"śląskie";1;1;57;57
1;"Hala Sportowa w Szkole Podstawowej im Jana Pawła II (dawne gimnazjum), ul. Zamkowa 24, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;382;647
2;"Świetlica wiejska, Dąbrówka ul. Główna 32, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;94;132
3;"Świetlica wiejska, Sieroty ul. Kościelna 17, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;72;160
4;"Świetlica Wiejska, Błażejowice ul. Wiejska 28B, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;63;70
5;"Szkoła Podstawowa im. Literatów Dziecięcych w Świbiu, Świbie ul. Szkolna 2, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;282;355
6;"Świetlica Wiejska, Radonia ul. Szkolna 14, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;77;112
7;"Świetlica Wiejska, Zacharzowice ul. Wiejska 55, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;48;91
8;"Świetlica wiejska, Czarków ul. Wiejska 3, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;37;97
9;"Dom Pomocy Społecznej, Wiśnicze ul. Wiejska 42A, 44-187 Wielowieś";240508;"gm. Wielowieś";"gliwicki";"śląskie";1;1;15;13
1;"Publiczna Szkoła Podstawowa Nr 1 w Kaletach, ul. 1 Maja 6, 42-660 Kalety";241301;"m. Kalety";"tarnogórski";"śląskie";1;1;446;559
2;"Miejski Dom Kultury w Kaletach, ul. Lubliniecka 2, 42-660 Kalety";241301;"m. Kalety";"tarnogórski";"śląskie";1;1;116;244
3;"były Zespół Szkół w Kaletach, ul. Księdza Rogowskiego 43, 42-660 Kalety";241301;"m. Kalety";"tarnogórski";"śląskie";1;1;632;767
4;"były Klub w Kaletach-Drutarni, ul. Koszęcińska 33, 42-660 Kalety";241301;"m. Kalety";"tarnogórski";"śląskie";1;1;154;222
5;"Zespół Placówek Oświatowych w Kaletach-Miotku, ul. Orzeszkowej 10, 42-660 Kalety";241301;"m. Kalety";"tarnogórski";"śląskie";1;1;500;651
1;"Świetlica Szkoły Podstawowej Nr 1, ul. Dworcowa 8, 42-610 Miasteczko Śląskie";241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";1;1;438;576
2;"Szkoła Podstawowa Nr 1, ul. Dworcowa 8, 42-610 Miasteczko Śląskie";241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";1;1;338;449
3;"Miejski Ośrodek Kultury, ul. Srebrna 24, 42-610 Miasteczko Śląskie";241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";1;1;332;323
4;"Szkoła Podstawowa Nr 2, ul. Harcerska 5, 42-610 Miasteczko Śląskie";241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";1;1;446;526
5;"Strażnica OSP Brynica, ul. Władysława Łokietka 5, 42-610 Miasteczko Śląskie";241302;"m. Miasteczko Śląskie";"tarnogórski";"śląskie";1;1;170;109
1;"Technikum Nr 13, ul. Zofii Nałkowskiej 2, 41-922 Radzionków";241303;"m. Radzionków";"tarnogórski";"śląskie";1;1;431;436
