"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SUCHAŃSKA Katarzyna Aleksandra - KW BEZPARTYJNI SAMORZĄDOWCY";"MILCARZ Henryk Mieczysław - KW NOWA LEWICA";"SŁOŃ Krzysztof Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"RAK Andrzej - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BIERNACKI Robert - KW POLSKA JEST JEDNA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNY ANTYSYSTEMOWY"
70;"Wojewódzki Szpital Zespolony, Świętokrzyskie Centrum Neurologii, Wejście Główne Nr 1, ul. Grunwaldzka 45, 25-736 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;186;352;434;84;56;38
71;"Miejski Zespół Poradni Psychologiczno-Pedagogicznych, ul. Urzędnicza 16, 25-729 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;178;424;390;97;61;30
72;"Szkoła Podstawowa nr 14 Specjalna im. Karola Wojtyły-Papieża Polaka, ul. Szkolna 29, 25-604 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;208;540;466;57;89;31
73;"Miejski Ośrodek Sportu i Rekreacji Hala Widowiskowo-Sportowa, ul. Żytnia 1, 25-018 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;235;501;452;84;90;35
74;"Przedszkole Samorządowe nr 13, ul. Karczówkowska 8, 25-019 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;178;437;376;52;65;34
75;"Klub Sportowy ""Stella"", Hala Sportowa, ul. Krakowska 374, 25-801 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;205;288;369;42;38;26
76;"Dom Kultury ""Białogon"", ul. Pańska 1A, 25-811 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;299;481;658;105;75;39
77;"Szkoła Podstawowa nr 20 im. Natalii Machałowej, al. Górników Staszicowskich 22A, 25-804 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;128;198;186;57;18;14
78;"Miejski Ośrodek Sportu i Rekreacji, Hotel Maraton, ul. Leszka Drogosza 1, 25-093 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;147;388;272;52;49;21
79;"I Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Księdza Piotra Ściegiennego 15, 25-033 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;316;866;418;116;85;42
80;"Integracyjne Przedszkole Samorządowe nr 8, ul. Hetmana Stanisława Żółkiewskiego 12, 25-130 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;210;619;410;75;92;39
81;"Szkoła Podstawowa nr 9 im. Adolfa Dygasińskiego, ul. Adolfa Dygasińskiego 6, 25-120 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;346;747;424;73;96;47
82;"Miejski Ośrodek Pomocy Rodzinie, ul. Posłowicka 98, 25-145 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;122;78;281;46;36;12
83;"Szkoła Podstawowa nr 23 im. Jana Pawła II, ul. Łanowa 68, 25-147 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;338;240;355;51;44;22
84;"Świętokrzyskie Centrum Matki i Noworodka Szpital Specjalistyczny, ul. Prosta 30, 25-371 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;9;16;18;2;3;0
85;"Dom Pomocy Społecznej im. Florentyny Malskiej, ul. Tarnowska 10, 25-394 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;2;15;27;0;0;2
86;"Dom Pomocy Społecznej im. Św. Brata Alberta, ul. Stefana Żeromskiego 4/6, 25-369 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;5;2;16;2;3;0
87;"Samodzielny Publiczny Zakład Opieki Zdrowotnej MSWiA, ul. Wojska Polskiego 51, 25-375 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;1;7;7;3;0;0
88;"Areszt Śledczy, ul. Zagnańska 155, 25-563 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;100;186;113;103;85;42
89;"Szpital Kielecki św. Aleksandra Sp. z o. o., ul. Generała Tadeusza Kościuszki 25, 25-316 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;4;9;14;3;2;0
90;"Dom Pomocy Społecznej im. Jana i Marysieńki Sobieskich, ul. Króla Jana III Sobieskiego 30, 25-124 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;4;6;15;1;0;2
91;"Wojewódzki Szpital Zespolony w Kielcach, ul. Grunwaldzka 45, 25-736 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;34;69;125;10;12;6
92;"Świętokrzyskie Centrum Onkologii, Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Prezydenta Stefana Artwińskiego 3, 25-734 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;14;29;72;1;10;2
93;"Dom Pomocy Społecznej im. Jana Pawła II, ul. Jagiellońska 76, 25-734 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;5;8;36;2;7;2
94;"Dom Pomocy Społecznej im. prof. Antoniego Kępińskiego, ul. Jagiellońska 76, 25-734 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;1;4;19;1;0;0
95;"Dom Pomocy Społecznej Dom Seniora ""NESTOR"" w Kielcach, ul. Peryferyjna 15, 25-562 Kielce";266101;"m. Kielce";"Kielce";"świętokrzyskie";1;1;1;10;13;0;2;2
