"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOPIEC Maciej Kamil - KW NOWA LEWICA";"PIECHOTA Leszek Marian - KW PRAWO I SPRAWIEDLIWOŚĆ";"MARKOWSKI Jerzy - KWW JERZEGO MARKOWSKIEGO"
113;"Szkoła Podstawowa nr 33, ul. Wincentego Witosa 23, 40-832 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;647;372;270
114;"Szkoła Podstawowa nr 33, ul. Wincentego Witosa 23, 40-832 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;560;370;233
115;"Zespół Szkolno-Przedszkolny nr 8, ul. Hetmańska 8, 40-560 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;657;352;260
116;"Miejska Biblioteka Publiczna Filia nr 32, ul. Grzyśki 19a, 40-560 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;384;226;177
117;"Zespół Szkół Zawodowych Specjalnych nr 6, ul. Rolna 22, 40-555 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;916;368;348
118;"Szkoła Podstawowa nr 11, ul. Nasypowa 16, 40-551 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;938;281;309
119;"Zespół Szkolno-Przedszkolny nr 7, ul. J. Gallusa 5, 40-594 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;568;438;286
120;"Zespół Szkolno-Przedszkolny nr 7, ul. J. Gallusa 5, 40-594 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;466;293;232
121;"Zespół Szkół Technicznych i Ogólnokształcących nr 2, ul. Mikołowska 131, 40-592 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;505;335;233
122;"Szkoła Podstawowa nr 17, ul. Jana Dekerta 1, 40-143 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;1031;401;337
123;"Szkoła Podstawowa nr 17, ul. Jana Dekerta 1, 40-143 Katowice";246901;"m. Katowice";"Katowice";"śląskie";1;1;581;343;269
