"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIAŁOOKA-KOSTENECKA Danuta Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"RYBICKI Sławomir Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
10;"Świetlica wiejska, Lubkowo ul. Wiejska 15, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;76;114
11;"Świetlica wiejska, Odargowo ul. Wspólna 1, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;92;111
12;"Świetlica wiejska, Jeldzino 71, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;59;71
13;"Świetlica wiejska, Karlikowo ul. Polna 4, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;132;150
14;"Świetlica wiejska, Lisewo ul. Młyńska 10A, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;92;122
15;"Świetlica wiejska, Minkowice ul. Krótka 7, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;148;179
16;"Świetlica wiejska, Sulicice 7B, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;81;95
17;"Świetlica wiejska, Kłanino ul. Szkolna 3, 84-107 Starzyno";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;166;146
18;"Świetlica wiejska, Karwieńskie Błoto Pierwsze ul. Spokojna 13, 84-105 Karwia";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;186;267
19;"Dom Pomocy Społecznej, Lubkowo ul. Długa 50, 84-110 Krokowa";221106;"gm. Krokowa";"pucki";"pomorskie";1;1;7;3
1;"Szkoła Podstawowa, ul. Mechowska 2, 84-106 Leśniewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;398;547
2;"Szkoła Podstawowa, Mrzezino ul. Dworcowa 54, 84-123 Połchowo";221107;"gm. Puck";"pucki";"pomorskie";1;1;528;927
3;"Zespół Szkolno-Przedszkolny, ul. Dworcowa 2, 84-123 Połchowo";221107;"gm. Puck";"pucki";"pomorskie";1;1;247;540
4;"Szkoła Podstawowa, Połczyno ul. Szkolna 21, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;273;632
5;"Szkoła Podstawowa, ul. Żarnowiecka 22, 84-107 Starzyno";221107;"gm. Puck";"pucki";"pomorskie";1;1;420;487
6;"Wiejski Dom Kultury, Strzelno ul. Bałtycka 14, 84-103 Łebcz";221107;"gm. Puck";"pucki";"pomorskie";1;1;314;259
7;"Dom Kaszubski, Swarzewo ul. ks. Pronobisa 11, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;230;372
8;"Zespół Szkolno-Przedszkolny, ul. Szkolna 1, 84-122 Żelistrzewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;596;1016
9;"Szkoła Podstawowa, Rekowo Górne ul. Wiktora Czapiewskiego 1, 84-123 Połchowo";221107;"gm. Puck";"pucki";"pomorskie";1;1;239;478
10;"Wiejski Klub Kultury, Celbowo ul. Jesionowa 3, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;132;166
11;"Zespół Szkolno-Przedszkolny, ul. Pucka 27, 84-103 Łebcz";221107;"gm. Puck";"pucki";"pomorskie";1;1;432;597
12;"Szkoła Podstawowa, Gnieżdżewo ul. Dworcowa 6, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;334;343
13;"Park Kulturowy Osada Łowców Fok, Rzucewo ul. Nad Zatoką 9, 84-122 Żelistrzewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;54;76
14;"Remiza Ochotniczej Straży Pożarnej, Smolno ul. Pucka 46, 84-122 Żelistrzewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;179;321
15;"Szkoła Podstawowa, Darzlubie ul. Pucka 74, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;217;248
16;"Zespół Szkolno-Przedszkolny, Mieroszyno ul. Szkolna 2, 84-103 Łebcz";221107;"gm. Puck";"pucki";"pomorskie";1;1;267;297
17;"Remiza Ochotniczej Straży Pożarnej, Domatowo ul. Strażacka 1, 84-106 Leśniewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;219;234
18;"Wiejski Klub Kultury, Domatówko ul. Jana Pawła II 4, 84-106 Leśniewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;151;319
19;"Wiejski Klub Kultury, Mechowo ul. ks. Zygmunta Trelli 69, 84-106 Leśniewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;113;105
20;"Szkoła Podstawowa, Werblinia ul. Szkolna 2, 84-107 Starzyno";221107;"gm. Puck";"pucki";"pomorskie";1;1;180;145
21;"Świetlica, Brudzewo 9, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;67;100
22;"Wiejski Klub Kultury, Sławutowo ul. Szkolna 65, 84-122 Żelistrzewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;120;115
23;"Wiejski Klub Kultury, Błądzikowo ul. Bałtycka 5A, 84-100 Puck";221107;"gm. Puck";"pucki";"pomorskie";1;1;55;140
24;"Wiejski Klub Kultury, Osłonino ul. Bursztynowa 1, 84-122 Żelistrzewo";221107;"gm. Puck";"pucki";"pomorskie";1;1;65;82
1;"Przystań Chylońska 237, ul. Chylońska 237, 81-007 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;352;734
2;"Szkoła Podstawowa nr 31, ul. Chylońska 227, 81-007 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;319;764
3;"Przystań Chylońska 237, ul. Chylońska 237, 81-007 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;341;917
4;"Szkoła Podstawowa nr 31, ul. Chylońska 227, 81-007 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;302;617
5;"Szkoła Podstawowa nr 40, ul. Gospodarska 1, 81-068 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;359;874
6;"Przedszkole nr 32, ul. Kcyńska 6, 81-005 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;378;1025
7;"Szkoła Podstawowa nr 16, ul. Chabrowa 43, 81-079 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;470;1150
8;"Szkoła Podstawowa nr 16, ul. Chabrowa 43, 81-079 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;306;781
9;"Przedszkole nr 46, ul. Pusta 9, 81-078 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;388;925
10;"Przedszkole nr 21, ul. Demptowska 42, 81-094 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;247;618
11;"Centrum Kształcenia Zawodowego i Ustawicznego nr 3, ul. Raduńska 21, 81-057 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;315;839
12;"Szkoła Podstawowa nr 40, ul. Rozewska 33, 81-055 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;358;897
13;"Szkoła Podstawowa nr 40, ul. Rozewska 33, 81-055 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;338;912
14;"XIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Wejherowska 55, 81-049 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;283;686
15;"Szkoła Podstawowa nr 40, ul. Gospodarska 1, 81-068 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;373;765
16;"Zespół Placówek Specjalistycznych, ul. Wejherowska 65, 81-049 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;369;996
17;"XIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Wejherowska 55, 81-049 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;428;943
18;"XIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Wejherowska 55, 81-049 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;271;556
19;"Szkoła Podstawowa nr 10, ul. Morska 192, 81-222 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;360;750
20;"Zespół Szkół Ekologiczno-Transportowych, ul. Morska 186, 81-225 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;385;735
21;"Szkoła Podstawowa nr 10, ul. Morska 192, 81-222 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;689;341
22;"Zespół Szkół Ekologiczno-Transportowych, ul. Morska 186, 81-225 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;270;761
23;"Zespół Szkół Ekologiczno-Transportowych, ul. Morska 186, 81-225 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;176;538
24;"Szkoła Podstawowa nr 29, ul. Piotra Ściegiennego 8, 81-257 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;340;992
25;"Zespół Szkół Chłodniczych i Elektronicznych, ul. Sambora 48, 81-201 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;355;1085
26;"Szkoła Podstawowa nr 52, ul. Stefana Okrzei 6, 81-228 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;395;922
27;"Zespół Szkół Chłodniczych i Elektronicznych, ul. Sambora 48, 81-201 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;153;533
28;"Szkoła Podstawowa nr 17, ul. Grabowo 12, 81-265 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;323;1191
29;"Zespół Szkół Hotelarsko-Gastronomicznych, ul. Morska 77, 81-222 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;363;1284
30;"II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Wolności 22B, 81-327 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;268;883
31;"Gdyńska Szkoła Społeczna, ul. Wolności 25, 81-327 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;138;693
32;"Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną, ul. Warszawska 47, 81-309 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;289;960
33;"Szkoła Podstawowa nr 26, ul. Tatrzańska 40, 81-313 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;195;618
34;"Zespół Szkół Specjalnych nr 17, ul. Witomińska 25/27, 81-311 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;269;921
35;"I Akademickie LO, ul. Narcyzowa 6, 81-653 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;373;1139
36;"I Akademickie LO, ul. Narcyzowa 6, 81-653 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;269;800
37;"Pierwsza Społeczna Szkoła Podstawowa, ul. Strażacka 15, 81-616 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;297;674
38;"Szkoła Podstawowa nr 35, ul. Uczniowska 1, 81-647 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;267;736
39;"Szkoła Podstawowa nr 35, ul. Uczniowska 1, 81-647 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;239;474
40;"Szkoła Podstawowa nr 12, ul. Stawna 6, 81-629 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;425;1180
41;"Szkoła Podstawowa nr 12, ul. Stawna 6, 81-629 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;341;963
42;"Szkoła Podstawowa nr 12, ul. Stawna 6, 81-629 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;275;1055
43;"Szkoła Podstawowa nr 35, ul. Uczniowska 1, 81-647 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;191;570
44;"Szkoła Podstawowa nr 48, ul. Jowisza 60, 81-601 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;231;825
45;"Szkoła Podstawowa nr 48, ul. Jowisza 60, 81-601 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;419;1676
46;"Zespół Szkół Ogólnokształcących nr 8, ul. Wiczlińska 93, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;358;1584
47;"Zespół Szkół Ogólnokształcących nr 8, ul. Wiczlińska 50A, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;230;2027
48;"Zespół Szkół Ogólnokształcących nr 8, ul. Wiczlińska 50A, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;348;1645
49;"Zespół Szkolno-Przedszkolny nr 3, ul. Nagietkowa 73, 81-589 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;657;751
50;"Zespół Szkolno-Przedszkolny nr 3, ul. Nagietkowa 73, 81-589 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;337;1284
51;"Zespół Szkolno-Przedszkolny nr 3, ul. Nagietkowa 73, 81-589 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;361;1311
52;"Zespół Wczesnej Edukacji nr 1, ul. Wiczlińska 33, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;249;1028
53;"Zespół Wczesnej Edukacji nr 1, ul. Wiczlińska 33, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;326;1148
54;"Zespół Wczesnej Edukacji nr 1, ul. Wiczlińska 33, 81-578 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;274;1046
55;"Przystań Lipowa 15, ul. Lipowa 15, 81-572 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;275;1642
56;"Miejski Klub Seniora ""Wielki Kack"", ul. Lipowa 15, 81-572 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;293;1695
57;"Szkoła Podstawowa nr 20, ul. Starodworcowa 36, 81-575 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;419;1590
58;"Szkoła Podstawowa nr 20, ul. Starodworcowa 36, 81-575 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;249;1149
59;"Przedszkole nr 44, ul. Tatarczana 4, 81-591 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;510;1353
60;"Zespół Szkolno-Przedszkolny nr 2, ul. Leopolda Staffa 10, 81-597 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;412;1273
61;"Zespół Szkolno-Przedszkolny nr 2, ul. Leopolda Staffa 10, 81-597 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;251;1128
62;"Zespół Szkolno-Przedszkolny nr 4, ul. Chwaszczyńska 26, 81-571 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;383;1070
63;"Zespół Szkolno-Przedszkolny nr 2, ul. Leopolda Staffa 10, 81-597 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;293;2007
64;"Szkoła Podstawowa nr 11, ul. Wrocławska 52, 81-553 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;446;1846
65;"Szkoła Podstawowa nr 13, ul. Halicka 8, 81-506 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;432;1219
66;"Szkoła Podstawowa nr 11, ul. Wrocławska 52, 81-553 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;205;621
67;"Szkoła Podstawowa nr 11, ul. Wrocławska 52, 81-553 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;254;1012
68;"IX Liceum Ogólnokształcące, ul. Orłowska 57, 81-542 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;244;828
69;"Szkoła Podstawowa nr 8, ul. Orłowska 27 - 33, 81-522 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;323;1170
70;"Szkoła Podstawowa nr 34, ul. Lucjana Cylkowskiego 5, 81-465 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;377;1342
71;"Przedszkole nr 24, ul. Janusza Korczaka 22, 81-473 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;356;1679
72;"Szkoła Podstawowa nr 34, ul. Lucjana Cylkowskiego 5, 81-465 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;318;1093
73;"Zespół Szkół Ogólnokształcących nr 6, ul. gen. Józefa Hallera 9, 81-453 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;236;870
74;"Przedszkole nr 22, ul. gen. Józefa Hallera 37, 81-428 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;205;740
75;"Szkoła Muzyczna I i II stopnia, ul. bp. Dominika 13a, 81-402 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;108;1043
76;"VI Liceum Ogólnokształcące, ul. Mikołaja Kopernika 34, 81-424 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;200;653
77;"Szkoła Podstawowa nr 23, ul. Artura Grottgera 19, 81-438 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;167;586
78;"III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Legionów 27, 81-405 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;207;728
79;"III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Legionów 27, 81-405 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;213;868
80;"X Liceum Ogólnokształcące, ul. Władysława IV 58, 81-384 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;115;472
81;"Szkoła Podstawowa nr 18, ul. Ignacego Krasickiego 28, 81-385 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;249;852
82;"Szkoła Podstawowa nr 18, ul. Ignacego Krasickiego 28, 81-385 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;135;736
83;"X Liceum Ogólnokształcące, ul. Władysława IV 58, 81-384 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;190;714
84;"Zespół Sportowych Szkół Ogólnokształcących, ul. Władysława IV 54, 81-384 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;245;1000
85;"Zespół Sportowych Szkół Ogólnokształcących, ul. Władysława IV 54, 81-384 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;157;603
86;"Szkoła Podstawowa nr 21, ul. Jana z Kolna 5, 81-351 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;213;753
87;"Gdyńskie Centrum Organizacji Pozarządowych, ul. 3 Maja 27 - 31, 81-364 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;157;563
88;"Szkoła Podstawowa nr 21, ul. Jana z Kolna 5, 81-351 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;151;561
89;"Centrum Usług dla Przedszkoli i Szkół, ul. 10 Lutego 26, 81-364 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;204;666
90;"Centrum Usług dla Przedszkoli i Szkół, ul. 10 Lutego 26, 81-364 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;157;572
91;"Szkoła Podstawowa nr 21, ul. Jana z Kolna 5, 81-351 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;345;1227
92;"Przystań Śmidowicza 49, ul. inż. J. Śmidowicza 49, 81-127 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;200;484
93;"Szkoła Podstawowa nr 33, ul. Cypriana Godebskiego 8, 81-134 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;427;1350
94;"Przedszkole nr 35, ul. płk. Stanisława Dąbka 167, 81-167 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;291;941
95;"Szkoła Podstawowa nr 33, ul. Cypriana Godebskiego 8, 81-134 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;379;1296
96;"Szkoła Podstawowa nr 33, ul. Cypriana Godebskiego 8, 81-134 Gdynia";226201;"m. Gdynia";"Gdynia";"pomorskie";1;1;226;670
