"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Urszula Barbara - KW BEZPARTYJNI SAMORZĄDOWCY";"LUBIAK Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"HIBNER Jolanta Emilia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ROGUSKI Robert - KWW ROBERTA ROGUSKIEGO"
1;"Powiatowy Zespół Szkół Ponadpodstawowych im. Jerzego Siwińskiego, ul. Targowa 73A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;150;464;795;45
2;"Przedszkole Miejskie Nr 1 im. Marii Kownackiej, ul. Olszankowa E, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;263;444;852;76
3;"Zespół Szkolno-Przedszkolny im. Legionów Polskich 1914 - 1918, ul. Jana Pawła I 2, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;200;482;848;106
4;"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol główny-wejście główne do budynku, ul. Zegrzyńska 3, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;171;269;777;42
5;"Szkoła Podstawowa nr 8 im. 1 Warszawskiej Dywizji Piechoty Hol przy małej sali gimnastycznej-wejście schodami przy stołówce, ul. Zegrzyńska 3, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;213;369;1035;60
6;"Przedszkole Miejskie Nr 11, ul. Zegrzyńska 9, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;211;381;1147;67
7;"Przedszkole Miejskie Nr 3 im. Koszałka Opałka, ul. Zegrzyńska 71, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;241;468;1214;90
8;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika, ul. Zakopiańska 4, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;171;481;918;49
9;"KZB Legionowo Sp. z o. o., ul. marsz. Józefa Piłsudskiego 3, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;455;895;48
10;"Urząd Miasta Legionowo, ul. marsz. Józefa Piłsudskiego 41, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;178;527;1016;63
11;"Zespół Szkolno-Przedszkolny Nr 2 Hol przy Szkole Podstawowej nr 2 im. Kornela Makuszyńskiego, ul. Jagiellońska 67, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;92;241;405;47
12;"Zespół Szkolno-Przedszkolny Nr 2 Hol w Przedszkolu nr 2 im. Doroty Gellner, ul. Jagiellońska 67, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;155;420;768;48
13;"Arena Legionowo, ul. Bolesława Chrobrego 50B, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;342;640;38
14;"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Sala nr 21, ul. Husarska 18A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;148;390;649;58
15;"Przedszkole Miejskie z Oddziałami Integracyjnymi Nr 7 im. Janusza Korczaka Korytarz główny przedszkola, ul. Husarska 18A, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;114;416;657;42
16;"Szkoła Podstawowa nr 7 im. VII Obwodu ""Obroża"" AK, ul. Królowej Jadwigi 7, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;130;352;604;49
17;"Miejski Ośrodek Kultury im. Charlesa Spencera Chaplina, ul. Cypriana Kamila Norwida 10, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;143;459;718;39
18;"Filia Miejskiego Ośrodka Kultury ""Scena po sąsiedzku"", ul. Husarska 12, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;159;467;747;55
19;"Szkoła Podstawowa Nr 3 im. Janusza Kusocińskiego, ul. Władysława Broniewskiego 7, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;140;413;655;43
20;"Przedszkole Miejskie Nr 6 Tęczowa Szóstka, ul. Władysława Broniewskiego 3, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;130;357;608;45
21;"Żłobek Miejski Motylkowy Świat, ul. ppłk. Edwarda Dietricha 1, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;109;408;613;49
22;"Liceum Ogólnokształcące im. Marii Konopnickiej, ul. marsz. Józefa Piłsudskiego 26, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;166;493;762;63
23;"Powiatowy Zespół Szkół i Placówek Specjalnych, ul. Jagiellońska 69, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;119;333;653;44
24;"Dom Pomocy Społecznej ""Kombatant"", ul. Jagiellońska 71, 05-120 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;6;27;18;1
25;"Wojskowy Instytut Medyczny Państwowy Instytut Badawczy, ul. Zegrzyńska 8, 05-119 Legionowo";140801;"m. Legionowo";"legionowski";"mazowieckie";1;1;1;11;17;1
1;"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;171;434;1017;63
2;"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;210;478;1189;69
3;"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;128;245;756;46
4;"Szkoła Podstawowa im. Armii Krajowej, ul. Szkolna 2, 05-110 Jabłonna";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;136;426;692;67
5;"Szkoła Podstawowa Nr 2 im. Orła Białego w Chotomowie, ul. Partyzantów 23, 05-123 Chotomów";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;145;262;737;46
6;"Szkoła Podstawowa Nr 2 im. Orła Białego w Chotomowie, ul. Partyzantów 23, 05-123 Chotomów";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;206;459;1055;72
7;"Szkoła Podstawowa Nr 2 im. Orła Białego w Chotomowie, ul. Partyzantów 23, 05-123 Chotomów";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;168;404;1113;58
8;"GCKiS Filia w Skierdach, Skierdy ul. Nadwiślańska 1, 05-101 Nowy Dwór Mazowiecki";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;138;270;730;35
9;"Klub Rolnika, Boża Wola ul. Dębowa 43, 05-101 Nowy Dwór Mazowiecki";140802;"gm. Jabłonna";"legionowski";"mazowieckie";1;1;117;255;520;59
1;"Liceum Ogólnokształcące im. Stanisława Lema w Stanisławowie Pierwszym (sala nr 016), Stanisławów Pierwszy ul. Jana Kazimierza 291A, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;36;138;409;19
2;"Gminne Przedszkole w Nieporęcie, ul. Jana Kazimierza 104, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;97;276;485;38
3;"Szkoła Podstawowa im. Bronisława Tokaja w Nieporęcie (Sala nr 5), ul. Dworcowa 9, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;42;229;285;19
4;"Szkoła Podstawowa im. Bronisława Tokaja w Nieporęcie (Sala nr 6), ul. Dworcowa 9, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;87;355;443;35
5;"Szkoła Podstawowa im. Wojska Polskiego w Białobrzegach, ul. Wojska Polskiego 21, 05-127 Białobrzegi";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;87;231;373;36
6;"Liceum Ogólnokształcące im. Stanisława Lema w Stanisławowie Pierwszym (sala nr 018), Stanisławów Pierwszy ul. Jana Kazimierza 291A, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;131;233;598;33
7;"Szkoła Podstawowa im. I Batalionu Saperów Kościuszkowskich w Izabelinie, Izabelin ul. Szkolna 1, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;90;223;359;21
8;"Szkoła Podstawowa im. Wandy Chotomskiej w Józefowie (Hol przy salach nr 1 - 3), Józefów ul. Szkolna 62, 05-119 Legionowo";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;128;269;620;34
9;"Ośrodek Kultury w Kątach Węgierskich, Kąty Węgierskie ul. Kościelna 22, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;163;317;557;57
10;"Szkoła Podstawowa im. Wandy Chotomskiej w Józefowie (Sala nr 14), Józefów ul. Szkolna 62, 05-119 Legionowo";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;34;130;437;13
11;"Ośrodek Kultury w Stanisławowie Drugim, Stanisławów Drugi ul. Wolska 71A, 05-119 Legionowo";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;87;220;502;27
12;"Zespół Szkolno-Przedszkolny im. 28 Pułku Strzelców Kaniowskich w Wólce Radzymińskiej, Wólka Radzymińska ul. Szkolna 79, 05-126 Nieporęt";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;76;222;232;47
13;"Ośrodek Kultury w Zegrzu Południowym, ul. Osiedle Wojskowe 13, 05-130 Zegrze Południowe";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;57;146;278;12
14;"Świetlica Środowiskowa w Ryni, Rynia ul. Główna 24A, 05-127 Białobrzegi";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;27;85;91;13
15;"Gminny Ośrodek Kultury w Beniaminowie, Beniaminów ul. Fortowa 15, 05-127 Białobrzegi";140803;"gm. Nieporęt";"legionowski";"mazowieckie";1;1;13;64;42;19
1;"Szkoła Podstawowa, ul. Pułtuska 68, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;277;603;1036;78
2;"Samorządowe Przedszkole, ul. Włodzimierza Wolskiego 15, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;185;376;652;38
3;"Świetlica Środowiskowa, Wierzbica 28 B, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;76;124;203;21
4;"budynek Ochotniczej Straży Pożarnej, Gąsiorowo ul. Grunwaldzka 35, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;105;252;392;40
5;"Zespół Szkolno-Przedszkolny, Wola Kiełpińska 1, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;289;706;1134;73
6;"Zespół Szkolno-Przedszkolny, Wola Kiełpińska 1, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;260;681;658;65
7;"Szkoła Podstawowa, Jadwisin ul. Szkolna 46, 05-140 Serock";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;187;472;951;71
8;"Szkoła Podstawowa im Wojska Polskiego, ul. Oficerska 3, 05-131 Zegrze";140804;"gm. Serock";"legionowski";"mazowieckie";1;1;86;134;368;21
1;"Budynek Ochotniczej Straży Pożarnej, Janówek Pierwszy ul. Dworcowa 9, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;105;240;324;34
2;"Szkoła Podstawowa im. Bronisława Sokoła, Olszewnica Stara ul. Warszawska 40, 05-123 Chotomów";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;165;313;691;42
3;"Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 10, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;247;473;924;48
4;"Szkoła Podstawowa im. Tadeusza Kościuszki, ul. Modlińska 60, 05-135 Wieliszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;151;377;520;45
5;"Szkoła Podstawowa im. Tadeusza Kościuszki, ul. Modlińska 60, 05-135 Wieliszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;157;343;533;38
6;"Zespól Szkół, Łajski ul. Kościelna 63, 05-119 Legionowo";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;180;382;813;63
7;"Dom Ogrodnika, Michałów-Reginów ul. Nowodworska 31, 05-119 Legionowo";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;126;374;578;59
8;"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Janusza Kusocińskiego 1, 05-135 Wieliszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;271;405;1088;87
9;"Budynek Ochotniczej Straży Pożarnej, Krubin ul. Jeziorna 40, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;60;121;161;15
10;"Budynek Świetlicy, Olszewnica Nowa ul. Nowodworska 49, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;19;53;68;6
11;"Ochotnicza Straż Pożarna, Kałuszyn ul. Adama Mickiewicza 7, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;68;151;274;23
12;"Liceum Ogólnokształcące im. mjra Konstantego Mikołaja Radziwiłła, Komornica ul. Nasielska 7, 05-135 Wieliszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;28;49;146;9
13;"DOM OPIEKI EMERYTA ZŁOTA JESIEŃ, ul. Nowodworska 99, 05-119 Łajski";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;1;10;11;1
14;"Mazowiecki Szpital Onkologiczny, ul. Kościelna 61, 05-135 Wieliszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;7;27;31;3
15;"DOM OPIEKI MARION, Krubin ul. Nowodworska 13, 05-124 Skrzeszew";140805;"gm. Wieliszew";"legionowski";"mazowieckie";1;1;2;4;0;0
1;"Zespół Szkolno-Przedszkolny Nr 1 (sala forum), ul. Młodzieżowa 1, 05-101 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;183;318;805;53
2;"Zespół Szkolno-Przedszkolny nr 1, ul. Młodzieżowa 3, 05-101 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;235;509;1087;39
3;"Zespół Szkolno-Przedszkolny nr 1 (stołówka), ul. Młodzieżowa 1, 05-101 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;234;568;1032;70
4;"Szkoła Podstawowa Nr 5, ul. Chemików 1A, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;118;266;553;46
5;"Liceum Ogólnokształcące, ul. Chemików 1, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;142;422;639;38
6;"Zespół Szkół Nr 2, ul. Długa 10, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;163;306;471;51
7;"Urząd Miejski, ul. Zakroczymska 30, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;98;237;432;29
8;"Szkoła Podstawowa nr 1, ul. Juliusza Słowackiego 2, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;174;520;732;83
9;"Publiczne Przedszkole Nr 3, ul. Bohaterów Modlina 26, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;165;486;677;62
10;"Zespół Szkolno-Przedszkolny nr 4 (hala sportowa), ul. gen. Józefa Bema 312, 05-160 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;190;339;798;43
11;"Zespół Szkolno-Przedszkolny nr 4 (sala gimnastyczna), ul. gen. Józefa Bema 312, 05-160 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;149;305;788;47
12;"Zespół Szkolno-Przedszkolny Nr 3, ul. Szkolna 3, 05-102 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;224;520;738;57
13;"Szpital Powiatowy w Nowym Dworze Mazowieckim, ul. Miodowa 2, 05-100 Nowy Dwór Mazowiecki";141401;"m. Nowy Dwór Mazowiecki";"nowodworski";"mazowieckie";1;1;1;8;8;0
1;"Szkoła Podstawowa im. Prezydenta Gabriela Narutowicza w Cząstkowie Mazowieckim, Cząstków Mazowiecki 55, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;131;322;505;50
2;"Szkoła Podstawowa im. Macieja Rataja w Małocicach, Małocice ul. Wojska Polskiego 76, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;241;420;727;55
3;"Szkoła Podstawowa im. ks. Jerzego Popiełuszki w Kazuniu Polskim, Kazuń Polski ul. Szkolna 2, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;206;402;625;43
4;"Szkoła Podstawowa w Sowiej Woli, Sowia Wola ul. Szkolna 108, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;142;318;359;57
5;"Szkoła Podstawowa w Łomnie, Łomna ul. Jana Kochanowskiego 89, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;198;482;683;56
6;"Zespół Szkolno-Przedszkolny Szkoła Podstawowa im. 2 Brygady Saperów w Kazuniu Nowym, Kazuń Nowy ul. Główna 6, 05-152 Czosnów";141402;"gm. Czosnów";"nowodworski";"mazowieckie";1;1;76;160;266;13
1;"Szkoła Podstawowa w Górkach, Górki 67, 05-155 Leoncin";141403;"gm. Leoncin";"nowodworski";"mazowieckie";1;1;39;139;68;12
2;"Szkoła Podstawowa w Leoncinie, ul. Isaaca Bashevisa Singera 3, 05-155 Leoncin";141403;"gm. Leoncin";"nowodworski";"mazowieckie";1;1;143;523;407;51
3;"Szkoła Podstawowa w Głusku z siedzibą w Nowych Grochalach, Nowe Grochale 40, 05-155 Leoncin";141403;"gm. Leoncin";"nowodworski";"mazowieckie";1;1;187;412;410;68
4;"Strażnica Ochotniczej Straży Pożarnej w Wilkowie Polskim, Wilków Polski 54A, 05-155 Leoncin";141403;"gm. Leoncin";"nowodworski";"mazowieckie";1;1;113;437;252;51
1;"Żłobek Miejski-hol w wejściu od strony placu zabaw, ul. Warszawska 39A, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;56;234;200;17
2;"Żłobek Miejski-pomieszczenie w wejściu głównym od ulicy, ul. Warszawska 39A, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;48;205;243;22
3;"Hala Sportowa, ul. Staszica 1, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;99;310;328;34
4;"Szkoła Podstawowa Nr 1 im. Konstytucji 3 Maja, ul. Staszica 1, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;99;277;309;18
5;"Zespół Szkół Zawodowych-hol w wejściu do sali gimnastycznej, ul. Lipowa 10, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;76;337;355;23
6;"Szkoła Podstawowa Nr 2 im. Stefana Starzyńskiego, ul. Tadeusza Kościuszki 21, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;85;315;296;41
7;"Szkoła Podstawowa im. Księcia Józefa Poniatowskiego-świetlica szkolna, Stare Pieścirogi ul. Kolejowa 65, 05-191 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;92;299;327;34
8;"Szkoła Podstawowa im. Księcia Józefa Poniatowskiego-klasa w nowej części szkoły, Stare Pieścirogi ul. Kolejowa 65, 05-191 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;107;344;303;50
9;"Zespół Szkół Zawodowych-hol w wejściu do starej części szkoły, ul. Lipowa 10, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;92;404;198;51
10;"Szkoła Podstawowa, Popowo Borowe 111, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;88;358;166;27
11;"Szkoła Podstawowa im. Pierre'a de Coubertina-sala gimnastyczna, Budy Siennickie 67, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;100;460;268;49
12;"Remiza Ochotniczej Straży Pożarnej, Nuna 173, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;61;248;122;38
13;"Ośrodek Zdrowia, Stare Pieścirogi ul. Generała Władysława Sikorskiego 1, 05-191 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;77;250;222;34
14;"Szkoła Podstawowa im. Jana Pawła II, Dębinki 12, 05-191 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;98;373;205;36
15;"Szkoła Podstawowa im. Mikołaja Kopernika, ul. Marszałka Józefa Piłsudskiego 43, 05-192 Cieksyn";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;133;407;314;47
16;"Dom Pomocy Społecznej, ul. Tadeusza Kościuszki 25, 05-190 Nasielsk";141404;"gm. Nasielsk";"nowodworski";"mazowieckie";1;1;7;18;10;3
1;"Hala Sportowa Wejście A, ul. Szkolna 3, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;86;324;362;39
2;"Hala Sportowa Wejście B, ul. Szkolna 3, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;97;265;421;21
3;"Gminny Ośrodek Kultury, ul. Jana Kilińskiego 1, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;161;388;568;50
4;"Klub Wiejski, Kosewo ul. Klubowa 14, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;73;162;173;28
5;"Klub Wiejski, Czarnowo 36, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;46;146;152;30
6;"Szkoła Podstawowa, Stare Orzechowo 45, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;37;176;124;20
7;"Szkoła Podstawowa w Goławicach Pierwszych, Goławice Pierwsze 11a, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;71;188;198;23
8;"Klub wiejski w Szczypiornie, Szczypiorno ul. Słowiańska 23, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;57;143;170;15
9;"Klub Wiejski, Błędowo ul. Słowiańska 52, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;87;144;254;20
10;"Klub Wiejski, Nowy Modlin 24A, 05-180 Pomiechówek";141405;"gm. Pomiechówek";"nowodworski";"mazowieckie";1;1;50;140;111;30
