"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
3;"Samorządowy Zespół Szkolny w Biszczy, Biszcza 228, 23-425 Biszcza";60204;"gm. Biszcza";"biłgorajski";"lubelskie";1;1;28;259;61;51;5;55
4;"Samorządowa Szkoła Podstawowa w Goździe Lipińskim, Gózd Lipiński 81, 23-425 Biszcza";60204;"gm. Biszcza";"biłgorajski";"lubelskie";1;1;15;212;26;29;6;37
1;"Centrum Integracji Społecznej, ul. Zamojska 13, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;55;376;71;152;7;72
2;"Remiza OSP, Komodzianka 51b, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;10;82;10;6;1;21
3;"Świetlica, Korytków Mały 49a, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;21;207;50;29;5;29
4;"Szkoła Podstawowa, Radzięcin 82, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;16;158;37;51;2;40
5;"Szkoła Podstawowa, Teodorówka 64, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;44;262;58;43;4;59
6;"Szkoła Podstawowa, Wola Radzięcka 61, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;25;139;24;28;4;29
7;"Remiza OSP, Kąty 37, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;24;153;29;34;3;36
8;"Remiza OSP, Chłopków 63, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;16;59;20;15;0;27
9;"Świetlica, Sokołówka 54, 23-440 Frampol";60205;"gm. Frampol";"biłgorajski";"lubelskie";1;1;15;144;24;50;3;50
1;"Zespół Szkół w Goraju, ul. Bednarska 8, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;29;208;38;26;1;25
2;"Urząd Miejski, ul. Bednarska 1, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;48;333;89;63;10;56
3;"Remiza Ochotniczej Straży Pożarnej, Hosznia Ordynacka 22, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;23;201;25;39;6;47
4;"Remiza Ochotniczej Straży Pożarnej, Jędrzejówka 60, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;33;160;18;31;7;45
5;"Remiza Ochotniczej Straży Pożarnej, Wólka Abramowska 80, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;22;117;21;37;3;37
6;"Gminny Ośrodek Sportu i Rekreacji, Zastawie 89, 23-450 Goraj";60206;"gm. Goraj";"biłgorajski";"lubelskie";1;1;17;182;30;17;0;17
1;"Miejski Ośrodek Kultury w Józefowie, ul. Krótka 9, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;43;231;58;205;9;59
2;"Środowiskowy Dom Samopomocy w Józefowie, ul. Czesława Mużacza ""Selima"" 1, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;45;185;61;143;5;53
3;"Szkoła Podstawowa w Józefowie, ul. Górnicza 21, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;16;98;30;52;9;27
4;"Szkoła Podstawowa w Majdanie Nepryskim, Majdan Nepryski 18, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;28;214;52;101;6;38
5;"Szkoła Podstawowa w Stanisławowie, Stanisławów 64a, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;16;152;30;33;6;25
6;"Szkoła Podstawowa w Górecku Starym, Górecko Stare 75, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;15;217;42;48;4;40
7;"Remiza OSP w Górnikach, Górniki 85, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;12;110;18;17;6;24
8;"""Klub Senior +"" w Długim Kącie-Osada, Długi Kąt-Osada 6, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;27;115;18;72;6;18
9;"Świetlica wiejska, Hamernia 65a, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;10;68;9;35;2;18
10;"Świetlica wiejska, Długi Kąt 17a, 23-460 Józefów";60207;"gm. Józefów";"biłgorajski";"lubelskie";1;1;16;89;23;38;3;12
1;"Szkoła Podstawowa, Korchów Pierwszy 86b, 23-415 Księżpol";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;24;256;54;84;14;50
2;"Szkoła Podstawowa, ul. Biłgorajska 11, 23-415 Księżpol";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;84;560;152;174;23;147
3;"Szkoła Podstawowa, Majdan Stary 21, 23-414 Majdan Stary";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;42;413;74;112;10;88
4;"Szkoła Podstawowa, Rakówka 1, 23-415 Księżpol";60208;"gm. Księżpol";"biłgorajski";"lubelskie";1;1;37;271;66;66;5;57
