"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
6;"Świetlica Wiejska w Dojazdowie, Dojazdów ul. Krakowska 114, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;266;354;32;53
7;"Szkoła Podstawowa im. Adama Mickiewicza w Karniowie, Karniów 11, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;224;58;28;38
8;"Szkoła Podstawowa w Pietrzejowicach, Pietrzejowice 52, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;112;127;11;39
9;"Filia Gminnej Biblioteki Publicznej w Kocmyrzowie, ul. Centralna 115, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;279;343;27;71
10;"Szkoła Podstawowa w Maciejowicach, Maciejowice 25, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;422;281;38;63
11;"Centrum Kultury i Promocji w Baranówce, Baranówka ul. Chlebowa 2, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;226;289;38;65
12;"Szkoła Podstawowa im. Noblistów Polskich w Luborzycy, Luborzyca ul. Jagiellońska 11, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;216;311;36;42
13;"Świetlica Wiejska w Wilkowie, Wilków ul. Dworska 1, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;150;165;26;47
14;"Remiza Ochotniczej Straży Pożarnej w Skrzeszowicach, Skrzeszowice ul. Leśna 7, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;167;84;13;25
15;"Dom Aktywnego Seniora w Łososkowicach, Łososkowice 34, 32-010 Kocmyrzów";120605;"gm. Kocmyrzów-Luborzyca";"krakowski";"małopolskie";1;1;69;41;3;14
