"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"JEMIELITY Ewa Anna - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRUPIŃSKI Rafał Szymon - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
27;"II Liceum Ogólnokształcące im. Generałowej Zamoyskiej i Heleny Modrzejewskiej, ul. Jana Matejki 8/10, 60-766 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;261;1304
28;"Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego, ul. Stanisława Przybyszewskiego 37, 60-356 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;252;1034
29;"Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego, ul. Stanisława Przybyszewskiego 37, 60-356 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;281;1121
30;"Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego, ul. Juliusza Słowackiego 54/56, 60-521 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;171;554
31;"Przedszkole nr 86 „Tęczowy Świat”, ul. Juliusza Słowackiego 15, 60-822 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;236;1135
32;"Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego, ul. Juliusza Słowackiego 54/56, 60-521 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;271;1134
33;"Zespół Szkół Zawodowych nr 1, ul. św. Floriana 3, 60-536 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;168;788
34;"Szkoła Podstawowa nr 36 im. mjr. Henryka Sucharskiego, ul. Juliusza Słowackiego 54/56, 60-521 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;214;669
35;"Szkoła Podstawowa nr 71 im. Janusza Kusocińskiego, ul. Stanisława Przybyszewskiego 37, 60-356 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;282;851
36;"Szkoła Podstawowa Specjalna nr 106, ul. Klemensa Janickiego 22, 60-542 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;304;2263
37;"Zespół Szkół Zawodowych nr 1, ul. św. Floriana 3, 60-536 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;169;799
38;"Szkoła Podstawowa nr 23 im. gen. Józefa Bema, ul. Cypriana Norwida 21, 60-867 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;144;723
39;"Szkoła Podstawowa nr 23 im. gen. Józefa Bema, ul. Cypriana Norwida 21, 60-867 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;374;1568
40;"Zespół Szkolno-Przedszkolny nr 13, ul. Hangarowa 14, 60-409 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;259;1495
41;"Zespół Szkolno-Przedszkolny nr 13, ul. Hangarowa 14, 60-409 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;228;672
42;"Zespół Szkolno-Przedszkolny nr 13, ul. Hangarowa 14, 60-409 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;206;713
43;"XXXVIII Dwujęzyczne Liceum Ogólnokształcące im. Jana Nowaka Jeziorańskiego, ul. Michała Drzymały 4/6, 60-613 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;351;1120
44;"XXXVIII Dwujęzyczne Liceum Ogólnokształcące im. Jana Nowaka Jeziorańskiego, ul. Michała Drzymały 4/6, 60-613 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;314;1097
45;"Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego, ul. Sochaczewska 3, 60-645 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;356;1079
46;"Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego, ul. Sochaczewska 3, 60-645 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;334;1200
47;"XXV Liceum Ogólnokształcące im. Generałowej Jadwigi Zamoyskiej, ul. Widna 1, 60-655 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;327;1205
48;"Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego, os. Winiary 2, 60-665 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;326;981
49;"Uniwersytet Przyrodniczy Wydział Inżynierii Środowiska i Gospodarki Przestrzennej, ul. Piątkowska 94, 60-649 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;277;1095
50;"Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego, os. Winiary 2, 60-665 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;349;1143
51;"Zespół Szkolno-Przedszkolny nr 12, os. Zwycięstwa 101, 61-652 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;353;993
52;"Zespół Szkolno-Przedszkolny nr 12, os. Zwycięstwa 101, 61-652 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;336;1122
53;"Zespół Szkolno-Przedszkolny nr 12, os. Zwycięstwa 101, 61-652 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;338;1343
54;"XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego, os. Wichrowe Wzgórze 111, 61-699 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;316;1068
55;"Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego, os. Wichrowe Wzgórze 119, 61-699 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;357;1076
56;"Szkoła Podstawowa nr 11 im. gen. Dezyderego Chłapowskiego, os. Wichrowe Wzgórze 119, 61-699 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;344;965
57;"XX Liceum Ogólnokształcące im. Konstantego Ildefonsa Gałczyńskiego, os. Wichrowe Wzgórze 111, 61-699 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;325;1049
58;"Zespół Szkolno-Przedszkolny nr 5, os. Kosmonautów 111, 61-641 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;307;814
59;"Zespół Szkolno-Przedszkolny nr 5, os. Kosmonautów 111, 61-641 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;321;942
60;"Przedszkole nr 134 „Słoneczny Świat”, os. Kosmonautów 108, 61-642 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;340;1168
61;"Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego, os. Pod Lipami 106, 61-638 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;277;1233
62;"Zespół Szkół z Oddziałami Sportowymi nr 1 im. Jana Kochanowskiego, os. Pod Lipami 106, 61-638 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;311;954
63;"Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie, os. Przyjaźni 127, 61-689 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;350;1106
64;"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-686 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;398;1252
65;"Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie, os. Przyjaźni 127, 61-689 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;197;678
66;"Szkoła Podstawowa i Liceum Ogólnokształcące „EUREKA”, os. Przyjaźni 136, 61-686 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;207;715
67;"Przedszkole nr 129 im. Małych Przyjaciół, os. Przyjaźni 135, 61-689 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;272;873
68;"Zespół Szkół Zawodowych nr 2 im. Janusza Korczaka, ul. Żniwna 1, 61-663 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;322;1295
69;"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;310;1174
70;"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;220;1249
71;"Zespół Szkół Łączności im. Mikołaja Kopernika, ul. Przełajowa 4, 61-622 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;213;1462
72;"Szkoła Podstawowa nr 82 im. księcia Przemysła I, ul. Krakowska 10, 61-889 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;348;1088
73;"III Liceum Ogólnokształcące im. św. Jana Kantego, ul. Strzelecka 10, 61-845 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;297;733
74;"Zespół Szkół Budownictwa nr 1, ul. Rybaki 17, 61-883 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;468;814
75;"Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich, ul. Powstańców Wielkopolskich 3, 61-895 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;179;771
76;"Szkoła Podstawowa nr 75 im. Powstańców Wielkopolskich, ul. Powstańców Wielkopolskich 3, 61-895 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;268;881
77;"Zespół Szkół Zawodowych nr 6 im. Joachima Lelewela, ul. Działyńskich 4/5, 61-727 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;254;817
78;"Zespół Szkół Komunikacji im. Hipolita Cegielskiego, ul. Aleksandra Fredry 13, 61-701 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;275;822
79;"Muzeum Archeologiczne, ul. Wodna 27, 61-781 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;262;812
80;"Poznańskie Centrum Świadczeń, ul. Wszystkich Świętych 1, 61-843 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;210;1016
81;"Zespół Dziennych Domów Pomocy Filia nr 4 „Klub Starówka”, ul. Wielka 1 - 6, 61-774 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;215;832
82;"Szkoła Podstawowa nr 13 z Oddziałami Mistrzostwa Sportowego im. Cytadelowców Poznańskich, al. Niepodległości 32, 61-714 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;229;855
83;"Zespół Szkolno-Przedszkolny nr 4, ul. Garbary 82, 61-758 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;284;1585
84;"Poznańska Ogólnokształcąca Szkoła Muzyczna I stopnia nr 2 im. Tadeusza Szeligowskiego, ul. Bydgoska 4, 61-127 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;190;528
85;"Szkoła Podstawowa nr 85 im. Kawalerów Maltańskich, ul. Piotra Tomickiego 16, 61-116 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;346;1044
86;"Szkoła Podstawowa nr 85 im. Kawalerów Maltańskich, ul. Piotra Tomickiego 16, 61-116 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;272;984
87;"Szkoła Podstawowa nr 45 im. Okrętu Rzeczypospolitej Polskiej Poznań, ul. Harcerska 3, 61-011 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;367;1569
88;"Szkoła Podstawowa nr 45 im. Okrętu Rzeczypospolitej Polskiej Poznań, ul. Harcerska 3, 61-011 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;282;820
89;"Szkoła Podstawowa nr 46 im. Marii Dąbrowskiej, ul. Inowrocławska 19, 61-044 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;387;1018
90;"Szkoła Podstawowa nr 46 im. Marii Dąbrowskiej, ul. Inowrocławska 19, 61-044 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;286;964
91;"Szkoły Katolickiego Stowarzyszenia Wychowawców im. bł. Natalii Tułasiewicz, ul. Mińska 32, 61-049 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;392;1151
92;"Szkoła Podstawowa nr 55 im. Jurija Gagarina, ul. Szpaków 1, 61-065 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;338;1044
93;"Zespół Szkolno-Przedszkolny nr 7, ul. Leszka 42, 61-062 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;452;1121
94;"Zespół Szkolno-Przedszkolny nr 7, ul. Leszka 42, 61-062 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;430;1208
95;"Szkoła Podstawowa nr 55 im. Jurija Gagarina, ul. Szpaków 1, 61-065 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;382;1216
96;"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;368;1292
97;"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;371;1354
98;"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;382;1282
99;"Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków, os. Tysiąclecia 43, 61-255 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;413;1251
100;"Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków, os. Tysiąclecia 43, 61-255 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;344;837
101;"Szkoła Podstawowa nr 51 im. Bronisława Szwarca, os. Lecha 37, 61-294 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;408;1213
102;"Szkoła Podstawowa nr 51 im. Bronisława Szwarca, os. Lecha 37, 61-294 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;437;1220
103;"Zespół Szkół Ogólnokształcących nr 4 im. ks. prof. Józefa Tischnera, os. Czecha 59, 61-288 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;420;1151
104;"Zespół Szkół Ogólnokształcących nr 4 im. ks. prof. Józefa Tischnera, os. Czecha 59, 61-288 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;380;1111
105;"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;393;1231
106;"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;448;1590
107;"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;371;1146
108;"Centrum Sportowe, ul. Katowicka 95, 61-131 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;311;1917
109;"Politechnika Poznańska, ul. Jana Pawła II 28, 61-131 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;402;2754
110;"Szkoła Podstawowa nr 3 im. Bolesława Krzywoustego, os. Piastowskie 27, 61-149 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;384;1079
111;"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im. Szarych Szeregów, os. Jagiellońskie 128, 61-223 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;393;948
112;"Szkoła Podstawowa nr 19 im. Stanisława Staszica, os. Oświecenia 1, 61-205 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;361;1052
113;"Szkoła Podstawowa nr 19 im. Stanisława Staszica, os. Oświecenia 1, 61-205 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;346;1043
114;"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im. Szarych Szeregów, os. Jagiellońskie 128, 61-223 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;360;1140
115;"Szkoła Podstawowa nr 20 im. Stefana Batorego, os. Rzeczypospolitej 44, 61-395 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;374;1028
116;"Sportowa Szkoła Podstawowa nr 14 im. Władysława Łokietka, os. Piastowskie 65, 61-156 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;375;1119
117;"XIV Liceum Ogólnokształcące im. Kazimierza Wielkiego, os. Piastowskie 106, 61-164 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;428;1358
118;"Szkoła Podstawowa nr 20 im. Stefana Batorego, os. Rzeczypospolitej 44, 61-395 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;411;1100
119;"Zespół Szkół Salezjańskich w Poznaniu, os. Bohaterów II Wojny Światowej 29, 61-387 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;446;1147
120;"Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej, os. Armii Krajowej 100, 61-381 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;427;1072
121;"Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej, os. Armii Krajowej 100, 61-381 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;414;1109
122;"Zespół Szkolno-Przedszkolny nr 19, os. Stare Żegrze 1, 61-249 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;387;1124
123;"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;391;1255
124;"Zespół Szkolno-Przedszkolny nr 19, os. Stare Żegrze 1, 61-249 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;360;1156
125;"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;380;1045
126;"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;368;1121
127;"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;357;1088
128;"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;357;1081
129;"Zespół Szkół Ogólnokształcących nr 2 im. Charles de Gaulle`a, ul. Tarnowska 27, 61-323 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;419;1040
130;"Zespół Szkół i Placówek Oświatowych nr 5, ul. Głuszyna 187, 61-329 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;225;806
131;"Zespół Szkół i Placówek Oświatowych nr 5, ul. Głuszyna 187, 61-329 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;293;910
132;"Szkoła Podstawowa nr 63 im. Ksawerego Zakrzewskiego, ul. Starołęcka 142, 61-341 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;457;971
133;"Szkoła Podstawowa nr 59 im. gen. J. H. Dąbrowskiego, ul. Baranowska 1, 61-353 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;452;1168
134;"Wielkopolskie Stowarzyszenie Sportowe, ul. Starołęcka 36, 61-361 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;413;1768
135;"Przedszkole nr 15 „Calineczka”, ul. św. Antoniego 42, 61-359 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;407;1148
136;"Technikum nr 19 im. Marszałka Józefa Piłsudskiego, ul. 28 Czerwca 1956 r. 352/360, 61-441 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;421;1068
137;"Zespół Szkolno-Przedszkolny nr 2, ul. Łozowa 77, 61-448 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;375;1001
138;"Szkoła Podstawowa nr 84 im. Tadeusza Kościuszki, ul. Łozowa 53, 61-448 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;371;1065
139;"Szkoła Podstawowa nr 84 im. Tadeusza Kościuszki, ul. św. Szczepana 3, 61-465 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;396;953
140;"Technikum nr 19 im. Marszałka Józefa Piłsudskiego, ul. 28 Czerwca 1956 r. 352/360, 61-441 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;417;1325
141;"Zespół Szkolno-Przedszkolny nr 3, ul. Jesionowa 14, 61-432 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;339;812
142;"Zespół Szkolno-Przedszkolny nr 3, ul. Jesionowa 14, 61-432 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;300;809
143;"Zespół Szkół Mechanicznych im. Komisji Edukacji Narodowej, ul. Świerkowa 8, 61-472 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;378;1036
144;"Zespół Szkół Mechanicznych im. Komisji Edukacji Narodowej, ul. Świerkowa 8, 61-472 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;360;903
145;"Zespół Szkolno-Przedszkolny nr 3, ul. Jesionowa 14, 61-432 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;253;694
146;"Zespół Szkolno-Przedszkolny nr 3, ul. Jesionowa 14, 61-432 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;267;736
147;"Zespół Szkolno-Przedszkolny nr 3, ul. Jesionowa 14, 61-432 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;363;896
148;"Technikum Energetyczne im. Henryka Zygalskiego, ul. Jana Henryka Dąbrowskiego 163, 60-594 Poznań";306401;"m. Poznań";"Poznań";"wielkopolskie";1;1;269;1240
