"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWIŃSKA Samanta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"KROPIDŁOWSKI Krzysztof Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLEINA Kazimierz Mariusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
1;"Szkoła Podstawowa Nr 1, ul. Wojska Polskiego 10, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;272;85;571
2;"Państwowa Szkoła Muzyczna I stopnia, ul. Legionów Polskich 35, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;225;56;408
3;"Przedszkole Nr 2, ul. Emilii Plater 12, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;224;71;395
4;"Szkoła Podstawowa Nr 8, ul. Emilii Plater 13, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;156;81;472
5;"Szkoła Podstawowa Nr 8, ul. Mireckiego 10, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;312;173;995
6;"Przedszkole Nr 9, ul. Mireckiego 9, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;156;76;435
7;"Starostwo Powiatowe, ul. Czołgistów 5, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;383;143;752
8;"Przedszkole Nr 1, ul. Czołgistów 37, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;176;70;404
9;"Specjalny Ośrodek Szkolno-Wychowawczy, Internat, ul. Plac Piastowski 6, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;215;88;336
10;"Szkoła Podstawowa Nr 4, ul. Aleja Wolności 31, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;201;97;374
11;"Szkoła Podstawowa Nr 3, ul. Kossaka 103, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;255;113;531
12;"Przedszkole Nr 6, ul. Kardynała Stefana Wyszyńskiego 7, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;363;185;1022
13;"Urząd Miejski, ul. Armii Krajowej 14, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;275;93;608
14;"Zespół Szkół Ogólnokształcących Nr 1, ul. Dygasińskiego 14, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;177;89;406
15;"Przedszkole Nr 5, ul. Wyspiańskiego 1, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;187;83;409
16;"Zespół Szkół Gospodarki Żywnościowej i Agrobiznesu, ul. Warszawska 17, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;189;83;498
17;"Przedszkole Nr 10, ul. Bolesława Krzywoustego 6, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;214;88;496
18;"Szkoła Podstawowa Nr 5, Wejście A, ul. Kościuszki 14, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;212;71;474
19;"Szkoła Podstawowa Nr 5, Sala Gimnastyczna, Wejście B, ul. Kościuszki 14, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;211;117;456
20;"Centrum Sportu i Rekreacji, Pływalnia Miejska RAFA, ul. Olimpijczyków 31, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;311;133;653
21;"Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej, ul. Juliana Węgrzynowicza 13, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;15;8;28
22;"Dom Pomocy Społecznej Nr 1 w Lęborku, ul. Mieczysława Stryjewskiego 23, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;9;5;4
23;"Dom Pomocy Społecznej Nr 2 w Lęborku, ul. Wojska Polskiego 43, 84-300 Lębork";220801;"m. Lębork";"lęborski";"pomorskie";1;1;11;5;7
1;"Szkoła Podstawowa im. Adama Mickiewicza, ul. Tysiąclecia 11, 84-360 Łeba";220802;"m. Łeba";"lęborski";"pomorskie";1;1;224;78;567
2;"Miejska Biblioteka Publiczna, ul. 11 Listopada 5A, 84-360 Łeba";220802;"m. Łeba";"lęborski";"pomorskie";1;1;214;63;411
3;"Urząd Miejski, ul. Tadeusza Kościuszki 90, 84-360 Łeba";220802;"m. Łeba";"lęborski";"pomorskie";1;1;203;90;438
1;"Zespół Szkół w Cewicach, ul. Wincentego Witosa 65, 84-312 Cewice";220803;"gm. Cewice";"lęborski";"pomorskie";1;1;379;178;679
2;"Szkoła Podstawowa, ul. Szkolna 5, 84-315 Maszewo Lęborskie";220803;"gm. Cewice";"lęborski";"pomorskie";1;1;196;103;264
3;"Zespół Szkolno-Przedszkolny, ul. Szkolna 15, 84-313 Siemirowice";220803;"gm. Cewice";"lęborski";"pomorskie";1;1;304;102;337
4;"Szkoła Podstawowa, ul. Sportowa 7, 84-311 Łebunia";220803;"gm. Cewice";"lęborski";"pomorskie";1;1;390;180;467
1;"Szkoła Podstawowa, ul. Polna 9A, 84-351 Nowa Wieś Lęborska";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;529;220;1021
2;"Niepubliczne Przedszkole Michałkowo, ul. Długa 42A, 84-353 Mosty";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;263;110;611
3;"Świetlica, ul. Okrężna 1, 84-353 Lubowidz";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;97;53;222
4;"Szkoła Podstawowa, Leśnice 18A, 84-342 Leśnice";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;97;53;186
5;"Świetlica OSP, Chocielewko 24, 84-351 Chocielewko";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;116;44;129
6;"Szkoła Podstawowa, Redkowice 18, 84-351 Redkowice";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;90;44;153
7;"Gminny Obiekt Kulturalno-Oświatowy, Janowice 24a, 84-351 Janowice";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;96;60;106
8;"Świetlica, ul. Leśna 1, 84-351 Krępa Kaszubska";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;104;42;170
9;"Zespół Szkół, Garczegorze 24A, 84-351 Garczegorze";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;141;85;258
10;"Świetlica, Kębłowo Nowowiejskie 46, 84-351 Kębłowo Nowowiejskie";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;103;53;155
11;"Zespół Szkół, Łebień 93A, 84-350 Łebień";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;132;68;235
12;"Świetlica, Tawęcino 36a, 84-351 Tawęcino";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;124;49;109
13;"Świetlica, Pogorzelice 35, 84-342 Pogorzelice";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;117;42;158
14;"Świetlica, Małoszyce 2, 84-342 Małoszyce";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;31;13;54
15;"Świetlica, Pogorszewo 10, 84-351 Pogorszewo";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;39;24;83
16;"Świetlica, Lędziechowo 14A, 84-351 Lędziechowo";220804;"gm. Nowa Wieś Lęborska";"lęborski";"pomorskie";1;1;35;14;75
1;"Gminny Ośrodek Kultury i Sportu w Wicku, ul. Parkowa 2, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;127;68;251
2;"Szkoła Podstawowa, Szczenurze ul. Szkolna 2, 84-360 Łeba";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;93;32;150
3;"Szkoła Podstawowa, Maszewko 7, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;140;69;175
4;"Świetlica we Wrześciu, Wrzeście 25, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;59;32;117
5;"Przedszkole w Charbrowie, Charbrowo ul. Łebska 9, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;101;54;242
6;"Świetlica w Nowęcinie, Nowęcin ul. Łebska 17, 84-360 Łeba";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;79;28;243
7;"Świetlica w Białogardzie, Białogarda 38B, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;55;55;113
8;"Świetlica w Łebieńcu, Łebieniec 48, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;49;34;96
9;"Świetlica w Żarnowskiej, Żarnowska ul. Polna 11, 84-360 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;71;29;82
10;"Świetlica w Krakulicach, Krakulice 4A, 84-352 Wicko";220805;"gm. Wicko";"lęborski";"pomorskie";1;1;35;17;71
1;"Szkoła Podstawowa nr 1, ul. Darłowska 18, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;318;130;597
2;"Miejskie Przedszkole nr 3, ul. Polna 12, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;274;137;690
3;"Szkoła Podstawowa nr 2, ul. Jagiellońska 1, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;363;83;678
4;"Spółdzielnia Mieszkaniowa ""Korab"", ul. Grunwaldzka 10, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;364;69;612
5;"Szkoła Podstawowa nr 3, ul. Walerego Wróblewskiego 7, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;324;65;697
6;"Urząd Miasta Ustka, ul. Ks. Kardynała Stefana Wyszyńskiego 3, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;521;134;821
7;"Dom Kultury, ul. Czerwonych Kosynierów 19, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;515;131;1004
8;"Areszt Śledczy w Słupsku Oddział Zewnętrzny w Ustce, ul. Darłowska 1b, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;45;66;120
9;"Wojewódzki Szpital Specjalistyczny im. Janusza Korczaka w Słupsku Sp. z o. o. Oddział w Ustce, ul. Adama Mickiewicza 12, 76-270 Ustka";221201;"m. Ustka";"słupski";"pomorskie";1;1;2;2;5
1;"Centrum Edukacji i Kultury, ul. Wincentego Witosa 13, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;235;102;377
2;"Szkoła Podstawowa w Damnie, Damno 42, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;81;37;130
3;"Szkoła Podstawowa w Zagórzycy, Zagórzyca 20, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;59;14;93
4;"Świetlica wiejska, Świecichowo 1, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;94;24;101
5;"Świetlica wiejska, Bobrowniki 1A, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;215;86;289
6;"Świetlica wiejska, Domaradz 7, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;64;23;121
7;"Świetlica wiejska, Karzniczka 4B, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;83;24;48
8;"Świetlica wiejska, Mianowice 3B, 76-231 Damnica";221202;"gm. Damnica";"słupski";"pomorskie";1;1;139;57;116
1;"Zespół Szkolno-Przedszkolny, ul. Jana III Sobieskiego 3, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;186;94;306
2;"Urząd Gminy, ul. ks. Antoniego Kani 16a, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;255;134;578
3;"Gminny Ośrodek Kultury, ul. ks. Antoniego Kani 55, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;258;89;406
4;"Przedszkole, Borzęcino ul. Kasztanowa 1, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;61;22;67
5;"Środowiskowy Dom Samopomocy, Motarzyno ul. Kasztanowa 10, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;142;60;160
6;"Remizo-Świetlica, Gogolewo ul. Strażacka 10, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;127;24;83
7;"Świetlica, Budowo ul. Kościelna 15, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;186;56;157
8;"Świetlica, Skarszów Górny ul. Kasztanowa 2, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;45;15;34
9;"Świetlica, Łabiszewo 23A, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;35;20;41
10;"Świetlica, Podole Małe ul. Długa 1, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;108;52;92
11;"Remizo-Świetlica, Starnice 13, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;32;14;59
12;"Spichlerz, Niepoględzie ul. Puttkamerów 1, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;57;28;45
13;"Świetlica, Gałęzów ul. Wiejska 22, 76-248 Dębnica Kaszubska";221203;"gm. Dębnica Kaszubska";"słupski";"pomorskie";1;1;25;28;32
1;"Zespół Szkolno-Przedszkolny, ul. Szkolna 2, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;67;74;114
2;"Zespół Szkolno-Przedszkolny, ul. Szkolna 2, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;78;80;153
3;"Zespół Szkolno-Przedszkolny, ul. Szkolna 2, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;70;83;116
4;"Świetlica wiejska, Wielka Wieś 41, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;35;27;48
5;"Świetlica wiejska, Żoruchowo 13, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;80;29;75
6;"Świetlica wiejska, Żelkowo 17, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;59;48;124
7;"Świetlica wiejska, Szczypkowice 40A, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;46;71;74
8;"Świetlica wiejska, Stowięcino 15, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;79;46;73
9;"Świetlica wiejska, Podole Wielkie 18A, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;61;49;64
10;"Wiejski Dom Kultury, Pobłocie 10, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;87;69;146
11;"Świetlica wiejska, Wolinia 6, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;28;63;47
12;"Świetlica wiejska, Rzuszcze 16, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;37;53;51
13;"Świetlica wiejska, Izbica 34, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;50;70;77
14;"Świetlica wiejska, Rumsko 20, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;63;48;46
15;"Świetlica wiejska, Będziechowo 12, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;70;24;70
16;"Świetlica wiejska, Klęcino 22, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;43;27;31
17;"Świetlica wiejska, Gorzyno 7, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;38;25;78
18;"Świetlica wiejska, Cecenowo 21A, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;41;41;43
19;"Świetlica wiejska, Wykosowo 24/6, 76-220 Główczyce";221204;"gm. Główczyce";"słupski";"pomorskie";1;1;34;22;31
1;"Biblioteka Publiczna, ul. Pomorska 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;105;48;211
2;"Szkoła Podstawowa sala nr 1, Barcino 59, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;100;40;113
3;"Szkoła Podstawowa, Warcino ul. Klonowa 7, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;56;24;111
4;"Świetlica wiejska, Przytocko 49B, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;62;32;76
5;"Szkoła Podstawowa, Korzybie ul. Dworcowa 6, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;103;58;213
6;"Szkoła Podstawowa, Biesowice 38, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;99;50;166
7;"Zespół Szkół sala nr 17, ul. Szkolna 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;72;21;151
8;"Zespół Szkół sala nr 14, ul. Szkolna 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;81;39;170
9;"Zespół Szkół sala nr 1, ul. Szkolna 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;51;33;94
10;"Zespół Szkół sala nr 2, ul. Szkolna 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;109;37;154
11;"Zespół Szkół sala nr 3, ul. Szkolna 1, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;104;25;155
12;"Świetlica wiejska, Osowo 16A, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;35;23;60
13;"Świetlica wiejska, Mzdowo 25, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;59;22;56
14;"Filia Biblioteki, Ciecholub 24A, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;48;26;83
15;"Szkoła Podstawowa sala nr 2, Barcino 59, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;61;20;61
16;"Świetlica wiejska, Obłęże 33A, 77-230 Kępice";221205;"gm. Kępice";"słupski";"pomorskie";1;1;64;16;53
1;"Wiejski Dom Kultury, Wrząca 53, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;170;84;208
2;"Świetlica Wiejska, Bolesławice ul. Słupska 38, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;125;118;556
3;"Szkoła Podstawowa, Sycewice ul. Szkolna 1, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;142;59;254
4;"Szkoła Podstawowa, Kwakowo ul. Słupska 5, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;180;106;341
5;"Szkoła Podstawowa, Kończewo ul. Szkolna 1, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;171;78;224
6;"Szkoła Podstawowa budynek ""P"", ul. Główna 63, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;303;138;927
7;"Szkoła Podstawowa budynek ""G"", ul. Główna 63, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;303;135;922
8;"Świetlica Wiejska, Widzino ul. Główna 26, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;83;41;142
9;"Świetlica Wiejska, Łosino ul. Starowiejska 1C, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;134;80;432
10;"Świetlica Wiejska, Reblino ul. Długa 16C, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;115;59;176
11;"Świetlica Wiejska, Sierakowo Słupskie 21B, 76-251 Kobylnica";221206;"gm. Kobylnica";"słupski";"pomorskie";1;1;53;22;62
1;"Szkoła Podstawowa, Łupawa 22, 76-242 Łupawa";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;65;55;160
2;"Szkoła Podstawowa, ul. Szeroka 16, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;302;139;525
3;"Szkoła Podstawowa, Skórowo 13a, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;137;70;183
4;"Świetlica Wiejska, Rzechcino 11A, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;51;18;35
5;"Dom Ludowy, Żochowo 26B, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;144;55;134
6;"Punkt Świadczenia Usług Społecznych, Dąbrówno 11A, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;52;23;56
7;"Punkt Świadczenia Usług Społecznych, Grąbkowo 38, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;83;26;80
8;"Punkt Świadczenia Usług Społecznych, Malczkowo 24a, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;77;31;97
9;"Świetlica Wiejska, Głuszyno 1a, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;34;23;21
10;"Punkt Świadczenia Usług Społecznych, Głuszynko 27A, 76-230 Potęgowo";221207;"gm. Potęgowo";"słupski";"pomorskie";1;1;76;36;73
1;"Szkoła Podstawowa, Jezierzyce ul. Szkolna 3, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;373;138;459
2;"Centrum Aktywności Lokalnej, Wrzeście ul. Słupska 33, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;61;36;157
3;"Szkoła Podstawowa, Głobino ul. Główna 47, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;140;98;387
4;"Centrum Aktywności Lokalnej, Krępa Słupska ul. Lipowa 3, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;163;76;519
5;"Centrum Aktywności Lokalnej, Włynkówko ul. Błękitna 17, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;169;73;510
6;"Szkoła Podstawowa, Bierkowo ul. Grodzka 89, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;200;57;343
7;"Centrum Aktywności Lokalnej, Bruskowo Małe 14B, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;157;57;187
8;"Zespół Szkolno-Przedszkolny, Redzikowo 16a, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;255;147;592
9;"Zespół Szkolno-Przedszkolny, Siemianice ul. Słupska 42, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;421;232;1378
10;"Centrum Aktywności Lokalnej, Grąsino 28A, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;68;30;76
11;"Centrum Aktywności Lokalnej, Lubuczewo 29B, 76-200 Słupsk";221208;"gm. Słupsk";"słupski";"pomorskie";1;1;91;29;156
