"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Dominik - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ŚWILSKI Ryszard Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOBYLARZ Andrzej Sławomir - KWW M. PIASECKIEGO KANDYDATA NA SENATORA RP"
9;"Zespół Kształcenia i Wychowania w Bielkówku (świetlica szkolna), Bielkówko ul. Brunona Gregorkiewicza 11, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;106;515;131
10;"Zespół Kształcenia i Wychowania w Kolbudach. Szkoła Filialna w Buszkowach (sala gimnastyczna), Buszkowy ul. Leśna Góra 7, 83-050 Kolbudy";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;51;180;60
11;"Budynek obiektu sportowego, Jankowo Gdańskie ul. Sportowa 30, 80-180 Gdańsk";220403;"gm. Kolbudy";"gdański";"pomorskie";1;1;83;490;84
1;"Świetlica Wiejska w Jagatowie, ul. Żurawia 27, 83-010 Jagatowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;120;533;160
2;"Szkoła Podstawowa im. Romualda Traugutta w Wojanowie, ul. Parkowa 4, 83-000 Wojanowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;82;226;108
3;"Szkoła Podstawowa im. Ignacego Krasickiego w Straszynie, ul. Starogardzka 48, 83-010 Straszyn";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;186;1210;267
4;"Szkoła Podstawowa im. Ignacego Krasickiego w Straszynie, ul. Starogardzka 48, 83-010 Straszyn";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;265;1341;257
5;"Szkoła Podstawowa im. Karola Wojtyły w Rotmance, ul. Aleja Piłsudskiego 37, 83-010 Rotmanka";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;296;1669;355
6;"Zespół Szkolno-Przedszkolny w Borkowie, ul. Akacjowa 2, 80-180 Borkowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;237;1362;233
7;"Świetlica Wiejska w Juszkowie, ul. Sportowa 10a, 83-000 Juszkowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;300;1681;292
8;"Szkoła Podstawowa im. Orła Białego w Wiślince, ul. Szkolna 10, 83-011 Wiślinka";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;150;582;188
9;"Świetlica Wiejska w Rokitnicy, ul. Bałtycka 3C, 83-021 Rokitnica";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;197;860;219
10;"Szkoła Podstawowa im. Bohaterów Grudnia '70 w Łęgowie, ul. Szkolna 9, 83-031 Łęgowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;224;959;244
11;"Ośrodek Kultury, Sztuki i Biblioteka Publiczna Gminy Pruszcz Gdański, ul. Długa 20a, 83-031 Cieplewo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;95;527;128
12;"Zespół Szkół Technicznych Centrum Kształcenia Zawodowego im. Macieja Rataja w Rusocinie, ul. Rataja 12, 83-031 Rusocin";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;99;478;158
13;"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Wiślinie, ul. Mostowa 5, 83-021 Wiślina";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;124;525;191
14;"Zespół Szkolno-Przedszkolny w Borkowie, ul. Akacjowa 2, 80-180 Borkowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;194;1026;183
15;"Szkoła Podstawowa im. Ziemi Żuławskiej w Przejazdowie, ul. Jesionowa 8, 83-021 Przejazdowo";220404;"gm. Pruszcz Gdański";"gdański";"pomorskie";1;1;53;204;93
1;"Remiza Strażacka w Jodłownie, Jodłowno ul. Kasztanowa 21, 83-047 Przywidz";220405;"gm. Przywidz";"gdański";"pomorskie";1;1;65;245;112
2;"Szkoła Podstawowa w Przywidzu, ul. Szkolna 1, 83-047 Przywidz";220405;"gm. Przywidz";"gdański";"pomorskie";1;1;284;883;381
3;"Szkoła Podstawowa w Trzepowie, Borowina ul. Długa 1, 83-047 Przywidz";220405;"gm. Przywidz";"gdański";"pomorskie";1;1;137;376;302
4;"Szkoła Podstawowa im. bł. ks. Jerzego Popiełuszki w Pomlewie, Pomlewo ul. Szkolna 3, 83-047 Przywidz";220405;"gm. Przywidz";"gdański";"pomorskie";1;1;64;278;128
1;"Urząd Gminy w Pszczółkach, ul. Pomorska 20, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;122;490;198
2;"Szkoła Podstawowa im. Bohaterów Ziemi Gdańskiej w Pszczółkach, ul. Szkolna 4, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;129;480;149
3;"Świetlica Wiejska w Skowarczu, Skowarcz ul. Gdańska 11, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;280;710;182
4;"Świetlica Wiejska w Żelisławkach, Żelisławki ul. Rycerska 4, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;37;85;65
5;"Świetlica Wiejska w Różynach, Różyny ul. Różana Góra 7A, 83-031 Łęgowo";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;157;541;171
6;"Szkoła Podstawowa im. Bohaterów Ziemi Gdańskiej w Pszczółkach, ul. Pomorska 25, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;96;491;142
7;"Fundacja ""Żyć godnie"" w Kolniku, Kolnik ul. Dębowa 4, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;61;227;80
8;"Świetlica Wiejska w Rębielczu, Rębielcz ul. Główna 32, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;36;75;41
9;"Świetlica Wiejska w Ulkowach, Ulkowy ul. Kasztanowa 15, 83-032 Pszczółki";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;26;107;56
10;"Świetlica Wiejska w Kleszczewku, Kleszczewko ul. Pomorska 37, 83-031 Łęgowo";220406;"gm. Pszczółki";"gdański";"pomorskie";1;1;65;218;67
1;"Szkoła Podstawowa im. Obrońców Westerplatte w Suchym Dębie, ul. Sportowa nr 11, 83-022 Suchy Dąb";220407;"gm. Suchy Dąb";"gdański";"pomorskie";1;1;96;446;198
2;"Świetlica Wiejska w Krzywym Kole, Krzywe Koło nr 45, 83-022 Suchy Dąb";220407;"gm. Suchy Dąb";"gdański";"pomorskie";1;1;85;222;112
3;"Zespół Szkolno-Przedszkolny w Grabinach-Zameczku, Grabiny-Zameczek ul. Gdańska nr 88, 83-022 Suchy Dąb";220407;"gm. Suchy Dąb";"gdański";"pomorskie";1;1;87;345;119
4;"Szkoła Podstawowa w Koźlinach, Koźliny 50, 83-022 Suchy Dąb";220407;"gm. Suchy Dąb";"gdański";"pomorskie";1;1;58;184;96
1;"Szkoła Podstawowa w Czerniewie, Czerniewo 9, 83-042 Ełganowo";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;161;585;245
2;"Szkoła Podstawowa w Mierzeszynie, ul. Wolności 19, 83-041 Mierzeszyn";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;163;400;329
3;"Szkoła Podstawowa w Sobowidzu, ul. Tadeusza Kościuszki 18, 83-033 Sobowidz";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;149;500;298
4;"Szkoła Podstawowa w Trąbkach Wielkich, ul. Sportowa 2, 83-034 Trąbki Wielkie";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;234;738;379
5;"Szkoła Podstawowa w Kłodawie, ul. Szkolna 10, 83-035 Kłodawa";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;226;772;294
6;"Świetlica Wiejska w Ełganowie, ul. Asfaltowa 27, 83-042 Ełganowo";220408;"gm. Trąbki Wielkie";"gdański";"pomorskie";1;1;69;193;87
1;"Budynek byłej szkoły w Czarnej Wodzie, ul. Starogardzka 13, 83-262 Czarna Woda";221301;"gm. Czarna Woda";"starogardzki";"pomorskie";1;1;162;337;318
2;"Przedszkole Publiczne w Czarnej Wodzie, ul. Mostowa 2, 83-262 Czarna Woda";221301;"gm. Czarna Woda";"starogardzki";"pomorskie";1;1;85;248;204
3;"Budynek byłej szkoły w Hucie Kalnej, Huta Kalna ul. Szkolna 2, 83-261 Piece";221301;"gm. Czarna Woda";"starogardzki";"pomorskie";1;1;47;64;85
1;"Budynek Przedszkola Miejskiego w Skórczu, ul. Wojska Polskiego 11, 83-220 Skórcz";221302;"m. Skórcz";"starogardzki";"pomorskie";1;1;122;474;287
2;"Budynek Przedszkola Miejskiego w Skórczu, ul. Wojska Polskiego 11, 83-220 Skórcz";221302;"m. Skórcz";"starogardzki";"pomorskie";1;1;138;403;273
1;"Przedszkole Nr 3, ul. Aleja Wojska Polskiego 8b, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;153;542;339
2;"Szkoła Podstawowa Nr 6, ul. bp. Konstantyna Dominika 32, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;265;744;506
3;"Dyrekcja Szpitala, ul. Skarszewska 7, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;139;592;272
4;"Szkoła Podstawowa Nr 3, ul. Józefa Wybickiego 17, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;222;718;360
5;"I Liceum Ogólnokształcące, ul. gen. Józefa Hallera 34, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;187;445;323
6;"Szkoła Postawowa Nr 3, ul. Romualda Traugutta 2, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;149;489;310
7;"Dom Rzemiosła, ul. Chojnicka 2, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;135;340;221
8;"Społeczne Centrum Wsparcia Rodziny, ul. Tadeusza Kościuszki 65, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;135;475;285
9;"Szkoła Podstawowa Nr 4, ul. Aleja Jana Pawła II 4, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;127;483;273
10;"Starogardzkie Centrum Kultury, ul. Aleja Jana Pawła II 3, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;93;344;243
11;"Przedszkole Nr 6, ul. Aleja Jana Pawła II 5, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;166;707;414
12;"Przedszkole Nr 5, ul. Aleja Jana Pawła II 8, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;113;412;272
13;"Spółdzielczy Dom Kultury, ul. Władysława Reymonta 1, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;126;408;287
14;"Szkoła Podstawowa Nr 8, ul. Aleja Jana Pawła II 10, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;150;481;260
15;"Przedszkole Nr 4, ul. Władysława Reymonta 7, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;223;843;470
16;"Przedszkole Nr 10, ul. Osiedle 60-lecia Odzyskania Niepodległości Polski 8, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;158;543;362
17;"Przedszkole Nr 8, ul. Osiedle Konstytucji 3 Maja 15, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;149;664;370
18;"Szkoła Podstawowa Nr 1, ul. Zblewska 18, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;230;846;406
19;"Szkoła Podstawowa Nr 2, ul. 2 Pułku Szwoleżerów Rokitniańskich 4, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;193;760;342
20;"Szkoła Podstawowa nr 1, ul. Zblewska 18, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;105;456;255
21;"Szkoła Podstawowa Nr 8, ul. Aleja Jana Pawła II 10, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;168;563;292
22;"Kociewskie Centrum Zdrowia Sp. z o. o., ul. dr. Józefa Balewskiego 1, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;9;22;23
23;"Szpital dla Nerwowo i Psychicznie Chorych, ul. Skarszewska 7, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;80;84;84
24;"Areszt Śledczy, ul. Tadeusza Kościuszki 30a, 83-200 Starogard Gdański";221303;"m. Starogard Gdański";"starogardzki";"pomorskie";1;1;48;121;43
1;"Publiczna Szkoła Podstawowa w Bobowie, ul. Gdańska 81, 83-212 Bobowo";221304;"gm. Bobowo";"starogardzki";"pomorskie";1;1;134;305;311
2;"Świetlica Wiejska w Grabowie, Grabowo 39, 83-212 Bobowo";221304;"gm. Bobowo";"starogardzki";"pomorskie";1;1;56;83;84
3;"Świetlica Wiejska w Jabłówku, Jabłówko 13, 83-212 Bobowo";221304;"gm. Bobowo";"starogardzki";"pomorskie";1;1;58;92;96
4;"Świetlica Wiejska w Wysokiej, Wysoka 27, 83-212 Bobowo";221304;"gm. Bobowo";"starogardzki";"pomorskie";1;1;46;80;77
1;"Remiza OSP, ul. Nowowiejska 2b, 83-260 Kaliska";221305;"gm. Kaliska";"starogardzki";"pomorskie";1;1;167;547;377
2;"Publiczna Szkoła Podstawowa w Kaliskach-Szkoła Filialna w Piecach im. Świętego Jana Pawła II, ul. Kościelna 3, 83-261 Piece";221305;"gm. Kaliska";"starogardzki";"pomorskie";1;1;126;245;268
3;"Gminny Ośrodek Kultury, ul. Długa 18, 83-260 Kaliska";221305;"gm. Kaliska";"starogardzki";"pomorskie";1;1;179;390;268
1;"Publiczna Szkoła Podstawowa w Lubichowie, ul. Księdza Lorenza 8, 83-240 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;199;597;351
2;"Publiczna Szkoła Podstawowa w Lubichowie, ul. Dworcowa 15, 83-240 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;155;419;285
3;"Publiczna Szkoła Podstawowa w Zelgoszczy, Zelgoszcz ul. Główna 29, 83-208 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;67;148;157
4;"Świetlica we Wdzie, Wda ul. Szkolna 2, 83-240 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;58;144;112
5;"Świetlica w Ocyplu, Ocypel ul. Szkolna 4, 83-240 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;60;164;113
6;"Świetlica w Osowie Leśnym, Osowo Leśne 18, 83-240 Lubichowo";221306;"gm. Lubichowo";"starogardzki";"pomorskie";1;1;52;93;76
1;"Sala widowiskowa w Osiecznej, ul. Plac 1000-lecia 1, 83-242 Osieczna";221307;"gm. Osieczna";"starogardzki";"pomorskie";1;1;144;279;313
2;"Świetlica wiejska w Szlachcie, ul. 3 Maja 28, 83-243 Szlachta";221307;"gm. Osieczna";"starogardzki";"pomorskie";1;1;154;193;262
1;"Świetlica Wiejska w Bukowinach, Bukowiny 24a, 83-221 Osiek";221308;"gm. Osiek";"starogardzki";"pomorskie";1;1;31;59;68
2;"Środowiskowy Dom Samopomocy w Osieku, ul. Wyzwolenia 25a, 83-221 Osiek";221308;"gm. Osiek";"starogardzki";"pomorskie";1;1;74;192;97
3;"Świetlica Wiejska w Osieku, ul. Strażacka 1, 83-221 Osiek";221308;"gm. Osiek";"starogardzki";"pomorskie";1;1;67;231;127
4;"Świetlica Wiejska w Kasparusie, Kasparus 9 a, 83-221 Osiek";221308;"gm. Osiek";"starogardzki";"pomorskie";1;1;49;101;59
5;"Świetlica Wiejska w Karszanku, Karszanek 35, 83-221 Osiek";221308;"gm. Osiek";"starogardzki";"pomorskie";1;1;34;80;55
1;"Szkoła Podstawowa w Skarszewach, ul. Dworcowa 27, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;205;588;469
2;"Zespół Szkół Publicznych w Skarszewach, ul. Kopernika 3, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;185;574;372
3;"Urząd Miejski w Skarszewach, pl. gen. Hallera 18, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;148;397;223
4;"Szkoła Podstawowa w Szczodrowie, Szczodrowo ul. Szkolna 1, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;61;76;74
5;"Szkoła Podstawowa w Więckowach, Więckowy 25, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;89;152;170
6;"Szkoła Podstawowa w Pogódkach, ul. Szkolna 3, 83-236 Pogódki";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;85;140;154
7;"Szkoła Podstawowa w Godziszewie, ul. Gdańska 7, 83-209 Godziszewo";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;67;258;94
8;"Świetlica Wiejska w Bączku, Bączek 8, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;33;86;78
9;"Świetlica Wiejska w Bolesławowie, Nygut 1a, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;88;235;120
10;"Świetlica Wiejska w Wolnym Dworze, Wolny Dwór 12, 83-250 Wolny Dwór";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;46;75;52
11;"Świetlica Wiejska w Kamierowie, Kamierowo 15A, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;57;81;90
12;"Świetlica Wiejska w Nowym Wiecu, Nowy Wiec 23b, 83-241 Nowy Wiec";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;27;88;67
13;"Świetlica Wiejska w Jaroszewach, Jaroszewy 6, 83-236 Jaroszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;57;74;74
14;"Publiczne Przedszkole Gminne w Demlinie, Demlin 25, 83-209 Demlin";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;38;169;68
15;"Świetlica Wiejska w Czarnocinie, Czarnocin 11, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;17;38;65
16;"Świetlica Wiejska w Bożympolu Królewskim, Bożepole Królewskie 3, 83-250 Skarszewy";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;21;43;48
17;"Świetlica Zakładowa Ciecholewski-Wentylacje, Koźmin 28, 83-236 Pogódki";221309;"gm. Skarszewy";"starogardzki";"pomorskie";1;1;53;101;103
1;"Świetlica Wiejska w Wielbrandowie, Wielbrandowo ul. Główna 2, 83-220 Skórcz";221310;"gm. Skórcz";"starogardzki";"pomorskie";1;1;94;187;198
2;"Publiczna Szkoła Podstawowa im. Ks. Senatora Feliksa Bolta w Barłożnie, Barłożno 23, 83-225 Barłożno";221310;"gm. Skórcz";"starogardzki";"pomorskie";1;1;140;212;247
3;"Publiczna Szkoła Podstawowa im. Ks. Jana Twardowskiego w Pączewie, Pączewo 124, 83-213 Pączewo";221310;"gm. Skórcz";"starogardzki";"pomorskie";1;1;121;185;242
4;"Publiczna Szkoła Podstawowa w Wielkim Bukowcu, Wielki Bukowiec 38a, 83-220 Skórcz";221310;"gm. Skórcz";"starogardzki";"pomorskie";1;1;89;212;168
1;"Szkoła Podstawowa im. Ks. Pawła Szynwelskiego w Smętowie Granicznym, ul. Gdańska 23, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;165;418;275
2;"Szkoła Podstawowa w Kopytkowie, Kopytkowo 18, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;77;114;128
3;"Świetlica wiejska w Kościelnej Jani, Kościelna Jania 37, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;53;63;109
4;"Warsztaty Terapii Zajęciowej w Lalkowach, Lalkowy 10, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;16;49;37
5;"Szkoła Podstawowa im. Dzieci Potulic w Kamionce, Kamionka 11, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;73;93;101
6;"Szkoła Podstawowa im. Ks. Pawła Szynwelskiego w Smętowie Granicznym, ul. Gdańska 23, 83-230 Smętowo Graniczne";221311;"gm. Smętowo Graniczne";"starogardzki";"pomorskie";1;1;78;137;144
