"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOCHAN Łukasz Szymon - KW PRAWO I SPRAWIEDLIWOŚĆ";"WCISŁA Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MASIEWICZ-GRODŹ Justyna Joanna - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
4;"Szkoła Podstawowa w Dzietrzychowie, Dzietrzychowo 10, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;143;97;34
5;"Szkoła Podstawowa w Wiatrowcu, Wiatrowiec 2, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;141;112;31
6;"Świetlica Wiejska w Smolance, Smolanka 20, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;94;91;17
7;"Świetlica Wiejska w Romankowie, Romankowo 18A, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;57;43;9
8;"Świetlica Wiejska w Liskach, Liski 3/13, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;74;58;8
9;"Budynek OSP w Judytach, Judyty 7, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;72;40;15
10;"Dom Pomocy Społecznej w Szczurkowie, Szczurkowo 25, 11-210 Sępopol";280106;"gm. Sępopol";"bartoszycki";"warmińsko-mazurskie";1;1;8;1;1
1;"Miejski Ośrodek Pomocy Społecznej, ul. Rzemieślnicza 1, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;275;575;61
2;"Szkoła Podstawowa nr 6, ul. Konarskiego 13, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;319;501;57
3;"Zespół Szkół Budowlanych, ul. Wiejska 2, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;326;447;66
4;"Braniewskie Centrum Kultury, ul. Katedralna 9, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;309;516;64
5;"Szkoła Podstawowa Nr 5, ul. Moniuszki 22a, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;364;639;76
6;"Przedszkole Miejskie Nr 4, ul. Sucharskiego 19, 14-500 Braniewo";280201;"m. Braniewo";"braniewski";"warmińsko-mazurskie";1;1;314;699;116
