"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZAJA Herbert Wincenty - KW BEZPARTYJNI SAMORZĄDOWCY";"PECZKIS Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"GODYLA Beniamin Wincenty - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
29;"Zespół Szkolno-Przedszkolny nr 1 (Publiczna Szkoła Podstawowa nr 18), ul. Jana Brzechwy 80, 47-230 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;178;226;443
30;"Strażnica Ochotniczej Straży Pożarnej Miejsce Kłodnickie, ul. Szpaków 11, 47-230 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;34;62;74
31;"Publiczna Szkoła Podstawowa nr 16, ul. Sławięcicka 96, 47-230 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;208;328;598
32;"Szpital Zespolony w Kędzierzynie-Koźlu, ul. Doktora Judyma 4, 47-220 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;3;8;9
33;"Dom Pomocy Społecznej, ul. Zielna 1, 47-230 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;15;4;12
34;"Szpital Zespolony w Kędzierzynie-Koźlu, ul. Franklina Delano Roosevelta 2, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;2;11;20
35;"Zakład Karny nr 1 w Strzelcach Opolskich Oddział Zewnętrzny w Kędzierzynie-Koźlu, ul. Racławicka 10, 47-200 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;6;5;52
36;"Dom Seniora, ul. Sławięcicka 83, 47-230 Kędzierzyn-Koźle";160301;"m. Kędzierzyn-Koźle";"kędzierzyńsko-kozielski";"opolskie";1;1;2;3;6
1;"Szkoła Podstawowa, Stare Koźle ul. Szkolna 5, 47-223 Kędzierzyn-Koźle";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;87;113;237
2;"Szkoła Podstawowa, ul. Kościelna 1, 47-240 Bierawa";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;153;259;449
3;"Świetlica wiejska, Lubieszów ul. Bierawska 37, 47-244 Dziergowice";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;51;69;125
4;"Szkoła Podstawowa, ul. Kozielska 8, 47-244 Dziergowice";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;182;225;379
5;"Szkoła Podstawowa, Solarnia ul. Raciborska 42, 47-244 Dziergowice";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;36;73;99
6;"Szkoła Podstawowa, Stara Kuźnia ul. Szkolna 3, 47-246 Kotlarnia";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;49;99;169
7;"Świetlica wiejska, ul. Gliwicka 34, 47-246 Kotlarnia";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;61;154;160
8;"Dom Ludowy w Brzeźcach, Brzeźce ul. Rybna 1A, 47-223 Kędzierzyn-Koźle";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;44;67;156
9;"Świetlica Wiejska w Ortowicach, Ortowice ul. Gliwicka 26, 47-246 Kotlarnia";160302;"gm. Bierawa";"kędzierzyńsko-kozielski";"opolskie";1;1;22;35;70
1;"Gminny Ośrodek Kultury, ul. Planetorza 30, 47-253 Cisek";160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";1;1;116;128;253
2;"Wiejski Dom Kultury, Nieznaszyn ul. Wiejska 25, 47-260 Polska Cerekiew";160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";1;1;108;120;190
3;"Szkoła Podstawowa, Łany ul. Główna 98a, 47-253 Cisek";160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";1;1;184;240;337
4;"Dom Strażaka, Roszowicki Las ul. Kochanowskiego 63, 47-253 Cisek";160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";1;1;54;65;95
5;"Publiczna Szkoła Podstawowa w Landzmierzu, Landzmierz ul. Główna 51, 47-253 Cisek";160303;"gm. Cisek";"kędzierzyńsko-kozielski";"opolskie";1;1;90;92;288
1;"Remiza OSP, ul. Wyzwolenia 67, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;148;213;350
2;"Świetlica Wiejska, Ostrożnica ul. Kościelna 3, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;72;114;198
3;"Remiza 0SP, Maciowakrze ul. Spółdzielcza 6, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;70;50;97
4;"Świetlica Wiejska, Jakubowice 2B, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;67;93;175
5;"Wiejski Dom Kultury, ul. Kozielska 1, 47-270 Gościęcin";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;138;264;204
6;"Publiczna Szkoła Podstawowa, Naczęsławice ul. Główna 19, 47-270 Gościęcin";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;76;64;100
7;"Wiejski Dom Kultury, Trawniki ul. Leśna 62, 47-270 Gościęcin";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;47;54;53
8;"Remiza OSP, Ucieszków ul. Szkolna 25, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;62;49;86
9;"Świetlica, Urbanowice ul. Kozielska 50, 47-270 Gościęcin";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;33;57;78
10;"Dom Opieki Jakubowice Sp. z o. o., Jakubowice 15A, 47-280 Pawłowiczki";160304;"gm. Pawłowiczki";"kędzierzyńsko-kozielski";"opolskie";1;1;4;5;7
1;"Urząd Gminy, ul. Raciborska 4, 47-260 Polska Cerekiew";160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";1;1;117;140;343
2;"Świetlica Wiejska, Grzędzin ul. Kościelna 32, 47-260 Polska Cerekiew";160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";1;1;50;77;120
3;"Caritas, Zakrzów ul. Chopina 54, 47-260 Polska Cerekiew";160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";1;1;103;95;132
4;"Centrum Kultury, ul. Kozielska 3, 47-260 Polska Cerekiew";160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";1;1;54;93;99
5;"Szkoła Podstawowa, Wronin ul. Kościelna 1, 47-260 Polska Cerekiew";160305;"gm. Polska Cerekiew";"kędzierzyńsko-kozielski";"opolskie";1;1;42;80;87
1;"Przedszkole Publiczne, Mechnica ul. Młyńska 40, 47-214 Poborszów";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;138;89;224
2;"Świetlica Wiejska, Pokrzywnica ul. 1 Maja 12, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;87;83;210
3;"Świetlica Wiejska, Większyce ul. Kozielska 5, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;103;191;377
4;"Szkoła Podstawowa, Łężce ul. Kościelna 7, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;89;114;225
5;"Urząd Gminy Reńska Wieś, ul. Pawłowicka 1, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;134;185;408
6;"Szkoła Podstawowa, Długomiłowice ul. Parkowa 8, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;149;173;359
7;"Świetlica Wiejska w Gierałtowicach, Gierałtowice ul. Strażaków 13, 47-208 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;23;37;84
8;"Świetlica Wiejska w Poborszowie, Poborszów ul. Krapkowicka 10a, 47-214 Reńska Wieś";160306;"gm. Reńska Wieś";"kędzierzyńsko-kozielski";"opolskie";1;1;58;48;110
1;"Publiczna Szkoła Podstawowa nr 3 im. Jana Brzechwy, ul. Szkolna 27, 47-320 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;223;252;627
2;"Publiczna Szkoła Podstawowa Nr 2 im. Kornela Makuszyńskiego, ul. Strzelecka 39, 47-320 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;154;205;425
3;"Publiczna Szkoła Podstawowa nr 3 im. Jana Brzechwy, ul. Krapkowicka 141, 47-320 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;148;139;527
4;"Świetlica, ul. Wiejska 4, 47-316 Górażdże";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;81;116;192
5;"Publiczna Szkoła Podstawowa im. Mikołaja Kopernika, Malnia ul. Podgórna 3, 47-316 Górażdże";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;80;69;161
6;"Filia Publicznej Szkoły Podstawowej Nr 3 w Gogolinie, Zakrzów ul. Mickiewicza 3, 47-330 Zdzieszowice";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;72;70;111
7;"Publiczna Szkoła Podstawowa im. Powstańców Śląskich, Kamień Śląski ul. Klasztorna 2, 47-325 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;120;129;347
8;"DSS Święta Barbara, Kamionek ul. Polna 24, 47-325 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;56;90;110
9;"Remiza Strażacka, Obrowiec ul. Łąkowa 1, 47-320 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;58;30;122
10;"Centrum Aktywacji Wiejskiej, Odrowąż ul. Wiejska 58A, 47-316 Górażdże";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;66;55;152
11;"Świetlica, ul. Plebiscytowa 1, 47-320 Gogolin";160501;"gm. Gogolin";"krapkowicki";"opolskie";1;1;80;80;142
