"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"WIDELSKI Zbigniew Antoni - KW BEZPARTYJNI SAMORZĄDOWCY";"GÓRSKI Maciej - KW PRAWO I SPRAWIEDLIWOŚĆ"
1;"Publiczna Szkoła Podstawowa Nr 1, ul. Aleja Żwirki i Wigury 16, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;382;293
2;"Publiczna Szkoła Podstawowa Nr 1, ul. Aleja Żwirki i Wigury 16, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;261;244
3;"Centrum Sportu i Kultury, ul. Nadwodna 1, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;240;194
4;"Centrum Sportu i Kultury, ul. Nadwodna 1, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;443;226
5;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;448;382
6;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;512;320
7;"Publiczna Szkoła Podstawowa Nr 2, ul. Aleja Legionów 21, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;406;306
8;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;552;410
9;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;331;292
10;"I Liceum Ogólnokształcące, ul. Długa 35, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;342;303
11;"Zespół Szkół Nr 2, ul. Żołnierzy II Armii Wojska Polskiego 20, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;289;187
12;"Zespół Szkół Nr 2, ul. Żołnierzy II Armii Wojska Polskiego 20, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;308;286
13;"Publiczna Szkoła Podstawowa Nr 5, ul. Janusza Korczaka 10, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;283;257
14;"Publiczna Szkoła Podstawowa Nr 5, ul. Janusza Korczaka 10, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;433;340
15;"Publiczna Szkoła Podstawowa Nr 5, ul. Janusza Korczaka 10, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;482;240
16;"Szpital Powiatowy SP ZOZ, ul. Lubelska 50, 08-400 Garwolin";140301;"m. Garwolin";"garwoliński";"mazowieckie";1;1;6;10
1;"Zespół Szkół Nr 1 w Łaskarzewie, ul. Alejowa 23, 08-450 Łaskarzew";140302;"m. Łaskarzew";"garwoliński";"mazowieckie";1;1;251;286
2;"Zespół Szkół Nr 2 w Łaskarzewie, ul. Kolejowa 13, 08-450 Łaskarzew";140302;"m. Łaskarzew";"garwoliński";"mazowieckie";1;1;304;429
3;"Zespół Szkół Nr 1 w Łaskarzewie, ul. Alejowa 23, 08-450 Łaskarzew";140302;"m. Łaskarzew";"garwoliński";"mazowieckie";1;1;381;398
4;"Dom Pracy Twórczej ""Bajka"", ul. Alejowa 13, 08-450 Łaskarzew";140302;"m. Łaskarzew";"garwoliński";"mazowieckie";1;1;258;341
1;"Zespół Oświatowy w Borowiu (hala sportowa), ul. Aleksandra Sasimowskiego 3, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;50;146
2;"Świetlica Wiejska w Gościewiczu, Gościewicz 52, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;113;203
3;"Zespół Szkół w Głoskowie, Głosków ul. Szkolna 6, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;187;255
4;"Publiczna Szkoła Podstawowa w Iwowem, Iwowe 140, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;160;253
5;"Zespół Oświatowy w Borowiu, ul. Aleksandra Sasimowskiego 3, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;280;448
6;"Świetlica wiejska w Łopaciance, Łopacianka 45, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;64;64
7;"Strażnica OSP w Chrominie, Chromin 28, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;87;121
8;"Świetlica wiejska w Dudce, Dudka 26A, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;61;76
9;"Świetlica wiejska w Słupie Pierwszym, Słup Pierwszy 10C, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;70;132
10;"Świetlica wiejska w Wilchcie, Wilchta 10E, 08-412 Borowie";140303;"gm. Borowie";"garwoliński";"mazowieckie";1;1;64;99
1;"Szkoła Podstawowa im. ks. Bronisława Markiewicza w Rudzie Talubskiej, Ruda Talubska ul. Akacjowa 10, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;267;298
2;"Świetlica OSP w Izdebniku, Izdebnik 16, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;70;114
3;"Szkoła Podstawowa im. Marii Wójcik w Wilkowyi, Wilkowyja 48, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;192;233
4;"Świetlica wiejska w Niecieplinie, Niecieplin 30A, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;238;319
5;"Urząd Gminy w Garwolinie, ul. Mazowiecka 16, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;236;253
6;"Świetlica wiejska w Jagodnem, Jagodne 57A, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;174;179
7;"Szkoła Podstawowa w Woli Władysławowskiej, Wola Władysławowska 27, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;158;206
8;"Szkoła Podstawowa w Woli Rębkowskiej, Wola Rębkowska ul. Długa 90, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;351;475
9;"Świetlica wiejska w Krystynie, Krystyna 78A, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;113;216
10;"Świetlica OSP w Sulbinach, Sulbiny ul. Wspólna 46, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;506;522
11;"Szkoła Podstawowa im. Armii Krajowej w Rębkowie, Rębków ul. Starowiejska 8, 08-410 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;372;263
12;"Świetlica OSP w Miętnem, Miętne ul. Główna 118, 08-400 Garwolin";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;590;489
13;"Świetlica wiejska w Górkach, ul. ks. Stanisława Pasionka 10, 08-400 Górki";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;140;140
14;"Świetlica wiejska w Nowym Puznowie, Nowy Puznów 46, 08-400 Nowy Puznów";140304;"gm. Garwolin";"garwoliński";"mazowieckie";1;1;192;188
1;"Publiczna Szkoła Podstawowa w Uninie, Unin 86, 08-400 Garwolin";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;165;229
2;"Publiczna Szkoła Podstawowa w Łąkach, Łąki 78, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;68;194
3;"Budynek po Publicznej Szkole Podstawowej w Górznie Filia w Wólce Ostrożeńskiej, Wólka Ostrożeńska 23a, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;127;331
4;"Publiczna Szkoła Podstawowa w Samorządkach, Samorządki 44a, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;121;233
5;"Publiczna Szkoła Podstawowa w Górznie, ul. Długa 6, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;195;375
6;"Publiczna Szkoła Podstawowa w Górznie, ul. Długa 6, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;223;373
7;"Budynek po Publicznym Przedszkolu w Górznie z siedzibą w Reducinie, Reducin 20a, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;130;184
8;"Świetlica wiejska w Chęcinach, Chęciny 25, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;83;116
9;"Remiza Strażacka w Goździku, Goździk 60, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;125;187
10;"Świetlica wiejska w Kobylej Woli, Kobyla Wola 49b, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;95;175
11;"Świetlica wiejska w Mierżączce, Mierżączka 24b, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;54;86
12;"Dom opieki OSTROWIA, Wólka Ostrożeńska 15a, 08-404 Górzno";140305;"gm. Górzno";"garwoliński";"mazowieckie";1;1;16;50
1;"Publiczna Szkoła Podstawowa w Dąbrowie z siedzibą w Woli Łaskarzewskiej, Wola Łaskarzewska 88, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;280;465
2;"Zespół Szkół w Izdebnie, Izdebno 1, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;133;191
3;"Zespół Szkół w Starym Pilczynie, Stary Pilczyn 34, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;350;572
4;"Dom Kultury w Starym Helenowie, Stary Helenów 30, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;115;238
5;"Publiczna Szkoła Podstawowa w Krzywdzie, Krzywda 27A, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;129;280
6;"Budynek OSP w Woli Rowskiej, Wola Rowska 57A, 08-450 Łaskarzew";140306;"gm. Łaskarzew";"garwoliński";"mazowieckie";1;1;92;125
1;"Publiczna Szkoła Podstawowa w Maciejowicach (świetlica), ul. Tadeusza Kościuszki 19, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;359;505
2;"Publiczna Szkoła Podstawowa w Maciejowicach (sala gimnastyczna), ul. Tadeusza Kościuszki 19, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;268;572
3;"Świetlica wiejska w Strychu, Strych 12, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;57;183
4;"Budynek po dawnej Publicznej Szkole Podstawowej w Antoniówce Świerżowskiej, Antoniówka Świerżowska 24A, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;76;171
5;"Świetlica wiejska w Domaszewie, Domaszew 77, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;45;113
6;"Publiczna Szkoła Podstawowa w Samogoszczy, Samogoszcz 2, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;48;112
7;"Świetlica wiejska we Wróblach-Wargocinie, Wróble-Wargocin 57, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;43;116
8;"Świetlica wiejska w Oronnem, Oronne 73, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;74;155
9;"Świetlica wiejska w Podłężu, Podłęż 59C, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;102;259
10;"Świetlica wiejska w Kobylnicy, Kobylnica 52, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;37;97
11;"Budynek Ochotniczej Straży Pożarnej w Podwierzbiu, Podwierzbie 37, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;179;74
12;"Świetlica wiejska w Przewozie, Przewóz 32A, 08-480 Maciejowice";140307;"gm. Maciejowice";"garwoliński";"mazowieckie";1;1;29;92
1;"Publiczna Szkoła Podstawowa w Miastkowie Kościelnym, ul. Szkolna 8, 08-420 Miastków Kościelny";140308;"gm. Miastków Kościelny";"garwoliński";"mazowieckie";1;1;189;256
