"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAZUR Stanisław Jan - KW NOWA LEWICA";"CZELEJ Grzegorz - KW PRAWO I SPRAWIEDLIWOŚĆ";"WYPYCH Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
17;"Szkoła Podstawowa Nr 2, ul. Urzędowska 10, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;352;412;101
18;"Szkoła Podstawowa Nr 4, ul. Kolejowa 28, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;219;286;68
19;"Szkoła Podstawowa Nr 2, ul. Urzędowska 10, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;276;369;91
20;"Dom Pomocy Społecznej, ul. Oboźna 36, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;219;265;65
21;"Zespół Placówek Oświatowych Nr 1, ul. Tadeusza Kościuszki 23, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;253;277;87
22;"Szpital Powiatowy w Kraśniku, ul. Fryderyka Chopina 13, ul. Fryderyka Chopina 13, 23-200 Kraśnik";60701;"m. Kraśnik";"kraśnicki";"lubelskie";1;1;15;70;6
1;"Publiczna Szkoła Podstawowa, ul. Tadeusza Kościuszki 8, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;329;437;101
2;"Remiza OSP, Nowy Rachów 57, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;30;136;21
3;"Publiczna Szkoła Podstawowa, Opoka Duża 5, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;130;314;46
4;"Publiczna Szkoła Podstawowa, Grabówka 67, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;80;291;45
5;"Publiczna Szkoła Podstawowa, Świeciechów Duży 204, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;142;441;82
6;"Publiczna Szkoła Podstawowa, Kosin 22, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;34;237;26
7;"Publiczna Szkoła Podstawowa, Janiszów 32, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;48;174;28
8;"Publiczna Szkoła Podstawowa, Borów 32, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;60;163;35
9;"Publiczna Szkoła Podstawowa, Dąbrowa 91, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;55;145;34
10;"Publiczna Szkoła Podstawowa, ul. Tadeusza Kościuszki 8, 23-235 Annopol";60702;"gm. Annopol";"kraśnicki";"lubelskie";1;1;200;301;68
1;"Zespół Placówek Oświatowych w Terpentynie, Terpentyna 182, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;198;348;83
2;"Filia Szkoły Podstawowej w Terpentynie, Dzierzkowice-Wola 184B, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;71;264;43
3;"Publiczna Szkoła Podstawowa w Ludmiłówce, Ludmiłówka 33, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;59;157;43
4;"Szkoła Podstawowa w Wyżnicy, Wyżnica 33, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;243;443;142
5;"Świetlica Wiejska, Dzierzkowice-Zastawie 174, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;41;178;32
6;"Klub Rolnika, Dzierzkowice-Podwody 83, 23-251 Dzierzkowice";60703;"gm. Dzierzkowice";"kraśnicki";"lubelskie";1;1;69;220;46
1;"Gminny Ośrodek Kultury w Gościeradowie, Gościeradów-Folwark ul. Sandomierska 1, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;187;311;74
2;"Zespół Szkół w Księżomierzy, Księżomierz-Kolonia 14, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;55;152;19
3;"Publiczna Szkoła Podstwowa w Liśniku Dużym, Liśnik Duży 161, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;49;212;21
4;"Publiczna Szkoła Podstawowa w Mniszku, Mniszek 67, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;33;206;27
5;"Publiczna Szkoła Podstawowa w Szczecynie, Szczecyn 50, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;43;212;32
6;"Budynek Dziennego Domu ""Senior+"", Salomin 121, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;62;143;21
7;"Remiza OSP w Wólce Gościeradowskiej, Wólka Gościeradowska 70, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;65;179;34
8;"Remiza OSP, Suchodoły 97A, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;50;123;26
9;"Ośrodek Pomocy Społecznej w Gościeradowie, Gościeradów Ukazowy 63, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;125;235;40
10;"Świetlica Wiejska w Liśniku Dużym Kolonii, Liśnik Duży-Kolonia 13, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;27;77;18
11;"Publiczne Przedszkole w Księżomierzy, Księżomierz Dzierzkowska 4, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;52;125;33
12;"Remiza OSP w Księżomierzy, Księżomierz Gościeradowska 1A, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;46;106;17
13;"Remiza OSP w Aleksandrowie, Aleksandrów 69, 23-275 Gościeradów";60704;"gm. Gościeradów";"kraśnicki";"lubelskie";1;1;37;67;21
1;"Lokal Urzędu Gminy, ul. Tadeusza Kościuszki 24, 23-200 Kraśnik";60705;"gm. Kraśnik";"kraśnicki";"lubelskie";1;1;271;497;148
2;"Lokal Szkoły Podstawowej, Kowalin 45, 23-200 Kraśnik";60705;"gm. Kraśnik";"kraśnicki";"lubelskie";1;1;160;276;62
3;"Lokal Przedszkola w Stróży, Stróża-Kolonia ul. Akacjowa 4A, 23-206 Kraśnik";60705;"gm. Kraśnik";"kraśnicki";"lubelskie";1;1;237;451;117
4;"Lokal Szkoły Podstawowej w Stróży, Stróża-Kolonia ul. Akacjowa 2A, 23-206 Kraśnik";60705;"gm. Kraśnik";"kraśnicki";"lubelskie";1;1;215;446;113
5;"Lokal Szkoły Podstawowej, Słodków Trzeci 7, 23-206 Kraśnik";60705;"gm. Kraśnik";"kraśnicki";"lubelskie";1;1;106;420;94
1;"Zespół Szkół, ul. Szkolna 1, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;56;150;28
2;"Szkoła Podstawowa w Blinowie, Blinów Drugi 10, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;65;306;49
3;"Szkoła Podstawowa, Polichna Druga 26, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;166;359;55
4;"Remiza Ochotniczej Straży Pożarnej w Brzozówce, Brzozówka 97A, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;59;394;69
5;"Gminne Centrum Kultury, Polichna Czwarta 1, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;86;342;56
6;"Remiza Ochotniczej Straży Pożarnej w Blinowie, Blinów Pierwszy 227, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;47;207;23
7;"Remiza Ochotniczej Straży Pożarnej w Szastarce Wsi, ul. Szkolna 79, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;38;144;32
8;"Zespół Szkół w Hucie Józefów, Huta Józefów 132, 23-225 Szastarka";60706;"gm. Szastarka";"kraśnicki";"lubelskie";1;1;51;119;17
1;"Szkoła Podstawowa w Trzydniku Dużym, Trzydnik Duży 72, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;148;307;72
2;"Świetlica w Budkach, Budki 25A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;37;127;18
3;"Świetlica w Dąbrowie, Dąbrowa 91, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;34;94;33
4;"Remiza OSP w Liśniku Małym, Liśnik Mały 52A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;25;76;22
5;"Świetlica wiejska w Łychowie Gościeradowskim, Łychów Gościeradowski 76A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;48;138;35
6;"Szkoła Podstawowa w Olbięcinie, Olbięcin 95, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;107;263;55
7;"Remiza OSP w Rzeczycy Księżej, Rzeczyca Księża 187A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;91;197;55
8;"Szkoła Podstawowa w Rzeczycy Ziemiańskiej, Rzeczyca Ziemiańska 79, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;148;334;65
9;"Świetlica w Węglinie, Węglin 57A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;24;87;23
10;"Szkoła Podstawowa w Woli Trzydnickiej, Wola Trzydnicka 52A, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;56;117;28
11;"Remiza OSP, Węglinek 60, 23-230 Trzydnik Duży";60707;"gm. Trzydnik Duży";"kraśnicki";"lubelskie";1;1;18;109;20
1;"lokal Szkoły Podstawowej, Boby-Kolonia 75, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;132;318;92
2;"lokal Szkoły Podstawowej im. Jana Pawła II, Moniaki 110, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;117;315;93
3;"Pracownia Fizjoterapii Bęczyn, Bęczyn 57, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;87;260;77
4;"lokal Zespołu Szkół Ogólnokształcących im. Władysława Jagiełły, ul. Wodna 24, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;240;424;126
5;"lokal po byłej Szkole Filialnej, Rankowskie 31, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;169;434;101
6;"lokal Szkoły Podstawowej im. Leona Hempla, Skorczyce 52, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;93;167;45
7;"lokal Budynku Wielofunkcyjnego, Popkowice 6, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;107;427;71
8;"lokal Publicznej Szkoły Podstawowej, Leszczyna 94A, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;41;169;55
9;"Dom Pomocy Społecznej, Popkowice 1, 23-250 Urzędów";60708;"gm. Urzędów";"kraśnicki";"lubelskie";1;1;12;66;5
1;"Szkoła Podstawowa w Rudniku Szlacheckim, Rudnik Szlachecki 38, 23-212 Wilkołaz";60709;"gm. Wilkołaz";"kraśnicki";"lubelskie";1;1;139;480;109
2;"Szkoła Podstawowa w Wilkołazie Pierwszym, Wilkołaz Pierwszy 7, 23-212 Wilkołaz";60709;"gm. Wilkołaz";"kraśnicki";"lubelskie";1;1;151;519;137
3;"Szkoła Podstawowa w Wilkołazie Pierwszym, Wilkołaz Pierwszy 7, 23-212 Wilkołaz";60709;"gm. Wilkołaz";"kraśnicki";"lubelskie";1;1;174;695;151
4;"Szkoła Podstawowa w Ostrowie, Ostrów 9, 23-212 Wilkołaz";60709;"gm. Wilkołaz";"kraśnicki";"lubelskie";1;1;96;299;71
1;"Publiczna Szkoła Podstawowa w Bystrzycy, Bystrzyca 137, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;94;241;85
2;"Publiczna Szkoła Podstawowa w Majdanie-Grabinie, Majdan-Grabina 145A, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;75;229;77
3;"Publiczna Szkoła Podstawowa w Rudniku Drugim, Rudnik Drugi 86, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;46;181;22
4;"Publiczna Szkoła Podstawowa w Sulowie, Sulów 75, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;87;411;83
5;"Publiczna Szkoła Podstawowa w Studziankach, Studzianki 63, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;78;232;44
6;"Centrum Kultury i Biblioteki w Gminie Zakrzówek, ul. Żeromskiego 24b, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;298;660;152
7;"Świetlica wiejska w Rudniku Pierwszym, Rudnik Pierwszy 23, 23-213 Zakrzówek";60710;"gm. Zakrzówek";"kraśnicki";"lubelskie";1;1;45;123;38
1;"Zespół Szkół im. Mikołaja Kopernika, ul. Bychawska 4, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;259;396;124
2;"Żłobek w Bełżycach, ul. Bychawska 15A, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;296;379;153
3;"Miejski Dom Kultury, ul. Tysiąclecia 26, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;222;414;136
4;"Urząd Miejski, ul. Lubelska 3, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;144;195;72
5;"Szkoła Podstawowa Nr 2 im. Królowej Jadwigi, ul. Tadeusza Kościuszki 148, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;208;273;107
6;"Szkoła Podstawowa Babin, Babin 147, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;152;280;101
7;"Szkoła Podstawowa, Matczyn 9, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;90;245;85
8;"Szkoła Podstawowa, Kierz 89, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;84;353;84
9;"Dom Ludowy, Krężnica Okrągła 57, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;125;298;97
10;"Remiza OSP, Stare Wierzchowiska 35, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;68;327;56
11;"Remiza OSP, Zagórze 37, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;60;190;46
12;"Remiza OSP, Jaroszewice 51, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;36;157;46
13;"Remiza OSP, Podole 122A, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;81;177;63
14;"Szkoła Podstawowa, Wronów 15, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;25;115;33
15;"SP ZOZ Nr 1 w Bełżycach Szpital Powiatowy im. Dr Wojciecha Oczki, ul. Lubelska 90, 24-200 Bełżyce";60901;"gm. Bełżyce";"lubelski";"lubelskie";1;1;4;28;2
1;"Szkoła Podstawowa, Borzechów-Kolonia 227, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;166;391;103
2;"Szkoła Podstawowa, Kłodnica Dolna 117, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;71;351;84
3;"Remiza OSP, Łopiennik 127, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;61;201;59
4;"Remiza OSP, Kępa 39, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;41;159;35
5;"Remiza OSP, Łączki-Pawłówek 40, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;40;102;14
6;"Remiza OSP, Dobrowola 31, 24-224 Borzechów";60902;"gm. Borzechów";"lubelski";"lubelskie";1;1;26;100;17
