"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"OSIŃSKI Sylwester Artur - KW BEZPARTYJNI SAMORZĄDOWCY";"PAWLAK Waldemar - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MARTYNOWSKI Marek Eryk - KW PRAWO I SPRAWIEDLIWOŚĆ";"MATYSZEWSKI Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
54;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 22 im. Janusza Korczaka, ul. Czwartaków 6, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;113;682;431;91
55;"Miejskie Przedszkole nr 4 im. Jasia i Małgosi, ul. Czwartaków 18b, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;133;1012;633;124
56;"Pływalnia Miejska ""Podolanka"", ul. Czwartaków 6, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;146;706;381;161
57;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 34 im. Kubusia Puchatka i Jego Przyjaciół, ul. Harcerska 2, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;109;883;574;114
58;"Siedziba Rady Mieszkańców Osiedla ""Borowiczki"", ul. Borowicka 3, 09-408 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;99;531;440;116
59;"Szkoła Podstawowa nr 20 im. Wł. Broniewskiego, ul. Janusza Korczaka 10, 09-408 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;87;531;332;84
60;"MLF Concept Sp. z o. o., ul. Popłacińska 42, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;56;428;501;76
61;"Szkoła Podstawowa nr 5 im. Wł. Broniewskiego, ul. Krakówka 4, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;86;326;517;101
62;"Szkoła Podstawowa nr 15, ul. Przyszkolna 22, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;103;463;412;82
63;"Miejskie Przedszkole nr 2, ul. Ciechomicka 68, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;59;422;295;96
64;"Miejskie Przedszkole z Oddziałami Integracyjnymi nr 31, ul. Szarych Szeregów 32, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;62;295;285;52
65;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 23 im. Armii Krajowej, ul. Walecznych 20, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;145;824;553;149
66;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 22 im. Janusza Korczaka, ul. Czwartaków 6, 09-410 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;90;652;299;80
67;"Miejskie Przedszkole nr 19, ul. Juliusza Słowackiego 27, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;73;276;337;63
68;"Płocki Zakład Opieki Zdrowotnej Sp. z o. o., ul. Tadeusza Kościuszki 28, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;5;29;28;3
69;"Wojewódzki Szpital Zespolony im. M. Kacprzaka, ul. Medyczna 19, 09-400 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;9;59;81;10
70;"Zakład Karny, ul. Henryka Sienkiewicza 22, 09-402 Płock";146201;"m. Płock";"Płock";"mazowieckie";1;1;38;291;61;76
