"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LIBICKI Jan Filip - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NIJAKA Danuta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OSZMIAN Ryszard - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
10;"Wiejski Dom Kultury, Rudniki 84, 64-330 Opalenica";301505;"gm. Opalenica";"nowotomyski";"wielkopolskie";1;1;315;221;100
11;"Szkoła Podstawowa im. Powstańców Ziemi Opalenickiej w Urbanowie, Urbanowo 37, 64-330 Opalenica";301505;"gm. Opalenica";"nowotomyski";"wielkopolskie";1;1;274;181;82
1;"Szkoła Podstawowa im. Arkadego Fiedlera, ul. Mostowa 10, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;784;270;155
2;"Sala wiejska w Nowym Dworze, Nowy Dwór 80c, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;177;103;59
3;"Liceum Ogólnokształcące im. Stefana Garczyńskiego w Zbąszyniu, ul. Powstańców Wielkopolskich 43, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;480;160;118
4;"Muzeum Ziemi Zbąszyńskiej i Regionu Kozła, ul. Rynek 8, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;783;254;144
5;"Biblioteka Publiczna Gminy i Miasta Zbąszyń, ul. 17 Stycznia 59a, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;648;194;123
6;"Zespół Szkolno-Przedszkolny w Chrośnicy, Chrośnica 54, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;190;93;59
7;"Szkoła Podstawowa im. Powstańców Wielkopolskich, Łomnica 40, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;226;124;63
8;"Sala Wiejska w Stefanowie, Stefanowo 59, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;132;86;48
9;"Szkoła Podstawowa im. Antoniny Woźnej, Przyprostynia ul. Prandoty 76, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;392;166;106
10;"Sala wiejska w Nowej Wsi Zbąskiej, Nowa Wieś Zbąska 19A, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;219;171;74
11;"Sala wiejska w Nądni, Nądnia ul. Główna 42, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;273;139;73
12;"Sala wiejska w Stefanowicach, Stefanowice 49B, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;109;60;37
13;"Sala wiejska w Strzyżewie, Strzyżewo 4A, 64-360 Zbąszyń";301506;"gm. Zbąszyń";"nowotomyski";"wielkopolskie";1;1;267;63;97
1;"Obornicki Ośrodek Kultury, ul. Armii Poznań 18, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;675;295;129
2;"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej w Obornikach, ul. Lipowa 19, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;457;181;115
3;"Szkoła Podstawowa nr 2 w Obornikach, ul. Szkolna 7, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;318;155;75
4;"Biblioteka Publiczna Miasta i Gminy Oborniki, ul. Mikołaja Kopernika 10, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;521;157;109
5;"Zespół Przedszkoli w Obornikach, Przedszkole nr 2 w Obornikach, ul. Młyńska 2b, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;507;200;86
6;"Przedszkole nr 4 w Obornikach, ul. Stanisława Staszica 23, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;559;188;87
7;"Szkoła Podstawowa nr 3 w Obornikach, ul. Czarnkowska 57, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;625;229;99
8;"Szkoła Podstawowa nr 3 w Obornikach, ul. Czarnkowska 57, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;363;118;66
9;"Szkoła Podstawowa nr 4 w Obornikach, ul. Obrzycka 88, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;686;192;100
10;"Szkoła Podstawowa nr 4 w Obornikach, ul. Obrzycka 88, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;639;234;97
11;"Szkoła Podstawowa nr 4 w Obornikach, ul. Obrzycka 88, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;524;204;80
12;"Szkoła Podstawowa nr 4 w Obornikach, ul. Obrzycka 88, 64-600 Oborniki";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;590;150;80
13;"Świetlica wiejska w Uścikowie, Uścikowo 10c, 64-600 Uścikowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;400;142;81
14;"Zespół Szkolno-Przedszkolny w Kiszewie, Kiszewo 51, 64-607 Kiszewo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;234;134;65
15;"Świetlica wiejska w Popówku, Popówko 6A, 64-606 Popówko";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;311;164;101
16;"Świetlica wiejska w Kowanówku, ul. Tarninowa 23, 64-600 Kowanówko";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;564;206;116
17;"Zespół Szkolno-Przedszkolny w Rożnowie, ul. Dworcowa 42, 64-600 Rożnowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;641;250;125
18;"Świetlica wiejska w Łukowie, Łukowo 38, 64-600 Łukowo";301601;"gm. Oborniki";"obornicki";"wielkopolskie";1;1;475;225;111
