"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"LEGENY Tomasz Grzegorz - KW BEZPARTYJNI SAMORZĄDOWCY";"SZAŁAJKO Stanisław Michał - KW NOWA LEWICA";"ZAJĄC Alicja Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"SERWIŃSKI Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
1;"Urząd Miejski w Brzozowie (sala konferencyjna), ul. Armii Krajowej 1, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;213;364;621;180
2;"Ratusz Miejski w Brzozowie (I piętro), ul. Rynek 10, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;112;244;663;139
3;"Budynek administracyjny Szpitala Specjalistycznego w Brzozowie (świetlica), ul. KS. Józefa Bielawskiego 18, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;120;315;581;114
4;"Szkoła Podstawowa Nr 2 w Humniskach, Humniska 877, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;84;169;406;103
5;"Zespół Szkolno-Przedszkolny w Humniskach, Humniska 264, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;67;155;402;70
6;"Zespół Szkolno-Przedszkolny w Humniskach, Humniska 264, 36-206 Humniska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;63;147;432;79
7;"Szkoła Podstawowa w Grabownicy Starzeńskiej, Grabownica Starzeńska 584, 36-207 Grabownica Starzeńska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;77;220;415;69
8;"Szkoła Podstawowa w Grabownicy Starzeńskiej, Grabownica Starzeńska 584, 36-207 Grabownica Starzeńska";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;81;144;474;82
9;"Szkoła Podstawowa w Górkach, Górki 78a, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;40;80;541;51
10;"Szkoła Podstawowa w Turzym Polu, Turze Pole 152, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;55;120;301;46
11;"Szkoła Podstawowa w Zmiennicy, Zmiennica 29, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;42;87;418;53
12;"Szkoła Podstawowa w Starej Wsi, Stara Wieś 790, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;67;104;605;81
13;"Szkoła Podstawowa w Starej Wsi, Stara Wieś 790, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;80;126;630;70
14;"Zespół Szkół Nr 1 w Przysietnicy, Przysietnica 198, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;72;111;840;110
15;"Szkoła Podstawowa Nr 2 w Przysietnicy, Przysietnica 514, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;59;79;604;103
16;"Szpital Specjalistyczny w Brzozowie, ul. KS. Józefa Bielawskiego 18, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;8;20;66;7
17;"Dom Pomocy Społecznej w Brzozowie, ul. Wincentego Witosa 13, 36-200 Brzozów";180201;"gm. Brzozów";"brzozowski";"podkarpackie";1;1;0;1;32;1
1;"Szkoła Podstawowa w Baryczy, Barycz 238, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;32;39;375;57
2;"Zespół Szkolno-Przedszkolny w Domaradzu, Domaradz 651, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;35;38;331;52
3;"Zespół Szkolno-Przedszkolny w Domaradzu, Domaradz 349, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;79;172;633;137
4;"Dom Strażaka w Domaradzu (Poręby), Domaradz 897 A, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;10;20;87;9
5;"Zespół Szkół w Golcowej, Golcowa 456, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;27;44;454;76
6;"Szkoła Podstawowa Nr 2 w Golcowej, Golcowa 284, 36-230 Domaradz";180202;"gm. Domaradz";"brzozowski";"podkarpackie";1;1;13;43;258;45
1;"Szkoła Podstawowa im. Świętej Królowej Jadwigi w Dydni, Dydnia 221, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;49;91;471;78
2;"Dom Strażaka w Grabówce, Grabówka 66, 36-207 Brzozów";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;19;24;175;34
3;"Dom Ludowy w Jabłonce, Jabłonka 47, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;32;66;344;51
4;"Dom Ludowy w Witryłowie, Witryłów 21, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;21;46;108;20
5;"Dom Ludowy w Krzemiennej, Krzemienna 46, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;14;20;125;26
6;"Dom Strażaka w Temeszowie, Temeszów 27, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;12;37;89;20
7;"Szkoła Podstawowa w Niewistce, Niewistka 37, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;13;19;103;4
8;"Szkoła Podstawowa w Obarzymie, Obarzym 36A, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;14;37;89;19
9;"Dom Ludowy w Krzywem, Krzywe 68, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;14;29;123;23
10;"Szkoła Podstawowa w Końskiem, Końskie 35, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;20;24;150;24
11;"Dom Strażaka w Niebocku, Niebocko 148, 36-207 Brzozów";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;70;109;476;91
12;"Szkoła Podstawowa w Wydrnej, Wydrna 132, 36-204 Dydnia";180203;"gm. Dydnia";"brzozowski";"podkarpackie";1;1;15;17;211;28
1;"Szkoła Podstawowa w Haczowie-świetlica na parterze, Haczów 593, 36-213 Haczów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;49;90;401;71
2;"Szkoła Podstawowa w Haczowie-sala gimnastyczna, Haczów 593, 36-213 Haczów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;111;242;572;128
3;"Szkoła Podstawowa w Trześniowie, Trześniów 107, 36-212 Trześniów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;57;109;318;59
4;"Dom Ludowy w Bukowie, Buków 91, 36-212 Trześniów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;12;39;111;26
5;"Szkoła Podstawowa w Jasionowie, Jasionów 195, 36-211 Jasionów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;58;133;404;69
6;"Szkoła Podstawowa we Wzdowie, Wzdów 121, 36-211 Jasionów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;37;81;290;54
7;"Szkoła Podstawowa w Malinówce, Malinówka 42, 36-213 Haczów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;31;61;388;74
8;"Szkoła Podstawowa w Jabłonicy Polskiej, Jabłonica Polska 178, 36-213 Haczów";180204;"gm. Haczów";"brzozowski";"podkarpackie";1;1;48;81;413;68
1;"Gminny Ośrodek Pomocy Społecznej w Jasienicy Rosielnej, Jasienica Rosielna 240, 36-220 Jasienica Rosielna";180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";1;1;109;178;827;138
2;"Szkoła Podstawowa im. Św. Michała Archanioła w Bliznem, Blizne 439A, 36-221 Blizne";180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";1;1;71;86;695;85
3;"Szkoła Podstawowa im. Św. Michała Archanioła w Bliznem, Blizne 439A, 36-221 Blizne";180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";1;1;84;92;689;126
4;"Zespół Szkół w Orzechówce, Orzechówka 5, 36-220 Jasienica Rosielna";180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";1;1;55;70;596;106
5;"Szkoła Podstawowa im. Księdza Biskupa Jakuba Glazera w Woli Jasienickiej, Wola Jasienicka 108, 36-220 Jasienica Rosielna";180205;"gm. Jasienica Rosielna";"brzozowski";"podkarpackie";1;1;17;25;279;34
1;"Szkoła Podstawowa im. Aleksandra Fredry w Nozdrzcu, Nozdrzec 227A, 36-245 Nozdrzec";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;70;132;390;63
2;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego w Hłudnie, Hłudno 89, 36-245 Nozdrzec";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;57;71;244;40
3;"Szkoła Podstawowa im. Świętego Jana Pawła II w Warze, Wara 247, 36-245 Nozdrzec";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;45;135;361;38
4;"Szkoła Podstawowa w Siedliskach, Siedliska 36A, 36-245 Nozdrzec";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;13;21;136;15
5;"Dom Strażaka w Hucie Poręby, Huta Poręby 30B, 36-245 Nozdrzec";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;7;11;51;4
6;"Szkoła Podstawowa im. Świętej Jadwigi Królowej Polski w Izdebkach, Izdebki 362, 36-203 Izdebki";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;22;77;344;71
7;"Szkoła Podstawowa im. Świętej Jadwigi Królowej Polski w Izdebkach, Izdebki 362, 36-203 Izdebki";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;43;119;250;57
8;"Dom Strażaka w Izdebkach Rudawcu, Izdebki 714A, 36-203 Izdebki";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;7;12;138;13
9;"Szkoła Podstawowa Nr 1 im. Marszałka Józefa Piłsudskiego w Wesołej, Wesoła 401, 36-233 Wesoła";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;56;56;363;73
10;"Dom Strażaka w Wesołej Magierowie, Wesoła 555, 36-233 Wesoła";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;4;2;31;7
11;"Szkoła Podstawowa Nr 2 w Wesołej, Wesoła 607, 36-233 Wesoła";180206;"gm. Nozdrzec";"brzozowski";"podkarpackie";1;1;11;21;130;18
1;"Urząd Miasta w Jaśle, Sala Posiedzeń RMJ, I piętro, ul. Rynek 12, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;107;330;376;95
2;"Szkoła Podstawowa Nr 2 w Jaśle, ul. Tadeusza Czackiego 2, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;85;205;253;69
3;"Jasielski Dom Kultury, ul. Hugona Kołłątaja 1, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;75;261;324;78
4;"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;121;411;354;111
5;"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;118;327;407;105
6;"Zespół Szkół Miejskich Nr 3 w Jaśle, ul. Szkolna 38, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;138;375;418;117
7;"I Liceum Ogółnokształcące w Jaśle, ul. Tadeusza Czackiego 4, 38-200 Jasło";180501;"m. Jasło";"jasielski";"podkarpackie";1;1;73;197;281;72
