"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"AŚCIUKIEWICZ Barbara Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"NAGÓRSKI Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GROMEK Janusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
11;"Zakład Doświadczalny Oceny Odmian w Białogardzie, ul. Kisielice Duże 28, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;191;60;304
12;"Szkoła Podstawowa nr 5 im. Władysława Broniewskiego w Białogardzie, ul. Kołobrzeska 23, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;176;62;399
13;"Filia Nr 2 Białogardzkiej Biblioteki Publicznej im. Karola Estreichera, ul. Bronisława Malinowskiego 6, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;310;103;644
14;"Państwowa Szkoła Muzyczna I stopnia w Białogardzie, ul. Dworcowa 4, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;275;89;453
15;"Regionalne Centrum Medyczne w Białogardzie, ul. Chopina 29, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;36;11;43
16;"Dom Pomocy Społecznej w Białogardzie, ul. Mickiewicza 6, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;13;2;3
17;"Dom Pomocy Społecznej w Białogardzie, ul. Świętego Brata Alberta 1, 78-200 Białogard";320101;"m. Białogard";"białogardzki";"zachodniopomorskie";1;1;10;5;5
1;"Świetlica Wiejska w Redlinie, Redlino 7, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;176;71;241
2;"Szkoła Podstawowa im. ppor. Ryszarda Kuleszy w Pomianowie, Pomianowo 6, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;252;92;316
3;"Szkoła Podstawowa im. Jana Brzechwy w Rogowie, Rogowo 63, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;150;58;208
4;"Szkoła Podstawowa im. Juliana Tuwima w Stanominie, Stanomino 30, 78-217 Stanomino";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;259;78;287
5;"Świetlica Wiejska w Kościernicy, Kościernica 7, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;219;83;280
6;"Świetlica Wiejska w Czarnowęsach, Czarnowęsy 3A, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;142;45;162
7;"Świetlica Wiejska w Nasutowie, Nasutowo 24, 78-200 Białogard";320102;"gm. Białogard";"białogardzki";"zachodniopomorskie";1;1;99;30;69
1;"Karliński Ośrodek Kultury w Karlinie, ul. Parkowa 1, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;158;73;308
2;"Szkoła Podstawowa, ul. Traugutta 2, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;384;108;568
3;"Warsztat Terapii Zajęciowej w Karlinie, ul. Kościuszki 3, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;305;97;502
4;"Szkoła Podstawowa, Daszewo 56, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;190;42;174
5;"Szkoła Podstawowa, Karścino 18, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;199;69;215
6;"Szkoła Podstawowa, Karwin 23, 78-230 Karlino";320103;"gm. Karlino";"białogardzki";"zachodniopomorskie";1;1;115;45;145
1;"Świetlica wiejska, Sadkowo 55, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;190;59;214
2;"Świetlica wiejska, Warnino 9, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;149;48;149
3;"Szkoła Podstawowa im. Adama Mickiewicza, ul. Dworcowa 11, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;325;107;369
4;"Urząd Miejski w Tychowie, ul. Bobolicka 17, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;195;106;406
5;"Świetlica Wiejska, Dobrowo 28B, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;227;90;274
6;"Oddział Zewnętrzny Dobrowo Aresztu Śledczego Koszalin, Dobrowo 53, 78-220 Tychowo";320104;"gm. Tychowo";"białogardzki";"zachodniopomorskie";1;1;40;45;131
1;"Zespół Szkolno-Przedszkolny Szkoła Podstawowa w Bierzwniku im. Dziedzictwa Cystersów Bierzwnickich, ul. Szkolna 18, 73-240 Bierzwnik";320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";1;1;386;128;510
2;"Świetlica Wiejska w Breniu, Breń 30A, 73-240 Bierzwnik";320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";1;1;208;68;242
3;"Szkoła Podstawowa w Zieleniewie, Zieleniewo 37, 73-240 Bierzwnik";320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";1;1;191;54;174
4;"Świetlica Wiejska, Klasztorne 132A, 73-240 Bierzwnik";320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";1;1;81;49;76
5;"Dom Pomocy Społecznej im. Bpa Stanisława Stefanka, Kolsk 30A, 73-240 Bierzwnik";320201;"gm. Bierzwnik";"choszczeński";"zachodniopomorskie";1;1;22;8;8
1;"Choszczeński Dom Kultury, ul. Bohaterów Warszawy 17, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;178;63;311
2;"Publiczne Przedszkole Nr 4, ul. Mur Południowy 4, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;246;77;409
3;"Publiczne Przedszkole Nr 5, ul. Energetyków 7, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;211;67;439
4;"Szkoła Podstawowa Nr 3, ul. Wolności 62, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;193;84;318
5;"Publiczne Przedszkole Nr 2, ul. Sucharskiego 9, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;212;114;645
6;"Szkoła Podstawowa nr 1 w Choszcznie, ul. Obrońców Westerplatte 1A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;218;58;405
7;"Zakład Aktywności Zawodowej Szansa, ul. Drawieńska 54, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;220;98;506
8;"Miejska Biblioteka Publiczna im. Marii Dąbrowskiej, ul. Wolności 13, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;187;35;301
9;"Zespół Szkół Nr 3, ul. Grunwaldzka 30, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;304;58;433
10;"Zespół Szkół Nr 1, ul. Bolesława Chrobrego 31A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;125;40;249
11;"Przedszkole Nr 1 z Oddziałami Integracyjnymi, ul. Niedziałkowskiego 9, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;151;51;383
12;"Szkoła Podstawowa, Sławęcin 60, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;115;44;227
13;"Szkoła Podstawowa, ul. Zwycięstwa 26, 73-222 Suliszewo";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;65;22;70
14;"Szkoła Podstawowa, Zamęcin 2, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;193;89;300
15;"Szkoła Podstawowa, Korytowo ul. Szkolna 4, 73-222 Suliszewo";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;78;18;61
16;"Świetlica Wiejska, Piasecznik 48A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;90;20;56
17;"Świetlica Wiejska, Kołki 49A, 73-222 Suliszewo";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;54;19;71
18;"Świetlica Wiejska, Radaczewo 8, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;48;17;72
19;"Świetlica Wiejska, Raduń 21A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;100;28;103
20;"Świetlica Wiejska, Rzecko ul. Tadeusza Kościuszki 20, 73-222 Suliszewo";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;104;33;78
21;"Świetlica Wiejska, Stary Klukom 47, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;63;22;63
22;"Świetlica Wiejska, Stradzewo 13, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;103;40;62
23;"Świetlica Wiejska, Wardyń 49, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;76;26;78
24;"Świetlica Wiejska, Zwierzyn 45A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;48;21;52
25;"Samodzielny Publiczny Zakład Opieki Zdrowotnej, ul. Niedziałkowskiego 4A, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;59;12;61
26;"Dom Pomocy Społecznej ""Prometeusz"", ul. Pogodna 5, 73-200 Choszczno";320202;"gm. Choszczno";"choszczeński";"zachodniopomorskie";1;1;2;0;4
1;"Szkoła Podstawowa, ul. Szkolna 25, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;202;77;261
2;"Szkoła Podstawowa, ul. Szkolna 25, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;200;64;239
3;"Świetlica wiejska, Barnimie 70, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;88;30;134
4;"Świetlica wiejska, Brzeziny 61a, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;109;49;95
5;"Świetlica wiejska, Święciechów 3d, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;121;59;141
6;"Świetlica Wiejska, Chomętowo 2, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;44;12;61
7;"Świetlica Wiejska, Dominikowo ul. Lipowa 31/3, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;63;36;121
8;"Dom Pomocy Społecznej, Brzeziny 1, 73-220 Drawno";320203;"gm. Drawno";"choszczeński";"zachodniopomorskie";1;1;4;3;21
1;"Gminne Centrum Kultury, ul. Szkolna 2, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;178;58;186
2;"Wiejski Dom Kultury, Chłopowo ul. Główna 9, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;93;27;106
3;"Wiejski Dom Kultury, Granowo ul. Szeroka 2, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;129;36;125
4;"Klub Kultury, Mielęcin 21, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;63;17;43
5;"Klub Kultury, Objezierze 13, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;75;23;95
6;"Klub Kultury, Rakowo 10/1, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;94;21;67
7;"Klub Kultury, Żeńsko 11, 73-231 Krzęcin";320204;"gm. Krzęcin";"choszczeński";"zachodniopomorskie";1;1;79;22;79
1;"Szkoła Podstawowa im. Mikołaja Kopernika w Pełczycach, ul. ks. kan. Henryka Raźniewskiego 3, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;410;173;553
2;"Szkoła Podstawowa w Lubianie, Lubiana 6, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;89;29;97
3;"Świetlica Wiejska w Sarniku, Sarnik 9, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;99;39;108
4;"Szkoła Podstawowa im. Jana Pawła II w Będargowie, Będargowo 14, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;142;53;141
5;"Świetlica Wiejska w Boguszynach, Boguszyny 5, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;90;39;97
6;"Świetlica Wiejska w Nadarzynie, Nadarzyn 24A, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;116;28;56
7;"Świetlica Wiejska w Płotnie, Płotno 32, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;73;22;80
8;"Świetlica Wiejska w Bolewicach, Bolewice 11A, 73-260 Bolewice";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;36;20;37
9;"Świetlica Wiejska w Chrapowie, Chrapowo 9A, 73-260 Chrapowo";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;86;32;62
10;"Świetlica Wiejska w Jagowie, Jagów 17A, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;56;12;40
11;"Świetlica Wiejska w Jarosławsku, Jarosławsko 48, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;79;29;124
12;"Świetlica Wiejska w Przekolnie, Przekolno 49, 73-260 Pełczyce";320205;"gm. Pełczyce";"choszczeński";"zachodniopomorskie";1;1;109;23;43
1;"Miejsko Gminny Ośrodek Kultury i Sportu, ul. Ratuszowa 27, 73-210 Recz";320206;"gm. Recz";"choszczeński";"zachodniopomorskie";1;1;300;136;421
2;"Miejsko Gminny Ośrodek Kultury i Sportu, ul. Ratuszowa 27, 73-210 Recz";320206;"gm. Recz";"choszczeński";"zachodniopomorskie";1;1;274;76;297
3;"Świetlica Wiejska w Lubieniowie, Lubieniów 27a/8, 73-210 Recz";320206;"gm. Recz";"choszczeński";"zachodniopomorskie";1;1;114;49;104
4;"Świetlica Wiejska w Sokolińcu, Sokoliniec 32, 73-210 Recz";320206;"gm. Recz";"choszczeński";"zachodniopomorskie";1;1;223;57;133
5;"Świetlica Wiejska w Nętkowie, Nętkowo 13, 73-210 Recz";320206;"gm. Recz";"choszczeński";"zachodniopomorskie";1;1;70;27;53
1;"Budynek Szkoły Podstawowej, ul. Słoneczna 27, 78-550 Czaplinek";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;333;172;665
2;"Czaplinecki Ośrodek Kultury, ul. Pławieńska 1a, 78-550 Czaplinek";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;193;107;480
3;"Szkoła Podstawowa, ul. Wałecka 49, 78-550 Czaplinek";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;167;112;409
4;"Przedszkole Publiczne, ul. Grunwaldzka 5b, 78-550 Czaplinek";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;271;104;392
5;"Świetlica wiejska, Sikory 34, 78-550 Czaplinek";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;256;133;337
6;"Sala wiejska, Siemczyno 63, 78-551 Siemczyno";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;147;47;141
7;"Sala wiejska, ul. Białego Orła 25, 78-552 Kluczewo";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;160;96;212
8;"Świetlica wiejska, Broczyno 33, 78-553 Broczyno";320301;"gm. Czaplinek";"drawski";"zachodniopomorskie";1;1;182;102;167
1;"Placówka Wsparcia Dziennego, ul. gen. Władysława Sikorskiego 23, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;122;40;396
2;"Świetlica Samorządu Mieszkańców Nr 2 w Drawsku Pomorskim, ul. Aleksandra Gierymskiego 3, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;158;92;330
3;"Przedszkole w Drawsku Pomorskim, ul. Obrońców Westerplatte 47 - 49, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;137;72;420
4;"Szkoła Podstawowa nr 1 w Drawsku Pomorskim, ul. Obrońców Westerplatte 13, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;134;75;280
5;"Przedszkole w Drawsku Pomorskim, ul. Obrońców Westerplatte 47 - 49, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;162;42;313
6;"Placówka Wsparcia Dziennego, ul. gen. Władysława Sikorskiego 23, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;134;76;342
7;"Nadleśnictwo Drawsko w Drawsku Pomorskim, ul. Starogrodzka 30, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;178;66;423
8;"Przedszkole w Drawsku Pomorskim, ul. Bolesława Chrobrego 4a, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;185;59;371
9;"Szkoła Podstawowa Nr 2 w Drawsku Pomorskim, ul. Dworcowa 2A, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;139;64;296
10;"Zespół Szkół Ponadgimnazjalnych w Drawsku Pomorskim Liceum Ogólnokształcące, ul. Złocieniecka 25, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;186;64;277
11;"Szkoła Podstawowa w Mielenku Drawskim, Mielenko Drawskie 47, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;73;70;188
12;"Świetlica Wiejska w Zarańsku, Zarańsko 1, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;123;38;117
13;"Szkoła Podstawowa w Nętnie, Nętno 38, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;112;54;174
14;"Świetlica Wiejska w Suliszewie, Suliszewo 70A, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;105;59;145
15;"Szkoła Podstawowa w Ostrowicach, Ostrowice 3, 78-506 Ostrowice";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;147;43;163
16;"Świetlica Wiejska w Gudowie, Gudowo 6, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;149;49;132
17;"Świetlica Wiejska w Jankowie, Jankowo 4, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;81;54;93
18;"Świetlica Wiejska w Łabędziach, Łabędzie 52, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;72;29;60
19;"Świetlica Wiejska w Zagoździe, Zagozd 52A, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;33;19;70
20;"Szpital im. Matki Teresy z Kalkuty w Drawsku Pomorskim, ul. Bolesława Chrobrego 4, 78-500 Drawsko Pomorskie";320302;"gm. Drawsko Pomorskie";"drawski";"zachodniopomorskie";1;1;12;1;18
1;"Świetlica, ul. Dworcowa 51, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;157;79;265
2;"Nadleśnictwo, ul. Aleja prof. Leona Mroczkiewicza 1, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;115;68;250
3;"Świetlica Wiejska, Cybowo 5a, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;32;16;33
4;"Pałac, ul. Wolności 31, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;191;88;302
5;"Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Toruńska 9, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;139;54;276
6;"Szkoła Podstawowa, Pomierzyn 10, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;157;85;123
7;"Świetlica Wiejska, Biały Zdrój 66, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;112;47;114
8;"Świetlica Wiejska, Dębsko 44, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;36;21;46
9;"Świetlica Wiejska, Suchowo 4, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;70;42;62
10;"Świetlica Wiejska, Giżyno 35, 78-540 Kalisz Pomorski";320303;"gm. Kalisz Pomorski";"drawski";"zachodniopomorskie";1;1;70;33;83
1;"Zespół Szkół, Świerczyna 85, 78-531 Świerczyna";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;237;78;174
2;"Świetlica Wiejska, ul. Plac Orła Białego 4, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;67;44;97
3;"Szkoła Podstawowa, ul. Długa 26a, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;187;94;227
4;"Sala Wiejska ""Lasek Arkoński"", ul. Parkowa 7, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;164;52;168
5;"Sala Wiejska, Osiek Drawski 11A, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;76;32;65
6;"Sala Wiejska, Żabinek 34, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;57;22;80
7;"Zakład Karny Wierzchowo, ul. Szkolna 8, 78-530 Wierzchowo";320305;"gm. Wierzchowo";"drawski";"zachodniopomorskie";1;1;58;83;238
1;"Zakład Gospodarki Mieszkaniowej Sp. z o. o., ul. Piaskowa 1, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;159;65;298
2;"Przedszkole, ul. Stefana Okrzei 4, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;153;54;260
3;"Szkola Podstawowa nr 1, ul. Fryderyka Chopina 10, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;182;77;260
4;"Szkoła Podstawowa Nr 1, ul. Fryderyka Chopina 10, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;178;79;226
5;"Biblioteka Publiczna, ul. Obrońców Westerplatte 3, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;226;59;270
6;"Spółdzielnia Mieszkaniowa ""Postęp"", ul. Obrońców Westerplatte 3, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;347;129;539
7;"Szkoła Podstawowa Nr 1, ul. I Dywizji Wojska Polskiego 4, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;183;82;300
8;"Sala Widowiskowa, ul. Wolności 6, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;170;70;203
9;"Urząd Miejski, ul. Stary Rynek 3, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;324;142;531
10;"Szkoła Podstawowa Nr 3, ul. Czwartaków 2, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;129;80;252
11;"Świetlica Wiejska, Bobrowo 14, 78-520 Złocieniec";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;69;15;44
12;"Świetlica Wiejska, Stare Worowo 7, 78-523 Drawsko Pomorskie";320306;"gm. Złocieniec";"drawski";"zachodniopomorskie";1;1;128;60;173
