"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ŻEBROWSKA Alicja - KW PRAWO I SPRAWIEDLIWOŚĆ";"BODNAR Adam Piotr - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
807;"Szkoła Podstawowa nr 77, ul. Samogłoska 9, 01-980 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;341;927
808;"Szkoła Podstawowa nr 77, ul. Samogłoska 9, 01-980 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;377;1319
809;"Przedszkole z Oddziałami Integracyjnymi nr 309, ul. Hansa Christiana Andersena 7, 01-893 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;423;1079
810;"MDK, ul. Hansa Christiana Andersena 4, 01-911 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;521;1225
811;"Bielański Ośrodek Kultury, ul. Carla Goldoniego 1, 01-913 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;396;910
812;"Szkoła Podstawowa nr 209, al. Aleja Władysława Reymonta 25, 01-840 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;323;730
813;"Zespół Szkół nr 49, ul. Lwa Tołstoja 2, 01-910 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;797;1988
814;"Zespół Szkół nr 49, ul. Lwa Tołstoja 2, 01-910 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;528;2093
815;"Przedszkole nr 340, ul. Wojciecha Bogusławskiego 8A, 01-923 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;451;980
816;"Przedszkole nr 340, ul. Wojciecha Bogusławskiego 8A, 01-923 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;469;1329
817;"Żłobek nr 74, ul. Wojciecha Bogusławskiego 5, 01-923 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;487;1425
818;"Szkoła Podstawowa nr 273-Szkoła Filialna, ul. Arkuszowa 202, 01-934 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;602;1364
1146;"Szpital Bielański im. Ks. J. Popiełuszki SPZOZ, ul. Cegłowska 80, 01-809 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;63;130
1147;"Stołeczne Centrum Opiekuńczo-Lecznicze Sp. z o. o. , Zakład Opiekuńczo-Leczniczy, ul. Szubińska 4, 01-958 Warszawa";146504;"Bielany";"Warszawa";"mazowieckie";1;1;15;9
1;"Zespół Szkół Licealnych i Ekonomicznych nr 1, ul. Stawki 10, 00-178 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;320;1596
2;"Zespół Szkół Poligraficznych, ul. Stawki 14, 00-178 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;243;1115
3;"Szkoła Podstawowa Nr 32, ul. Niska 5, 00-179 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;393;897
4;"Szkoła Podstawowa nr 32, ul. Dow Bera Meiselsa 1, 00-190 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;591;1493
5;"CPS-Ośrodek Wsparcia i Rehabilitacji Osób Niepełnosprawnych, ul. gen. Władysława Andersa 6/8, 00-201 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;594;1540
6;"Centrum Pomocy Społecznej Dział Wsparcia Społecznego, ul. Świętojerska 12A, 00-236 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;317;841
7;"Centrum Pomocy Społecznej, ul. Konwiktorska 3/5, 00-217 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;380;713
8;"Zespół Szkół Specjalnych nr 105 im. Kazimierza Kirejczyka, ul. Długa 9, 00-238 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;381;923
9;"Pałac Ślubów, pl. Plac Zamkowy 6, 00-277 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;473;971
10;"Szkoła Podstawowa nr 210, ul. Karmelicka 13, 00-163 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;553;1367
11;"V Liceum Ogólnokształcące, ul. Nowolipie 8, 00-150 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;513;1132
12;"Zespół Szkół Specjalnych nr 85, ul. Elektoralna 12/14, 00-139 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;524;1441
13;"Szkoła Podstawowa nr 220, al. Aleja Jana Pawła II 26A, 00-133 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;488;1409
14;"Szkoła Podstawowa nr 75, ul. Niecała 14, 00-098 Warszawa";146510;"Śródmieście";"Warszawa";"mazowieckie";1;1;308;859
