"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BARCZYK Kamil Sebastian - KW BEZPARTYJNI SAMORZĄDOWCY";"WITKOWSKI Waldemar Włodzimierz - KW NOWA LEWICA";"ŚLUSARZ Rafał Józef - KW PRAWO I SPRAWIEDLIWOŚĆ"
3;"Świetlica wiejska w Różyńcu, Różyniec 41B, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;58;75;77
4;"Szkoła Podstawowa w Modle, Modła 76, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;69;81;118
5;"Świetlica wiejska w Osłej, Osła 46A, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;94;80;76
6;"Świetlica wiejska w Krzyżowej, Krzyżowa 49, 59-706 Gromadka";20103;"gm. Gromadka";"bolesławiecki";"dolnośląskie";1;1;103;90;129
1;"Szkoła Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;178;121;187
2;"Szkoła Podstawowa im. Jana Pawła II w Gierałtowie, Gierałtów 47, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;129;144;203
3;"Budynek byłej Szkoły Podstawowej w Godzieszowie, Godzieszów 97, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;75;108;112
4;"Szkoła Podstawowa im. Jana Pawła II w Gościszowie, Gościszów 152, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;209;146;319
5;"Świetlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;208;191;262
6;"Szkoła Podstawowa im. Józefa Piłsudskiego w Nowej Wsi, Nowa Wieś 26a, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;103;92;103
7;"Szkoła Podstawowa im. Bolesława Chrobrego w Nowogrodźcu, ul. Henryka Sienkiewicza 8, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;308;306;449
8;"Gminne Centrum Kultury i Sportu w Nowogrodźcu, ul. Lubańska 42a, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;312;315;356
9;"Budynek nr 63 w Parzycach (były Ośrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;179;130;144
10;"Świetlica Wiejska w Wykrotach, Wykroty ul. Główna 27, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;279;246;379
11;"Świetlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;214;222;230
12;"Sala spotkań, Kierżno 37, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;59;33;40
13;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowogrodźcu, ul. Lubańska 16, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;1;1;5
14;"Dom Pomocy Społecznej w Nowogrodźcu, ul. Cicha 4, 59-730 Nowogrodziec";20104;"gm. Nowogrodziec";"bolesławiecki";"dolnośląskie";1;1;3;2;7
1;"Centrum Aktywności Społecznej w Tomisławiu, Tomisław 62A, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;182;141;191
2;"Gminny Ośrodek Sportu i Rekreacji w Osiecznicy, ul. Lubańska 29B, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;266;321;239
3;"Świetlica Wiejska w Przejęsławiu, Przejęsław 10a, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;92;69;81
4;"Świetlica Wiejska w Ławszowej, Ławszowa 81, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;110;74;126
5;"Świetlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;163;152;146
6;"Centrum Aktywności Społecznej w Ołoboku, Ołobok 62A, 59-724 Osiecznica";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;42;52;51
7;"Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów";20105;"gm. Osiecznica";"bolesławiecki";"dolnośląskie";1;1;215;313;213
1;"Wiejski Dom Kultury, Warta Bolesławiecka 29B, 59-720 Warta Bolesławiecka";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;221;163;177
2;"Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;217;224;159
3;"Świetlica Wiejska, Raciborowice Górne 196, 59-720 Raciborowice Górne";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;172;168;250
4;"Zespół Szkolno-Przedszkolny, Iwiny-Osiedle 60, 59-720 Iwiny";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;190;206;218
5;"Świetlica Wiejska, Szczytnica 34A, 59-720 Szczytnica";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;191;190;197
6;"Kino „Kujawy”, Raciborowice Dolne 61, 59-720 Raciborowice Dolne";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;97;86;117
7;"Świetlica Wiejska, Wartowice 37, 59-720 Wartowice";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;61;46;79
8;"Świetlica Wiejska, Lubków 8B, 59-720 Lubków";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;59;49;77
9;"Świetlica Wiejska, Jurków 48A, 59-720 Jurków";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;39;28;86
10;"Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki";20106;"gm. Warta Bolesławiecka";"bolesławiecki";"dolnośląskie";1;1;135;142;130
1;"Szkoła Podstawowa nr 2 im. Europejskich Dróg Świętego Jakuba, ul. Rybacka 16, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;228;417;248
2;"Galeria Łużycka-Tret, ul. Rynek-Sukiennice 38, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;175;393;295
3;"Szkoła Podstawowa nr 1 im. Tadeusza Kościuszki w Lubaniu, ul. Adama Mickiewicza 1, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;424;775;528
4;"Zespół Szkół Ponadpodstawowych im. Adama Mickiewicza w Lubaniu, ul. Władysława Łokietka 2, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;366;954;688
5;"Przedszkole Miejskie nr 5 im. Juliana Tuwima, ul. Mieszka II 1, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;126;354;210
6;"Szkoła Podstawowa nr 4 im. Kawalerów Orderu Uśmiechu w Lubaniu, ul. Mikołaja Kopernika 15, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;414;810;452
7;"Żłobek Miejski, ul. Różana 1, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;376;750;478
8;"Miejski Dom Kultury, ul. Tadeusza Kościuszki 4, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;122;225;177
9;"Przedszkole Miejskie nr 1 w Lubaniu, ul. Skalnicza 3, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;142;221;146
10;"Niepubliczny Zakład Opieki Zdrowotnej Łużyckie Centrum Medyczne w Lubaniu Sp. z o. o., ul. Zawidowska 4, 59-800 Lubań";21001;"m. Lubań";"lubański";"dolnośląskie";1;1;4;5;10
1;"Miejska Biblioteka Publiczna, ul. Marii Skłodowskiej-Curie 2, 59-850 Świeradów-Zdrój";21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";1;1;159;404;278
2;"Miejski Zespół Szkół, ul. Marii Skłodowskiej-Curie 2, 59-850 Świeradów-Zdrój";21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";1;1;152;393;186
3;"Miejski Zespół Szkół, ul. Marii Skłodowskiej-Curie 2, 59-850 Świeradów-Zdrój";21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";1;1;143;282;139
4;"Szkoła Podstawowa Nr 2, ul. Sanatoryjna 3, 59-850 Świeradów-Zdrój";21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";1;1;106;218;182
5;"Uzdrowisko Świeradów-Czerniawa Sp. z o. o. Grupa PGU Szpital Centrum Rehabilitacji i Reumatologii ""Goplana"", ul. Marszałka Józefa Piłsudskiego 33, 59-850 Świeradów-Zdrój";21002;"m. Świeradów-Zdrój";"lubański";"dolnośląskie";1;1;4;4;10
1;"Ośrodek Kultury i Sportu, ul. Elizy Orzeszkowej 5a, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;184;307;326
2;"Miejsko-Gminny Ośrodek Pomocy Społecznej w Leśnej, ul. Tadeusza Kościuszki 7, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;243;417;327
3;"Szkoła Podstawowa im. J. Pawła II w Smolniku, Smolnik 52, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;115;173;124
4;"Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Hetmańska 3, 59-814 Pobiedna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;157;283;248
5;"Remiza OSP wraz z pomieszczeniami świetlicy w Świeciu, Świecie 200, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;70;91;89
6;"Świetlica Wiejska w Szyszkowej, Szyszkowa 65, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;116;158;155
7;"Świetlica OSP w Złotnikach Lubańskich, Złotniki Lubańskie 43, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;48;91;77
8;"Remiza OSP Grabiszyce, Grabiszyce Górne 111, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;67;132;118
9;"Świetlica Wiejska w Miłoszowie, Miłoszów 2, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;93;131;107
10;"Budynek byłej Szkoły Podstawowej, Stankowice 67, 59-820 Leśna";21003;"gm. Leśna";"lubański";"dolnośląskie";1;1;50;52;72
1;"Świetlica wiejska w Henrykowie Lubańskim, Henryków Lubański 375A, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;117;113;133
2;"Świetlica wiejska w Kościelniku, Kościelnik 18A, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;156;226;197
3;"Świetlica wiejska w Mściszowie, Mściszów 86, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;45;65;58
4;"Świetlica wiejska w Radogoszczy, Radogoszcz 62, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;69;86;79
5;"Świetlica wiejska w Nawojowie Łużyckim, Nawojów Łużycki 76, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;92;110;108
6;"Remiza OSP Pisarzowice, Pisarzowice 274A, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;240;310;251
7;"Świetlica wiejska w Radostowie Średnim, Radostów Średni 24A, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;152;196;161
8;"Sołtysówka, ul. Różana 18, 59-800 Lubań";21004;"gm. Lubań";"lubański";"dolnośląskie";1;1;84;163;95
1;"Szkoła Podstawowa Nr 1 w Olszynie, ul. Wolności 17B, 59-830 Olszyna";21005;"gm. Olszyna";"lubański";"dolnośląskie";1;1;247;440;309
2;"Gminny Ośrodek Kultury, ul. Wolności 20D, 59-830 Olszyna";21005;"gm. Olszyna";"lubański";"dolnośląskie";1;1;251;467;366
3;"Świetlica Wiejska, Biedrzychowice 24B, 59-830 Olszyna";21005;"gm. Olszyna";"lubański";"dolnośląskie";1;1;150;259;234
4;"Świetlica Wiejska, Grodnica 44, 59-830 Olszyna";21005;"gm. Olszyna";"lubański";"dolnośląskie";1;1;40;84;98
5;"Świetlica Wiejska, Olszyna Dolna 25A, 59-830 Olszyna";21005;"gm. Olszyna";"lubański";"dolnośląskie";1;1;54;54;40
1;"Szkoła Podstawowa im. Emilii Plater w Platerówce, Platerówka 213, 59-816 Platerówka";21006;"gm. Platerówka";"lubański";"dolnośląskie";1;1;120;162;185
2;"Szkoła Podstawowa im. Emilii Plater w Platerówce, Włosień 207, 59-816 Platerówka";21006;"gm. Platerówka";"lubański";"dolnośląskie";1;1;91;155;176
1;"Dom Kultury w Siekierczynie, Siekierczyn 1, 59-818 Siekierczyn";21007;"gm. Siekierczyn";"lubański";"dolnośląskie";1;1;283;369;401
2;"Szkoła Podstawowa w Zarębie, Zaręba ul. Szkolna 2, 59-800 Lubań";21007;"gm. Siekierczyn";"lubański";"dolnośląskie";1;1;257;396;334
3;"Świetlica Opiekuńczo-Wychowawcza w Rudzicy, Rudzica 135, 59-818 Siekierczyn";21007;"gm. Siekierczyn";"lubański";"dolnośląskie";1;1;51;65;125
4;"Zakład Karny w Zarębie, Zaręba ul. Leśna 4, 59-800 Lubań";21007;"gm. Siekierczyn";"lubański";"dolnośląskie";1;1;77;118;74
1;"Szkoła Podstawowa nr 2 im. Kombatantów Ziemi Gryfowskiej, ul. Uczniowska 11, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;148;276;217
2;"Szkoła Podstawowa nr 1 im. Bohaterów Łużyckiej Brygady WOP, ul. Uczniowska 17, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;170;348;251
3;"Klub Seniora, ul. Kolejowa 45, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;193;428;310
4;"Urząd Gminy i Miasta, rynek Rynek 1, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;173;291;272
5;"Szkoła Podstawowa, Rząsiny 95, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;61;85;122
6;"Stowarzyszenie na Rzecz Osób Niepełnosprawnych „Mocni”, Ubocze 169, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;133;208;305
7;"Świetlica wiejska, Krzewie Wielkie 83, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;26;35;79
8;"Świetlica wiejska, Młyńsko 27A, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;38;45;49
9;"Świetlica wiejska, Proszówka 70, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;41;52;46
10;"Świetlica wiejska, Wieża 8, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;56;101;54
11;"Powiatowe Centrum Zdrowia Sp. z o. o. w Lwówku Śląskim-Szpital im. Hugona Kołłątaja w Gryfowie Śląskim, ul. Rzeczna 25, 59-620 Gryfów Śląski";21201;"gm. Gryfów Śląski";"lwówecki";"dolnośląskie";1;1;5;11;8
1;"Internat Zespołu Szkół w Lubomierzu, pl. Kościelny 5, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;164;375;354
2;"Szkoła Podstawowa w Pławnej, Pławna Górna 23, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;91;158;134
3;"Zespół Szkolno-Przedszkolny w Lubomierzu Oddział Przedszkolny w Pasieczniku, Pasiecznik 92, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;66;111;132
4;"Świetlica Wiejska w Chmieleniu, Chmieleń 80, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;107;140;157
5;"Świetlica Wiejska w Wojciechowie, Wojciechów 57, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;101;122;115
6;"Świetlica Wiejska w Olesznej Podgórskiej, Oleszna Podgórska 67A, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;50;55;100
7;"Świetlica Wiejska w Golejowie, Golejów 71, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;31;48;31
8;"PJ-MED Szpital Rehabilitacyjny w Popielówku, Popielówek 1, 59-623 Lubomierz";21202;"gm. Lubomierz";"lwówecki";"dolnośląskie";1;1;21;33;43
1;"Ratusz, pl. Wolności 1, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;223;463;366
2;"Hala Sportowa, al. Wojska Polskiego 1, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;106;249;158
3;"Zespół Szkół Ogólnokształcących i Zawodowych, ul. Henryka Brodatego 1, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;178;309;148
4;"Lwówecki Ośrodek Kultury, ul. Przyjaciół Żołnierza 5, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;142;242;154
5;"Szkoła Podstawowa nr 1, ul. Jana Pawła II 35, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;271;610;346
6;"Szkoła Podstawowa nr 3, ul. Pałacowa 11, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;157;247;177
7;"Lwówecka Biblioteka Publiczna Filia w Sobocie, Sobota 51, 59-600 Lwówek Śląski";21203;"gm. Lwówek Śląski";"lwówecki";"dolnośląskie";1;1;117;166;180
