"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BODNAR Włodzimierz - KW BEZPARTYJNI SAMORZĄDOWCY";"GOLBA Mieczysław Józef - KW PRAWO I SPRAWIEDLIWOŚĆ";"LASEK Dariusz Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WOŚ Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"DRAPAK Maria Halina - KWW RDIP"
25;"Świetlica wiejska w Dźwiniaczu Dolnym, Dźwiniacz Dolny 37, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;19;43;15;54;5
26;"Świetlica wiejska w Liskowatem, Liskowate 98, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;27;29;6;14;5
27;"Świetlica wiejska w Stańkowej, Stańkowa 35, 38-711 Ropienka";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;19;62;6;23;0
28;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Ustrzykach Dolnych, ul. 29 Listopada 57, 38-700 Ustrzyki Dolne";180108;"gm. Ustrzyki Dolne";"bieszczadzki";"podkarpackie";1;1;9;18;1;13;1
1;"Szkoła Podstawowa Nr 6, ul. Spytka z Jarosławia 2, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;103;327;57;219;13
2;"Szkoła Podstawowa Nr 11, ul. Ignacego Kraszewskiego 39, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;143;383;65;271;10
3;"Przedsiębiorstwo Wodociągów i Kanalizacji w Jarosławiu Sp. z o. o., ul. Hetmana Jana Tarnowskiego 28, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;130;409;63;266;9
4;"Przedsiębiorstwo Wodociągów i Kanalizacji w Jarosławiu Sp. z o. o., ul. Zamkowa 1, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;133;407;68;220;21
5;"Zespół Szkół Budowlanych i Ogólnokształcących, ul. Józefa Poniatowskiego 23, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;127;371;40;278;10
6;"Szkoła Podstawowa Nr 1, ul. 3-go Maja 30, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;129;323;54;221;10
7;"Szkoła Podstawowa Nr 10, os. Słoneczne 7, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;136;388;43;261;9
8;"Zespół Placówek Oświatowo-Wychowawczych, ul. Władysława Reymonta 1, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;135;301;49;255;7
9;"Miejskie Przedszkole Nr 8, os. Słoneczne 6, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;140;299;54;235;10
10;"Miejskie Przedszkole Nr 10, os. Osiedle Kombatantów 22, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;136;324;32;235;18
11;"Miejskie Przedszkole Nr 10, os. Osiedle Kombatantów 22, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;121;283;44;147;10
12;"Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 15, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;174;373;63;344;15
13;"Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 15, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;175;364;65;346;14
14;"Miejski Żłobek ""Radosny Zakątek"", ul. Ignacego Kraszewskiego 1, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;161;380;67;341;12
15;"Szkoła Podstawowa Nr 2, ul. im. Jana Pawła II 26, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;215;430;69;415;19
16;"Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy, os. Osiedle im. Wincentego Witosa 18, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;189;389;76;320;14
17;"Szkoła Podstawowa Nr 4, ul. Żeromskiego 4, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;170;393;58;303;10
18;"Szkoła Podstawowa Nr 11, ul. Ignacego Kraszewskiego 39, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;191;439;80;354;16
19;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. im. Jana Pawła II 30, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;179;492;65;319;10
20;"Miejskie Przedszkole Nr 12, al. Aleja im. pułkownika Wojciecha Szczepańskiego 2, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;209;303;73;341;16
21;"Dzienny Dom ""Senior+"", ul. Dolnoleżajska 16, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;225;660;100;241;11
22;"Centrum Opieki Medycznej w Jarosławiu, ul. 3-go Maja 70, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;9;58;7;14;3
23;"Specjalistyczny Psychiatryczny Zakład Opieki Zdrowotnej im. prof. Antoniego Kępińskiego w Jarosławiu, ul. Tadeusza Kościuszki 18, 37-500 Jarosław";180401;"m. Jarosław";"jarosławski";"podkarpackie";1;1;7;130;19;19;8
1;"Szkoła Podstawowa im. Bohaterów Września 1939r., ul. Adama Mickiewicza 4, 37-550 Radymno";180402;"m. Radymno";"jarosławski";"podkarpackie";1;1;149;458;98;219;16
2;"Zespół Szkół Ogólnokształcących, Zawodowych i Rolniczych, ul. Złota Góra 13, 37-550 Radymno";180402;"m. Radymno";"jarosławski";"podkarpackie";1;1;82;264;38;120;5
3;"Przedszkole Samorządowe, ul. Kazimierza Wielkiego 4, 37-550 Radymno";180402;"m. Radymno";"jarosławski";"podkarpackie";1;1;177;667;104;259;18
1;"Szkoła Podstawowa w Chłopicach, Chłopice 192A, 37-561 Chłopice";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;60;342;30;61;5
2;"Świetlica Wiejska Łowce-Bojanówka, Łowce 102, 37-554 Łowce";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;77;364;46;87;5
3;"Świetlica Wiejska Dobkowice, Dobkowice 185A, 37-554 Łowce";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;36;317;34;26;4
4;"Świetlica Wiejska Boratyn, Boratyn 172, 37-561 Chłopice";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;60;265;43;65;4
5;"Świetlica Wiejska Jankowice, Jankowice 176, 37-561 Chłopice";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;37;281;41;59;3
6;"Świetlica Wiejska, Zamiechów 111, 37-554 Łowce";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;25;172;26;27;3
7;"Świetlica Wiejska w Lutkowie, Lutków 71, 37-554 Łowce";180403;"gm. Chłopice";"jarosławski";"podkarpackie";1;1;19;86;3;21;2
1;"Świetlica w Koniaczowie, Koniaczów 47, 37-500 Jarosław";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;96;221;33;109;11
2;"Świetlica w Kostkowie, Kostków 56A, 37-511 Wólka Pełkińska";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;47;179;27;28;3
3;"Świetlica w Makowisku, Makowisko 25A, 37-500 Jarosław";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;82;291;55;94;9
4;"Świetlico-remiza w Morawsku, Morawsko 203 a, 37-514 Munina";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;64;307;34;57;8
5;"Świetlica przy Szkole Podstawowej w Muninie, ul. 3-go Maja 93, 37-514 Munina";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;208;590;97;257;18
6;"Dom Kultury w Pełkiniach, Pełkinie 143, 37-511 Wólka Pełkińska";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;148;523;79;153;11
7;"Świetlica w Sobiecinie, Sobiecin 25A, 37-500 Jarosław";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;55;113;19;80;4
8;"Szkoła Podstawowa w Surochowie, Surochów 67A, 37-500 Jarosław";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;91;291;27;86;7
9;"Szkoła Podstawowa w Tuczempach, Tuczempy ul. Jana Pawła II 11, 37-514 Munina";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;169;468;71;148;13
10;"Świetlica w Woli Buchowskiej, Wola Buchowska 93D, 37-511 Wólka Pełkińska";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;28;253;36;41;4
11;"Szkoła Podstawowa w Wólce Pełkińskiej, Wólka Pełkińska 137B, 37-511 Wólka Pełkińska";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;99;477;63;93;10
12;"Świetlica Wiejska w Zgodzie, Zgoda 25A, 37-500 Jarosław";180404;"gm. Jarosław";"jarosławski";"podkarpackie";1;1;17;69;22;16;3
1;"Świetlica Wiejska Bobrówka, Bobrówka 21, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;24;190;16;35;1
2;"Świetlica Wiejska w Charytanach, Charytany 41, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;28;106;9;13;3
3;"Szkoła Podstawowa Korzenica, Korzenica 1, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;35;173;31;47;0
4;"Świetlica Wiejska w Laszkach, Laszki 39, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;63;319;25;74;3
5;"Szkoła Podstawowa Laszki, Laszki 280, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;74;301;20;75;5
6;"Szkoła Podstawowa Miękisz Nowy, Miękisz Nowy 100, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;42;229;44;61;6
7;"Świetlica Wiejska Miękisz Stary, Miękisz Stary 35, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;29;186;22;28;4
8;"Świetlica Wiejska Tuchla, Tuchla 22, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;19;92;10;13;0
9;"Świetlica Wiejska Wietlin, Wietlin 31a, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;63;229;34;41;7
10;"Świetlica Wiejska Wietlin Trzeci, Wietlin Trzeci 42A, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;21;126;13;35;2
11;"Świetlica Wiejska Wysocko, Wysocko 40A, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;30;127;13;49;7
12;"Dom Pomocy Społecznej w Wysocku, Wysocko 2B, 37-543 Laszki";180405;"gm. Laszki";"jarosławski";"podkarpackie";1;1;7;11;1;2;1
1;"Świetlica Wiejska w Pawłosiowie, Pawłosiów 88, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;160;522;79;199;18
2;"Zespół Szkół w Pawłosiowie, Pawłosiów 87, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;161;400;69;235;3
3;"Dom Kultury w Kidałowicach, Kidałowice 115, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;47;182;31;49;7
4;"Dom Kultury w Maleniskach, Maleniska 61, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;52;165;17;82;4
5;"Świetlica Wiejska w Szczytnej, Szczytna 12, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;33;85;12;33;2
6;"Szkoła Podstawowa w Tywoni, Tywonia 30, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;97;144;19;84;3
7;"Centrum Kultury w Cieszacinie Wielkim, Cieszacin Wielki 201D, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;85;282;39;75;5
8;"Remizo-Świetlica w Cieszacinie Małym, Cieszacin Mały 57, 37-205 Zarzecze";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;12;102;13;17;2
9;"Szkoła Podstawowa w Wierzbnej, Wierzbna 2, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;95;341;50;134;13
10;"Centrum Kultury w Ożańsku, Ożańsk 30B, 37-500 Jarosław";180406;"gm. Pawłosiów";"jarosławski";"podkarpackie";1;1;35;153;20;46;2
1;"Świetlica wiejska w Hawłowicach, Hawłowice 55, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;31;143;22;31;5
2;"Szkoła Podstawowa w Jodłówce, Jodłówka 222, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;83;505;65;49;12
3;"Szkoła Podstawowa w Kramarzówce, Kramarzówka 98, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;60;735;50;37;2
4;"Centrum Kultury, Sportu i Turystyki w Pruchniku, ul. Księdza Bronisława Markiewicza 20, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;185;737;126;213;12
5;"Szkoła Podstawowa nr 2 w Pruchniku Górnym, ul. Świętego Floriana 17, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;35;323;29;19;8
6;"Szkoła Podstawowa w Rozborzu Długim, Rozbórz Długi 104, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;42;207;38;84;9
7;"Szkoła Podstawowa w Świebodnej, Świebodna 19, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;19;139;27;29;2
8;"Remiza Ochotniczej Straży Pożarnej w Rzeplinie, Rzeplin 50, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;21;117;14;18;3
9;"Remiza Ochotniczej Straży Pożarnej w Jodłówce Parcelacji, Jodłówka 358 a, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;19;124;19;20;6
10;"Remiza Ochotniczej Straży Pożarnej w Rozborzu Okrągłym, Rozbórz Okrągły 59B, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;23;152;18;16;1
11;"Szkoła Podstawowa nr 1 w Pruchniku Dolnym, ul. Księdza Bronisława Markiewicza 22, 37-560 Pruchnik";180407;"gm. Pruchnik";"jarosławski";"podkarpackie";1;1;35;212;28;33;5
1;"Budynek Szkoły w Chotyńcu, Chotyniec 114, 37-552 Młyny";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;88;214;23;42;2
2;"Budynek Wielofunkcyjny w Młynach, Młyny 57, 37-552 Młyny";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;38;147;22;13;6
3;"Budynek Szkoły w Duńkowicach, Duńkowice 20, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;54;339;47;58;13
4;"Świetlica Wiejska w Michałówce, Michałówka 14, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;30;115;24;21;0
5;"Budynek Szkoły w Korczowej, Korczowa 52, 37-552 Młyny";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;31;197;13;21;5
6;"Budynek Szkoły w Łazach, Łazy 53, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;53;268;37;37;8
7;"Budynek Szkoły w Nienowicach, Nienowice 122, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;44;188;43;44;5
8;"Budynek Szkoły w Ostrowie, Ostrów 139, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;77;573;76;81;7
9;"Budynek Szkoły w Skołoszowie, Skołoszów ul. Franciszkańska 53, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;102;490;89;136;13
10;"Budynek Szkoły w Sośnicy, ul. Kolejowa 1, 37-555 Sośnica";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;105;381;46;101;10
11;"Budynek Szkoły w Świętem, Święte 30, 37-555 Sośnica";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;110;329;67;70;6
12;"Budynek Szkoły w Zabłotcach, Zabłotce 74, 37-550 Radymno";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;39;220;27;31;6
13;"Dom Pomocy Społecznej w Moszczanach, Moszczany 1, 37-543 Laszki";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;8;6;2;0;1
14;"Dom Pomocy Społecznej w Sośnicy, ul. Zamkowa 10, 37-555 Sośnica";180408;"gm. Radymno";"jarosławski";"podkarpackie";1;1;5;5;0;3;1
1;"Szkoła Podstawowa w Czelatycach, Czelatyce 2, 37-562 Rokietnica";180409;"gm. Rokietnica";"jarosławski";"podkarpackie";1;1;26;196;25;33;8
2;"Szkoła Podstawowa w Rokietnicy, Rokietnica 108, 37-562 Rokietnica";180409;"gm. Rokietnica";"jarosławski";"podkarpackie";1;1;138;472;66;90;12
3;"Świetlica Wiejska w Tapinie, Tapin 111, 37-562 Rokietnica";180409;"gm. Rokietnica";"jarosławski";"podkarpackie";1;1;22;127;18;24;8
4;"Świetlica Środowiskowa w Tuligłowach, Tuligłowy 19A, 37-562 Rokietnica";180409;"gm. Rokietnica";"jarosławski";"podkarpackie";1;1;34;238;30;37;9
5;"Szkoła Podstawowa w Rokietnicy Woli, Rokietnica 525, 37-562 Rokietnica";180409;"gm. Rokietnica";"jarosławski";"podkarpackie";1;1;47;346;27;42;7
1;"Szkoła Podstawowa im. Orląt Lwowskich w Roźwienicy, Roźwienica 200, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;63;196;38;86;4
2;"Wiejski Dom Kultury w Rudołowicach, Rudołowice 21a, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;78;385;41;61;4
3;"Wiejski Dom Kultury w Woli Roźwienickiej, Wola Roźwienicka 49A, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;15;206;19;19;6
4;"Wiejski Dom Kultury w Cząstkowicach, Cząstkowice 106, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;42;123;19;37;4
5;"Wiejski Dom Kultury w Bystrowicach, Bystrowice 78A, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;28;144;24;45;3
6;"Wiejski Dom Kultury w Tyniowicach, Tyniowice 1A, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;34;166;16;41;1
7;"Szkoła Podstawowa im Marii Skłodowskiej-Curie w Węgierce, Węgierka 220, 37-560 Pruchnik";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;29;304;29;36;1
8;"Szkoła Podstawowa im Św. Stanisława Kostki w Woli Węgierskiej, Wola Węgierska 122, 37-560 Pruchnik";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;29;239;22;17;4
9;"Wiejski Dom Kultury w Mokrej, Mokra 100, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;26;72;21;49;2
10;"Wiejski Dom Kultury w Czudowicach, Czudowice 36, 37-560 Pruchnik";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;8;71;17;15;2
11;"Wiejski Dom Kultury w Więckowicach, Więckowice 33A, 37-565 Roźwienica";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;14;64;13;14;1
12;"Wiejski Dom Kultury w Chorzowie, Chorzów 23, 37-560 Pruchnik";180410;"gm. Roźwienica";"jarosławski";"podkarpackie";1;1;11;92;16;16;1
1;"Dom Kultury w Wiązownicy, ul. Warszawska 15/1, 37-522 Wiązownica";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;155;836;63;134;10
2;"Świetlica Wiejska w Manasterzu, Manasterz 59, 37-522 Wiązownica";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;43;243;36;30;6
3;"Świetlica Wiejska w Radawie, ul. Cicha 2, 37-523 Radawa";180411;"gm. Wiązownica";"jarosławski";"podkarpackie";1;1;48;180;11;72;5
