"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CZERWIŃSKI Jerzy - KW PRAWO I SPRAWIEDLIWOŚĆ";"FABIJANIAK Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JARMUZIEWICZ Tadeusz - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
5;"Szkoła Podstawowa w Nowakach, Nowaki 45, 48-314 Pakosławice";160708;"gm. Pakosławice";"nyski";"opolskie";1;1;95;25;46
6;"Świetlica w Reńskiej Wsi, Reńska Wieś 9E, 48-314 Pakosławice";160708;"gm. Pakosławice";"nyski";"opolskie";1;1;123;33;67
1;"Szkoła Podstawowa w Skoroszycach (sala Nr 20), ul. Braterstwa Broni 9, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;240;53;109
2;"Szkoła Podstawowa w Chróścinie (sala Nr 4), Chróścina ul. Szkolna 1, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;203;67;195
3;"Szkoła Podstawowa w Sidzinie, Sidzina ul. Radziechowska 3, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;316;81;142
4;"Świetlica Wiejska, Makowice 20, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;117;42;103
5;"Szkoła Podstawowa w Chróścinie (świetlica szkolna), Chróścina ul. Szkolna 1, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;102;31;114
6;"Szkoła Podstawowa w Skoroszycach (świetlica szkolna), ul. Braterstwa Broni 9, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;364;113;274
7;"Świetlica Wiejska w Brzezinach, Brzeziny 62, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;94;23;52
8;"Świetlica Wiejska w Starym Grodkowie, Stary Grodków 64, 48-320 Skoroszyce";160709;"gm. Skoroszyce";"nyski";"opolskie";1;1;106;28;108
1;"Zespół Szkolno-Przedszkolny, (Szkoła Podstawowa), ul. Tysiąclecia 16, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;125;68;221
2;"Urząd Miejski, rynek Rynek 10, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;134;45;173
3;"Gminne Centrum Kultury, ul. Prudnicka 35, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;69;55;176
4;"Wiejskie Centrum Kultury i Rekreacji, Chrzelice 177, 48-220 Łącznik";161001;"gm. Biała";"prudnicki";"opolskie";1;1;74;47;101
5;"Remiza OSP, ul. Sportowa 2a, 48-220 Łącznik";161001;"gm. Biała";"prudnicki";"opolskie";1;1;206;102;302
6;"Remiza OSP, Pogórze 160a, 48-220 Łącznik";161001;"gm. Biała";"prudnicki";"opolskie";1;1;130;65;123
7;"Remiza OSP, Grabina 62, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;78;45;68
8;"Świetlica Wiejska, Ligota Bialska 12, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;68;51;45
9;"Szkoła Podstawowa, Śmicz 106, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;82;27;73
10;"Sala Samorządu Mieszkańców, Olbrachcice 69a, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;54;34;76
11;"Sala Samorządu Mieszkańców, Gostomia 82c, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;34;33;110
12;"Sala Samorządu Mieszkańców, Rostkowice 37, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;37;32;87
13;"Remiza OSP, Nowa Wieś Prudnicka 51b, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;80;48;108
14;"Sala Samorządu Mieszkańców, Solec 36, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;58;19;82
15;"Sala Samorządu Mieszkańców, Prężyna 70a, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;44;21;67
16;"Sala Samorządu Mieszkańców, Kolnowice 76, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;104;29;68
17;"Świetlica Wiejska w Brzeźnicy, Brzeźnica 10, 48-220 Łącznik";161001;"gm. Biała";"prudnicki";"opolskie";1;1;26;21;53
18;"Świetlica Wiejska w Radostyni, Radostynia 12a, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;51;28;66
19;"Zespół Opieki Zdrowotnej w Białej-Szpital im. Świętej Elżbiety, ul. Moniuszki 8, 48-210 Biała";161001;"gm. Biała";"prudnicki";"opolskie";1;1;23;8;11
1;"Świetlica Oracze, ul. Głubczycka 45A, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;150;82;240
2;"Centrum Kultury w Głogówku, ul. Batorego 10, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;332;131;535
3;"Strzelnica Sportowa, ul. Winiary 1, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;83;48;184
4;"Ośrodek Pomocy Społecznej, al. Lipowa 6B, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;210;99;322
5;"Szkoła Podstawowa, Racławice Śląskie ul. Zwycięstwa 21, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;308;82;259
6;"Straż Pożarna, Dzierżysławice 21, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;66;28;62
7;"Świetlica, Mochów 84, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;53;27;93
8;"Straż Pożarna, Wierzch 107, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;61;29;77
9;"Świetlica, Golczowice 2, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;64;18;54
10;"Świetlica, Kierpień 80A, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;55;45;113
11;"Przedszkole, Szonów 33, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;192;61;65
12;"Świetlica, Kazimierz 99, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;102;31;61
13;"Szkoła Podstawowa, Biedrzychowice 110, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;80;55;136
14;"Przedszkole, Stare Kotkowice ul. Sudecka 27, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;71;53;108
15;"Świetlica, Wróblin 47a, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;36;28;74
16;"Szkoła Podstawowa, Twardawa ul. Kozielska 6, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;128;68;232
17;"Świetlica w Mionowie, Mionów 23A, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;29;24;48
18;"Świetlica w Rzepczu, Rzepcze 19, 48-250 Głogówek";161002;"gm. Głogówek";"prudnicki";"opolskie";1;1;25;16;75
1;"Niepubliczna Szkoła Podstawowa w Dytmarowie, Dytmarów 1a/1, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;85;47;120
2;"Świetlica Wiejska, Jasiona 2A, 48-200 Prudnik";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;58;23;52
3;"Klub w Krzyżkowicach, Krzyżkowice 49/6, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;30;12;52
4;"Urząd Gminy w Lubrzy-świetlica na parterze, ul. Wolności 73, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;189;85;235
5;"Remiza Ochotniczej Straży Pożarnej, Nowy Browiniec 10, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;66;36;85
6;"Wiejski Dom Kultury, Olszynka 36b, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;106;39;41
7;"Wiejski Dom Kultury, Prężynka 2, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;107;20;45
8;"Wiejski Dom Kultury, Skrzypiec 34, 48-231 Lubrza";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;96;29;83
9;"Remiza Ochotniczej Straży Pożarnej, Trzebina 125, 48-200 Prudnik";161003;"gm. Lubrza";"prudnicki";"opolskie";1;1;199;70;164
1;"Zespół Szkół Medycznych, ul. Piastowska 26, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;321;102;327
2;"Środowiskowy Dom Samopomocy, ul. Parkowa 6, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;268;65;346
3;"Powiatowe Centrum Pomocy Rodzinie w Prudniku, ul. Kościuszki 55 A, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;277;106;520
4;"Szkolne Schronisko Młodzieżowe, ul. Dąbrowskiego 26, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;189;64;312
5;"Świetlica Spółdzielni Mieszkaniowej, ul. Kardynała Stefana Wyszyńskiego 1a, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;258;66;312
6;"Centrum Tradycji Tkackich, ul. Królowej Jadwigi 23, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;216;53;230
7;"Publiczna Szkoła Podstawowa Nr 1, ul. Armii Krajowej 1, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;272;94;284
8;"Specjalny Ośrodek Szkolno-Wychowawczy, ul. Młyńska 1, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;322;130;286
9;"Miejska i Gminna Biblioteka Publiczna, ul. Mickiewicza 1, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;257;94;280
10;"Powiatowe Centrum Kształcenia Praktycznego, ul. Prężyńska 3 - 5 - 7, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;257;99;330
11;"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Podgórna 5, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;280;77;321
12;"Szkoła Podstawowa Nr 1, ul. Podgórna 9, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;309;79;337
13;"Publiczne Przedszkole Nr 6, ul. Podgórna 9a, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;306;99;339
14;"Kompleks Sportowy na osiedlu Jesionowe Wzgórze, ul. Podgórna 7, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;340;83;308
15;"Szkoła Podstawowa, Moszczanka 166, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;286;75;190
16;"Szkoła Podstawowa, Rudziczka 266, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;216;60;147
17;"Centrum Sportowe, Niemysłowice 131a, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;196;40;102
18;"Wiejski Dom Kultury w Łące Prudnickiej, Łąka Prudnicka ul. Nad Złotym Potokiem 52, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;327;138;289
19;"Wiejski Dom Kultury, Mieszkowice 145, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;132;31;39
20;"Szkoła Podstawowa, Szybowice 72, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;319;64;109
21;"Wiejski Dom Kultury, Wierzbiec 5, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;29;10;36
22;"Wiejski Dom Kultury, Czyżowice 57, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;90;36;35
23;"Wiejski Dom Kultury, Piorunkowice 53, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;56;12;26
24;"Prudnickie Centrum Medyczne S. A., ul. Piastowska 64, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;1;5;1
25;"Dom Pomocy Społecznej w Prudniku, ul. Młyńska 11, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;23;2;2
26;"Zakład Karny w Nysie, Oddział Zewnętrzny w Prudniku, ul. Kościuszki 7, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;11;18;45
27;"Dom Św. Jana Bożego, ul. Piastowska 6, 48-200 Prudnik";161004;"gm. Prudnik";"prudnicki";"opolskie";1;1;3;1;9
