"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PAJĄK Andrzej Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"ŁUKAJCZYK Dawid - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRACZYK Piotr Paweł - KWW RDIP";"BURZYŃSKI Zbigniew Józef - KW WIS"
1;"Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Alwerni, ul. Marii Skłodowskiej-Curie 4, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;427;327;97;38;56
2;"Urząd Miejski w Alwerni, ul. Zbigniewa Gęsikowskiego 7, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;463;348;96;7;53
3;"Szkoła Podstawowa im. Henryka Sienkiewicza w Brodłach, Brodła ul. Edukacyjna 1, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;174;246;61;12;31
4;"Dom Ludowy w Grojcu, Grojec ul. Bartosza Głowackiego 13, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;268;329;70;24;35
5;"Szkoła Podstawowa im. Józefa Patelskiego w Kwaczale, Kwaczała ul. Jana Pawła II 2, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;374;405;107;26;68
6;"Dom Ludowy w Okleśnej, Okleśna ul. Nowowiejska 5, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;217;252;59;17;38
7;"Szkoła Podstawowa im. Stanisława Wyspiańskiego w Porębie-Żegoty, Poręba Żegoty ul. Szembeków 24, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;284;236;75;16;52
8;"Szkoła Podstawowa im. Tadeusza Kościuszki w Regulicach, Regulice ul. Aleja Jana Pawła II 10, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;493;433;89;36;74
9;"Świetlica Wiejska w Nieporazie, Nieporaz ul. Tenczyńska 51, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;149;90;26;4;17
10;"Dom Ludowy w Mirowie, Mirów ul. Karola Wojtyły 12, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;47;100;21;5;13
11;"Dom Ludowy w Podłężu, Podłęże ul. Radosna 2, 32-566 Alwernia";120301;"gm. Alwernia";"chrzanowski";"małopolskie";1;1;28;70;9;3;13
1;"Dom parafialny w Babicach, ul. dr. Jana Gołąba 2, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;385;374;91;10;47
2;"Dom Kultury w Jankowicach, Jankowice ul. Wadowicka 46, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;164;202;44;11;27
3;"Zespół Szkół w Mętkowie, Mętków ul. ks. Karola Wojtyły 21, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;241;478;64;17;37
4;"Przedszkole Samorządowe w Olszynach, Olszyny ul. Przedszkolna 4, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;182;237;57;18;25
5;"Budynek Ochotniczej Straży Pożarnej w Rozkochowie, Rozkochów ul. Chemików 2, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;166;183;56;24;25
6;"Dom Ludowy w Wygiełzowie, Wygiełzów ul. Lipowiecka 3, 32-551 Babice";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;236;123;40;13;20
7;"Przedszkole Samorządowe w Zagórzu, ul. Żelatowa 8, 32-555 Zagórze";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;151;116;30;9;12
8;"Szkoła Podstawowa w Zagórzu, ul. Marszałka Józefa Piłsudskiego 139, 32-555 Zagórze";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;306;238;79;22;45
9;"Szkoła Podstawowa w Zagórzu, ul. Marszałka Józefa Piłsudskiego 139, 32-555 Zagórze";120302;"gm. Babice";"chrzanowski";"małopolskie";1;1;295;199;71;20;45
1;"Miejski Ośrodek Kultury, Sportu i Rekreacji w Chrzanowie, ul. Władysława Broniewskiego 4, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;341;158;55;17;37
2;"Szkoła Podstawowa Nr 3 w Chrzanowie, ul. Aleja Henryka 43, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;315;163;34;19;32
3;"Szkoła Podstawowa Nr 3 w Chrzanowie, ul. Aleja Henryka 43, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;409;239;70;32;58
4;"Przedszkole Samorządowe Nr 5 w Chrzanowie, ul. Generała Tadeusza Kościuszki 27, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;385;170;54;24;48
5;"I Liceum Ogólnokształcące w Chrzanowie, ul. Marszałka Józefa Piłsudskiego 14, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;415;222;46;34;38
6;"I Liceum Ogólnokształcące w Chrzanowie, ul. Marszałka Józefa Piłsudskiego 14, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;619;269;77;27;61
7;"Przedszkole Samorządowe Nr 1 w Chrzanowie, ul. Śląska 74b, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;521;305;63;33;57
8;"Szkoła Podstawowa Nr 5 w Chrzanowie, ul. Fabryczna 23a, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;294;186;56;18;47
9;"Szkoła Podstawowa Nr 5 w Chrzanowie, ul. Fabryczna 23a, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;380;180;98;22;44
10;"Miejski Ośrodek Kultury, Sportu i Rekreacji w Chrzanowie, ul. Władysława Broniewskiego 4, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;445;352;72;27;53
11;"Szkoła Podstawowa Nr 1 w Chrzanowie, ul. Zielona 15, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;511;307;80;24;61
12;"Miejska Biblioteka Publiczna w Chrzanowie, ul. Władysława Broniewskiego 10C, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;560;307;88;28;54
13;"Miejska Biblioteka Publiczna w Chrzanowie, ul. Władysława Broniewskiego 10C, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;494;281;81;33;55
14;"Szkoła Podstawowa Nr 10 w Chrzanowie, ul. Kardynała Stefana Wyszyńskiego 19, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;273;133;34;26;28
15;"Szkoła Podstawowa Nr 10 w Chrzanowie, ul. Kardynała Stefana Wyszyńskiego 19, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;474;256;65;32;58
16;"Przedszkole Nr 10 w Chrzanowie, ul. Generała Władysława Sikorskiego 6, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;598;349;94;35;79
17;"Szkoła Podstawowa Nr 8 w Chrzanowie, ul. Pogorska 8c, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;394;280;65;30;34
18;"Przedszkole Samorządowe Nr 9 w Chrzanowie, ul. Brzezina 14, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;581;325;99;40;84
19;"Szkoła Podstawowa Nr 8 w Chrzanowie, ul. Pogorska 8c, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;531;312;78;43;54
20;"Przedszkole Samorządowe Nr 9 w Chrzanowie, ul. Brzezina 14, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;582;316;109;42;64
21;"Centrum Usług Socjalnych w Chrzanowie, ul. Kolonia Stella 11, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;135;112;32;14;28
22;"Przedszkole Samorządowe Nr 2 w Chrzanowie, ul. Dworska 2, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;982;533;159;55;103
23;"Szkoła Podstawowa w Balinie, Balin ul. Jaworznicka 139, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;416;319;98;27;51
24;"Szkoła Podstawowa w Balinie, Balin ul. Jaworznicka 139, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;465;381;95;34;64
25;"Szkoła Podstawowa w Luszowicach, Luszowice ul. Stanisława Przybyszewskiego 6, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;505;360;110;34;80
26;"Szkoła Podstawowa w Płazie, ul. Wiosny Ludów 2, 32-552 Płaza";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;417;388;109;25;55
27;"Szkoła Podstawowa w Płazie, ul. Wiosny Ludów 2, 32-552 Płaza";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;356;324;76;30;56
28;"Miejska Biblioteka Publiczna w Chrzanowie, Filia w Pogorzycach, Pogorzyce ul. Karola Szymanowskiego 47a, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;401;328;95;16;46
29;"Szpital Powiatowy w Chrzanowie, ul. Topolowa 16, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;47;51;12;6;4
30;"Powiatowy Dom Pomocy Społecznej im. Adama Starzeńskiego w Płazie, ul. Wiosny Ludów 4, 32-552 Płaza";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;7;7;1;2;6
31;"Zakład Opiekuńczo-Leczniczy w Chrzanowie, ul. Śląska 62a, 32-500 Chrzanów";120303;"gm. Chrzanów";"chrzanowski";"małopolskie";1;1;1;33;2;0;0
1;"Szkoła Podstawowa Nr 2 w Libiążu, pl. Plac Zwycięstwa 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;173;188;70;17;17
2;"Ochotnicza Straż Pożarna Moczydło w Libiążu, ul. Władysława Andersa 9, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;204;203;79;12;36
3;"Szkoła Podstawowa Nr 3 w Libiążu, ul. Świętej Barbary 5, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;262;253;46;12;34
4;"Libiąskie Centrum Kultury, ul. Górnicza 1, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;359;347;71;17;41
5;"Miejskie Centrum Medyczne w Libiążu, ul. 9 Maja 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;501;456;90;44;79
6;"Miejska Biblioteka Publiczna w Libiążu, ul. Górnicza 11, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;215;260;43;12;39
7;"Miejskie Centrum Medyczne w Libiążu, ul. 9 Maja 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;225;136;44;13;19
8;"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Libiążu, ul. Ignacego Paderewskiego 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;390;277;94;17;45
9;"Zespół Szkolno-Przedszkolny z Oddziałami Integracyjnymi w Libiążu, ul. Ignacego Paderewskiego 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;348;260;64;19;48
10;"Zespół Szkolno-Przedszkolny Nr 2 w Libiążu, ul. Szkolna 1, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;350;283;86;18;60
11;"Zespół Szkolno-Przedszkolny Nr 2 w Libiążu, ul. Szkolna 1, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;529;366;79;21;61
12;"Szkoła Podstawowa Nr 2 w Libiążu, pl. Plac Zwycięstwa 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;559;467;115;27;67
13;"Zespół Szkół w Żarkach, ul. Astronautów 3, 32-593 Żarki";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;408;527;108;29;47
14;"Dom Kultury w Żarkach, ul. Klubowa 6, 32-593 Żarki";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;303;517;112;28;47
15;"Zespół Szkolno-Przedszkolny w Gromcu, Gromiec ul. Husarska 2, 32-590 Libiąż";120304;"gm. Libiąż";"chrzanowski";"małopolskie";1;1;303;463;99;17;28
1;"Szkoła Podstawowa Nr 8 w Trzebini, os. Osiedle Widokowe 21, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;308;225;53;25;39
2;"Szkoła Podstawowa Nr 8 w Trzebini, os. Osiedle Widokowe 21, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;316;206;51;17;39
3;"Zespół Szkół Ekonomiczno-Chemicznych w Trzebini, ul. Głogowa 12, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;481;323;94;26;57
4;"Budynek gminy, rynek Rynek 18, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;349;175;53;18;37
5;"Dwór Zieleniewskich w Trzebini, ul. Marszałka Piłsudskiego 47a, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;408;257;88;25;65
6;"Powiatowy Młodzieżowy Dom Kultury w Trzebini, ul. Kościuszki 70, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;332;206;56;18;44
7;"Szkoła Podstawowa Nr 3 w Trzebini, ul. 1 Maja 60, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;371;239;101;22;47
8;"Dom Gromadzki w Trzebini, ul. 1 Maja 97, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;339;196;57;21;49
9;"Szkoła Podstawowa Nr 4 w Trzebini, ul. Styczniowa 47, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;132;133;43;12;38
10;"Zespół Szkół Techniczno-Usługowych w Trzebini, ul. Gwarków 3, 32-541 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;296;226;79;29;48
11;"Szkoła Podstawowa Nr 5 w Trzebini, ul. Jana III Sobieskiego 25, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;502;318;131;21;68
12;"Szkoła Podstawowa Nr 5 w Trzebini, ul. Jana III Sobieskiego 25, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;376;268;104;33;41
13;"Szkoła Podstawowa Nr 6 w Trzebini, os. Osiedle Gaj 39, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;318;275;91;29;57
14;"Szkoła Podstawowa Nr 6 w Trzebini, os. Osiedle Gaj 39, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;346;189;79;21;44
15;"Wiejski Dom Kultury w Czyżówce, Czyżówka ul. Szkolna 15, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;135;164;34;9;18
16;"Wiejski Dom Kultury w Płokach, ul. Główna 4, 32-543 Płoki";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;256;195;54;18;38
17;"Wiejski Dom Kultury w Lgocie, ul. Trzebińska 39, 32-543 Lgota";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;191;239;58;11;27
18;"Szkoła Podstawowa w Myślachowicach, ul. Trzebińska 15, 32-543 Myślachowice";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;604;362;115;53;88
19;"Szkoła Podstawowa w Psarach, ul. Szkolna 17, 32-545 Psary";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;326;296;76;27;49
20;"Wiejski Dom Kultury w Karniowicach, ul. Władysława Łokietka 34, 32-545 Karniowice";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;384;239;104;23;33
21;"Dom Strażaka w Dulowej, ul. Brata Alberta 5, 32-545 Dulowa";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;490;301;74;33;40
22;"Zespół Szkolno-Przedszkolny w Młoszowej, ul. Kamieniec 1, 32-540 Młoszowa";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;392;307;79;22;43
23;"Zespół Szkolno-Przedszkolny w Młoszowej, ul. Kamieniec 1, 32-540 Młoszowa";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;365;245;82;23;49
24;"Wiejski Dom Kultury w Pile Kościeleckiej, ul. Zielona 50, 32-540 Piła Kościelecka";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;285;156;56;18;26
25;"Szkoła Podstawowa w Bolęcinie, ul. Zakopiańska 14, 32-540 Bolęcin";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;472;371;132;38;68
26;"Zakład Karny w Trzebini, ul. Słowackiego 70, 32-540 Trzebinia";120305;"gm. Trzebinia";"chrzanowski";"małopolskie";1;1;97;31;36;7;27
1;"Środowiskowy Dom Samopomocy w Dobczycach, ul. Jagiellońska 2, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;439;488;128;27;48
2;"Przedszkole Samorządowe Nr 1 w Dobczycach, pl. Plac Zgody 9, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;499;521;154;35;82
3;"Regionalne Centrum Oświatowo-Sportowe w Dobczycach, ul. Szkolna 43, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;575;520;167;34;84
4;"Szkoła Podstawowa w Brzączowicach, Brzączowice 186, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;265;362;129;30;60
5;"Strażnica Ochotniczej Straży Pożarnej w Kornatce, Kornatka 312, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;176;357;70;7;28
6;"Szkoła Podstawowa w Stadnikach, Stadniki 148, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;98;228;55;8;17
7;"Szkoła Podstawowa w Dziekanowicach, Dziekanowice 48a, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;98;135;45;6;13
8;"Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 16, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;79;152;36;5;17
9;"Strażnica OSP w Stojowicach, Stojowice 130, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;149;203;54;7;21
10;"Ochotnicza Straż Pożarna w Bieńkowicach, Bieńkowice 122, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;87;163;49;10;10
11;"Ochotnicza Straż Pożarna w Brzezowej, Brzezowa 1, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;84;184;45;7;19
12;"Ochotnicza Straż Pożarna w Kędzierzynce, Kędzierzynka 96, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;86;123;39;7;13
13;"Ochotnicza Straż Pożarna w Rudniku, Rudnik 75, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;78;111;41;9;12
14;"Ochotnicza Straż Pożarna w Sierakowie, Sieraków 170, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;156;250;78;14;32
15;"Ochotnicza Straż Pożarna w Skrzynce, Skrzynka 133, 32-410 Dobczyce";120901;"gm. Dobczyce";"myślenicki";"małopolskie";1;1;94;201;59;9;17
1;"Szkoła Podstawowa w Lubniu, Lubień 513, 32-433 Lubień";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;306;580;130;17;42
2;"Urząd Gminy w Lubniu, Lubień 50, 32-433 Lubień";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;183;592;146;30;44
3;"Szkoła Podstawowa w Tenczynie, Tenczyn 171, 32-433 Lubień";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;198;840;168;64;40
4;"Szkoła Podstawowa w Krzeczowie, Krzeczów 174, 32-433 Lubień";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;107;311;59;7;14
5;"Szkoła Podstawowa w Skomielnej Białej, Skomielna Biała 1, 32-434 Skomielna Biała";120902;"gm. Lubień";"myślenicki";"małopolskie";1;1;385;864;236;25;69
1;"Szkoła Podstawowa Nr 1 w Myślenicach, ul. Jana Sobieskiego 1, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;873;521;155;27;57
2;"Szkoła Podstawowa Nr 3, ul. Dyrektora Stanisława Pardyaka 26, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;637;560;134;35;62
3;"Dom Ludowy w Myślenicach, ul. 3-ego Maja 56, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;398;475;120;25;46
4;"Centrum Aktywności Lokalnej, ul. Rynek 27, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;468;227;49;18;29
5;"Szkoła Podstawowa Nr 2 w Myślenicach, ul. Stefana Żeromskiego 2, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;502;335;86;32;50
6;"Myślenicki Ośrodek Kultury i Sportu, ul. Marszałka Józefa Piłsudskiego 20, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;623;330;88;33;49
7;"Przedszkole Samorządowe nr 2 w Myślenicach, ul. Kazimierza Wielkiego 123, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;824;591;160;27;52
8;"Zespół Szkolno-Przedszkolny w Myślenicach, ul. Zdrojowa 16a, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;465;286;83;19;56
9;"Cech Rzemiosł Różnych w Myślenicach, ul. Ogrodowa 1, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;553;475;110;36;60
10;"Szkoła Podstawowa w Bęczarce, Bęczarka 14, 32-444 Głogoczów";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;259;283;72;14;30
11;"Zespół Placówek Oświatowych w Bysinie, Bysina 284, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;158;519;105;11;27
12;"Zespół Placówek Oświatowych w Jasienicy, Jasienica 48, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;262;453;103;28;42
13;"Szkoła Podstawowa w Jaworniku, Jawornik 293, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;617;919;226;49;101
14;"Zespół Placówek Oświatowych w Borzęcie, Borzęta 368, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;355;400;115;22;55
15;"Zespół Placówek Oświatowych w Głogoczowie, Głogoczów 297, 32-444 Głogoczów";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;738;792;227;45;81
16;"Szkoła Podstawowa w Krzyszkowicach, Krzyszkowice 368, 32-445 Krzyszkowice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;531;808;202;20;51
17;"Szkoła Podstawowa w Polance, Polanka 71, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;246;292;99;19;20
18;"Szkoła Podstawowa w Zawadzie, Zawada 24, 32-445 Krzyszkowice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;299;435;103;17;21
19;"Zespół Placówek Oświatowych w Drogini, Droginia 20, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;258;392;93;8;27
20;"Zespół Placówek Oświatowych w Osieczanach, Osieczany 100, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;467;491;128;22;56
21;"Szkoła Podstawowa w Porębie, Poręba 16, 32-425 Trzemeśnia";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;205;352;54;14;28
22;"Szkoła Podstawowa w Trzemeśni, Trzemeśnia 250, 32-425 Trzemeśnia";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;459;625;163;32;62
23;"Szkoła Podstawowa w Zasani, Zasań 102, 32-425 Trzemeśnia";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;170;264;59;6;13
24;"Świetlica Wiejska w Łękach, Łęki 259, 32-425 Trzemeśnia";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;204;318;60;11;16
25;"lokal po byłej szkole, obecnie nieużytkowany, ul. Chełm 67, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;36;139;16;3;4
26;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Myślenicach, ul. Szpitalna 2, 32-400 Myślenice";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;8;9;3;0;1
27;"Dom Pomocy Społecznej ""Biały Potok"" w Trzemeśni, Trzemeśnia 377, 32-425 Trzemeśnia";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;11;16;3;2;0
28;"Dom Seniora ""Na Wzgórzu"" w Głogoczowie, Głogoczów 805, 32-444 Głogoczów";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;10;8;2;0;0
29;"Dom Seniora ""Pod Klonami"" w Głogoczowie, Głogoczów 832, 32-444 Głogoczów";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;18;5;0;7;6
30;"Dom Seniora ""Armada Clinic"" w Głogoczowie, Głogoczów 1036, 32-444 Głogoczów";120903;"gm. Myślenice";"myślenicki";"małopolskie";1;1;12;12;3;5;3
1;"Szkoła Podstawowa Nr 1 w Pcimiu, Pcim 599, 32-432 Pcim";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;301;672;115;22;41
2;"Przedszkole Samorządowe Nr 2 w Pcimiu, Pcim 564, 32-432 Pcim";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;276;457;82;29;42
3;"Szkoła Podstawowa Nr 3 w Pcimiu, Pcim 598, 32-432 Pcim";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;187;541;93;14;26
4;"Szkoła Podstawowa Nr 3 w Stróży, Stróża 168, 32-431 Stróża";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;163;430;97;14;50
5;"Szkoła Podstawowa Nr 1 w Stróży, Stróża 1, 32-431 Stróża";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;322;555;133;25;54
6;"Szkoła Podstawowa w Trzebuni, Trzebunia 444, 32-438 Trzebunia";120904;"gm. Pcim";"myślenicki";"małopolskie";1;1;318;761;164;39;48
