"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SPIECHOWICZ Mariusz Michał - KW BEZPARTYJNI SAMORZĄDOWCY";"SMELA Krzysztof - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAJER Ryszard Bogdan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FAJER Monika - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LASECKI Jarosław Wacław - KWW PAKT OBYWATELSKI LASECKI"
7;"Hala Sportowa przy Szkole Podstawowej Nr 2 w Koniecpolu, ul. Szkolna 17, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;78;545;630;102;238
8;"Remiza OSP w Okołowicach, Okołowice ul. Łanowa 5, 42-230 Koniecpol";240406;"gm. Koniecpol";"częstochowski";"śląskie";1;1;6;44;93;30;18
1;"Zespół Szkolno-Przedszkolny w Aleksandrii, Aleksandria Pierwsza ul. Gościnna 130, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;29;244;160;68;122
2;"Zespół Szkolno-Przedszkolny w Aleksandrii, Aleksandria Pierwsza ul. Gościnna 130, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;41;198;140;51;75
3;"Zespół Szkolno-Przedszkolny w Kopalni, Kopalnia ul. Szkolna 2, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;20;85;103;31;59
4;"Zespół Szkolno-Przedszkolny w Kopalni, Kopalnia ul. Szkolna 2, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;34;169;142;48;52
5;"Zespół Szkolno-Przedszkolny w Hutkach, Hutki 161, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;25;189;181;57;69
6;"Remiza OSP w Jamkach, Jamki 112, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;17;121;137;43;59
7;"Hala Sportowa w Konopiskach, ul. Sportowa 7A, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;35;336;224;67;154
8;"Hala Sportowa w Konopiskach, ul. Sportowa 7A, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;46;413;233;84;169
9;"Szkoła Podstawowa w Jamkach-Korzonku, Korzonek 4, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;17;101;124;28;54
10;"Szkoła Podstawowa w Łaźcu, Łaziec 66, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;7;80;91;30;36
11;"Zespół Szkolno-Przedszkolny w Rększowicach, Rększowice 78, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;34;170;195;54;64
12;"Dom Koła Gospodyń Wiejskich ""Wygodzianka"", Wygoda 17, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;19;124;97;33;51
13;"Ochotnicza Straż Pożarna Wąsosz-Łaziec, Wąsosz 12, 42-274 Konopiska";240407;"gm. Konopiska";"częstochowski";"śląskie";1;1;16;123;99;31;43
1;"Szkoła Podstawowa, ul. Pocztowa 2, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;30;221;269;51;100
2;"Zespół Szkolno-Przedszkolny, Lgota Mała ul. Szkolna 1/3, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;14;130;198;52;36
3;"Szkoła Podstawowa, Widzów ul. Żwirki i Wigury 16, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;32;200;252;66;61
4;"Szkoła Podstawowa, Jacków ul. Szkolna 3, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;24;144;190;68;52
5;"Świetlica wiejska, Teklinów ul. Długa 59, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;15;45;70;16;27
6;"Ochotnicza Straż Pożarna, Bogusławice ul. Kruszyńska 42, 42-282 Kruszyna";240408;"gm. Kruszyna";"częstochowski";"śląskie";1;1;8;104;126;24;38
1;"Remiza Ochotniczej Straży Pożarnej w Białej Wielkiej, Biała Wielka ul. Strażacka 14, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;13;70;121;21;51
2;"Dzienny Dom „Senior+"" w Drochlinie, Drochlin 73A, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;10;58;169;21;38
3;"Hala sportowa Zespołu Szkolno Przedszkolnego w Lelowie, ul. Szczekocińska 41, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;18;175;271;60;127
4;"Przedszkole w Nakle, Nakło 197, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;16;46;115;28;48
5;"Świetlica Wiejska w Podlesiu, Podlesie ul. Krótka 3, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;12;65;228;40;63
6;"Świetlica Wiejska w Staromieściu, Staromieście 26, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;12;51;174;21;31
7;"Wiejski Dom Kultury i Sportu w Turzynie, Turzyn 68, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;7;35;86;16;33
8;"Szkoła Podstawowa w Ślęzanach, Ślęzany 38, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;18;40;151;27;26
9;"Dom Pomocy Społecznej, ul. Szczekocińska 19, 42-235 Lelów";240409;"gm. Lelów";"częstochowski";"śląskie";1;1;2;29;21;1;2
1;"Urząd Gminy Mstów, ul. Gminna 14, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;55;229;214;52;118
2;"Zespół Szkolno-Przedszkolny im. Jana Pawła II w Jaskrowie, Jaskrów ul. Starowiejska 2, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;90;389;408;107;184
3;"Szkoła Podstawowa im. Tadeusza Kościuszki w Mstowie, Filia w Kucharach, Kuchary ul. Główna 18, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;24;167;200;70;102
4;"Szkoła Podstawowa w Mokrzeszy, Mokrzesz ul. Kościelna 24, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;18;108;203;43;114
5;"Szkoła Podstawowa im. Św. Huberta w Krasicach, Krasice ul. Strażacka 7, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;21;67;169;25;73
6;"Zespół Szkolno-Przedszkolny, Małusy Wielkie 19, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;19;112;146;31;92
7;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Brzyszowie, Brzyszów ul. Szkolna 2, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;18;76;124;33;55
8;"Szkoła Podstawowa im. Tadeusza Kościuszki w Mstowie, ul. Partyzantów 2, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;61;311;392;55;191
9;"Zespół Szkolno-Przedszkolny w Zawadzie, Zawada ul. Główna 18, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;25;90;268;58;117
10;"Publiczne Przedszkole w Siedlcu, Siedlec ul. Kazimierza Wielkiego 63, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;20;101;158;27;47
11;"Przedszkole w Kobyłczycach, Kobyłczyce 23, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;8;45;100;21;74
12;"Budynek komunalny, Srocko ul. Częstochowska 42, 42-244 Mstów";240410;"gm. Mstów";"częstochowski";"śląskie";1;1;22;74;121;34;38
1;"Zespół Szkolno-Przedszkolny w Lubojnie, Lubojna ul. Strażacka 20, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;26;353;354;46;46
2;"Szkoła Podstawowa w Czarnym Lesie, Czarny Las ul. Szkolna 6, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;46;474;276;64;56
3;"Szkoła Podstawowa w Starym Cykarzewie, ul. Szkolna 12, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;11;175;108;30;34
4;"Szkoła Podstawowa w Starym Broniszewie, Stary Broniszew ul. Kwiatowa 28, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;18;323;198;41;44
5;"Zespół Szkolno-Przedszkolny w Borownie, Borowno Kolonia ul. Klonowa 6/8, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;36;345;367;66;74
6;"Zespół Szkolno-Przedszkolny w Mykanowie, ul. Słoneczna 114, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;25;320;232;43;58
7;"Publiczna Szkoła Podstawowa SPSK w Rybnej, Rybna ul. Szkolna 5, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;18;178;193;36;36
8;"Szkoła Podstawowa w Radostkowie, Radostków-Kolonia ul. Szkolna 1, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;23;285;172;34;33
9;"Zespół Szkolno-Przedszkolny w Wierzchowisku, Wierzchowisko ul. Długa 110, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;33;677;186;66;108
10;"Przedszkole w Kuźnicy Kiedrzyńskiej, Kuźnica Kiedrzyńska ul. Wincentego Witosa 120, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;20;189;201;48;36
11;"Szkoła Podstawowa w Starym Kocinie, Stary Kocin ul. Kręta 91, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;6;144;77;15;22
12;"Świetlica wiejska, Wola Hankowska ul. Topolowa 4, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;12;83;86;19;21
13;"Świetlica strażacka w remizie OSP, Cykarzew Północny ul. Rumiankowa 16, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;14;299;174;40;41
14;"Świetlica wiejska, Grabówka ul. Cicha 24, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;9;88;66;8;4
15;"Świetlica wiejska, Grabowa ul. Jana Długosza 42, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;12;60;73;15;16
16;"Świetlica wiejska, Kokawa ul. Mikołaja Kopernika 14, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;8;121;141;20;40
17;"Świetlica wiejska, Lubojenka ul. Główna 3, 42-233 Mykanów";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;12;138;129;20;11
18;"Świetlica wiejska, Nowy Kocin ul. Prosta 113, 42-231 Stary Cykarzew";240411;"gm. Mykanów";"częstochowski";"śląskie";1;1;1;102;81;13;9
1;"Szkoła Podstawowa w Biskupicach, Biskupice ul. Szkolna 4, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;44;190;197;51;129
2;"Szkoła Podstawowa w Kusiętach, Kusięta 208, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;39;232;256;42;107
3;"Urząd Gminy Olsztyn, pl. Plac im. marszałka Józefa Piłsudskiego 10, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;83;603;417;160;330
4;"Szkoła Podstawowa w Turowie, Turów ul. Szkolna 12, 42-256 Olsztyn";240412;"gm. Olsztyn";"częstochowski";"śląskie";1;1;25;129;186;44;110
