"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GOGACZ Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIETRAS Artur Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RAJCHEL Jan Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
4;"Szkoła Podstawowa w Rudnie, Rudno ul. Spacerowa 110, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;429;102;153
5;"Budynek Świetlicy Wiejskiej w Gołębiu, Gołąb 76, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;108;41;45
6;"Remiza Ochotniczej Straży Pożarnej w Giżycach, Giżyce 63, 21-140 Michów";60808;"gm. Michów";"lubartowski";"lubelskie";1;1;123;13;22
1;"lokal Szkoły Podstawowej, Niedźwiada-Kolonia 42, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;337;122;138
2;"lokal Szkoły Podstawowej, Brzeźnica Bychawska 123, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;415;122;130
3;"lokal Szkoły Podstawowej, Tarło 103, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;302;84;115
4;"lokal Szkoły Podstawowej, Pałecznica 81, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;289;83;97
5;"lokal Szkoły Podstawowej, Brzeźnica Książęca 24, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;400;106;85
6;"lokal Szkoły Podstawowej, Górka Lubartowska 66, 21-104 Niedźwiada";60809;"gm. Niedźwiada";"lubartowski";"lubelskie";1;1;258;77;105
1;"Szkoła Podstawowa, ul. Partyzantów 26, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;405;125;234
2;"Szkoła Podstawowa, ul. Partyzantów 26, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;255;52;91
3;"Szkoła Podstawowa, Kaznów-Kolonia 26, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;172;42;43
4;"Szkoła Podstawowa, Kolechowice 125, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;264;80;72
5;"Szkoła Podstawowa, Rozkopaczew 34, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;408;121;163
6;"Środowiskowy Dom Samopomocy w Jamach, Jamy 29, 21-110 Ostrów Lubelski";60810;"gm. Ostrów Lubelski";"lubartowski";"lubelskie";1;1;124;29;16
1;"Remiza Ochotniczej Straży Pożarnej, Dębica 63, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;215;33;28
2;"Świetlica wiejska, Tarkawica 114A, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;193;41;50
3;"Świetlica wiejska, Luszawa 76, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;141;32;47
4;"Szkoła Podstawowa im. Bohaterów Monte Cassino, Ostrówek-Kolonia 3, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;288;91;105
5;"Remiza Ochotniczej Straży Pożarnej, Kamienowola 43A, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;126;48;43
6;"Szkoła Podstawowa im. Dywizjonu 301, Leszkowice 12A, 21-102 Ostrówek";60811;"gm. Ostrówek";"lubartowski";"lubelskie";1;1;222;89;80
1;"Szkoła Podstawowa im. Marii Konopnickiej w Woli Sernickiej, Wola Sernicka 242, 21-107 Serniki";60812;"gm. Serniki";"lubartowski";"lubelskie";1;1;391;93;142
2;"Szkoła Podstawowa im. Jana Kochanowskiego w Nowej Woli, Nowa Wola 95, 21-107 Serniki";60812;"gm. Serniki";"lubartowski";"lubelskie";1;1;361;90;76
3;"Szkoła Podstawowa im. Jana Pawła II w Brzostówce, Brzostówka 88, 21-107 Serniki";60812;"gm. Serniki";"lubartowski";"lubelskie";1;1;369;90;103
4;"Świetlica Wiejska, Serniki-Kolonia 51G, 21-107 Serniki";60812;"gm. Serniki";"lubartowski";"lubelskie";1;1;362;124;168
5;"Publiczna Szkoła Podstawowa w Nowej Wsi, Nowa Wieś 76, 21-107 Serniki";60812;"gm. Serniki";"lubartowski";"lubelskie";1;1;197;70;50
1;"Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego, Stary Uścimów 43, 21-109 Stary Uścimów";60813;"gm. Uścimów";"lubartowski";"lubelskie";1;1;288;94;112
2;"Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego, Stary Uścimów 43, 21-109 Uścimów";60813;"gm. Uścimów";"lubartowski";"lubelskie";1;1;279;81;100
3;"Szkoła Podstawowa w Nowej Jedlance, Nowa Jedlanka 1, 21-109 Stary Uścimów";60813;"gm. Uścimów";"lubartowski";"lubelskie";1;1;223;68;109
4;"Remiza OSP, Krasne 148, 21-109 Stary Uścimów";60813;"gm. Uścimów";"lubartowski";"lubelskie";1;1;146;42;75
1;"Przedszkole Miejskie nr 2, ul. Józefa Piłsudskiego 18, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;240;81;267
2;"Szkoła Podstawowa Nr 3, ul. Stanisława Konarskiego 3, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;427;109;280
3;"Szkoła Podstawowa nr 5, ul. Siedlecka 56, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;436;138;326
4;"Szkoła Podstawowa nr 5, ul. Siedlecka 56, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;433;115;322
5;"Przedszkole Integracyjne nr 1, ul. Ks. dr Mariana Bednarczyka 3, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;357;102;301
6;"Agencja Restrukturyzacji i Modernizacji Rolnictwa Biuro Powiatowe, ul. Przemysłowa 15, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;278;92;344
7;"Urząd Miasta Łuków, ul. Józefa Piłsudskiego 17, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;449;126;328
8;"Zespół Szkół nr 1, al. Tadeusza Kościuszki 10, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;393;97;279
9;"Szkoła Podstawowa Nr 4 z Oddziałami Integracyjnymi, ul. 11 Listopada 20, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;410;106;285
10;"Szkoła Podstawowa Nr 4 z Oddziałami Integracyjnymi, ul. 11 Listopada 20, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;297;73;226
11;"Łukowski Ośrodek Kultury, ul. ks. kard. Stefana Wyszyńskiego 20, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;333;66;200
12;"Powiatowy Urząd Pracy, ul. Józefa Piłsudskiego 14, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;271;86;225
13;"Zespół Szkół nr 2, ul. Warszawska 88, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;366;140;256
14;"Zakład Gospodarki Lokalowej, ul. Warszawska 24, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;307;83;290
15;"Szkoła Policealna-Medyczne Studium Zawodowe, ul. Adama Antoniego Kryńskiego 10, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;291;82;301
16;"Zespół Szkolno-Przedszkolny, ul. Partyzantów 15, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;339;67;271
17;"Przedsiębiorstwo Usług i Inżynierii Komunalnej, ul. Partyzantów 6b, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;274;66;261
18;"Szkoła Podstawowa Nr 2 Oddziałami Dwujęzycznymi, ul. Cieszkowizna 13, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;365;139;312
19;"Przedsiębiorstwo Energetyki Cieplnej, ul. Świderska 42, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;475;191;486
20;"Zespół Szkolno-Przedszkolny, ul. Stasia i Nel 2, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;396;115;263
21;"Zespół Szkolno-Przedszkolny, ul. Stasia i Nel 2, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;394;109;271
22;"SP ZOZ w Łukowie, ul. Doktora Andrzeja Rogalińskiego 3, 21-400 Łuków";61101;"m. Łuków";"łukowski";"lubelskie";1;1;70;13;13
1;"Urząd Miasta, ul. Pl. T. Kościuszki 1, 21-450 Stoczek Łukowski";61102;"m. Stoczek Łukowski";"łukowski";"lubelskie";1;1;450;110;280
2;"Zespół Oświatowy w Stoczku Łukowskim, pl. Plac Wielgoska Stanisława 5, 21-450 Stoczek Łukowski";61102;"m. Stoczek Łukowski";"łukowski";"lubelskie";1;1;288;75;229
1;"Gminna Biblioteka Publiczna w Adamowie, ul. gen. Franciszka Kleeberga 5c, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;660;164;320
2;"Zespół Szkół im. Gen. Franciszka Kleeberga, Wola Gułowska 60, 21-481 Wola Gułowska";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;431;118;196
3;"Świetlica wiejska w Gułowie, Gułów 48A, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;139;34;54
4;"Szkoła Podstawowa w Zakępiu, Zakępie 17A, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;119;23;41
5;"Świetlica wiejska w Lipinach, Lipiny 44, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;83;17;23
6;"Budynek komunalny Hordzieżka Nr 60, Hordzieżka 60, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;126;20;27
7;"Świetlica wiejska w Żurawcu, Żurawiec 19, 21-412 Adamów";61103;"gm. Adamów";"łukowski";"lubelskie";1;1;115;23;37
1;"Zespół Szkół w Okrzei, ul. Szkolna 2, 21-480 Okrzeja";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;480;117;120
2;"Zespół Szkół w Woli Okrzejskiej, Wola Okrzejska ul. Henryka Sienkiewicza 96, 21-480 Okrzeja";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;254;82;76
3;"Gminna Biblioteka Publiczna Filia w Hucie Dąbrowie, Huta-Dąbrowa ul. Hutnicza 22, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;643;158;209
4;"Świetlica wiejska w Radoryżu Smolanym, Radoryż Smolany 92, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;125;29;44
5;"Zespół Szkół w Fiukówce, Fiukówka 9, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;268;96;120
6;"Zespół Szkół w Krzywdzie, ul. Osiedlowa 5, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;617;250;287
7;"Świetlica Wiejska w Szczałbie, Szczałb 8, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;81;19;14
8;"Szkoła Podstawowa w Radoryżu Kościelnym, Radoryż Kościelny 42, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;105;31;43
9;"Świetlica wiejska w Cisowniku, Cisownik 18, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;179;50;31
10;"Świetlica wiejska w Hucie Radoryskiej, Huta Radoryska 9, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;101;28;13
11;"Świetlica wiejska w Drożdżaku, Drożdżak 21A, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;134;35;31
12;"Świetlica wiejska w Zimnej Wodzie, Zimna Woda 41C, 21-470 Krzywda";61104;"gm. Krzywda";"łukowski";"lubelskie";1;1;132;38;38
1;"Szkoła Podstawowa z oddziałem przedszkolnym w Aleksandrowie, Aleksandrów 51, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;217;57;59
2;"Zespół Szkół w Dąbiu, Dąbie 83C, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;298;77;87
3;"Zespół Szkół w Gołąbkach, Gołąbki 33, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;262;68;96
4;"Zespół Szkół w Gręzówce, Gręzówka 41, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;549;132;136
5;"Zespół Szkół w Krynce, Krynka 250, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;523;140;136
6;"Zespół Szkół w Gołaszynie, Gołaszyn 29, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;297;104;170
7;"Przedszkole ""Baśniowy Dworek"" w Łazach, Łazy 383, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;344;122;244
8;"Szkoła Filialna w Turzych Rogach, Turze Rogi 50, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;185;58;68
9;"Zespół Szkół w Czerśli, Czerśl 1, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;169;48;47
10;"Zespół Szkół w Strzyżewie, Strzyżew 128, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;268;67;57
11;"Zespół Szkół w Świdrach, Świdry 99, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;362;139;179
12;"Zespół Szkół w Rolach, Role 114, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;169;52;49
13;"Zespół Szkół w Zalesiu, Zalesie 141, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;360;101;108
14;"Zespół Szkolno-Przedszkolny w Zarzeczu Łukowskim, Zarzecz Łukowski 54, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;104;13;14
15;"Świetlica wiejska w Sulejach, Suleje 54, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;172;34;38
16;"Świetlica wiejska w Biardach, Biardy 37, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;158;32;34
17;"Świetlica wiejska w Dmininie, Dminin 52B, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;101;33;32
18;"Świetlica wiejska w Jeziorach, Jeziory 15A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;56;26;34
19;"Świetlica wiejska w Karwaczu, Karwacz 2, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;139;39;53
20;"Świetlica wiejska w Kownatkach, Kownatki 20, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;112;18;22
21;"Świetlica wiejska w Ławkach, Ławki 19A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;136;43;75
22;"Świetlica wiejska w Ryżkach, Ryżki 32A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;260;82;145
23;"Świetlica wiejska w Sięciaszce Drugiej, Sięciaszka Druga 51A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;107;36;20
24;"Świetlica wiejska w Sięciaszce Pierwszej, Sięciaszka Pierwsza 65C, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;217;54;77
25;"Remiza Ochotniczej Straży Pożarnej w Szczygłach Górnych, Szczygły Górne 12A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;86;22;15
26;"Świetlica wiejska w Wólce Świątkowej, Wólka Świątkowa 18A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;180;45;75
27;"Świetlica wiejska w Żdżarach, Żdżary 13A, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;121;62;49
28;"Dom Pomocy Społecznej w Ryżkach, Ryżki 75, 21-400 Łuków";61105;"gm. Łuków";"łukowski";"lubelskie";1;1;17;1;2
1;"Świetlica w Charlejowie, Charlejów 57, 21-413 Serokomla";61106;"gm. Serokomla";"łukowski";"lubelskie";1;1;184;35;37
2;"Szkoła Podstawowa w Krzówce, Krzówka 37, 21-413 Serokomla";61106;"gm. Serokomla";"łukowski";"lubelskie";1;1;130;46;41
