"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KURZAWA Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"GRODZKI Tomasz Paweł - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
6;"Szkoła Podstawowa, Przecław 27C, 72-005 Przecław";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;181;985
7;"Świetlica wiejska, Kurów 39, 72-001 Kołbaskowo";321102;"gm. Kołbaskowo";"policki";"zachodniopomorskie";1;1;133;397
1;"Urząd Gminy, pl. Zwycięstwa 1, 72-022 Nowe Warpno";321103;"gm. Nowe Warpno";"policki";"zachodniopomorskie";1;1;175;400
2;"Świetlica, Brzózki 26a, 72-022 Nowe Warpno";321103;"gm. Nowe Warpno";"policki";"zachodniopomorskie";1;1;81;170
1;"Szkoła Filialna w Pilchowie, ul. Szczecińska 1a, 72-004 Tanowo";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;254;785
2;"Świetlica Sołecka, Trzeszczyn ul. Kościuszki 34a, 72-004 Tanowo";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;48;97
3;"Szkoła Podstawowa im. Jerzego Noskiewicza, ul. Szczecińska 31, 72-004 Tanowo";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;300;876
4;"Szkoła Podstawowa z Oddziałami Przedszkolnymi, ul. Wkrzańska 19a, 72-020 Trzebież";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;376;772
5;"Budynek po szkole filialnej, Niekłończyca 34, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;133;192
6;"Świetlica sołecka, Tatynia 38, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;75;104
7;"Świetlica sołecka, Drogoradz 51, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;63;84
8;"Szkoła Podstawowa nr 6 z Oddziałami Przedszkolnymi, Police ul. Owocowa 5, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;239;367
9;"Szkoła Podstawowa nr 1 im. Tadeusza Kościuszki z Oddziałami Sportowymi, ul. Gen. Władysława Sikorskiego 8, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;354;563
10;"Świetlica Rady Osiedla Nr 2 Stare Miasto, ul. Marii Konopnickiej 2, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;307;480
11;"Szkoła Podstawowa nr 5 im. Orła Białego (dawna Szkoła Podstawowa nr 2), ul. Cisowa 2, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;242;448
12;"Świetlica sołecka, Przęsocin ul. Centralna 20A, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;152;292
13;"Biblioteka im. Marii Skłodowskiej-Curie (Filia Nova), ul. Bankowa 5b/u9, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;364;795
14;"Szkoła Podstawowa nr 3 im. Marii Skłodowskiej-Curie z Oddziałami Dwujęzycznymi, ul. Siedlecka 4, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;269;422
15;"Przedszkole Publiczne Nr 9 ""Tęczowa Kraina"", ul. Piaskowa 13, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;428;808
16;"Świetlica Rady Osiedla Nr 4 Dąbrówka, ul. Piaskowa 49, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;298;685
17;"Miejski Żłobek, ul. Robotnicza 15/17, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;293;532
18;"Przedszkole Publiczne Nr 5 im. Wandy Chotomskiej, ul. Robotnicza 13, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;441;750
19;"""Bajkowe"" Przedszkole Publiczne Nr 8, ul. Kardynała Stefana Wyszyńskiego 31, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;355;619
20;"Przedszkole Publiczne Nr 10, ul. Piaskowa 112, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;501;744
21;"Świetlica Rady Osiedla Nr 7 Anny Jagiellonki, ul. Stefana Roweckiego 40, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;364;569
22;"Przedszkole Publiczne Nr 11, ul. Przyjaźni 1, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;338;419
23;"Przedszkole Publiczne Nr 11, ul. Przyjaźni 33, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;323;492
24;"Przedszkole Publiczne Nr 11, ul. Przyjaźni 1, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;340;411
25;"Przedszkole Publiczne Nr 11, ul. Przyjaźni 33, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;372;604
26;"Świetlica Sołecka, Dębostrów 30, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;94;105
27;"Świetlica Sołecka, Uniemyśl 3, 72-015 Police 3";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;82;142
28;"Samodzielny Publiczny Szpital Kliniczny Nr 1 im. prof. Tadeusza Sokołowskiego Pomorskiego Uniwersytetu Medycznego, ul. Siedlecka 2, 72-010 Police";321104;"gm. Police";"policki";"zachodniopomorskie";1;1;8;22
1;"Rada Osiedla Płonia, Śmierdnica, Jezierzyce, ul. Pyrzycka 28, 70-892 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;303;570
2;"Warsztaty Terapii Zajęciowej, ul. Przyszłości 21, 70-893 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;654;1032
3;"Szkoła Podstawowa Nr 13, ul. Bałtycka 1a, 70-880 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;334;603
4;"Szkoła Podstawowa Nr 13, ul. Bałtycka 1a, 70-880 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;474;897
5;"Obiekt Sportowy ""Orla"", ul. Pawia 1, 70-792 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;329;588
6;"Obiekt Sportowy ""Orla"", ul. Pawia 1, 70-792 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;320;826
7;"Przedszkole Publiczne Nr 11, ul. Osiedle Kasztanowe 54, 70-895 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;287;442
8;"Przedszkole Publiczne Nr 11, ul. Osiedle Kasztanowe 54, 70-895 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;333;546
9;"Szkoła Podstawowa Nr 71, ul. Bośniacka 7, 70-842 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;374;721
10;"Szkoła Podstawowa Nr 71, ul. Bośniacka 7, 70-842 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;311;639
11;"Zespół Szkół Nr 2, ul. Portowa 21, 70-833 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;505;1012
12;"III Liceum Ogólnokształcące, ul. Pomorska 150, 70-812 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;304;566
13;"III Liceum Ogólnokształcące, ul. Pomorska 150, 70-812 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;500;888
14;"Szkoła Podstawowa Nr 23, ul. Miernicza 10, 70-823 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;562;925
15;"Przedszkole Publiczne Nr 62, ul. Jasna 74, 70-784 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;435;920
16;"Niepubliczne Przedszkole „Zielona Wyspa”, ul. Jasna 113, 70-777 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;406;591
17;"Szkoła Podstawowa ""Słoneczna"", ul. Lucjana Rydla 5, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;360;615
18;"Centrum Kształcenia Sportowego, ul. Lucjana Rydla 49, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;403;772
19;"Centrum Kształcenia Sportowego, ul. Lucjana Rydla 49, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;253;552
20;"Przedszkole Publiczne Nr 9, ul. Aleksandra Kostki Napierskiego 13, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;382;624
21;"NS ZOZ ""Prawobrzeże – Medyk”, ul. Aleksandra Kostki Napierskiego 6c, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;355;620
22;"Szkoła Podstawowa Nr 37, ul. Zofii Nałkowskiej 33, 70-785 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;330;460
23;"Szkoła Podstawowa Nr 37, ul. Zofii Nałkowskiej 33, 70-785 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;378;719
24;"Szkoła Podstawowa Nr 37, ul. Zofii Nałkowskiej 33, 70-785 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;360;694
25;"Przedszkole Publiczne Nr 61, ul. Maciejowicka 26, 70-786 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;400;829
26;"Szkoła Podstawowa Nr 37, ul. Lucjana Rydla 6, 70-783 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;131;313
27;"Klub Osiedlowy"" Szpak"", ul. Seledynowa 75a, 70-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;388;985
28;"Szkoła Podstawowa Nr 59, ul. Dąbska 105, 70-789 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;329;792
29;"Szkoła Podstawowa Nr 74, ul. Seledynowa 50, 70-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;471;876
30;"Przedszkole Publiczne Nr 8, ul. Różowa 24, 70-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;460;765
31;"Szkoła Podstawowa Nr 74, ul. Seledynowa 50, 70-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;339;1130
32;"Szkoła Podstawowa Nr 74, ul. Seledynowa 50, 70-781 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;464;880
33;"Poradnia Psychologiczno – Pedagogiczna Nr 2, ul. Jaśminowa 4, 70-773 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;418;791
34;"Szkoła Podstawowa Nr 65, ul. Młodzieży Polskiej 9, 70-774 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;328;745
35;"Szkoła Podstawowa Nr 65, ul. Młodzieży Polskiej 9, 70-774 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;243;516
36;"Zespół Szkół Centrum Kształcenia Rolniczego w Szczecinie, ul. Batalionów Chłopskich 115, 70-764 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;439;939
37;"Przedszkole Publiczne Nr 49, ul. Marmurowa 7, 70-747 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;411;579
38;"Szkoła Podstawowa Nr 12, ul. Floriana Szarego 12, 70-743 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;379;805
39;"Szkoła Podstawowa Nr 12, ul. Floriana Szarego 12, 70-743 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;372;805
40;"Szkoła Podstawowa Nr 12, ul. Floriana Szarego 12, 70-743 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;331;913
41;"Rada Osiedla Żydowce Klucz, ul. Rymarska 46/1a, 70-702 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;474;658
42;"Przychodnia Portowa Sp. z o. o., ul. Energetyków 2, 70-656 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;201;240
43;"Przedszkole Publiczne Nr 38, ul. Włościańska 5, 70-021 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;250;423
44;"Katolicka Szkoła Podstawowa im. Świętej Rodziny, ul. Budziszyńska 2, 70-023 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;473;902
45;"Szkoła Podstawowa Nr 20, ul. Dobrzyńska 2, 70-025 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;468;962
46;"Zespół Szkół Rzemieślniczych, ul. Zygmunta Chmielewskiego 19, 70-028 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;277;612
47;"Szkoła Podstawowa Nr 55, ul. Orawska 1, 70-131 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;557;1259
48;"XVI Liceum Ogólnokształcące, ul. Xawerego Dunikowskiego 1, 70-123 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;434;1024
49;"XVI Liceum Ogólnokształcące, ul. Xawerego Dunikowskiego 1, 70-123 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;369;973
50;"Przychodnia Zdrowia, ul. Aleja Powstańców Wielkopolskich 66/68, 70-111 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;207;472
51;"Przedszkole Publiczne Nr 48, ul. 9 Maja 13, 70-136 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;390;630
52;"Przedszkole Publiczne Nr 44, ul. Ruska 16, 70-132 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;404;532
53;"Uniwersytet Szczeciński Wydział Ekonomii, Finansów i Zarządzania, ul. Cukrowa 8, 71-004 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;307;1142
54;"Szkoła Podstawowa Nr 16, ul. Chobolańska 20, 71-023 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;402;870
55;"Szkoła Podstawowa Nr 16, ul. Chobolańska 20, 71-023 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;343;794
56;"Szkoła Podstawowa Nr 16, ul. Chobolańska 20, 71-023 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;315;1127
57;"IV Liceum Ogólnokształcące, ul. Kingi 2, 71-032 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;258;699
58;"IV Liceum Ogólnokształcące, ul. Kingi 2, 71-032 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;354;667
59;"Uniwersytet Szczeciński Wydział Humanistyczny, ul. Krakowska 71 - 79, 71-017 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;322;901
60;"Uniwersytet Szczeciński Wydział Humanistyczny, ul. Krakowska 71 - 79, 71-017 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;243;582
61;"Szkoła Podstawowa Nr 8, ul. Brodnicka 10, 71-044 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;347;901
62;"Szkoła Podstawowa Nr 8, ul. Brodnicka 10, 71-044 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;336;973
63;"Szkoła Podstawowa Nr 8, ul. Brodnicka 10, 71-044 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;327;1460
64;"Szkoła Podstawowa Nr 8, ul. Brodnicka 10, 71-044 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;302;1117
65;"Zachodniopomorski Uniwersytet Technologiczny Wydział Technologii Chemii, ul. Aleja Piastów 42, 70-065 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;419;1217
66;"Zachodniopomorski Uniwersytet Technologiczny Wydział Technologii i Inżynierii Chemicznej, ul. Kazimierza Pułaskiego 10, 70-322 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;241;641
67;"Rektorat Zachodniopomorskiego Uniwersytetu Technologicznego, ul. Aleja Piastów 17, 70-310 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;144;334
68;"I Liceum Ogólnokształcące, ul. Aleja Piastów 12, 70-331 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;287;575
69;"Szkoła Podstawowa Specjalna Nr 52, ul. Adama Mickiewicza 23, 70-383 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;256;657
70;"Centrum Psychologiczno-Pedagogiczne w Szczecinie, ul. Adama Mickiewicza 23, 70-383 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;191;483
71;"Zespół Szkół Nr 6, ul. Józefa Sowińskiego 3, 70-236 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;337;982
72;"Technikum Ekonomiczne, ul. Józefa Sowińskiego 1, 70-236 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;535;1690
73;"VI Liceum Ogólnokształcące, ul. Jagiellońska 41, 70-382 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;329;771
74;"VI Liceum Ogólnokształcące, ul. Jagiellońska 41, 70-382 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;340;855
75;"Szkoła Podstawowa Nr 1, ul. Aleja Piastów 6, 70-327 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;236;639
76;"Ogólnokształcąca Szkoła Muzyczna I Stopnia, ul. Bolesława Śmiałego 42/43, 70-351 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;330;738
77;"Rada Osiedla Turzyn, ul. Pocztowa 17, 70-361 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;373;688
78;"Zachodniopomorskie Stowarzyszenie Rozwoju Gospodarczego S. C. P., ul. Krzysztofa Kolumba 88/89 (sala 102), 70-035 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;90;177
79;"Szkoła Podstawowa Nr 61, ul. 3 Maja 4, 70-214 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;210;621
80;"Szkoła Podstawowa Nr 61, ul. 3 Maja 4, 70-214 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;194;495
81;"Zachodniopomorski Uniwersytet Technologiczny Budynek Jednostek Międzywydziałowych, ul. Aleja Piastów 48, 70-311 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;329;572
82;"Szkoła Podstawowa Nr 5, ul. bł. Królowej Jadwigi 29, 70-262 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;329;722
83;"Szkoła Podstawowa Nr 5, ul. bł. Królowej Jadwigi 29, 70-262 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;340;573
84;"XIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Mikołaja Kopernika 16a, 70-241 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;269;494
85;"Zespół Szkół Ogólnokształcących Nr 9, ul. Andrzeja Małkowskiego 12, 70-306 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;323;532
86;"Zespół Szkół Ogólnokształcących Nr 9, ul. Andrzeja Małkowskiego 12, 70-306 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;308;620
87;"Przedszkole Publiczne Nr 33, ul. ks. Piotra Ściegiennego 65, 70-352 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;326;609
88;"Pomorski Uniwersytet Medyczny, ul. Rybacka 1, 70-204 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;152;418
89;"Szkoła Podstawowa Nr 63 z Oddziałami Integracyjnymi, ul. Grodzka 23, 70-543 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;192;601
90;"IX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, pl. Plac Mariacki 1, 70-546 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;378;849
91;"Zespół Szkół Ogólnokształcących Nr 9, ul. Andrzeja Małkowskiego 12, 70-306 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;387;858
92;"Centrum Mistrzostwa Sportowego, ul. Mazurska 40, 70-424 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;276;634
93;"Centrum Mistrzostwa Sportowego, ul. Mazurska 40, 70-424 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;240;636
94;"Szkoła Podstawowa Nr 54, ul. Generała Ludomiła Rayskiego 9, 70-426 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;236;438
95;"Szkoła Podstawowa Nr 54, ul. Generała Ludomiła Rayskiego 9, 70-426 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;319;732
96;"Szkoła Podstawowa Nr 46, ul. Wacława Felczaka 13, 71-417 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;188;359
97;"Szkoła Podstawowa Nr 46, ul. Wacława Felczaka 13, 71-417 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;272;535
98;"Polskie Towarzystwo Walki z Kalectwem, ul. Wielkopolska 32, 70-450 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;302;567
99;"Publiczna Szkoła Podstawowa Specjalna Nr 67, ul. Wielkopolska 14, 70-450 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;238;544
100;"Uniwersytet Szczeciński Wydział Nauk Ścisłych i Przyrodniczych, ul. Wacława Felczaka 3c, 71-417 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;258;691
101;"Zespół Szkół Budowlanych, ul. Unisławy 32/33, 71-402 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;154;335
102;"Centrum Mistrzostwa Sportowego, ul. Mazurska 40, 70-424 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;315;713
103;"Izba Skarbowa, ul. Franklina Delano Roosevelta 1, 71-616 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;171;302
104;"V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi, ul. Ofiar Oświęcimia 14, 71-537 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;451;1196
105;"Szkoła Podstawowa Nr 56, ul. Jacka Malczewskiego 22, 71-612 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;264;634
106;"II Liceum Ogólnokształcące, ul. Henryka Pobożnego 2, 70-507 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;211;539
107;"Przedszkole Publiczne Nr 65, ul. Jana Chryzostoma Paska 34, 71-622 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;481;906
108;"Technikum Technologii Cyfrowych, ul. Niemierzyńska 17, 71-441 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;293;579
109;"Zespół Szkół Ogólnokształcących Nr 7, ul. Unisławy 26, 71-413 Szczecin";326201;"m. Szczecin";"Szczecin";"zachodniopomorskie";1;1;276;646
