"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KRAWCZYK Krystian Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"MAJDA Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GALEMBA Leszek Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"BILSKA Barbara - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
4;"Szkoła Podstawowa w Chełmnie, Chełmno 89B, 62-660 Dąbie";300904;"gm. Dąbie";"kolski";"wielkopolskie";1;1;36;148;480;47
5;"Strażnica OSP w Chruścinie, Chruścin 29A, 62-660 Dąbie";300904;"gm. Dąbie";"kolski";"wielkopolskie";1;1;35;139;438;53
1;"Świetlica Gminna w Grzegorzewie, ul. Kolska 5, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;68;414;471;121
2;"Szkoła Podstawowa im. Adama Mickiewicza w Barłogach, Barłogi ul. Piaskowa 3, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;26;108;205;32
3;"Budynek byłej Szkoły Podstawowej w Borysławicach Kościelnych, Borysławice Kościelne 37, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;18;100;208;49
4;"Szkoła Podstawowa im. Jana Pawła II w Bylicach-Kolonii, Bylice-Kolonia 12, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;39;88;200;39
5;"Szkoła Podstawowa im. Tadeusza Zawadzkiego ""Zośki"" w Grzegorzewie, ul. Szkolna 23, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;21;50;87;16
6;"Remiza OSP w Ponętowie Dolnym, Ponętów Dolny 55B, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;25;87;158;18
7;"Remiza OSP w Tarnówce, Tarnówka 31, 62-640 Grzegorzew";300905;"gm. Grzegorzew";"kolski";"wielkopolskie";1;1;11;77;188;20
1;"Przedszkole Nr 1 im. Jana Brzechwy w Kłodawie, ul. Bohaterów Września 1939 r. 17, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;70;421;514;174
2;"Szkoła Podstawowa Nr 2 im. Białych Górników w Kłodawie, ul. 3 Maja 5, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;53;288;365;104
3;"Zespół Szkół Ogólnokształcących i Technicznych w Kłodawie, ul. Adama Mickiewicza 3, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;53;305;455;135
4;"Szkoła Podstawowa im. Świętego Jana Pawła II w Kłodawie, ul. Kościelna 15, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;35;265;311;94
5;"Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. Kardynała Stefana Wyszyńskiego w Wólce Czepowej, Wólka Czepowa 33, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;25;134;280;90
6;"Świetlica Wiejska w Dębinie, Dębina 28, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;15;80;167;43
7;"Budynek po Zespole Szkół w Rysinach-Kolonii, Rysiny-Kolonia 37, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;21;130;321;61
8;"Szkoła Podstawowa im. Tadeusza Kutrzeby w Bierzwiennej Długiej, Bierzwienna Długa 76, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;23;80;242;50
9;"Świetlica Wiejska w Leszczach, Leszcze 22, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;15;75;173;54
10;"Szkoła Podstawowa w Górkach, Górki 19, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;16;78;160;44
11;"Świetlica Wiejska w Krzykosach, Krzykosy 83, 62-650 Kłodawa";300906;"gm. Kłodawa";"kolski";"wielkopolskie";1;1;24;49;90;25
1;"Szkoła Podstawowa w Powierciu, Powiercie 3, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;97;555;475;132
2;"Szkoła Podstawowa we Wrzącej Wielkiej, Wrząca Wielka 124, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;40;222;355;101
3;"Szkoła Podstawowa w Kiełczewie Smużnym Pierwszym, Kiełczew Smużny Pierwszy 42, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;16;87;199;31
4;"Świetlica w Dzierawach, Dzierawy 45, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;35;315;412;86
5;"Świetlica wiejska w Leśnicy, Leśnica 43B, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;22;156;183;32
6;"Świetlica wiejska w Czołowie, Czołowo 91, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;47;180;182;60
7;"Szkoła Podstawowa w Sokołowie, Sokołowo 55, 62-600 Koło";300907;"gm. Koło";"kolski";"wielkopolskie";1;1;30;72;161;22
1;"Szkoła Podstawowa, Trzęśniew 24, 62-604 Kościelec";300908;"gm. Kościelec";"kolski";"wielkopolskie";1;1;52;194;461;76
2;"Urząd Gminy, ul. Turecka 7/3, 62-604 Kościelec";300908;"gm. Kościelec";"kolski";"wielkopolskie";1;1;56;333;481;93
3;"Urząd Gminy budynek B, ul. Kościelna 1, 62-604 Kościelec";300908;"gm. Kościelec";"kolski";"wielkopolskie";1;1;63;352;459;84
4;"Szkoła Podstawowa, Ruszków Pierwszy ul. Brudzewska 3, 62-604 Kościelec";300908;"gm. Kościelec";"kolski";"wielkopolskie";1;1;64;350;540;95
1;"Urząd Gminy w Olszówce, Sala ślubów Urzędu Stanu Cywilnego w Olszówce, Olszówka 15, 62-641 Olszówka";300909;"gm. Olszówka";"kolski";"wielkopolskie";1;1;41;149;387;77
2;"Świetlica Wiejska w Adaminie, Adamin 43, 62-641 Olszówka";300909;"gm. Olszówka";"kolski";"wielkopolskie";1;1;47;182;567;64
3;"Świetlica Wiejska w Krzewacie, Krzewata 93, 62-641 Olszówka";300909;"gm. Olszówka";"kolski";"wielkopolskie";1;1;13;53;183;30
4;"Szkoła Podstawowa w Ponętowie Górnym Drugim, Ponętów Górny Drugi 44, 62-641 Olszówka";300909;"gm. Olszówka";"kolski";"wielkopolskie";1;1;12;89;196;49
1;"Szkoła Podstawowa, Dęby Szlacheckie 54, 62-613 Osiek Mały";300910;"gm. Osiek Mały";"kolski";"wielkopolskie";1;1;99;386;700;116
2;"Szkoła Podstawowa, Drzewce 41, 62-613 Osiek Mały";300910;"gm. Osiek Mały";"kolski";"wielkopolskie";1;1;46;216;402;101
3;"Szkoła Podstawowa, Osiek Wielki 61, 62-600 Koło";300910;"gm. Osiek Mały";"kolski";"wielkopolskie";1;1;90;392;671;100
1;"Miejsko-Gminny Ośrodek Kultury, ul. Zamkowa 5, 62-635 Przedecz";300911;"gm. Przedecz";"kolski";"wielkopolskie";1;1;24;293;407;111
2;"Szkoła Podstawowa, ul. Szkolna 5, 62-635 Przedecz";300911;"gm. Przedecz";"kolski";"wielkopolskie";1;1;49;148;411;68
3;"Świetlica Ochotniczej Straży Pożarnej, Dziwie 57, 62-635 Przedecz";300911;"gm. Przedecz";"kolski";"wielkopolskie";1;1;42;126;319;64
1;"Szkoła Podstawowa w Golinie, ul. Wolności 20, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;116;498;531;131
2;"Biblioteka Publiczna w Golinie, ul. Plac Kazimierza Wielkiego 12, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;89;428;427;121
3;"Ochotnicza Straż Pożarna w Węglewie, Węglew-Kolonia ul. Królewska 10, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;78;595;559;132
4;"Szkoła Podstawowa w Kawnicach z siedzibą w Węglewie, Węglew ul. Bursztynowa 31, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;94;391;451;126
5;"Szkoła Podstawowa w Przyjmie, Przyjma 122, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;62;270;364;96
6;"Szkoła Podstawowa w Golinie, ul. Kopernika 12, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;54;267;367;53
7;"Szkoła Podstawowa w Radolinie, Radolina 63, 62-590 Golina";301001;"gm. Golina";"koniński";"wielkopolskie";1;1;23;127;188;46
1;"Szkoła Podstawowa im. Marii Dąbrowskiej w Grodźcu, pl. ks. abp. Bronisława Dąbrowskiego 4, 62-580 Grodziec";301002;"gm. Grodziec";"koniński";"wielkopolskie";1;1;80;499;511;115
2;"Społeczna Szkoła Podstawowa im. Marii Konopnickiej w Lipicach, Lipice 13, 62-580 Grodziec";301002;"gm. Grodziec";"koniński";"wielkopolskie";1;1;27;101;194;37
3;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Królikowie, Królików 82, 62-580 Grodziec";301002;"gm. Grodziec";"koniński";"wielkopolskie";1;1;37;181;337;64
4;"Społeczna Szkoła Podstawowa im. Gen. Edmunda Taczanowskiego w Biskupicach, Biskupice 55, 62-580 Grodziec";301002;"gm. Grodziec";"koniński";"wielkopolskie";1;1;30;103;252;49
1;"Zespół Szkolno-Przedszkolny w Dobrosołowie, Dobrosołowo 42, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;38;117;199;47
2;"Urząd Gminy w Kazimierzu Biskupim, pl. Wolności 1, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;100;426;602;148
3;"Szkoła Podstawowa w Kazimierzu Biskupim, ul. Węglewska 12, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;84;348;402;97
4;"Świetlica Wiejska w Nieświastowie, Nieświastów 2, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;35;117;251;46
5;"Zespół Szkolno-Przedszkolny w Sokółkach, Sokółki 18, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;29;129;119;32
6;"Gminny Ośrodek Kultury w Kazimierzu Biskupim Filia w Posadzie, Posada ul. Tuwima 2, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;108;751;432;102
7;"Zespół Szkolno-Przedszkolny w Kozarzewie, Kozarzew 4, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;17;84;137;41
8;"Ochotnicza Straż Pożarna w Tokarkach, Tokarki 19A, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;12;52;118;28
9;"Ochotnicza Straż Pożarna w Jóźwinie, Jóźwin 30A, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;34;139;140;32
10;"Ochotnicza Straż Pożarna w Bielawach, Bielawy ul. Północna 30, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;26;166;83;26
11;"Świetlica Wiejska we Władzimirowie, Władzimirów 39, 62-530 Kazimierz Biskupi";301003;"gm. Kazimierz Biskupi";"koniński";"wielkopolskie";1;1;38;266;188;35
1;"Budynek wielofunkcyjny, ul. Strażacka 2, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;48;275;311;75
2;"Ośrodek Sportu i Rekreacji w Kleczewie, ul. aleja 600-lecia 21, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;52;271;372;58
3;"Zespół Szkolno-Przedszkolny w Kleczewie, ul. Świętej Kingi 7, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;65;307;377;76
4;"Szkoła Podstawowa w Sławoszewku, Sławoszewek ul. Parkowa 12, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;70;174;305;56
5;"Szkoła Podstawowa im. Juliana Tuwima w Złotkowie, Złotków 48, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;33;80;253;41
6;"Zespół Szkolno-Przedszkolny w Budzisławiu Kościelnym-Wejście B, ul. Szkolna 17, 62-541 Budzisław Kościelny";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;56;187;407;65
7;"Zespół Szkolno-Przedszkolny w Budzisławiu Kościelnym-Wejście A, ul. Szkolna 17, 62-541 Budzisław Kościelny";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;70;257;351;98
8;"Świetlica Wiejska w Jabłonce, Jabłonka 49A, 62-540 Kleczew";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;40;80;189;35
9;"Świetlica Wiejska w Nieborzynie, Nieborzyn 40, 62-541 Budzisław Kościelny";301004;"gm. Kleczew";"koniński";"wielkopolskie";1;1;11;68;123;32
1;"Szkoła Podstawowa w Kramsku, ul. Konińska 20, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;42;243;376;69
2;"Centrum Pracy Twórczej w Kramsku, ul. Rynek 4A, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;64;232;392;86
3;"Szkoła Podstawowa w Bilczewie, Bilczew 2, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;15;57;128;22
4;"Klub Rolnika w Borkach, Borki 36, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;16;102;249;35
5;"Szkoła Podstawowa w Patrzykowie, Patrzyków 2A, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;28;146;264;49
6;"Remiza Ochotniczej Straży Pożarnej w Grąblinie, Grąblin ul. Wspólna 15, 62-563 Licheń Stary";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;37;99;223;36
7;"Szkoła Podstawowa w Helenowie Drugim, Helenów Drugi 15, 62-563 Licheń Stary";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;17;99;225;53
8;"Wiejski Ośrodek Kultury w Woli Podłężnej, Wola Podłężna ul. Centralna 61, 62-510 Konin";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;75;420;412;101
9;"Szkoła Podstawowa w Wysokiem, Wysokie 15, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;27;142;219;49
10;"Świetlica Wiejska ""STRAŻAK"" w Rudzicy, Rudzica ul. Piaskowa 3, 62-510 Konin";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;55;320;189;60
11;"Remiza Ochotniczej Straży Pożarnej w Święćcu, Święciec 52A, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;27;68;216;47
12;"Remiza Ochotniczej Straży Pożarnej w Wielanach, Wielany 24, 62-511 Kramsk";301005;"gm. Kramsk";"koniński";"wielkopolskie";1;1;31;116;273;48
1;"Szkoła Podstawowa im. Mikołaja Kopernika w Krzymowie, ul. Główna 1, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;86;344;585;116
2;"Niepubliczna Szkoła Podstawowa w Smólniku, Smólnik 20A, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;27;181;288;45
3;"Szkoła Podstawowa im. Marii Konopnickiej w Brzeźnie, Brzeźno ul. Kwiatowa 20A, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;99;513;616;151
4;"Niepubliczna Szkoła Podstawowa w Głodnie, Głodno 20, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;14;54;134;21
5;"Szkoła Podstawowa w Szczepidle, Szczepidło 52, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;55;244;411;83
6;"Szkoła Podstawowa im. Jana Brzechwy w Paprotni, Paprotnia ul. Zielona 12, 62-513 Krzymów";301006;"gm. Krzymów";"koniński";"wielkopolskie";1;1;23;127;225;55
1;"Szkoła Podstawowa w Kucharach Kościelnych, Kuchary Kościelne 5, 62-573 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;40;123;383;61
2;"Szkoła Podstawowa w Dąbroszynie, Dąbroszyn 47, 62-570 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;40;145;285;46
3;"Szkoła Podstawowa w Rychwale, ul. Konińska 46A, 62-570 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;138;544;718;149
4;"Szkoła Podstawowa w Jaroszewicach Grodzieckich, Jaroszewice Grodzieckie 38, 62-570 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;44;140;264;53
5;"Przedszkole Samorządowe „Leśne Skrzaty” w Siąszycach, Siąszyce 4, 62-574 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;34;103;149;44
6;"Szkoła Podstawowa w Białej Panieńskiej, Biała Panieńska 72, 62-574 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;29;84;174;36
7;"Szkoła Podstawowa w Grochowach, Grochowy 2, 62-574 Rychwał";301007;"gm. Rychwał";"koniński";"wielkopolskie";1;1;70;162;332;58
1;"Zespół Szkolno-Przedszkolny w Rzgowie, ul. Konińska 6, 62-586 Rzgów";301008;"gm. Rzgów";"koniński";"wielkopolskie";1;1;86;396;478;91
2;"Szkoła Podstawowa im. Kornela Makuszyńskiego w Sławsku, Sławsk ul. Okólna 3, 62-586 Rzgów";301008;"gm. Rzgów";"koniński";"wielkopolskie";1;1;126;552;578;130
3;"Szkoła Podstawowa im. Jana Brzechwy w Grabienicach, Grabienice 67, 62-586 Rzgów";301008;"gm. Rzgów";"koniński";"wielkopolskie";1;1;49;173;365;59
4;"Szkoła Podstawowa im. Marii Konopnickiej w Osieczy, Osiecza Druga 3, 62-586 Rzgów";301008;"gm. Rzgów";"koniński";"wielkopolskie";1;1;53;232;379;71
1;"Remiza OSP w Łuszczewie, Łuszczewo 80, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;21;74;105;26
2;"Gminny Ośrodek Kultury w Mielnicy Dużej, Mielnica Duża 32a, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;17;48;88;15
3;"Urząd Gminy w Skulsku, ul. Targowa 2, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;63;364;390;114
4;"Remiza OSP w Lisewie, Lisewo 36C, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;41;81;207;67
5;"Świetlica w Celinowie, Celinowo 5A, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;17;46;108;27
6;"Budynek Gminny w Buszkowie, Buszkowo 51, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;14;28;90;19
7;"Świetlica w Rakowie, Rakowo 37, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;18;108;166;28
8;"Budynek Gminny w Zygmuntowie, Zygmuntowo 35, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;13;57;119;45
9;"Szkoła Podstawowa w Wandowie, Wandowo 3, 62-560 Skulsk";301009;"gm. Skulsk";"koniński";"wielkopolskie";1;1;33;45;159;40
1;"Miejsko-Gminna Biblioteka Publiczna w Sompolnie, ul. Piotrkowska 8, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;70;450;519;138
2;"Przedszkole Miejskie ""Zielony Zakątek"", ul. Kaliska 37, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;67;333;508;106
3;"Zespół Szkolno-Przedszkolny nr 2, Lubstów ul. Kościelna 1a, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;45;178;434;69
4;"Dom Ludowy, Lubstówek 55, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;27;99;337;28
5;"Szkoła Podstawowa im. Pierwszej Kadrowej, Mąkolno ul. Szkolna 31, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;68;327;568;110
6;"Szkoła Podstawowa, Ośno Górne 2A, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;46;113;414;75
7;"Remiza OSP, Racięcice 38A, 62-610 Sompolno";301010;"gm. Sompolno";"koniński";"wielkopolskie";1;1;16;44;201;29
1;"Szkoła Podstawowa, ul. Szkolna 11, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;58;454;330;97
2;"Szkoła Podstawowa, ul. Kasztanowa 1, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;84;521;301;78
3;"Szkoła Podstawowa, Żychlin ul. Parkowa 11, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;93;819;488;130
4;"Klub Wiejski, Krągola Pierwsza 12B, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;45;228;199;77
5;"Szkoła Podstawowa, Lisiec Wielki ul. Długa 1, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;112;454;663;150
6;"Szkoła Podstawowa, Modła Królewska ul. Słoneczna 5, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;50;218;390;108
7;"Szkoła Podstawowa, Barczygłów ul. Grodziecka 55, 62-571 Stare Miasto";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;44;109;189;35
8;"Przedszkole Samorządowe w Starym Mieście Oddział w Ruminie, Rumin 45, 62-500 Konin";301011;"gm. Stare Miasto";"koniński";"wielkopolskie";1;1;37;325;224;64
1;"Zespół Szkolno-Przedszkolny w Ślesinie, ul. Żwirki i Wigury 55, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;51;473;376;101
2;"Zespół Szkolno-Przedszkolny w Ślesinie, ul. Młodzieżowa 1, 62-561 Ślesin";301012;"gm. Ślesin";"koniński";"wielkopolskie";1;1;58;334;272;99
