"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWAK Jacek Marian - KW BEZPARTYJNI SAMORZĄDOWCY";"BRYMORA Cezary Edward - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SKURKIEWICZ Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"DĄBROWSKI Jarosław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MNICH Beata - KOMITET WYBORCZY WYBORCÓW BEATA MNICH"
5;"Środowiskowy Dom Samopomocy w Podkońcach, Podkońce 99, 27-353 Rzeczniów";140904;"gm. Rzeczniów";"lipski";"mazowieckie";1;1;13;42;179;15;1
1;"Urząd Gminy Sienno, ul. Rynek 36/40, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;34;197;298;59;16
2;"Niepubliczna Szkoła Podstawowa, Kochanówka 83, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;13;75;165;18;8
3;"Świetlica Wiejska, Olechów Stary 2, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;21;74;189;58;10
4;"Świetlica Wiejska w Janowie, Janów 16, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;19;58;175;30;7
5;"Publiczna Szkoła Podstawowa, Jawor Solecki 68, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;27;103;340;45;8
6;"Świetlica Wiejska, Osówka 62B, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;14;68;166;29;7
7;"Strażnica OSP w Siennie, ul. Iłżecka 2, 27-350 Sienno";140905;"gm. Sienno";"lipski";"mazowieckie";1;1;34;159;303;64;12
1;"Miejsko-Gminny Ośrodek Kultury w Solcu nad Wisłą, pl. Plac Bolesława Śmiałego 6, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;31;191;278;45;21
2;"Strażnica Ochotniczej Straży Pożarnej w Boiskach, Boiska 127, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;7;56;71;12;1
3;"Strażnica Ochotniczej Straży Pożarnej w Sadkowicach, Sadkowice 76, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;11;60;128;33;8
4;"Publiczna Szkoła Podstawowa w Pawłowicach, Pawłowice 86, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;25;114;170;42;14
5;"Świetlica Wiejska w Zemborzynie, Zemborzyn Pierwszy 78, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;22;54;119;22;7
6;"Wiejski Dom Kultury w Dziurkowie, Dziurków 116, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;11;58;97;21;6
7;"Strażnica Ochotniczej Straży Pożarnej w Słuszczynie, Słuszczyn 42B, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;5;22;96;7;0
8;"Świetlica Wiejska w Sadkowicach-Kolonii, Sadkowice-Kolonia 60, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;8;43;130;22;5
9;"Remiza OSP w Przedmieściu Bliższym, Przedmieście Bliższe 46, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;9;33;40;14;4
10;"Świetlica Wiejska w Przedmieściu Dalszym, Przedmieście Bliższe 142, 27-320 Solec nad Wisłą";140906;"gm. Solec nad Wisłą";"lipski";"mazowieckie";1;1;10;40;105;22;9
1;"Zespół Szkół im. J. Śniadeckiego w Pionkach, ul. Parkowa 1, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;34;283;219;41;12
2;"Publiczna Szkoła Podstawowa Nr 1 w Pionkach, ul. Juliusza Słowackiego 4, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;38;243;216;31;8
3;"Przedszkole Nr 1 w Pionkach, ul. Stefana Żeromskiego 8, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;37;249;289;55;12
4;"Publiczna Szkoła Podstawowa Nr 1 w Pionkach, ul. Niepodległości 3, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;32;239;238;50;9
5;"Szkoła Muzyczna I stopnia w Pionkach, ul. Leśna 1, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;34;231;275;47;17
6;"Miejski Ośrodek Pomocy Społecznej w Pionkach, ul. Leśna 5, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;31;186;236;40;7
7;"Szkoła Muzyczna I stopnia w Pionkach, ul. Leśna 1, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;31;252;246;47;14
8;"Warsztaty Terapii Zajęciowej w Pionkach, ul. Leśna 3, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;33;238;281;53;12
9;"Zespół Szkół w Pionkach, ul. Aleje Lipowe 23, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;33;261;257;43;8
10;"Przedszkole Nr 2 w Pionkach, ul. Aleje Lipowe 24A, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;35;177;186;41;25
11;"Zespół Szkół w Pionkach, ul. Aleje Lipowe 23, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;46;295;294;50;18
12;"Publiczna Szkoła Podstawowa Nr 5 w Pionkach, ul. Targowa 9, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;30;226;294;55;14
13;"Publiczna Szkoła Podstawowa Nr 5 w Pionkach, ul. Targowa 9, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;40;331;294;43;16
14;"Publiczna Szkoła Podstawowa Nr 2 w Pionkach, ul. Jana Kochanowskiego 12, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;31;304;321;68;18
15;"Centrum Kształcenia Zawodowego i Ustawicznego w Pionkach, ul. Aleja Jana Pawła II 7, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;37;314;253;51;12
16;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Pionkach Oddział Rehabilitacji, ul. Harcerska 1, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;0;8;14;0;3
17;"Samodzielny Publiczny Zespół Zakładów Opieki Zdrowotnej w Pionkach Oddział Chirurgiczny, ul. Niepodległości 1, 26-670 Pionki";142501;"m. Pionki";"radomski";"mazowieckie";1;1;1;4;10;1;0
1;"Zespół Szkół w Goździe, ul. Starowiejska 130, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;41;230;720;93;25
2;"Publiczna Szkoła Podstawowa w Kłonówku-Kolonii, Kłonówek-Kolonia 13, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;17;72;324;48;2
3;"Publiczna Szkoła Podstawowa w Kuczkach-Kolonii, Kuczki-Kolonia 75, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;32;167;559;85;9
4;"Publiczna Szkoła Podstawowa w Klwatce Królewskiej, Klwatka Królewska 31, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;32;203;508;97;8
5;"Publiczna Szkoła Podstawowa w Podgórze, Podgóra 10, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;21;101;290;44;9
6;"Publiczna Szkoła Podstawowa w Małęczynie, Małęczyn ul. Szkolna 64, 26-634 Gózd";142502;"gm. Gózd";"radomski";"mazowieckie";1;1;70;376;764;139;15
1;"Liceum Ogólnokształcące w Iłży, ul. Jakuba Starszego 6, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;37;281;267;52;15
2;"Szkoła Podstawowa w Iłży, ul. Wójtowska 5, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;49;304;375;71;20
3;"Zespół Szkół Ponadpodstawowych w Iłży, ul. Błazińska 5, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;33;183;225;48;7
4;"Szkoła Podstawowa w Błazinach Dolnych, Błaziny Dolne 163, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;24;98;203;41;1
5;"Szkoła Podstawowa w Maziarzach Starych, Maziarze Stare 40, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;14;56;137;15;5
6;"Wiejski Ośrodek Kultury w Prędocinie, Prędocin 1, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;36;82;179;30;8
7;"Szkoła Podstawowa w Seredzicach, Seredzice 109, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;49;152;321;52;17
8;"Szkoła Podstawowa w Jasieńcu Iłżeckim, Jasieniec Iłżecki Górny 75, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;39;190;361;51;16
9;"Szkoła Podstawowa w Krzyżanowicach, Krzyżanowice 137, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;26;68;189;30;12
10;"Szkoła Podstawowa w Alojzowie, Alojzów 6A, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;20;79;170;19;2
11;"Szkoła Podstawowa w Pakosławiu, Pakosław 54, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;41;93;280;61;18
12;"Remiza OSP w Chwałowicach, Chwałowice 78, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;19;55;130;12;4
13;"Remiza OSP w Małomierzycach, Małomierzyce 110, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;12;39;94;9;3
14;"Świetlico-Strażnica w Jedlance Starej, Jedlanka Stara 55, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;15;52;140;29;5
15;"Szkoła Podstawowa w Iłży, ul. Bodzentyńska 45, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;40;238;220;41;14
16;"Świetlica wiejska w Białce, Białka 35D, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;15;62;148;28;5
17;"Świetlico-strażnica w Błazinach Górnych, Błaziny Górne 54, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;8;66;102;16;1
18;"Świetlica wiejska w Jasieńcu Iłżeckim Dolnym, Jasieniec Iłżecki Dolny 69, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;6;31;83;12;2
19;"Świetlico-strażnica w Kotlarce, Kotlarka 79, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;8;29;68;9;3
20;"Świetlica wiejska w Starosiedlicach, Starosiedlice 30, 27-100 Iłża";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;12;63;76;12;3
21;"SP ZZOZ Szpital w Iłży, Iłża ul. Danuty Siedzikówny ""Inki"" 4, 27-100 IŁŻA";142503;"gm. Iłża";"radomski";"mazowieckie";1;1;1;3;12;0;0
1;"Szkoła Podstawowa w Bartodziejach, Bartodzieje 18, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;18;130;189;40;3
2;"Zespół Szkolno-Przedszkolny w Jastrzębi, Jastrzębia 109, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;13;101;190;24;5
3;"Szkoła Podstawowa w Mąkosach Starych, Mąkosy Stare 80, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;17;63;171;23;6
4;"Szkoła Podstawowa im. Św. Jana Pawła II w Woli Goryńskiej, Wola Goryńska 45, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;20;89;246;41;12
5;"Szkoła Podstawowa im. Tadeusza Kościuszki w Kozłowie, Kozłów 87, 26-613 Radom";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;20;92;316;64;4
6;"Szkoła Podstawowa im. por. Jana Skrzyszewskiego w Lesiowie, Lesiów 47, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;31;158;329;67;13
7;"Niepubliczna Szkoła Podstawowa w Owadowie, Owadów 130, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;24;141;236;38;7
8;"Urząd Gminy Jastrzębia, Jastrzębia 110, 26-631 Jastrzębia";142504;"gm. Jastrzębia";"radomski";"mazowieckie";1;1;53;244;530;76;19
1;"Zespół Szkolno-Przedszkolny w Jedlińsku, ul. Konopnickiej 2, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;64;420;584;122;19
2;"Publiczna Szkoła Podstawowa w Ludwikowie, Ludwików 8, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;26;137;467;62;14
3;"Publiczna Szkoła Podstawowa w Jedlance, Jedlanka ul. Główna 29, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;40;167;396;73;13
4;"Publiczna Szkoła Podstawowa w Bierwcach, Bierwce 48, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;50;170;558;76;17
5;"Zespół Szkolno-Przedszkolny we Wsoli, Wsola ul. Szkolna 1, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;53;332;704;114;21
6;"Publiczna Szkoła Podstawowa w Starych Zawadach, Stare Zawady 30A, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;32;89;327;71;8
7;"Publiczna Szkoła Podstawowa w Wierzchowinach, Wierzchowiny 30, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;24;98;294;48;10
8;"Dom Strażaka w Wielogórze, Wielogóra ul. Kwiatowa 1, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;68;474;746;164;23
9;"Świetlica Wiejska w Lisowie, Lisów 38A, 26-660 Jedlińsk";142505;"gm. Jedlińsk";"radomski";"mazowieckie";1;1;38;206;287;49;7
1;"Publiczna Szkoła Podstawowa im. Marszałka Józefa Piłsudskiego w Jedlni-Letnisko, ul. Słoneczna 5, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;72;487;650;143;18
2;"Publiczna Szkoła Podstawowa im. Jana Brzechwy w Słupicy, Słupica 84, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;23;120;310;45;8
3;"Publiczna Szkoła Podstawowa im. Kornela Makuszyńskiego w Natolinie, Natolin 59, 26-613 Radom 15";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;68;435;660;137;29
4;"Publiczna Szkoła Podstawowa im. Henryka Sienkiewicza w Myśliszewicach, Myśliszewice 15, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;52;427;393;90;20
5;"Publiczna Szkoła Podstawowa im. Henryka Sienkiewicza w Myśliszewicach, Myśliszewice 15, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;45;295;449;78;18
6;"Budynek po Publicznej Szkole Podstawowej im. Jana Kochanowskiego w Gzowicach, Gzowice 30, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;7;47;212;32;5
7;"Strażnica Ochotniczej Straży Pożarnej w Jedlni-Letnisko, ul. Radomska 43A, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;66;709;603;127;34
8;"Czytelnia w Groszowicach, Groszowice 114, 26-630 Jedlnia-Letnisko";142506;"gm. Jedlnia-Letnisko";"radomski";"mazowieckie";1;1;23;192;384;77;15
1;"Publiczna Szkoła Podstawowa w Kowali-Stępocinie, ul. Marii Walewskiej 6, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;47;233;418;84;16
2;"Publiczna Szkoła Podstawowa w Młodocinie Mniejszym, Młodocin Mniejszy 47, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;34;198;312;67;13
3;"Publiczna Szkoła Podstawowa w Mazowszanach, Mazowszany ul. Wierzbicka 247, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;82;458;567;133;24
4;"Publiczna Szkoła Podstawowa w Parznicach, Parznice 53, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;44;265;561;84;23
5;"Publiczna Szkoła Podstawowa w Bardzicach, Bardzice 2C, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;17;78;257;43;5
6;"Publiczna Szkoła Podstawowa w Kowali-Stępocinie, ul. Marii Walewskiej 6, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;72;328;592;112;20
7;"Świetlica Słoneczko w Trablicach, Trablice 75F, 26-624 Kowala-Stępocina";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;59;275;450;94;14
8;"Publiczna Szkoła Podstawowa im. Orła Białego w Kończycach-Kolonii, Kończyce-Kolonia 31, 26-600 Radom";142507;"gm. Kowala";"radomski";"mazowieckie";1;1;33;173;406;83;13
1;"Publiczna Szkoła Podstawowa w Czarnej, Czarna Wieś 5, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;47;232;485;87;18
2;"Publiczna Szkoła Podstawowa w Augustowie, Augustów 102B, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;18;84;174;28;6
3;"Świetlica Wiejska w Janusznie, Januszno 72, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;13;85;133;20;4
4;"Publiczna Szkoła Podstawowa w Laskach, Laski 68, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;30;148;294;52;16
5;"Zespół Szkolno-Przedszkolny w Jedlni, Jedlnia 93, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;81;409;829;121;26
6;"Publiczna Szkoła Podstawowa w Jaroszkach, Jaroszki 21, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;9;57;234;44;17
7;"Publiczny Zespół Szkół w Suskowoli, Suskowola 74, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;60;346;412;96;23
8;"Publiczna Szkoła Podstawowa w Suchej, Sucha 38A, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;17;113;277;40;5
9;"Oddział Zewnętrzny w Pionkach Zakładu Karnego w Żytkowicach, Adolfin 60, 26-670 Pionki";142508;"gm. Pionki";"radomski";"mazowieckie";1;1;10;53;15;17;11
1;"Publiczna Szkoła Podstawowa, ul. Szkolna 3, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;54;232;642;103;29
2;"Publiczna Szkoła Podstawowa, ul. Szkolna 3, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;40;177;501;66;27
3;"Remiza OSP, Suków 26, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;20;77;347;52;7
4;"Publiczna Szkoła Podstawowa, Wrzos 6, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;29;127;454;72;17
5;"Publiczna Szkoła Podstawowa, Wrzeszczów 47, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;17;93;358;49;16
6;"OSP w Domaniowie, Domaniów 33A, 26-650 Przytyk";142509;"gm. Przytyk";"radomski";"mazowieckie";1;1;13;52;240;31;12
1;"Samorządowe Przedszkole w Skaryszewie, ul. Wojska Polskiego 5, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;77;394;773;133;21
2;"Publiczna Szkoła Podstawowa w Skaryszewie, ul. Bolesława Prusa 5, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;52;344;669;103;19
3;"Remiza Ochotniczej Straży Pożarnej, Makowiec ul. Radomska 52, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;69;400;860;128;18
4;"Publiczna Szkoła Podstawowa w Makowie, Maków ul. Szkolna 6, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;23;136;484;47;10
5;"Publiczna Szkoła Podstawowa w Odechowie, Odechów 77, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;26;172;669;90;17
6;"Publiczna Szkoła Podstawowa w Modrzejowicach, Modrzejowice 68, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;25;55;247;23;6
7;"Publiczna Szkoła Podstawowa w Dzierzkówku Starym, Dzierzkówek Stary 90, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;26;78;259;44;12
8;"Publiczna Szkoła Podstawowa w Chomentowie-Puszcz, Chomentów-Puszcz ul. Ogrodowa 1, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;14;96;310;41;11
9;"Remiza Ochotniczej Staży Pożarnej w Gębarzowie, Gębarzów 98, 26-640 Skaryszew";142510;"gm. Skaryszew";"radomski";"mazowieckie";1;1;16;68;229;28;8
