"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MALCZYK Łukasz Paweł - KW BEZPARTYJNI SAMORZĄDOWCY";"KAMIŃSKI Michał Tomasz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOCHA Barbara Jadwiga - KW PRAWO I SPRAWIEDLIWOŚĆ";"WALO Paweł - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
22;"Świetlica Sołectwa w Kraśniczej Woli, Kraśnicza Wola 27A, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;76;446;361;124
23;"Świetlica Sołectwa we wsi Szczęsne, Szczęsne ul. Kawki 23, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;94;822;346;132
24;"Świetlica Sołectwa w Czarnym Lesie, Czarny Las ul. Wiązowa 1, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;84;642;281;94
25;"Świetlica Sołectwa w Opypach, Opypy ul. Polnej Róży 14, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;54;346;181;59
26;"Szpital Zachodni w Grodzisku Mazowieckim, ul. Daleka 11, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;4;19;27;6
27;"DPS w Izdebnie Kościelnym, Izdebno Kościelne ul. ks. M. Oziębłowskiego 20, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;0;0;6;0
28;"DPS Filia w Grodzisku Mazowieckim, ul. 3 Maja 63, 05-825 Grodzisk Mazowiecki";140504;"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";1;1;0;3;5;0
1;"Ochotnicza Straż Pożarna, ul. Warszawska 2, 96-313 Jaktorów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;116;613;496;158
2;"Gimnazjum, ul. Staszica 5, 96-316 Międzyborów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;119;852;419;122
3;"Budy Zosine Nr 109 (była szkoła), Budy Zosine 109, 96-313 Jaktorów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;49;238;176;52
4;"Budy Michałowskie Nr 77 (była szkoła), Budy Michałowskie 77, 96-316 Międzyborów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;36;176;125;30
5;"Szkoła Podstawowa, ul. Warszawska 88, 96-313 Jaktorów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;141;734;556;190
6;"Sala Gimnastyczna przy Szkole Podstawowej, ul. Staszica 5, 96-316 Międzyborów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;133;774;482;144
7;"Gimnazjum, ul. Chełmońskiego 4, 96-313 Jaktorów";140505;"gm. Jaktorów";"grodziski";"mazowieckie";1;1;89;438;374;99
1;"Szkoła Podstawowa im. Stefanii Dziewulskiej, Ojrzanów ul. Szkolna 1, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;77;416;244;99
2;"Ochotnicza Straż Pożarna w Skułach, Bartoszówka ul. Strażacka 9, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;104;398;443;112
3;"Dawny budynek Szkoły Podstawowej, Słubica Dobra ul. Słoneczna 36, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;61;246;175;77
4;"Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu, Józefina ul. Mazowiecka 1, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;207;1187;505;227
5;"Dom Kultury, ul. Warszawska 27, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;98;505;301;97
6;"Klub Senior+ w Żelechowie, Żelechów ul. Chełmońskiego 21, 96-321 Żabia Wola";140506;"gm. Żabia Wola";"grodziski";"mazowieckie";1;1;97;491;242;105
1;"Hala Sportowa przy Szkole Podstawowej Nr 2, ul. Sienkiewicza 2, 05-410 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;155;1075;555;202
2;"Szkoła Podstawowa Nr 3, ul. Leśna 39, 05-420 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;75;542;248;127
3;"Miejski Ośrodek Kultury, ul. Kardynała Stefana Wyszyńskiego 1, 05-420 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;108;891;472;170
4;"Szkoła Podstawowa Nr 1 (sala Nr 1), ul. Mickiewicza 11, 05-420 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;117;800;498;197
5;"Szkoła Podstawowa Nr 1 (sala Nr 6), ul. Mickiewicza 11, 05-420 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;49;489;212;66
6;"Ochotnicza Straż Pożarna ""Świdry Małe"", ul. Nadwiślańska 132, 05-420 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;151;1307;598;251
7;"Przedszkole Miejskie Nr 1, ul. Sobieskiego 21, 05-410 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;57;407;216;71
8;"Młodzieżowy Ośrodek Socjoterapii ""Jędruś"", ul. Główna 10, 05-410 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;92;756;405;134
9;"Szkoła Podstawowa nr 2 (stołówka), ul. Sienkiewicza 2, 05-410 Józefów";141701;"m. Józefów";"otwocki";"mazowieckie";1;1;158;1172;561;203
1;"Szkoła Podstawowa Nr 2, ul. Józefa Poniatowskiego 47/49, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;83;722;327;142
2;"Szkoła Podstawowa Nr 12, ul. Michała Elwiro Andriollego 76, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;36;322;158;60
3;"Otwocki Klub Sportowy, ul. Sportowa 1, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;91;492;335;109
4;"Biuro Otwockiej Spółdzielni Mieszkaniowej, ul. Michała Elwiro Andriollego 54, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;79;589;297;122
5;"Miejski Ośrodek Kultury, Turystyki i Sportu, ul. Armii Krajowej 4, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;42;425;243;70
6;"Ośrodek Pomocy Społecznej, ul. Sosnowa 4, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;42;254;165;60
7;"Szkoła Podstawowa Nr 4, ul. Szkolna 31, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;90;585;467;175
8;"Szkoła Podstawowa Nr 1, ul. Karczewska 14/16, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;62;560;292;96
9;"Przedszkole Nr 12, ul. Stefana Batorego 34, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;143;845;474;199
10;"Przedszkole Nr 3, ul. Jodłowa 14, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;74;413;268;107
11;"Stacja Pomp OPWiK, ul. Stefana Batorego 2, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;139;771;606;211
12;"Szkoła Podstawowa Nr 6, ul. Ambasadorska 1, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;110;988;573;236
13;"Specjalny Ośrodek Szkolno-Wychowawczy Nr 1 im. Marii Konopnickiej, ul. Majowa 17/19, 05-402 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;51;430;357;139
14;"Przedszkole Nr 18, ul. Komunardów 4, 05-402 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;45;395;308;90
15;"Szkoła Podstawowa Nr 5, ul. Juliusza Słowackiego 66, 05-402 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;78;547;394;129
16;"Krajowa Szkoła Skarbowości, ul. Kolorowa 13, 05-402 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;82;574;332;132
17;"Klub Kultury ""Smok"", ul. Warszawska 11/13, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;95;577;402;111
18;"Szkoła Podstawowa Nr 3, ul. Tadeusza Kościuszki 28, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;84;723;333;146
19;"Liceum Ogólnokształcące Nr III, ul. Juliusza Słowackiego 4/10, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;63;392;339;109
20;"Zespół Szkół Ekonomiczno-Gastronomicznych, ul. Marii Konopnickiej 3, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;43;192;174;44
21;"Przedszkole Nr 10, ul. Jana Kochanowskiego 6, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;43;380;228;91
22;"Przedszkole Nr 6, ul. Kubusia Puchatka 28, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;56;333;202;94
23;"Szkoła Podstawowa Nr 7, ul. Majowa 267, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;64;337;319;140
24;"Szkoła Podstawowa Nr 8, ul. Stefana Żeromskiego 235, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;113;469;497;161
25;"Szkoła Podstawowa Nr 9, ul. Gabriela Narutowicza 275, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;59;422;389;126
26;"Klub Osiedlowy Otwockiej Spółdzielni Mieszkaniowej ""Grota"", Osiedle Ługi, ul. Generała St. Grota Roweckiego 2, 05-480 Karczew";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;58;499;272;113
27;"Powiatowe Centrum Zdrowia Sp. z o. o. w restrukturyzacji, ul. Stefana Batorego 44, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;0;13;7;3
28;"Samodzielny Publiczny Szpital Kliniczny im. Prof. Adama Grucy, Centrum Medycznego Kształcenia Podyplomowego, ul. Ks. Stanisława Konarskiego 13, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;9;68;81;12
29;"Samodzielny Publiczny ZOZ Szpital Specjalistyczny MSWiA, ul. Bolesława Prusa 1/3, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;6;24;30;6
30;"Mazowieckie Centrum Leczenia Chorób Płuc i Gruźlicy, ul. Władysława Stanisława Reymonta 83/91, 05-400 Otwock";141702;"m. Otwock";"otwocki";"mazowieckie";1;1;3;32;64;12
1;"Klub Wiejski w Pogorzeli, Pogorzel ul. Leśna 2, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;36;208;203;62
2;"Szkoła Podstawowa im. Dzieci Syberyjskich, Stara Wieś ul. Fabryczna 6, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;26;105;120;31
3;"Szkoła Podstawowa im. Mikołaja Kopernika w Ostrowie, Ostrów ul. Kościelna 1, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;25;121;177;58
4;"Publiczna Szkoła Podstawowa im. Batalionu Zośka w Celestynowie, ul. Wrzosowa 42, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;125;671;586;156
5;"Publiczna Szkoła Podstawowa im. Batalionu Zośka w Celestynowie, ul. św. Kazimierza 55, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;126;675;653;173
6;"Szkoła Podstawowa w Regucie, Regut ul. Wiatraczna 13, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;26;143;183;46
7;"""Mała Szkoła""-Szkoła Podstawowa w Podbieli, Podbiel 87, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;27;72;243;48
8;"Remiza OSP w Zabieżkach, Zabieżki ul. Prymasa Stefana Wyszyńskiego 3, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;30;113;283;56
9;"Remiza OSP w Dąbrówce, Dąbrówka ul. Strażacka 5, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;60;266;253;68
10;"Klub Mieszkańca w Glinie, Glina ul. Wilcza 10, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;58;240;290;91
11;"Remiza OSP w Dyzinie, Dyzin 23E, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;20;64;61;25
12;"Świetlica Sołecka w Jatnym, Jatne ul. Jana Wilanda 53, 05-430 Celestynów";141703;"gm. Celestynów";"otwocki";"mazowieckie";1;1;22;74;88;37
1;"Centrum Kultury, ul. Widok 2, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;125;725;699;171
2;"Szkoła Podstawowa Nr 2, ul. Otwocka 13, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;80;536;507;130
3;"Przedszkole Nr 2, ul. Mikołaja Kopernika 13, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;83;462;467;119
4;"Przedszkole Nr 3, ul. ks. bp. Władysława Miziołka 52, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;86;609;344;101
5;"Przedszkole Nr 3, ul. ks. bp. Władysława Miziołka 52, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;43;414;286;68
6;"Szkoła Podstawowa, Glinki 50, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;58;162;343;84
7;"Zespół Szkolno-Przedszkolny, Sobiekursk 36, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;55;228;276;67
8;"Zespół Szkolno-Przedszkolny, Otwock Wielki ul. Zamkowa 4, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;46;266;263;73
9;"Szkoła Podstawowa w Nadbrzeżu, Nadbrzeż 4, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;23;166;143;32
10;"Świetlica wiejska w Całowaniu, Całowanie 93, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;41;113;190;77
11;"Świetlica wiejska w Otwocku Małym, Otwock Mały 48, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;48;220;179;56
12;"Świetlica wiejska w Łukówcu, Łukówiec 4, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;16;71;127;34
13;"Świetlica wiejska w Janowie, Janów 50, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;17;123;123;39
14;"Dom Pomocy Społecznej, ul. Anielin 1, 05-480 Karczew";141704;"gm. Karczew";"otwocki";"mazowieckie";1;1;2;6;9;1
1;"Urząd Gminy w Kołbieli, ul. Szkolna 1, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;105;386;507;115
2;"Szkoła Podstawowa w Rudzienku, Rudzienko ul. Szkolna 11, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;59;182;440;86
3;"Świetlica w Sępochowie, Sępochów 51, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;22;156;161;55
4;"Szkoła Podstawowa w Człekówce, Człekówka 62, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;53;234;390;79
5;"Szkoła Podstawowa w Kątach, Kąty ul. Królewska 58, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;44;148;350;82
6;"Świetlica w Sufczynie, Sufczyn 23, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;48;226;385;53
7;"Szkoła Podstawowa w Kołbieli, ul. Szkolna 5, 05-340 Kołbiel";141705;"gm. Kołbiel";"otwocki";"mazowieckie";1;1;43;206;264;47
1;"Szkoła Podstawowa w Osiecku, ul. Warszawska 61, 08-445 Osieck";141706;"gm. Osieck";"otwocki";"mazowieckie";1;1;17;86;151;26
2;"Filia Gminnej Biblioteki Publicznej w Natolinie, Natolin 40, 08-445 Osieck";141706;"gm. Osieck";"otwocki";"mazowieckie";1;1;20;70;162;27
3;"Szkoła Podstawowa w Augustówce, Augustówka ul. Kolejowa 2, 08-445 Osieck";141706;"gm. Osieck";"otwocki";"mazowieckie";1;1;64;109;368;68
4;"Klub Senior+, ul. Rynek 6, 08-445 Osieck";141706;"gm. Osieck";"otwocki";"mazowieckie";1;1;71;245;405;88
5;"Ochotnicza Straż Pożarna w Pogorzeli, Pogorzel 91, 08-445 Osieck";141706;"gm. Osieck";"otwocki";"mazowieckie";1;1;26;37;180;30
1;"Publiczna Szkoła Podstawowa w Sobieniach-Jeziorach, ul. Garwolińska 14, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;68;384;385;59
2;"Świetlica Wiejska w Sobieniach-Jeziorach, ul. Duży Rynek 25, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;45;208;237;43
3;"Publiczna Szkoła Podstawowa w Siedzowie, Siedzów 30A, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;30;166;187;46
4;"Publiczna Szkoła Podstawowa w Starym Zambrzykowie, Stary Zambrzyków 59, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;41;163;234;46
5;"Publiczna Szkoła Podstawowa w Warszawicach, Warszawice 13, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;71;196;323;84
6;"Świetlica Wiejska w Dziecinowie, Dziecinów 115, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;44;170;304;63
7;"Świetlica Wiejska w Wysoczynie, Wysoczyn 105A, 08-443 Sobienie-Jeziory";141707;"gm. Sobienie-Jeziory";"otwocki";"mazowieckie";1;1;22;105;145;30
1;"Szkoła Podstawowa w Zakręcie, Zakręt ul. Szkolna 11, 05-077 Warszawa-Wesoła";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;90;427;254;88
2;"Świetlica w Izabeli, Izabela ul. Postępu 23, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;41;231;98;41
3;"Świetlica w Majdanie, Majdan ul. Klubowa 8, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;45;286;197;74
4;"Świetlica w Stefanówce, Stefanówka ul. Sowia 8, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;43;391;161;74
5;"świetlica w Boryszewie, Boryszew ul. Nadziei 3, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;10;48;86;22
6;"Duchnowski Dom Kultury, Duchnów ul. Wspólna 157, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;52;260;189;68
7;"Świetlica w Kącku, Kąck ul. Malownicza 21, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;21;104;59;19
8;"Przedszkole w Pęclinie, Pęclin ul. Radosna 74, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;36;125;119;48
9;"Pawilon Kultury, ul. Lubelska 53, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;53;437;214;88
10;"Szkoła Podstawowa w Wiązownie-mała sala gimnastyczna, ul. Kościelna 20, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;29;217;148;42
11;"Szkoła Podstawowa w Wiązownie-duża sala gimnastyczna, ul. Kościelna 20, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;52;304;185;64
12;"Szkoła Podstawowa w Wiązownie-świetlica szkolna, ul. Kościelna 20, 05-462 Wiązowna";141708;"gm. Wiązowna";"otwocki";"mazowieckie";1;1;33;193;117;42
