"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
57;"Zespół Szkół Przemysłu Spożywczego im. Powstańców Wielkopolskich, ul. Franciszkańska 137, 91-845 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;340;927
58;"XXIV Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie, ul. Marysińska 61/67, 91-850 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;583;1592
59;"Szkoła Podstawowa nr 45 im. Jana Matejki, ul. Bojowników Getta Warszawskiego 3, 91-431 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;278;549
60;"Szkoła Podstawowa nr 58 im. Melchiora Wańkowicza, ul. Młynarska 42/46, 91-838 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;392;925
61;"Centrum Zajęć Pozaszkolnych nr 1, ul. Zawiszy Czarnego 39, 91-818 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;532;1140
62;"Zespół Szkół Zawodowych Specjalnych nr 2, al. Al. Pierwszej Dywizji 16/18, 91-836 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;503;1179
63;"Szkoła Podstawowa nr 153 im. Marii Skłodowskiej-Curie, ul. Obrońców Westerplatte 28, 91-762 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;284;673
64;"Szkoła Podstawowa nr 81 im. Bohaterskich Dzieci Łodzi, ul. Emilii Plater 28/32, 91-762 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;363;1062
65;"Lokal Rady Osiedla Bałuty-Doły, ul. Wojska Polskiego 122, 91-743 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;94;246
66;"Szkoła Podstawowa Specjalna nr 105 im. Jacka Kuronia, ul. mjr. Henryka Sucharskiego 2, 91-744 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;343;937
