"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZAJDA Paweł Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"NITEK-PŁAŻYŃSKA Natalia - KW PRAWO I SPRAWIEDLIWOŚĆ";"KULECKI Łukasz Kazimierz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"CZARNOBAJ Leszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
6;"Filia Gminnego Ośrodka Kultury w Ryjewie, Trzciano 28, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;22;66;24;87
7;"Dom Pomocy Społecznej ""Słoneczne Wzgórze"", ul. Słoneczna 14, 82-420 Ryjewo";220705;"gm. Ryjewo";"kwidzyński";"pomorskie";1;1;1;11;2;5
1;"Sala posiedzeń Urząd Gminy Sadlinki, ul. Kwidzyńska 12, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;76;221;83;260
2;"Szkoła Podstawowa w Nebrowie Wielkim, Nebrowo Wielkie ul. Szkolna 6, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;32;215;35;162
3;"Szkoła Podstawowa w Sadlinkach, ul. Grudziądzka 14a, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;48;241;89;277
4;"Świetlica wiejska w Olszanicy, Olszanica 40A, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;37;166;39;99
5;"Świetlica wiejska w Kaniczkach, Kaniczki 23C, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;32;118;25;131
6;"Świetlica wiejska w Karpinach, Karpiny 26, 82-522 Sadlinki";220706;"gm. Sadlinki";"kwidzyński";"pomorskie";1;1;24;135;49;130
1;"Szkoła Podstawowa nr 3, ul. Stanisława Hadyny 18, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;147;380;106;981
2;"Środowiskowy Dom Samopomocy, ul. Jagiellońska 78B, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;108;241;82;734
3;"Powiatowy Urząd Pracy, ul. Aleja Armii Krajowej 70, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;95;240;89;451
4;"Młodzieżowy Ośrodek Wychowawczy nr 1, ul. Jagiellońska 94, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;88;252;56;598
5;"Świetlica Malborskiej Spółdzielni Mieszkaniowej, ul. Elizy Orzeszkowej 1, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;110;414;84;724
6;"Szkoła Podstawowa nr 1, ul. Stefana Żeromskiego 45, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;50;184;77;394
7;"Poradnia Psychologiczno-Pedagogiczna, ul. Tadeusza Kotarbińskiego 32, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;116;284;116;726
8;"Zespół Szkolno-Przedszkolny nr 1 w Malborku, ul. Józefa Wybickiego 32, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;127;342;102;838
9;"Zespół Szkolno-Przedszkolny nr 1 w Malborku, ul. Józefa Wybickiego 32, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;97;318;86;590
10;"Szkoła Podstawowa nr 8, ul. gen. de Gaulle'a 91, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;97;235;50;627
11;"Centrum Profilaktyki i Terapii Uzależnień, ul. Nowowiejskiego 48, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;93;330;85;619
12;"Placówka Wsparcia Dziennego ""Stacja Malbork +"", ul. Henryka Sienkiewicza 43, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;93;253;77;599
13;"Przedszkole Niepubliczne „Pod Kasztanami"", ul. Zieleniecka 15, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;72;311;102;564
14;"Szkoła Podstawowa nr 2, ul. Aleja Wojska Polskiego 479, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;101;319;86;626
15;"Ośrodek Sportu i Rekreacji, ul. Toruńska 60, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;99;345;99;601
16;"Szkoła Podstawowa nr 9, pl. Pl. Gabriela Narutowicza 15, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;77;207;66;391
17;"Przedszkole nr 5, ul. Wincentego Witosa 10, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;43;225;31;421
18;"Szkoła Podstawowa nr 6, ul. Tczewska 13, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;75;241;60;504
19;"Dom Pomocy Społecznej w Malborku, ul. Juliusza Słowackiego 45, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;2;7;0;5
20;"Zakład Karny w Malborku, ul. Poczty Gdańskiej 19 A, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;14;36;41;83
21;"Powiatowe Centrum Zdrowia Sp. z o. o. Szpital w Malborku, ul. Aleja Armii Krajowej 105/106, 82-200 Malbork";220901;"m. Malbork";"malborski";"pomorskie";1;1;1;7;1;12
1;"Świetlica wiejska w Lichnowach, ul. Lachowicza 25A, 82-224 Lichnowy";220903;"gm. Lichnowy";"malborski";"pomorskie";1;1;76;266;80;315
2;"Świetlica Wiejska w Lisewie Malborskim, Lisewo Malborskie ul. 10 Marca 51A, 82-224 Lichnowy";220903;"gm. Lichnowy";"malborski";"pomorskie";1;1;61;201;81;308
3;"Budynek przy ul. Głównej 5 w Szymankowie, Szymankowo ul. Główna 5, 82-224 Lichnowy";220903;"gm. Lichnowy";"malborski";"pomorskie";1;1;45;156;43;191
4;"Świetlica wiejska w Parszewie, Parszewo ul. Brzozowa 1, 82-224 Lichnowy";220903;"gm. Lichnowy";"malborski";"pomorskie";1;1;5;34;17;85
1;"Urząd Gminy Malbork, ul. Ceglana 7, 82-200 Malbork";220904;"gm. Malbork";"malborski";"pomorskie";1;1;82;196;94;429
2;"Świetlica wiejska w Lasowicach Wielkich, Lasowice Wielkie 44, 82-200 Malbork";220904;"gm. Malbork";"malborski";"pomorskie";1;1;49;111;48;190
3;"Szkoła Podstawowa w Nowej Wsi Malborskiej, Nowa Wieś Malborska ul. Stanisława Moniuszki 24, 82-200 Malbork";220904;"gm. Malbork";"malborski";"pomorskie";1;1;75;184;74;545
4;"Świetlica wiejska w Stogach, Stogi 15, 82-200 Malbork";220904;"gm. Malbork";"malborski";"pomorskie";1;1;36;142;46;191
1;"Zespół Szkół i Przedszkola w Miłoradzu, ul. Szkolna 1, 82-213 Miłoradz";220906;"gm. Miłoradz";"malborski";"pomorskie";1;1;65;206;77;279
2;"Szkoła Podstawowa w Kończewicach, Kończewice 8, 82-213 Miłoradz";220906;"gm. Miłoradz";"malborski";"pomorskie";1;1;83;229;73;267
3;"Centrum Aktywności Seniora w Gminie Miłoradz, Mątowy Wielkie 22, 82-113 Miłoradz";220906;"gm. Miłoradz";"malborski";"pomorskie";1;1;33;98;19;73
4;"Świetlica Wiejska, Pogorzała Wieś 37, 82-113 Miłoradz";220906;"gm. Miłoradz";"malborski";"pomorskie";1;1;21;57;16;74
1;"Sala wielofunkcyjna przy kompleksie zespołu służb ratowniczych w Nowym Stawie, ul. gen. Józefa Bema 7, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;43;213;42;316
2;"Galeria Żuławska, rynek Rynek Kościuszki 1A, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;69;259;75;430
3;"Sala gimnastyczna przy dawnym Technikum Rolniczym w Nowym Stawie, ul. Mickiewicza 51, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;90;249;92;333
4;"Nowatorskie Centrum Kultury i Biblioteki Świetlica wiejska w Lipince, Lipinka 16a, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;60;165;61;194
5;"Świetlica Wiejska, Dębina 46a, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;42;111;28;123
6;"Świetlica Wiejska, Świerki 31b, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;10;49;8;48
7;"Świetlica Wiejska, Tralewo 14a, 82-230 Nowy Staw";220907;"gm. Nowy Staw";"malborski";"pomorskie";1;1;17;29;20;101
1;"Gminny Ośrodek Kultury i Sportu w Starym Polu, ul. Marynarki Wojennej 1b, 82-220 Stare Pole";220908;"gm. Stare Pole";"malborski";"pomorskie";1;1;64;250;63;360
2;"Szkoła Podstawowa im. Generała Józefa Bema w Starym Polu, ul. Generała Józefa Bema 6, 82-220 Stare Pole";220908;"gm. Stare Pole";"malborski";"pomorskie";1;1;51;179;62;380
3;"Świetlica wiejska, Królewo 30, 82-220 Stare Pole";220908;"gm. Stare Pole";"malborski";"pomorskie";1;1;61;158;76;264
4;"Świetlica wiejska, Ząbrowo 84A, 82-220 Stare Pole";220908;"gm. Stare Pole";"malborski";"pomorskie";1;1;16;65;14;82
1;"sala narad przy Urzędzie Miasta, ul. Górników 15, 82-120 Krynica Morska";221001;"m. Krynica Morska";"nowodworski";"pomorskie";1;1;79;316;60;643
1;"Urząd Miejski, ul. Ernesta Wejhera 3, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;49;191;35;384
2;"Szkoła Podstawowa nr 1 im. Janusza Korczaka, ul. Szkolna 2, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;39;155;64;435
3;"Żuławski Park Historyczny, ul. Mikołaja Kopernika 17, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;72;208;71;601
4;"Szkoła Podstawowa Nr 2, ul. Adama Mickiewicza 10, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;73;216;65;506
5;"Filia Urzędu Miejskiego-Urząd Stanu Cywilnego, ul. Warszawska 28a, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;60;167;40;431
6;"Liceum Ogólnokształcące im. Ziemi Żuławskiej w Nowym Dworze Gdańskim, ul. 3-go Maja 3, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;27;109;38;314
7;"Miejskie Przedszkole Nr 4, ul. Tczewska 6, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;45;175;47;402
8;"Zespół Szkół w Nowym Dworze Gdańskim, ul. Warszawska 54, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;39;180;32;209
9;"Zespół Szkolno-Przedszkolny w Marzęcinie, Marzęcino ul. Polna 5, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;31;136;29;197
10;"Świetlica Wiejska w Kępkach, Kępki 45, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;20;76;23;137
11;"Świetlica Wiejska w Jazowej, Jazowa 32A, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;32;206;46;183
12;"Zespół Szkolno-Przedszkolny w Kmiecinie, Kmiecin ul. Żuławska 6, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;42;145;47;315
13;"Budynek Szkoły Podstawowej w Lubieszewie, Marynowy ul. Nowodworska 42, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;48;127;39;221
14;"Świetlica Wiejska w Lubieszewie, Lubieszewo 16, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;62;202;51;279
15;"Świetlica Wiejska w Kępinach Małych, Kępiny Małe 43, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;15;65;20;64
16;"Świetlica Wiejska w Solnicy, Solnica 47, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;11;40;10;55
17;"Powiatowe Centrum Zdrowia Sp. z o. o. w Malborku Szpital w Nowym Dworze Gdańskim, ul. Dworcowa 12, 82-100 Nowy Dwór Gdański";221002;"gm. Nowy Dwór Gdański";"nowodworski";"pomorskie";1;1;1;2;0;7
1;"Biblioteka Publiczna i Gminny Ośrodek Kultury w Ostaszewie, ul. Kościuszki 34, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;43;167;46;243
2;"Filia Szkoły Podstawowej w Nowej Cerkwi, Nowa Cerkiew 10, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;17;83;20;82
3;"Świetlica Wiejska w Nowej Kościelnicy, Nowa Kościelnica 42, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;49;144;42;195
4;"Świetlica Wiejska w Jezierniku, Jeziernik 10, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;24;72;25;67
5;"Świetlica Wiejska w Gniazdowie, Gniazdowo 4, 82-112 Ostaszewo";221003;"gm. Ostaszewo";"nowodworski";"pomorskie";1;1;10;32;8;35
