"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TRELA Jacek Szczęsny - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SPRAWKA Lech Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIOTROWSKI Mirosław Mariusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Mieczysław Antoni - KW RUCH NAPRAWY POLSKI";"NOWAK Marcin Andrzej - KWW MARCINA NOWAKA"
28;"Szkoła Podstawowa nr 7 im. ks. Jana Twardowskiego, ul. Plażowa 9, 20-620 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;389;204;55;28;34
29;"Szkoła Podstawowa nr 24 im. Partyzantów Lubelszczyzny, ul. Niecała 1, 20-116 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;172;116;44;19;13
30;"Zarząd Nieruchomości Komunalnych, ul. Grodzka 12, 20-112 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;146;100;39;10;29
31;"Zespół Szkół nr 1 im. Władysława Grabskiego, ul. Podwale 11, 20-117 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;116;113;42;6;25
32;"Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka, ul. Bronowicka 21, 20-301 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;450;430;140;41;55
33;"Szkoła Podstawowa nr 31 im. Lotników Polskich, ul. Lotnicza 1, 20-322 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;379;301;119;45;36
34;"Szkoła Podstawowa nr 31 im. Lotników Polskich, ul. Lotnicza 1, 20-322 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;363;410;86;36;47
35;"Dzielnicowy Dom Kultury BRONOWICE, ul. Krańcowa 106, 20-320 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;466;434;98;50;33
36;"VIII Liceum Ogólnokształcące im. Zofii Nałkowskiej, ul. Słowicza 5, 20-337 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;496;453;129;39;55
37;"Szkoła Podstawowa nr 33 im. 27. Wołyńskiej Dywizji Piechoty Armii Krajowej, ul. Pogodna 19, 20-337 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;503;449;115;30;37
38;"Szkoła Podstawowa nr 33 im. 27. Wołyńskiej Dywizji Piechoty Armii Krajowej, ul. Pogodna 19, 20-337 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;359;282;73;26;41
39;"VIII Liceum Ogólnokształcące im. Zofii Nałkowskiej, ul. Słowicza 5, 20-336 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;438;260;133;29;38
40;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 34, ul. Judyma 2a, 20-718 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;394;164;81;18;21
41;"Dzielnicowy Dom Kultury „Węglin”, ul. Judyma 2a, 20-716 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;362;197;82;27;18
42;"Dzielnicowy Dom Kultury „Węglin”, ul. Judyma 2a, 20-716 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;453;383;85;37;30
43;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 40, ul. Sławin 20, 20-828 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;671;352;112;38;42
44;"Lubelskie Hospicjum dla Dzieci im. „Małego Księcia”, ul. Lędzian 49, 20-828 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;717;330;101;33;34
45;"Zespół Szkół Elektronicznych, ul. Wojciechowska 38, 20-704 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;593;262;109;33;29
46;"Zespół Szkół Elektronicznych, ul. Wojciechowska 38, 20-704 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;597;393;154;30;41
47;"Szkoła Podstawowa nr 57 im. Jana Kochanowskiego, ul. Zygmunta Krasińskiego 7, 20-709 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;720;467;102;36;50
48;"Szkoła Podstawowa nr 42 im. K. Ildefonsa Gałczyńskiego, ul. Rycerska 9, 20-718 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;740;489;137;35;29
49;"Szkoła Podstawowa nr 3 im. Juliusza Słowackiego, ul. Balladyny 22, 20-601 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;533;375;97;45;55
50;"Przedszkole Integracyjne nr 39, ul. Balladyny 14, 20-601 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;327;230;48;31;28
51;"Szkoła Podstawowa nr 29 im. Adama Mickiewicza, ul. Wajdeloty 1, 20-604 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;380;186;64;20;22
52;"XXX Liceum Ogólnokształcące im. księdza Jana Twardowskiego, ul. Wajdeloty 12, 20-604 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;358;220;56;23;32
53;"XXX Liceum Ogólnokształcące im. księdza Jana Twardowskiego, ul. Wajdeloty 12, 20-604 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;445;225;102;35;39
54;"Przedszkole nr 33 im. Kubusia Puchatka, ul. Grażyny 10, 20-605 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;319;200;60;27;30
55;"Przedszkole nr 47, ul. Mieszka I nr 3, 20-610 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;385;233;94;31;26
56;"Młodzieżowy Dom Kultury „Pod Akacją”, ul. Bolesława Chrobrego 18, 20-611 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;611;298;96;30;33
57;"Zespół Przedszkolny nr 1, ul. Zachodnia 7, 20-620 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;476;352;83;41;26
58;"Przedszkole Niepubliczne Akademia Poziomkowa w Lublinie, ul. Siewna 20, 20-617 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;499;321;75;35;37
59;"Przedszkole nr 48, ul. Leonarda 15, 20-625 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;300;236;57;26;27
60;"Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza, ul. Pana Wołodyjowskiego 13, 20-627 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;413;225;84;19;21
61;"Przedszkole nr 46, ul. Pana Wołodyjowskiego 1, 20-627 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;373;286;74;38;37
62;"Szkoła Podstawowa nr 38 im. Henryka Sienkiewicza, ul. Pana Wołodyjowskiego 13, 20-627 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;755;453;136;32;51
63;"Przedszkole nr 49, ul. Pana Balcera 11, 20-631 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;581;428;109;55;55
64;"Przedszkole nr 57, ul. Ignacego Rzeckiego 12, 20-637 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;585;458;120;38;37
65;"Zespół Szkół Ogólnokształcących nr 5, ul. Ignacego Rzeckiego 10, 20-637 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;625;369;102;39;40
66;"Politechnika Lubelska Wydział Mechaniczny, ul. Nadbystrzycka 36, 20-618 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;735;348;130;45;49
67;"Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka, ul. Krochmalna 29, 20-401 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;157;171;40;13;8
68;"Szkoła Podstawowa Specjalna nr 26 im. Janusza Korczaka, ul. Krochmalna 29, 20-401 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;104;134;38;9;10
69;"Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego, ul. aleja Józefa Piłsudskiego 26, 20-407 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;141;106;38;12;14
70;"Szkoła Podstawowa nr 20 im. Jarosława Dąbrowskiego, ul. aleja Józefa Piłsudskiego 26, 20-407 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;146;149;41;17;12
71;"Przedszkole nr 85, ul. Onyksowa 8, 20-582 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;710;253;190;41;55
72;"Zespół Szkół nr 13, ul. Berylowa 7, 20-582 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;728;202;215;42;52
73;"Prywatna Szkoła Podstawowa im. Królowej Jadwigi w Lublinie, ul. Wróbla 37, 20-719 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;519;222;109;38;34
74;"Szkoła Podstawowa nr 50 im. Kardynała Stefana Wyszyńskiego, ul. Roztocze 14, 20-722 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;400;266;58;21;20
75;"Szkoła Podstawowa nr 50 im. Kardynała Stefana Wyszyńskiego, ul. Roztocze 14, 20-722 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;754;456;132;36;32
76;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 32, ul. Szaserów 13-15, 20-554 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;597;448;103;35;43
77;"Biuro Obsługi Mieszkańców, ul. Szaserów 13 - 15, 20-553 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;733;461;138;48;54
78;"Szkoła Podstawowa nr 42 im. K. Ildefonsa Gałczyńskiego, ul. Rycerska 9, 20-552 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;588;436;81;33;44
79;"Przedszkole nr 69, ul. Dziewanny 19, 20-539 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;757;537;120;48;60
80;"Szkoła Podstawowa nr 46 im. Króla Jana III Sobieskiego, ul. Biedronki 13, 20-543 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;322;206;68;22;19
81;"Zespół Szkół nr 10, ul. Biedronki 13, 20-543 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;485;444;105;48;33
82;"Przedszkole nr 31, ul. Tymiankowa 60, 20-542 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;550;439;98;37;35
83;"Przedszkole nr 72, ul. Różana 9, 20-538 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;626;470;142;47;49
84;"Dom Kultury „Ruta”, ul. Różana 8, 20-538 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;385;258;81;24;27
85;"Szkoła Podstawowa nr 28 z Oddziałami Integracyjnymi im. Synów Pułku Ziemi Lubelskiej, ul. Radości 13, 20-538 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;625;382;111;43;38
86;"Szkoła Podstawowa nr 28 z Oddziałami Integracyjnymi im. Synów Pułku Ziemi Lubelskiej, ul. Radości 13, 20-530 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;590;505;112;37;51
87;"Przedszkole nr 77, ul. Radości 8, 20-530 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;652;504;107;50;47
88;"Przedszkole nr 73, ul. Uśmiechu 5, 20-534 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;574;419;91;29;41
89;"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;770;306;145;52;36
90;"Niepubliczne Przedszkole Językowe „BURSZTYNEK”, ul. Bursztynowa 3a, 20-576 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;416;267;76;24;26
91;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 35, ul. Bursztynowa 20, 20-574 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;711;365;127;44;34
92;"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-577 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;427;183;61;13;26
93;"Przedszkole Nr 63, ul. Szmaragdowa 22, 20-570 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;631;463;134;39;41
94;"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;396;223;71;48;30
95;"Szkoła Podstawowa nr 51 im. Jana Pawła II, ul. Bursztynowa 22, 20-576 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;656;332;123;36;41
96;"Przedszkole nr 81, ul. Wyżynna 10, 20-560 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;648;484;138;53;44
97;"Administracja SM „WĘGLINEK”, ul. Wyżynna 19/1, 20-560 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;474;323;94;30;33
98;"Przedszkole Prywatne „Lubelskie Skrzaty”, ul. Nadbystrzycka 162, 20-506 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;488;271;113;30;38
99;"Szkoła Podstawowa Klonowic w Lublinie, ul. Aleja Warszawska 94, 20-824 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;792;555;190;39;72
100;"Ośrodek Wsparcia dla Osób z Niepełnosprawnością „Benjamin”, ul. Zbożowa 22a, 20-827 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;1225;579;215;37;57
101;"Zespół Szkół nr 12 – Siedziba Rady i Zarządu Dzielnicy Sławin, ul. Sławinkowska 50, 20-810 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;763;310;146;44;39
102;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 38, ul. Relaksowa 25, 20-819 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;926;311;190;48;93
103;"Zespół Szkół nr 12, ul. Sławinkowska 50, 20-810 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;910;523;182;50;68
104;"Szkoła Podstawowa nr 16 im. Fryderyka Chopina, ul. Poturzyńska 2, 20-853 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;1251;644;191;81;81
105;"Spółdzielnia Budowlano–Mieszkaniowa „CHOINY”, ul. Gorczańska 2, 20-868 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;893;380;92;54;38
106;"Przedszkole nr 37, ul. Zakopiańska 3, 20-858 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;517;378;106;46;50
107;"Przedszkole nr 76, ul. Ignacego Jana Paderewskiego 12, 20-860 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;437;393;72;48;42
108;"Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego, ul. Józefa Śliwińskiego 5, 20-861 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;433;385;92;38;40
109;"Szkoła Podstawowa nr 43 im. Ignacego Jana Paderewskiego, ul. Józefa Śliwińskiego 5, 20-861 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;468;393;75;32;40
110;"Szkoła Podstawowa nr 16 im. Fryderyka Chopina, ul. Poturzyńska 2, 20-853 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;645;405;131;34;41
111;"Przedszkole nr 75, ul. Żelazowej Woli 24, 20-853 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;596;487;93;38;48
112;"Szkoła Podstawowa nr 34 im. Kornela Makuszyńskiego, ul. Ireny Kosmowskiej 3, 20-815 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;635;473;128;56;63
113;"Szkoła Podstawowa nr 5 im. Króla Władysława Łokietka, ul. Smyczkowa 3, 20-844 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;585;512;104;40;53
114;"Przedszkole z Oddziałem Integracyjnym nr 70 w Lublinie, ul. Smyczkowa 2, 20-844 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;530;460;118;36;44
115;"Przedszkole nr 2, ul. Lawinowa 7, 20-864 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;513;414;103;49;27
116;"Przedszkole Specjalne nr 11, ul. Młodej Polski 30, 20-863 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;754;488;102;60;48
117;"Miejska Biblioteka Publiczna im. Hieronima Łopacińskiego Filia nr 29, ul. Jana Kiepury 5, 20-838 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;466;348;101;35;47
118;"Przedszkole nr 56, ul. Kurantowa 3, 20-836 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;446;403;80;45;36
119;"Przedszkole nr 58, ul. Radzyńska 16, 20-850 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;520;371;91;37;52
120;"Zespół Szkół Ogólnokształcących nr 1 im. Zbigniewa Herberta, ul. Radzyńska 5, 20-850 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;533;397;82;31;44
121;"Zespół Szkół Ogólnokształcących nr 1 im. Zbigniewa Herberta, ul. Radzyńska 5, 20-850 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;527;409;107;32;41
122;"Specjalistyka Czechów Sp. z o. o., ul. Aleja Kompozytorów Polskich 8a, 20-848 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;572;314;101;24;53
123;"Spółdzielnia Mieszkaniowa „RUDNIK”, ul. Feliksa Nowowiejskiego 6, 20-880 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;630;280;79;27;43
124;"Przedszkole nr 89, ul. Dożynkowa 38, 20-223 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;820;339;191;59;64
125;"Szkoła Podstawowa nr 48 im. Józefa Piłsudskiego, ul. Jana Kasprowicza 112, 20-232 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;113;164;36;14;5
126;"Specjalny Ośrodek Szkolno-Wychowawczy nr 1, ul. Aleja Spółdzielczości Pracy 65, 20-147 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;1150;406;175;63;80
127;"Budynek parafii rzymsko-katolickiej pw. św. Antoniego Padewskiego, ul. Kasztanowa 1, 20-138 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;443;363;114;50;46
128;"Szkoła Podstawowa nr 4 im. Adama Mickiewicza, ul. Hiacyntowa 69, 20-143 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;421;345;124;34;29
129;"Szkoła Podstawowa nr 4 im. Adama Mickiewicza, ul. Hiacyntowa 69, 20-143 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;647;446;141;50;43
130;"Niepubliczne Przedszkole „Krasnal 2”, ul. Owocowa 6, 20-140 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;628;466;161;35;46
131;"Zespół Szkół Ogólnokształcących nr 4 im. Orląt Lwowskich, ul. Kazimierza Tumidajskiego 6a, 20-137 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;344;231;54;25;19
132;"Zespół Szkół Ogólnokształcących nr 4 im. Orląt Lwowskich, ul. Kazimierza Tumidajskiego 6a, 20-247 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;379;368;71;34;38
133;"Przedszkole nr 59, ul. Niepodległości 12a, 20-246 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;393;375;89;39;42
134;"Administracja Osiedla „NIEPODLEGŁOŚCI”, ul. Kazimierza Tumidajskiego 24, 20-247 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;388;348;89;31;28
135;"Zespół Szkół Ogólnokształcących nr 4 im. Orląt Lwowskich, ul. Kazimierza Tumidajskiego 6a, 20-137 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;631;554;134;30;47
136;"RSM MOTOR, ul. Ignacego Daszyńskiego 4, 20-250 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;513;524;100;44;42
137;"Zespół Ośrodków Wsparcia w Lublinie, ul. Lwowska 28, 20-128 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;496;393;121;52;56
138;"Przedszkole nr 13, ul. Stefana Okrzei 9, 20-138 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;410;355;101;55;37
139;"Siedziba Rady i Zarządu Dzielnicy KALINOWSZCZYZNA, ul. Franciszka Kleeberga 12a, 20-243 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;445;440;95;37;26
140;"Szkoła Podstawowa nr 23 im. Olimpijczyków Polskich, ul. Podzamcze 9, 20-126 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;356;325;90;29;40
141;"Zespół Szkół Odzieżowo-Włókienniczych im. Władysława Stanisława Reymonta, ul. Lwowska 11, 20-128 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;389;340;81;34;33
142;"Przedszkole nr 52, ul. Józefa Kustronia 10, 20-241 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;332;282;65;38;34
143;"Szkoła Podstawowa nr 10 im. Henryka Sienkiewicza, ul. Kalinowszczyzna 70, 20-201 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;267;232;55;22;17
144;"Szkoła Podstawowa nr 27 im. Marii Montessori, ul. Kresowa 1, 20-215 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;191;273;76;20;26
145;"Zespół Szkół Ogólnokształcących nr 2, ul. Przyjaźni 12, 20-314 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;224;256;50;30;30
146;"Zespół Szkół Ogólnokształcących nr 2, ul. Przyjaźni 12, 20-314 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;252;281;68;26;21
147;"Szkoła Podstawowa nr 27 im. Marii Montessori, ul. Kresowa 1, 20-215 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;259;273;75;30;20
148;"Siedziba Rady i Zarządu Dzielnicy TATARY, ul. Gospodarcza 32, 20-213 Lublin";66301;"m. Lublin";"Lublin";"lubelskie";1;1;249;228;52;30;17
