"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"NOWOSIELSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MAMĄTOW Robert Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"KASJANIUK Adam - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"AUGUSTYNIAK Mirosław Jan - KWW M. AUGUSTYNIAK";"DĄBROWSKI Zbigniew - KW ZJEDNOCZENI";"ROGALSKI Bogusław - KW ZJEDNOCZENIE CHRZEŚCIJAŃSKICH RODZIN"
4;"Świetlica Wiejska w Gutach Dużych, Guty Duże 43, 06-232 Czerwonka Szlachecka";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;9;54;7;39;2;0
5;"Świetlica Wiejska w Dąbrówce, Dąbrówka 38, 06-232 Czerwonka Szlachecka";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;5;90;5;54;1;1
6;"Świetlica Wiejska w Perzanowie, Perzanowo 15, 06-232 Czerwonka Szlachecka";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;19;111;9;43;1;10
7;"Świetlica Wiejska w Ulaskach, Ulaski 13, 06-200 Maków Mazowiecki";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;18;64;9;49;1;2
8;"Świetlica Wiejska w Jankowie, Jankowo 14B, 06-200 Maków Mazowiecki";141102;"gm. Czerwonka";"makowski";"mazowieckie";1;1;30;91;16;57;0;5
1;"Zespół Szkolno-Przedszkolny w Karniewie, ul. Szkolna 9, 06-425 Karniewo";141103;"gm. Karniewo";"makowski";"mazowieckie";1;1;149;512;70;494;13;22
2;"Remiza Ochotniczej Straży Pożarnej, Łukowo 71, 06-425 Karniewo";141103;"gm. Karniewo";"makowski";"mazowieckie";1;1;37;144;29;165;4;3
3;"Szkoła Podstawowa w Romanowie, Romanowo 12, 06-425 Karniewo";141103;"gm. Karniewo";"makowski";"mazowieckie";1;1;52;161;36;248;3;6
4;"Świetlica Wiejska w Szwelicach, Szwelice 83, 06-100 Pułtusk";141103;"gm. Karniewo";"makowski";"mazowieckie";1;1;59;282;30;176;4;12
1;"Szkoła Podstawowa, ul. Ogrodowa 2A, 06-212 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;146;227;76;293;8;82
2;"Gminny Ośrodek Kultury, ul. Rynek 40A, 06-212 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;42;146;22;144;5;27
3;"Szkoła Podstawowa, Amelin 33, 06-212 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;21;43;10;93;4;167
4;"Budynek byłej Szkoły Podstawowej, Pienice 19, 06-212 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;20;58;13;129;4;22
5;"Szkoła Podstawowa, Drążdżewo 62, 06-214 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;114;334;57;208;14;66
6;"Szkoła Podstawowa, Raki 55A, 06-214 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;24;108;7;65;2;56
7;"Remiza Ochotniczej Straży Pożarnej, Chłopia Łąka 26, 06-212 Krasnosielc";141104;"gm. Krasnosielc";"makowski";"mazowieckie";1;1;20;73;24;94;3;58
1;"Publiczna Szkoła Podstawowa z Publicznym Przedszkolem, ul. Ostrołęcka 24, 06-231 Młynarze";141105;"gm. Młynarze";"makowski";"mazowieckie";1;1;57;154;33;122;4;12
2;"Świetlica Wiejska, Kołaki 17, 06-231 Młynarze";141105;"gm. Młynarze";"makowski";"mazowieckie";1;1;21;103;20;61;0;6
3;"Świetlica Wiejska, Rupin 2, 06-231 Młynarze";141105;"gm. Młynarze";"makowski";"mazowieckie";1;1;5;99;15;91;4;12
4;"Świetlica Wiejska w Sieluniu, Sieluń 28, 06-231 Młynarze";141105;"gm. Młynarze";"makowski";"mazowieckie";1;1;19;72;14;41;3;7
1;"Remiza OSP, Jaciążek 25, 06-210 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;41;165;23;112;3;16
2;"Remiza OSP, Stary Podoś 45, 06-210 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;30;57;8;57;1;12
3;"Publiczna Szkoła Podstawowa im. Arkadiusza Gołasia w Płoniawach-Bramurze, Płoniawy-Bramura 80A, 06-210 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;61;149;29;244;4;26
4;"Publiczna Szkoła Podstawowa im. Św. Stanisława Kostki w Chodkowie Wielkim, Chodkowo Wielkie 29, 06-210 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;32;154;16;119;3;8
5;"Publiczna Szkoła Podstawowa im. Marii Skłodowskiej-Curie w Krasińcu, Krasiniec 18, 06-211 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;57;238;28;177;10;14
6;"Publiczna Szkoła Podstawowa im. Bohaterów Września w Węgrzynowie, Węgrzynowo 150, 06-211 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;22;160;24;230;3;8
7;"Świetlica wiejska, Kobylinek 2A, 06-211 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;11;70;11;112;2;6
8;"Remiza OSP w Zawadach Dworskich, Zawady Dworskie 32A, 06-210 Płoniawy-Bramura";141106;"gm. Płoniawy-Bramura";"makowski";"mazowieckie";1;1;16;69;13;68;2;5
1;"Gminny Ośrodek Upowszechniania Kultury w Różanie, ul. Adama Mickiewicza 5, 06-230 Różan";141107;"gm. Różan";"makowski";"mazowieckie";1;1;231;337;56;175;14;24
2;"Urząd Gminy w Różanie (sala konferencyjna), ul. Plac Obrońców Różana 4, 06-230 Różan";141107;"gm. Różan";"makowski";"mazowieckie";1;1;160;290;53;158;16;22
3;"Dzienny Dom Senior + w Różanie, ul. Gdańska 4/3, 06-230 Różan";141107;"gm. Różan";"makowski";"mazowieckie";1;1;199;402;64;235;20;33
1;"Publiczna Szkoła Podstawowa im. Armii Krajowej, Rzewnie 3, 06-225 Rzewnie";141108;"gm. Rzewnie";"makowski";"mazowieckie";1;1;79;398;36;312;10;15
2;"Centrum Sportu, Rekreacji i Zarządzania Kryzysowego, Łachy Włościańskie 10, 06-225 Rzewnie";141108;"gm. Rzewnie";"makowski";"mazowieckie";1;1;118;142;17;143;3;8
3;"Świetlica wiejska, Nowy Sielc 42, 06-225 Rzewnie";141108;"gm. Rzewnie";"makowski";"mazowieckie";1;1;34;115;10;58;6;6
1;"Zespół Placówek Oświatowych w Sypniewie, ul. Władysława Broniewskiego 2A, 06-216 Sypniewo";141109;"gm. Sypniewo";"makowski";"mazowieckie";1;1;34;182;41;468;3;10
2;"Szkoła Podstawowa w Maminie, Mamino 43, 06-216 Sypniewo";141109;"gm. Sypniewo";"makowski";"mazowieckie";1;1;1;42;4;55;1;2
3;"Świetlica Wiejska w Rawach, Rawy 32, 06-213 Sypniewo";141109;"gm. Sypniewo";"makowski";"mazowieckie";1;1;3;52;6;76;1;6
4;"Szkoła Podstawowa w Gąsewie Poduchownym, Gąsewo Poduchowne ul. Władysława Reymonta 12A, 06-213 Sypniewo";141109;"gm. Sypniewo";"makowski";"mazowieckie";1;1;42;261;26;327;3;48
1;"Gminne Centrum Kultury, Czytelnictwa i Sportu, Stary Szelków 35A, 06-220 Stary Szelków";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;93;341;40;207;14;18
2;"Świetlica wiejska, Makowica 41, 06-200 Maków Mazowiecki";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;63;144;19;129;3;5
3;"Świetlica OSP, Pomaski Wielkie 5, 06-200 Maków Mazowiecki";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;15;73;13;58;2;5
4;"Świetlica wiejska, Przeradowo 23, 06-220 Stary Szelków";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;39;132;9;64;4;5
5;"Świetlica wiejska, Ciepielewo 66, 06-220 Stary Szelków";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;28;126;22;78;1;5
6;"Budynek gminny w Nowym Strachocinie, Nowy Strachocin 22, 06-220 Stary Szelków";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;14;49;3;35;2;4
7;"Świetlica wiejska, Dzierżanowo 53, 06-200 Maków Mazowiecki";141110;"gm. Szelków";"makowski";"mazowieckie";1;1;8;71;8;29;1;2
1;"Szkoła Podstawowa im. Jana Pawła II, ul. Niepodległości 27A, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;156;343;65;285;6;21
2;"Szkoła Podstawowa, Jastrząbka 33, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;50;131;22;108;4;11
3;"Remizo-świetlica, Cierpięta 7, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;43;170;33;68;2;17
4;"Remiza Strażacka, Brodowe Łąki 30, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;56;224;38;93;6;11
5;"Budynek po byłej Szkole Podstawowej w Bakule-Ziomku, Ziomek 1, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;32;116;22;63;13;3
6;"Zespół Szkół Powiatowych, ul. Niepodległości 27, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;72;242;50;119;5;14
7;"Szkoła Podstawowa im. Aleksandra Kopcia w Zawadach, Zawady 51, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;37;100;25;68;4;2
8;"Szkoła Podstawowa w Czarnotrzewiu, Czarnotrzew 16, 06-320 Baranowo";141501;"gm. Baranowo";"ostrołęcki";"mazowieckie";1;1;22;68;8;28;1;4
1;"Szkoła Podstawowa, Czarnia 42, 07-431 Czarnia";141502;"gm. Czarnia";"ostrołęcki";"mazowieckie";1;1;37;155;32;142;8;8
2;"Remizo-Świetlica, Bandysie 33A, 07-431 Czarnia";141502;"gm. Czarnia";"ostrołęcki";"mazowieckie";1;1;12;98;12;27;1;7
3;"Centrum Usług Społecznych w Gminie Czarnia, Długie 13, 07-431 Czarnia";141502;"gm. Czarnia";"ostrołęcki";"mazowieckie";1;1;18;58;8;25;3;5
4;"Szkoła Podstawowa, Surowe 194, 07-431 Czarnia";141502;"gm. Czarnia";"ostrołęcki";"mazowieckie";1;1;47;253;35;93;10;12
1;"Szkoła Podstawowa, ul. Szkolna 5, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;170;435;69;227;13;23
2;"Remiza OSP, Jarnuty 48, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;24;68;11;33;3;2
3;"Remiza OSP, Suchcice ul. Zadworska 2, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;25;63;6;42;1;3
4;"Szkoła Podstawowa, Laski Szlacheckie 35A, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;57;164;19;76;9;11
5;"Szkoła Podstawowa, Piski ul. Juliusza Słowackiego 22, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;58;334;46;133;7;18
6;"Remiza OSP, Malinowo Nowe 14, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;27;62;21;43;5;6
7;"Remiza OSP, Gocły 34A, 07-407 Czerwin";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;31;106;18;27;5;9
8;"Remiza Ochotniczej Straży Pożarnej w Dzwonku, Dzwonek 58, 07-407 Dzwonek";141503;"gm. Czerwin";"ostrołęcki";"mazowieckie";1;1;31;84;9;46;5;4
1;"Szkoła Podstawowa Goworowo, Goworówek 43A, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;223;470;82;207;27;25
2;"Świetlica w Goworowie, ul. Ostrołęcka 31, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;18;135;18;30;8;4
3;"Szkoła Podstawowa, Pasieki ul. Szkolna 2, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;64;299;47;74;15;9
4;"Szkoła Podstawowa, Kunin 22A, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;67;177;21;55;7;3
5;"Remiza OSP, Kruszewo 53, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;40;196;24;43;9;1
6;"Filia Gminnej Biblioteki Publicznej, Żabin 100, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;70;261;40;102;8;12
7;"Świetlica, Brzeźno 37A, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;25;135;16;56;3;5
8;"Ośrodek Edukacji Regionalnej, Lipianka 37A, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;22;119;19;53;3;12
9;"Filia Szkoły Podstawowej, Szczawin 49A, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;59;170;22;42;6;11
10;"Środowiskowy Dom Samopomocy w Czarnowie, Czarnowo 63, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;44;89;22;65;5;2
11;"Świetlica Wiejska w Kobylinie, Kobylin 38B, 07-440 Goworowo";141504;"gm. Goworowo";"ostrołęcki";"mazowieckie";1;1;60;152;15;37;8;3
1;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;70;147;30;71;7;10
2;"Budynek Zespołu Placówek Oświatowych (sala gimnastyczna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;65;114;38;61;7;10
3;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;73;175;41;111;7;6
4;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;60;132;31;66;8;11
5;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;104;227;46;98;8;14
6;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;86;142;46;72;5;12
7;"Budynek Zespołu Placówek Oświatowych (sala lekcyjna), ul. Kościuszki 13, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;18;74;22;35;3;2
8;"Hala Sportowa w Dylewie, Dylewo ul. Szkolna 1, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;68;235;54;62;9;14
9;"Hala Sportowa w Dylewie, Dylewo ul. Szkolna 1, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;60;178;33;65;9;6
10;"Budynek Zespołu Szkół, Chudek 36, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;39;168;50;80;3;13
11;"Budynek Szkoły Podstawowej, Gleba 37B, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;40;178;33;45;8;4
12;"Budynek Świetlicy Wiejskiej, Strzałki 15, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;18;102;17;30;4;2
13;"Budynek Zespołu Szkół, Wach 96, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;90;214;76;66;10;10
14;"Budynek Szkoły Podstawowej, Jazgarka 54, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;28;132;32;90;4;7
15;"Budynek Szkoły Podstawowej, Czarnia 67, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;23;67;35;37;9;8
16;"Świetlica Wiejska w Golance, Golanka 62A, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;29;108;16;48;4;5
17;"Świetlica Wiejska w Tatarach, Tatary 19A, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;32;78;13;41;0;1
18;"Świetlica Wiejska w Piaseczni, Piasecznia 73, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;13;72;13;29;1;5
19;"Świetlica Wiejska w Gralach, Grale 27B, 07-420 Kadzidło";141505;"gm. Kadzidło";"ostrołęcki";"mazowieckie";1;1;12;58;4;15;1;4
1;"Centrum Kultury-Biblioteki i Sportu, ul. Szkolna 48, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;158;376;79;256;16;24
2;"Szkoła Podstawowa, Nasiadki 37, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;35;201;43;78;6;11
3;"Szkoła Podstawowa, Olszewka 24A, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;85;180;56;101;10;8
4;"Szkoła Podstawowa, Łęg Przedmiejski 80, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;145;357;83;192;24;48
5;"Szkoła Podstawowa, Dąbrówka 55, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;67;246;38;70;20;15
6;"Szkoła Podstawowa, Łęg Starościński 23, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;62;200;38;69;7;10
7;"Szkoła Podstawowa, Obierwia 120A, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;78;237;39;116;0;17
8;"Szkoła Podstawowa, Białobiel ul. Szkolna 1, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;197;334;86;180;19;32
9;"Dzienny Dom „SENIOR+” w Durlasach, Durlasy 33, 07-402 Lelis";141506;"gm. Lelis";"ostrołęcki";"mazowieckie";1;1;39;96;33;71;9;11
1;"Szkoła Podstawowa w Łączkach, Łączki 103, 07-438 Zalas";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;19;107;30;64;5;3
2;"Szkoła Podstawowa w Warmiaku, Warmiak 16, 07-438 Zalas";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;19;149;16;26;5;6
3;"Szkoła Podstawowa w Zalasiu, Zalas 1, 07-438 Zalas";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;12;138;19;73;6;4
4;"budynek po Szkole Podstawowej w Dębach, Dęby 9, 07-437 Łyse";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;38;98;8;42;5;3
5;"Szkoła Podstawowa w Łysych, ul. Szkolna 1, 07-437 Łyse";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;246;448;129;296;23;26
6;"Szkoła Podstawowa w Lipnikach, ul. Ks.Kan.E.Sierbińskiego 30, 07-436 Lipniki";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;72;46;216;114;9;7
7;"budynek po Szkole Podstawowej w Szafrankach, Szafranki 33, 07-436 Lipniki";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;42;123;36;72;7;3
8;"Świetlica Wiejska w Babie, Baba 27 A, 07-436 Lipniki";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;22;98;23;72;3;2
9;"Świetlica Wiejska w Piątkowiźnie, Piątkowizna 15, 07-438 Zalas";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;33;124;19;44;8;10
10;"Szkoła Podstawowa w Pupkowiźnie, Pupkowizna 38, 07-437 Łyse";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;33;103;18;30;1;7
11;"Świetlica Wiejska w Serafinie, Serafin 49A, 07-437 Łyse";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;18;69;20;67;4;1
12;"Szkoła Podstawowa w Wejdzie, Wejdo 58, 07-438 Zalas";141507;"gm. Łyse";"ostrołęcki";"mazowieckie";1;1;22;97;23;47;5;5
1;"Zespół Szkół Powiatowych, ul. Dzieci Polskich 5, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;165;325;89;91;8;20
2;"Przedszkole Samorządowe, ul. Dzieci Polskich 1, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;172;419;92;151;37;22
3;"Budynek po Szkole Podstawowej, Myszyniec Stary 105, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;87;243;50;94;11;14
4;"Szkoła Podstawowa, Pełty 37, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;27;168;28;30;6;25
5;"Środowiskowy Dom Samopomocy, Białusny Lasek 19, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;19;108;21;50;5;16
6;"Publiczna Szkoła Podstawowa, Wydmusy 117A, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;70;229;47;83;15;13
7;"Publiczna Szkoła Podstawowa, Wykrot 21A, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;45;227;35;78;10;11
8;"Publiczna Szkoła Podstawowa, Wolkowe 1, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;62;236;49;63;12;13
9;"Publiczna Szkoła Podstawowa, Olszyny 34, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;23;118;19;26;11;5
10;"Budynek po Szkole Podstawowej, Cięćk 45, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;8;71;5;15;3;0
11;"Świetlica Wiejska, Niedźwiedź 2, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;9;43;7;23;3;3
12;"Publiczna Szkoła Podstawowa, Krysiaki 29, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;15;94;12;25;3;2
13;"Remiza Ochotniczej Straży Pożarnej, Zdunek 31, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;17;110;19;25;7;8
14;"Publiczna Szkoła Podstawowa, Zalesie 36A, 07-430 Myszyniec";141508;"gm. Myszyniec";"ostrołęcki";"mazowieckie";1;1;36;119;21;53;5;7
1;"Szkoła Podstawowa im. Wł. Broniewskiego w Olszewie-Borkach, budynek, ul. Władysława Broniewskiego 17, 07-415 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;403;455;128;193;33;71
2;"Szkoła Podstawowa im. Wł. Broniewskiego w Olszewie-Borkach, budynek, ul. Dojazdowa 14A, 07-415 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;235;362;81;206;17;51
3;"Szkoła Podstawowa z Przedszkolem, Nowa Wieś ul. Szkolna 1, 07-416 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;150;416;85;266;13;60
4;"Szkoła Podstawowa w Przystani, Przystań 33, 07-416 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;98;115;28;62;10;12
5;"Szkoła Podstawowa w Grabówku, Grabówek 20, 07-416 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;36;86;25;51;3;11
6;"Szkoła Podstawowa im. J. Korczaka w Antoniach, Antonie ul. Szkolna 6, 07-410 Ostrołęka";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;336;564;133;250;21;87
7;"Remiza Ochotniczej Straży Pożarnej w Dobrołęce, Dobrołęka 29, 07-415 Olszewo-Borki";141509;"gm. Olszewo-Borki";"ostrołęcki";"mazowieckie";1;1;62;222;18;71;9;10
