"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"HAŁASIK Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"DUDEK Jacek Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"SEKUŁA Joanna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
6;"Szkoła Podstawowa Nr 3 (dawny Zespół Szkół Ogólnokształcących Nr 8), ul. Hutnicza 6, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;123;244;526
7;"Miejski Klub im. Jana Kiepury, ul. Będzińska 6, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;121;197;537
8;"Centrum Usług Wspólnych (dawne I Liceum Ogólnokształcące im. Walentego Roździeńskiego w Sosnowcu), ul. Stanisława Staszica 62, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;113;178;235
9;"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 1 Ekonomiczne (dawny Zespół Szkół Ekonomicznych), ul. gen. Stefana Grota-Roweckiego 66, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;240;422;1110
10;"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu (dawny Zespół Szkół Projektowania i Stylizacji Ubioru), ul. gen. Stefana Grota-Roweckiego 64, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;110;210;532
11;"VI Liceum Ogólnokształcące (dawne Gimnazjum Nr 13), ul. Ludwika Zamenhofa 15, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;172;354;673
12;"Przedszkole Miejskie Nr 3, ul. Henryka Dietla 1, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;145;231;497
13;"Szkoła Podstawowa Nr 27, ul. Grabowa 2, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;201;448;818
14;"Zespół Szkół Ogólnokształcących Nr 3, ul. Marszałka Józefa Piłsudskiego 114, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;153;293;802
15;"Szkoła Podstawowa Nr 27, ul. Grabowa 2, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;107;188;471
16;"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 4 Transportowe (dawny Zespół Szkół Technicznych i Licealnych), ul. Jana Kilińskiego 31, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;210;426;1376
17;"Szkoła Podstawowa Nr 19, ul. Składowa 5, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;140;402;632
18;"Szkoła Podstawowa Nr 19, ul. Składowa 5, 41-209 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;167;333;708
19;"Szkoła Podstawowa Nr 45 z Oddziałami Dwujęzycznymi, ul. Czeladzka 58, 41-214 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;214;386;848
20;"Uniwersytet Śląski Wydział Humanistyczny (dawny Wydział Filologiczny), ul. Żytnia 10, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;180;357;681
21;"Szkoła Podstawowa Nr 10, ul. Władysława Reymonta 36, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;148;274;614
22;"IV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi (dawny Zespół Szkół Ogólnokształcących Nr 15), ul. Plac Waldemara Zillingera 1, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;212;255;602
23;"Szkoła Podstawowa Nr 1, ul. Niepodległości 7, 41-205 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;240;284;689
24;"Miejski Ośrodek Sportu i Rekreacji w Sosnowcu, ul. 3 Maja 41, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;139;254;530
25;"Sportowa Szkoła Podstawowa Nr 17 (dawny Zespół Szkół Nr 1), ul. Zamkowa 17, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;150;315;917
26;"Szkoła Podstawowa Nr 6 z Oddziałami Dwujęzycznymi, ul. Wawel 13, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;225;468;1155
27;"Szkoła Podstawowa Nr 6 z Oddziałami Dwujęzycznymi, ul. Legionów 21, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;133;237;555
28;"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 6 Grafiki, Logistyki i Środowiska (dawny Zespół Szkół Technicznych), ul. Legionów 9, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;133;291;575
29;"Centrum Kształcenia Zawodowego i Ustawicznego w Sosnowcu, Technikum Nr 6 Grafiki, Logistyki i Środowiska (dawny Zespół Szkół Technicznych), ul. Legionów 9, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;138;297;689
30;"Przedszkole Miejskie Nr 12, ul. Ignacego Mościckiego 26a, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;164;247;711
31;"Szkoła Podstawowa Nr 22, ul. Anieli Urbanowicz 14, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;151;322;714
32;"Urząd Miejski w Sosnowcu, ul. Stanisława Małachowskiego 3, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;101;164;412
33;"Szkoła Podstawowa Nr 4, ul. Kościelna 9, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;64;100;195
34;"Przedszkole Miejskie Nr 28, ul. rtm. Witolda Pileckiego 9, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;140;274;607
35;"Szkoła Podstawowa Nr 8, ul. Teatralna 8, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;201;359;787
36;"Przedszkole Miejskie nr 55 z Oddziałami dla Dzieci Specjalnej Troski, ul. Akacjowa 81, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;108;226;579
37;"Przedszkole Miejskie nr 55 z Oddziałami dla Dzieci Specjalnej Troski (wejście od parkingu przedszkola), ul. Akacjowa 81, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;170;354;807
38;"Szkoła Podstawowa Nr 4, ul. Kościelna 9, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;99;163;527
39;"Przedszkole Miejskie Nr 56 z Oddziałem Specjalnym, ul. Jagiellońska 13E, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;131;317;675
40;"Zespół Szkół Elektronicznych i Informatycznych, ul. Jagiellońska 13, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;242;525;1176
41;"Zespół Szkół Specjalnych Nr 4, ul. Franciszkańska 5a, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;201;334;744
42;"Zespół Szkół Nr 2 w Sosnowcu (dawna Szkoła Podstawowa Nr 42), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;194;367;838
43;"Przedszkole Miejskie Nr 52, ul. Stanisława Witkiewicza 1, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;200;441;800
44;"Szkoła Podstawowa Nr 16, ul. Stefana Okrzei 56, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;228;473;832
45;"Zespół Szkół Nr 2 w Sosnowcu (dawna Szkoła Podstawowa Nr 42), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;161;371;718
46;"Zespół Szkół Nr 2 w Sosnowcu (dawne Przedszkole Miejskie Nr 51), ul. Bolesława Prusa 253a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;111;200;491
47;"Powiatowy Urząd Pracy, ul. Rzeźnicza 12, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;291;483;1226
48;"Szkoła Podstawowa Nr 20, ul. gen. Władysława Andersa 66, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;146;223;688
49;"Przedszkole Miejskie Nr 50, ul. Franciszkańska 19, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;38;54;107
50;"Przedszkole Miejskie Nr 14, ul. Mariana Maliny 25, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;113;194;256
51;"Szkoła Podstawowa Nr 13 (dawny Zespół Szkół Ogólnokształcących Nr 9), ul. Jedności 7, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;97;188;452
52;"Warsztaty Terapii Zajęciowej przy TPD, ul. Jodłowa 1, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;174;406;678
53;"Przedszkole Miejskie Nr 54, ul. Kalinowa 115a, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;194;443;720
54;"Szkoła Podstawowa Nr 29, ul. Zagłębiowska 25, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;226;380;642
55;"Zespół Szkolno-Przedszkolny ""Modrzejów"" (dawna Szkoła Podstawowa Nr 11 ""Modrzejów""), ul. Orląt Lwowskich 2, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;63;152;229
56;"Szkoła Podstawowa Nr 15, ul. Wojska Polskiego 84, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;205;448;688
57;"Środowiskowy Dom Samopomocy (dawna Szkoła Podstawowa Nr 15 byłe Gimnazjum Nr 1), ul. Wojska Polskiego 86, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;187;409;620
58;"Przedszkole Miejskie Nr 20, ul. Śliwki 38, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;160;358;591
59;"Środowiskowy Dom Samopomocy (dawna Szkoła Podstawowa nr 15 byłe Gimnazjum Nr 1), ul. Wojska Polskiego 86, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;185;356;520
60;"Szkoła Podstawowa Nr 21, ul. Zawodzie 34, 41-208 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;96;188;399
61;"Szkoła Podstawowa Nr 20, ul. gen. Władysława Andersa 66, 41-200 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;145;262;535
62;"Hala Widowiskowo-Sportowa, ul. Braci Mieroszewskich 91, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;102;208;312
63;"Przedszkole Miejskie Nr 38, ul. Bolesława Krzywoustego 6, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;118;269;522
64;"Szkoła Podstawowa nr 23 z Oddziałami Dwujęzycznymi Szkoła Radości, ul. Władysława Jagiełły 3, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;183;298;522
65;"Szkoła Podstawowa Nr 9, ul. Braci Mieroszewskich 54, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;115;247;431
66;"Przedszkole Miejskie Nr 59, ul. Jana Długosza 11a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;247;480;942
67;"Przedszkole Miejskie Nr 39, ul. Romana Dmowskiego 18a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;210;422;641
68;"IX Liceum Ogólnokształcące (dawne Gimnazjum Nr 9), ul. Jana Dormana 9a, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;220;431;864
69;"Zespół Szkół Ogólnokształcących nr 5 z Oddziałami Integracyjnymi i Specjalnymi, ul. Bohaterów Monte Cassino 46, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;217;380;516
70;"Zespół Szkół Ogólnokształcących Nr 5, ul. Bohaterów Monte Cassino 46, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;158;389;465
71;"Przedszkole Miejskie Nr 43 z Oddziałami Integracyjnymi, ul. Bohaterów Monte Cassino 46, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;117;263;383
72;"Zespół Szkół Ogólnokształcących Nr 14, ul. Stefana Kisielewskiego 4b, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;159;391;596
73;"Zespół Szkól Ogólnokształcących Nr 14 w Sosnowcu (dawna Szkoła Podstawowa Nr 40, byłe wejście Przedszkola Nr 45), ul. Stefana Kisielewskiego 4b, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;134;296;518
74;"Szkoła Podstawowa Nr 39, ul. Lubelska 51, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;199;360;695
75;"Przedszkole Miejskie Nr 46, ul. Koszalińska 55, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;150;271;521
76;"Przedszkole Miejskie Nr 44, ul. Lubelska 49, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;161;359;761
77;"Klub ""Bakcyl' Spółdzielni Mieszkaniowej ""Hutnik"", ul. Koszalińska 25, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;87;218;373
78;"Szkoła Podstawowa Nr 39, ul. Lubelska 51, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;144;251;533
79;"Poradnia Psychologiczno-Pedagogiczna Nr 2, ul. Białostocka 17, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;152;335;595
80;"Pomieszczenia Spółdzielni Mieszkaniowej ""Zagórze"" (dawny Klub ""Bios""), ul. Teofila Lenartowicza 108, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;183;427;698
81;"Szkoła Podstawowa Nr 46 (dawny Zespół Szkół Ogólnokształcących Nr 7), ul. Gwiezdna 2, 41-219 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;214;434;780
82;"Szkoła Podstawowa Nr 25, ul. Ignacego Krasickiego 1, 41-218 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;247;457;1008
83;"Przedszkole Miejskie Nr 40, ul. Gwiezdna 16d, 41-218 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;204;450;720
84;"Prywatna Szkoła Języka Angielskiego Eurolingua s. c., ul. Mjr Henryka Hubala-Dobrzańskiego 124, 41-218 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;77;219;335
85;"Przedszkole Miejskie Nr 53, ul. Kornela Makuszyńskiego 4b, 41-218 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;156;338;608
86;"Prywatna Szkoła Języka Angielskiego Eurolingua s. c., ul. Mjr Henryka Hubala-Dobrzańskiego 124, 41-218 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;124;347;525
87;"Szkoła Podstawowa Nr 32 (dawny Zespół Szkół Ogólnokształcących Nr 12), ul. Armii Krajowej 93, 41-215 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;217;418;887
88;"Przedszkole Miejskie Nr 35, ul. Zagórska 3, 41-216 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;86;180;266
89;"Szkoła Podstawowa Nr 35, ul. Stanisława Ligonia 3a, 41-216 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;74;170;267
90;"Szkoła Podstawowa Nr 36 (dawny Zespół Szkół Ogólnokształcących Nr 10), ul. Czołgistów 12, 41-216 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;180;415;598
91;"Przedszkole Miejskie Nr 34, ul. Kryptologów 1, 41-216 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;160;380;559
92;"Szkoła Podstawowa Nr 32 (dawny Zespół Szkół Ogólnokształcących Nr 12), ul. Armii Krajowej 93, 41-215 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;158;387;632
93;"Przedszkole Miejskie Nr 33, ul. Ogrodowa 6, 41-215 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;137;366;508
94;"Szkoła Podstawowa nr 33 z Oddziałami Specjalnymi, ul. Stefana Starzyńskiego 41, 41-215 Sosnowiec";247501;"m. Sosnowiec";"Sosnowiec";"śląskie";1;1;289;543;1057
