"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SZTORC Józef - KW BEZPARTYJNI SAMORZĄDOWCY";"SORYS Stanisław Andrzej - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WIATR Kazimierz Adam - KW PRAWO I SPRAWIEDLIWOŚĆ";"POŚWIATOWSKI Mirosław Sergiusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KLICH Dariusz Zbigniew - KW POLSKA JEST JEDNA"
1;"Urząd Gminy w Bolesławiu, Bolesław 68, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;70;184;347;46;21
2;"Dom Ludowy w Samocicach, Samocice 70, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;25;37;169;16;3
3;"Dom Ludowy w Świebodzinie, Świebodzin 48, 33-220 Bolesław";120401;"gm. Bolesław";"dąbrowski";"małopolskie";1;1;10;15;74;5;15
1;"Szkoła Podstawowa Nr 3 w Dąbrowie Tarnowskiej, ul. Zazamcze 3, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;69;276;346;69;50
2;"Dąbrowski Dom Kultury, ul. Kościuszki 11, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;71;235;429;69;49
3;"Szkoła Podstawowa Nr 2, ul. Zaręby 22, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;69;357;609;96;60
4;"Szkoła Podstawowa Nr 2 budynek przy ul. Matejki 8, ul. Matejki 8, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;33;165;201;34;24
5;"Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;99;388;636;124;63
6;"Żłobek Samorządowy, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;92;280;335;63;43
7;"Szkoła Podstawowa Nr 1, ul. Kościelna 25A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;44;144;284;65;23
8;"Dom Ludowy, Brnik 36a, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;24;39;199;25;3
9;"Dom Ludowy, Lipiny 46A, 33-206 Luszowice";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;12;58;234;29;12
10;"Dom Ludowy, Nieczajna Dolna 35b, 33-205 Nieczajna Górna";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;25;28;178;13;14
11;"Szkoła Podstawowa, Nieczajna Górna 337, 33-205 Nieczajna Górna";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;37;91;379;37;24
12;"Szkoła Podstawowa, Smęgorzów 330, 33-202 Smęgorzów";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;33;107;407;35;27
13;"Budynek gminy, Sutków 88, 33-202 Smęgorzów";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;13;28;153;15;5
14;"Szkoła Podstawowa, Szarwark 2, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;29;74;299;41;31
15;"Centrum Kulturalno-Społeczne, Żelazówka 115A, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;20;39;237;26;10
16;"Szkoła Podstawowa, Gruszów Wielki 210, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;31;82;398;23;26
17;"Centrum Kulturalno-Społeczne, Laskówka Chorąska ul. Centralna 111, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;46;54;221;34;5
18;"Centrum Kulturalno-Społeczne, Morzychna 69, 33-240 Żabno";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;17;41;130;12;9
19;"Dom Pomocy Społecznej Św. Brata Alberta Chmielowskiego w Dąbrowie Tarnowskiej, ul. św. Brata Alberta Chmielowskiego 16, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;0;2;11;1;2
20;"Zespół Opieki Zdrowotnej Szpital w Dąbrowie Tarnowskiej, ul. Szpitalna 1, 33-200 Dąbrowa Tarnowska";120402;"gm. Dąbrowa Tarnowska";"dąbrowski";"małopolskie";1;1;7;12;37;5;4
1;"Gminne Centrum Kultury i Czytelnictwa w Gręboszowie, Gręboszów 143, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;48;92;170;15;5
2;"Budynek Remizy OSP w Borusowej, Borusowa 13, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;23;52;96;4;7
3;"Budynek Remizy OSP w Żelichowie, Żelichów 7, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;17;24;117;7;1
4;"Gabinet Rehabilitacji w Ujściu Jezuickim, Ujście Jezuickie 95, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;42;103;165;11;10
5;"Świetlica Wiejska w Woli Żelichowskiej, Wola Żelichowska 1, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;15;27;121;11;5
6;"Budynek Remizy OSP w Woli Gręboszowskiej, Wola Gręboszowska 13, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;12;16;83;7;0
7;"Budynek b. szkoły podstawowej, Hubenice 2, 33-260 Gręboszów";120403;"gm. Gręboszów";"dąbrowski";"małopolskie";1;1;20;30;97;4;3
1;"Urząd Gminy w Mędrzechowie, Mędrzechów 434, 33-221 Mędrzechów";120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";1;1;66;166;373;78;30
2;"Dom Ludowy w Grądach, Grądy 29, 33-221 Mędrzechów";120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";1;1;37;75;149;20;12
3;"Dom Ludowy w Woli Mędrzechowskiej, Wola Mędrzechowska 176, 33-221 Mędrzechów";120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";1;1;21;36;209;30;8
4;"Dom Ludowy w Wójcinie, Wójcina 31, 33-221 Mędrzechów";120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";1;1;14;50;116;9;7
5;"Dom Radosnej Starości w Kupieninie, Kupienin 35, 33-221 Mędrzechów";120404;"gm. Mędrzechów";"dąbrowski";"małopolskie";1;1;1;2;6;0;3
1;"Świetlica Urzędu Gminy w Oleśnie, ul. Długa 21A, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;61;203;475;89;60
2;"Dom Strażaka w Ćwikowie, Ćwików 75B, 33-264 Ćwików";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;32;46;242;27;8
3;"Świetlica Wiejska w Podborzu, Podborze 26, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;20;52;165;20;8
4;"Remiza OSP w Zalipiu, Zalipie 4A, 33-263 Zalipie";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;31;44;193;41;13
5;"Świetlica Wiejska w Wielopolu, Wielopole 10A, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;39;85;164;13;23
6;"Remiza OSP w Pilczy Żelichowskiej, Pilcza Żelichowska 72A, 33-264 Ćwików";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;21;32;149;18;4
7;"Remiza OSP w Dąbrówkach Breńskich, Dąbrówki Breńskie 151B, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;24;49;227;20;5
8;"Budynek szkoły w Oleśnicy, Oleśnica 73A, 33-200 Dąbrowa Tarnowska";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;31;77;240;44;32
9;"Budynek Wiejski w Swarzowie, Swarzów 55D, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;34;48;227;33;11
10;"Dom Ludowy w Adamierzu, ul. Adamierska 88, 33-210 Olesno";120405;"gm. Olesno";"dąbrowski";"małopolskie";1;1;26;28;129;9;8
1;"Szkoła Podstawowa w Zarzeczu Dużym, ul. Adama Mickiewicza 39, 33-207 Radgoszcz";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;49;72;416;75;30
2;"Zespół Szkolno-Przedszkolny w Radgoszczy, pl. św. Kazimierza 10, 33-207 Radgoszcz";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;69;142;730;82;34
3;"Budynek Integracji Społeczności Wiejskiej w Żdżarach, Żdżary ul. Tarnowska 104, 33-207 Radgoszcz";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;23;35;205;21;8
4;"Wiejski Dom Kultury w Radgoszczy-Narożnikach, ul. Narożniki 75, 33-207 Radgoszcz";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;8;16;109;16;1
5;"Szkoła Podstawowa w Luszowicach, ul. Tarnowska 31, 33-206 Luszowice";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;70;139;631;71;36
6;"Szkoła Filialna w Małcu, Małec ul. Szczucińska 36, 33-207 Radgoszcz";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;19;35;131;16;9
7;"Dom Ludowy w Smykowie, Smyków ul. Jeziorańska 1, 33-206 Luszowice";120406;"gm. Radgoszcz";"dąbrowski";"małopolskie";1;1;22;34;187;21;8
1;"Zespół Szkolno-Przedszkolny w Borkach, Borki 164, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;98;162;522;60;33
2;"Szkoła Podstawowa w Zabrniu, Zabrnie 82, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;34;47;292;28;17
3;"Środowiskowy Dom Samopomocy w Dąbrowicy, Dąbrowica 161, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;47;70;235;31;13
4;"Niepubliczny Ośrodek Rewalidacyjno-Wychowawczy im. Jana Pawła II, Skrzynka 146, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;23;48;186;21;21
5;"Wiejski Ośrodek Doradztwa Rolniczego w Lubaszu, Lubasz 376, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;50;71;220;40;15
6;"Zespół Szkolno-Przedszkolny w Radwanie, Radwan 184, 33-202 Smęgorzów";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;23;40;186;15;17
7;"Zespół Szkolno-Przedszkolny w Słupcu, Słupiec 27, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;55;83;292;53;9
8;"Hala Widowiskowo-Sportowa w Szczucinie, ul. Rudnickiego 12, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;101;336;448;89;43
9;"Urząd Miasta i Gminy Szczucin, ul. Wolności 3, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;162;409;648;118;64
10;"Dom Ludowy, Delastowice 116, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;31;42;123;11;12
11;"Ochotnicza Straż Pożarna w Brzezówce, Brzezówka 172A, 33-230 Szczucin";120407;"gm. Szczucin";"dąbrowski";"małopolskie";1;1;20;27;156;17;7
1;"Szkoła Podstawowa w Bogoniowicach z Filią w Kipsznej, Bogoniowice 1, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;18;128;175;27;12
2;"Dom Ludowy w Bruśniku, Bruśnik 42A, 33-192 Bruśnik";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;37;114;272;29;18
3;"Urząd Gminy Ciężkowice, ul. Tysiąclecia 19, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;104;403;649;87;57
4;"Zespół Szkolno-Przedszkolny w Jastrzębiej, Jastrzębia 1, 33-191 Jastrzębia";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;65;228;436;80;31
5;"Szkoła Podstawowa im. Św. Jana Kantego w Zborowicach, Zborowice 5A, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;34;93;339;45;16
6;"Szkoła Podstawowa im. Stefana Batorego w Siekierczynie z Filią w Falkowej, Falkowa 36, 33-192 Bruśnik";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;14;45;108;4;8
7;"Szkoła Podstawowa w Kąśnej Dolnej, Kąśna Dolna 67, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;33;139;174;35;9
8;"Świetlica w Kąśnej Górnej, Kąśna Górna 161A, 33-191 Jastrzębia";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;28;108;203;26;20
9;"Remiza OSP w Kipsznej, Kipszna 9A, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;16;31;123;12;14
10;"Dzienny Dom Senior+, Ostrusza 28, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;22;47;159;34;19
11;"Szkoła Podstawowa w Pławnej, Pławna 22, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;23;84;124;24;8
12;"Budynek Wiejski w Siekierczynie, Siekierczyna 67E, 33-192 Bruśnik";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;23;93;157;16;23
13;"Świetlica w Tursku, Tursko 47B, 33-190 Ciężkowice";121601;"gm. Ciężkowice";"tarnowski";"małopolskie";1;1;18;38;83;14;8
1;"Dom Ludowy, Brzozowa 71, 33-182 Brzozowa";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;11;44;226;32;32
2;"Szkoła Podstawowa im. Św. Jadwigi Królowej, Chojnik 287, 33-180 Gromnik";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;58;131;403;45;37
3;"Szkoła Podstawowa, Golanka 47, 33-180 Gromnik";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;16;23;145;19;20
4;"Dom Ludowy, ul. Jana Pawła II 11, 33-180 Gromnik";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;41;239;451;70;40
5;"Dom Ludowy, ul. Jana Pawła II 11, 33-180 Gromnik";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;52;200;566;68;54
6;"Dom Ludowy, Rzepiennik Marciszewski 144, 33-180 Gromnik";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;31;48;177;14;16
7;"Dom Ludowy, Siemiechów 282, 33-181 Siemiechów";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;38;137;585;68;57
8;"Dom Ludowy, Polichty 62, 33-182 Brzozowa";121602;"gm. Gromnik";"tarnowski";"małopolskie";1;1;15;21;85;13;12
1;"Gminne Przedszkole, ul. Stefana Jaracza 1, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;158;259;537;116;82
2;"Szkoła Podstawowa, Pawęzów 66, 33-103 Tarnów";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;49;235;234;51;37
3;"Zespół Szkoły Podstawowej i Gminnego Przedszkola, Nowa Jastrząbka 156, 33-151 Nowa Jastrząbka";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;65;89;388;41;26
4;"Szkoła Podstawowa, Zaczarnie 25, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;125;195;503;105;54
5;"Dom Strażaka, Nowe Żukowice 48A, 33-151 Nowa Jastrząbka";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;64;67;317;41;45
6;"Szkoła Podstawowa, Stare Żukowice 132A, 33-151 Nowa Jastrząbka";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;104;174;624;69;39
7;"Szkoła Podstawowa, Łukowa 86A, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;63;98;405;46;24
8;"Szkoła Podstawowa, Breń 25, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;39;64;262;43;25
9;"Szkoła Podstawowa, Brzozówka ul. Tarnowska 36, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;70;326;255;88;46
10;"Szkoła Podstawowa, Kobierzyn 61A, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;25;43;180;46;13
11;"Gminny Ośrodek Kultury, Śmigno 30, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;90;113;183;50;37
12;"Gminne Przedszkole, ul. Stefana Jaracza 1, 33-140 Lisia Góra";121603;"gm. Lisia Góra";"tarnowski";"małopolskie";1;1;81;162;249;45;59
1;"Budynek szkoły, Dąbrówka Szczepanowska 184, 33-115 Dąbrówka Szczepanowska";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;17;96;118;16;9
2;"Dom Kultury w Janowicach, Janowice 128A, 33-115 Janowice";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;21;153;313;40;17
3;"Szkoła Podstawowa w Lichwinie, Lichwin 182A, 33-172 Lichwin";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;32;196;294;38;19
4;"Budynek szkoły, Lubinka 11, 33-115 Lubinka";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;7;33;95;31;4
5;"Remiza Ochotniczej Straży Pożarnej w Pleśnej, Pleśna 240, 33-171 Pleśna";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;34;235;277;55;31
6;"Szkoła Podstawowa w Pleśnej, Pleśna 228, 33-171 Pleśna";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;26;351;295;43;34
7;"Szkoła Podstawowa w Pleśnej, Pleśna 228, 33-171 Pleśna";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;18;168;154;29;15
8;"Zespół Szkolno Przedszkolny w Rzuchowej, Rzuchowa 278, 33-114 Rzuchowa";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;64;387;506;76;57
9;"Szkoła Podstawowa w Rychwałdzie, Rychwałd 120, 33-171 Rychwałd";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;16;97;169;29;24
10;"Szkoła Podstawowa w Szczepanowicach, Szczepanowice 107, 33-114 Szczepanowice";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;53;216;429;56;40
11;"Szkoła Podstawowa w Świebodzinie, Świebodzin 129, 33-114 Świebodzin";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;37;122;294;43;30
12;"Świetlica Wiejska w Woźnicznej, Woźniczna 50, 33-171 Woźniczna";121604;"gm. Pleśna";"tarnowski";"małopolskie";1;1;9;100;90;17;17
1;"Zespół Szkół w Radłowie, ul. Szkolna 1, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;57;220;346;60;31
2;"Zespół Szkół w Radłowie, ul. Szkolna 1, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;62;172;342;51;46
3;"Niepubliczna Szkoła Podstawowa w Niwce, Niwka 25, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;48;157;209;33;28
4;"Wiejski Dom Kultury w Biskupicach Radłowskich, Biskupice Radłowskie ul. Bohaterów Września 14a, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;50;127;237;33;18
5;"Dom Kultury w Łęce Siedleckiej, Łęka Siedlecka 94, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;7;33;79;16;15
6;"Dom Ludowy w Marcinkowicach, Marcinkowice 92, 33-273 Marcinkowice";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;12;24;79;9;7
7;"Zespół Szkół w Zabawie, Zabawa ul. Szkolna 31, 33-133 Wał-Ruda";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;49;90;267;30;14
8;"Zespół Szkolno-Przedszkolny w Woli Radłowskiej, Wola Radłowska 67, 33-133 Wał-Ruda";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;72;134;288;62;39
9;"Remiza OSP w Glowie, Glów 56, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;7;16;68;10;3
10;"Dom Ludowy w Sanoce, Sanoka 72, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;13;21;67;16;8
11;"Remiza OSP w Siedlcu, Siedlec 41, 33-130 Radłów";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;17;42;93;11;15
12;"Zespół Szkoły Podstawowej i Przedszkola w Zdrochcu, Zdrochec 3, 33-273 Marcinkowice";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;17;32;105;13;12
13;"Niepubliczna Szkoła Podstawowa w Przybysławicach, Przybysławice 152, 33-273 Marcinkowice";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;27;68;123;21;7
14;"Dom Kultury w Wał-Rudzie, Wał-Ruda 240, 33-133 Wał-Ruda";121605;"gm. Radłów";"tarnowski";"małopolskie";1;1;26;77;167;29;23
1;"Szkoła Podstawowa w Ryglicach, ul. Tarnowska 25, 33-160 Ryglice";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;89;177;388;67;55
2;"Placówka Wsparcia Dziennego w Ryglicach, ul. ks. Jakuba Wyrwy 2, 33-160 Ryglice";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;76;176;310;68;30
3;"Szkoła Podstawowa w Bistuszowej, Bistuszowa 82, 33-160 Ryglice";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;61;97;232;42;15
4;"Remiza Ochotniczej Straży Pożarnej w Joninach, Joniny 213, 33-160 Ryglice";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;45;85;238;27;28
5;"Remiza Ochotniczej Straży Pożarnej w Kowalowej, Kowalowa 196, 33-161 Kowalowa";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;62;87;266;46;30
6;"Remiza Ochotniczej Straży Pożarnej w Woli Lubeckiej, Wola Lubecka 18, 33-162 Lubcza";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;35;61;235;46;26
7;"Zespół Szkolno-Przedszkolny w Zalasowej, ul. Karpacka 21, 33-159 Zalasowa";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;95;129;439;90;54
8;"Pałac pod Dębami w Zalasowej, ul. Kościelna 5, 33-159 Zalasowa";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;106;177;452;91;55
9;"Budynek ""Perła Lubczy"" w Lubczy, Lubcza 460, 33-162 Lubcza";121606;"gm. Ryglice";"tarnowski";"małopolskie";1;1;115;119;547;96;45
1;"Remiza Ochotniczej Straży Pożarnej w Olszynach, Olszyny 552, 33-164 Olszyny";121607;"gm. Rzepiennik Strzyżewski";"tarnowski";"małopolskie";1;1;76;156;825;118;67
2;"Szkoła Podstawowa w Rzepienniku Biskupim, Rzepiennik Biskupi 292, 33-163 Rzepiennik Strzyżewski";121607;"gm. Rzepiennik Strzyżewski";"tarnowski";"małopolskie";1;1;76;111;341;60;46
3;"Remiza Ochotniczej Straży Pożarnej w Rzepienniku Strzyżewskim, Rzepiennik Strzyżewski 404, 33-163 Rzepiennik Strzyżewski";121607;"gm. Rzepiennik Strzyżewski";"tarnowski";"małopolskie";1;1;70;117;376;70;40
