"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEJAT Magdalena Agnieszka - KW NOWA LEWICA";"GRODZKI Michał - KW PRAWO I SPRAWIEDLIWOŚĆ"
750;"Szkoła Podstawowa Nr 301 Zespół Szkolno-Przedszkolny Nr 2, ul. Brygadzistów 18, 01-384 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1030;456
751;"Szkoła Podstawowa Nr 306, ul. Tkaczy 27, 01-346 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;653;314
752;"Szkoła Podstawowa Nr 306, ul. Tkaczy 27, 01-346 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1300;555
753;"Szkoła Podstawowa nr 363, ul. Rozłogi 10, 01-310 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1313;403
754;"Szkoła Podstawowa Nr 363, ul. Rozłogi 10, 01-310 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;842;436
755;"Szkoła Podstawowa Nr 363, ul. Rozłogi 10, 01-310 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;336;98
756;"Szkoła Podstawowa Nr 363, ul. Rozłogi 10, 01-310 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;754;274
757;"Bemowski Ośrodek Piłki Nożnej, ul. Obrońców Tobruku 11, 01-494 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;218;49
758;"Budynek Świetlicy na Skwerze Sportów Miejskich, ul. gen. Tadeusza Pełczyńskiego 22H, 01-471 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1522;315
759;"Biblioteka Publiczna w Dzielnicy Bemowo m. st. Warszawy Punkt Biblioteczny ""Chrzanów"", ul. Batalionów Chłopskich 87, 01-307 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;1570;407
760;"Przychodnia ZOZ, ul. gen. Meriana C. Coopera 5, 01-315 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;606;173
1143;"Oddział Zewnętrzny Bemowo-Służba Więzienna, ul. Antoniego Kocjana 3, 01-473 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;144;27
1144;"Dom Pomocy Społecznej ""Kombatant"", ul. Sternicza 125, 01-350 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;41;58
1145;"Dom Emeryta Wojskowego, ul. Pirenejska 5, 01-493 Warszawa";146502;"Bemowo";"Warszawa";"mazowieckie";1;1;56;32
201;"XLVIII LO im. Edwarda Dembowskiego, ul. Barska 32, 02-315 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;681;282
202;"XLVIII LO im. Edwarda Dembowskiego, ul. Barska 32, 02-315 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;584;201
203;"Urząd Dzielnicy Ochota m. st. Warszawy-parter, ul. Grójecka 17A, 02-021 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;760;261
204;"Szkoła Podstawowa nr 97, ul. Spiska 1, 02-302 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;996;351
205;"Szkoła Podstawowa nr 97, ul. Spiska 1, 02-302 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;902;280
206;"Urząd Dzielnicy Ochota m. st. Warszawy-I piętro sala konferencyjna nr 122, ul. Grójecka 17A, 02-023 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;450;192
207;"Szkoła Podstawowa nr 97, ul. Spiska 1, 02-302 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;770;256
208;"Szkoła Podstawowa nr 23, ul. Mikołaja Reja 1, 02-034 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1288;367
209;"Instytut Chemii UW, ul. Ludwika Pasteura 1, 02-093 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;462;206
210;"Ośrodek Kultury Ochoty pawilon ""Pod Okiem"", ul. Grójecka 79, 02-094 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;582;298
211;"Urząd m. st. Warszawy, pl. Plac Sokratesa Starynkiewicza 7/9, 02-015 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;627;307
212;"XIV LO im. Stanisława Staszica, ul. Nowowiejska 37A, 02-010 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;663;173
213;"VII Liceum Ogólnokształcące im. Juliusza Słowackiego, ul. Wawelska 46, 02-067 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;813;247
214;"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Harfowa 2, 02-384 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1157;290
215;"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Przy Parku 36, 02-384 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1475;298
216;"Centrum Kształcenia Ustawicznego Nr 2, ul. Szczęśliwicka 50/54, 02-353 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;938;179
217;"Centrum Kształcenia Ustawicznego Nr 2, ul. Szczęśliwicka 50/54, 02-353 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1097;385
218;"Zespół Szkół nr 4, ul. Szczęśliwicka 46, 02-353 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1193;305
219;"SZPZLO, ul. Szczęśliwicka 36, 02-353 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;669;212
220;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 61, ul. Białobrzeska 27, 02-340 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;908;410
221;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 61, ul. Białobrzeska 27, 02-340 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1166;446
222;"Urząd Dzielnicy Ochota m. st. Warszawy, ul. Białobrzeska 26, 02-365 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;765;323
223;"Młodzieżowy Dom Kultury ""Ochota"", ul. Rokosowska 10, 02-348 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;653;261
224;"Szkoła Podstawowa nr 175, ul. Trzech Budrysów 32, 02-381 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1032;426
225;"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944, ul. Stanisława Skarżyńskiego 8, 02-377 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;498;241
226;"LXIX LO z Oddziałami Integracyjnymi im. Bohaterów Powstania Warszawskiego 1944, ul. Stanisława Skarżyńskiego 8, 02-377 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;400;197
227;"Szkoła Podstawowa nr 175 hala sportowa, ul. Trzech Budrysów 32, 02-381 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;672;288
228;"Zespół Szkół nr 26, ul. Urbanistów 3, 02-397 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;609;241
229;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, ul. Gorlicka 3, 02-130 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;761;320
230;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, ul. Gorlicka 3, 02-130 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;916;368
231;"Urząd Dzielnicy Ochota m. st. Warszawy, ul. Adolfa Pawińskiego 30, 02-106 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1114;373
232;"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Harfowa 2, 02-397 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1371;244
233;"Szkoła Podstawowa nr 264, ul. Walentego Skorochód-Majewskiego 17, 02-104 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;722;416
234;"Szkoła Podstawowa nr 152, ul. Powstańców Wielkopolskich 4, 02-398 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;555;309
235;"Szkoła Podstawowa nr 264, ul. Walentego Skorochód-Majewskiego 17, 02-104 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;1003;437
236;"Szkoła Podstawowa nr 10, ul. Jasielska 49/53, 02-128 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;382;160
237;"CLX LO im. Gen. Dyw. Stefana Roweckiego ""Grota"", ul. Józefa Siemieńskiego 6, 02-106 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;770;373
238;"SZPZLO Warszawa Ochota, ul. Sanocka 6, 02-110 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;859;334
239;"Szkoła Podstawowa nr 10, ul. Jasielska 49/53, 02-128 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;870;292
240;"Szkoła Podstawowa nr 10 sala gimnastyczna, ul. Jasielska 49/53, 02-128 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;908;346
241;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 280, ul. Gorlicka 3, 02-130 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;764;288
242;"Szkoła Podstawowa nr 10 sala gimnastyczna (wejście od ul. Mołdawskiej), ul. Jasielska 49/53, 02-128 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;630;276
243;"Zespół Szkół nr 26, ul. Urbanistów 3, 02-397 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;794;258
1115;"Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie Państwowy Instytut Badawczy, ul. Wawelska 15B, 02-034 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;18;21
1116;"Szpital Kliniczny Dzieciątka Jezus, ul. Williama Heerleina Lindleya 4, 02-013 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;72;49
1117;"Samodzielny Publiczny Centralny Szpital Kliniczny, ul. Stefana Banacha 1A, 02-097 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;172;122
1118;"Wojewódzki Szpital Chirurgii Urazowej Św. Anny SPZOZ, ul. Barska 16/20, 02-315 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;33;37
1119;"Uniwersyteckie Centrum Zdrowia Kobiety i Noworodka, pl. Plac Sokratesa Starynkiewicza 1/3, 02-015 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;15;11
1120;"Dom Pomocy Społecznej ""Chemik"", ul. Władysława Korotyńskiego 10, 02-121 Warszawa";146506;"Ochota";"Warszawa";"mazowieckie";1;1;20;35
681;"Szkoła Podstawowa Nr 383, ul. Warszawska 63, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;909;520
682;"Szkoła Podstawowa Nr 383, ul. Warszawska 63, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1182;561
683;"Przedszkole nr 168, ul. Zagłoby 27, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1303;811
684;"Przedszkole nr 137, ul. Zagłoby 11, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;352;287
685;"Szkoła Podstawowa Nr 11, ul. Mariana Keniga 20, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1400;1013
686;"Szkoła Podstawowa Nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1131;573
687;"Przychodnia Rejonowa, ul. Stanisława Wojciechowskiego 58, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1364;509
688;"Szkoła Podstawowa Nr 382, ul. Konińska 2, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;972;488
689;"Szkoła Podstawowa Nr 382, ul. Konińska 2, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;816;444
690;"Szkoła Podstawowa Nr 4, ul. Walerego Sławka 9, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;524;314
691;"Liceum Ogólnokształcące Nr 56, ul. Dzieci Warszawy 42, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1161;430
692;"Szkoła Podstawowa nr 381, ul. Michała Drzymały 1, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1083;675
693;"Szkoła Podstawowa Nr 381, ul. Michała Drzymały 1, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;962;626
694;"Dom Kultury ""Kolorowa"", ul. gen. Kazimierza Sosnkowskiego 16, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1029;610
695;"Przedszkole nr 418, ul. Dzieci Warszawy 42, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1181;378
696;"Zespół Szkół Nr 42, ul. Dzieci Warszawy 42, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1626;368
697;"Przedszkole nr 413, ul. Górna Droga 10, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;811;242
698;"Dom Kultury ""Miś"", ul. Zagłoby 17, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;683;543
699;"Szkoła Podstawowa Nr 14, ul. gen. Kazimierza Sosnkowskiego 10, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1144;427
700;"Szkoła Podstawowa Nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1019;464
701;"Szkoła Podstawowa Nr 360, ul. Dzieci Warszawy 42, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1242;395
702;"""Acherówka"", ul. Walerego Sławka 2, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;1240;495
703;"Szkoła Podstawowa nr 2, ul. Orłów Piastowskich 47, 02-496 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;2380;522
704;"Szkoła Podstawowa nr 14, ul. gen. Kazimierza Sosnkowskiego 10, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;838;233
705;"Szkoła Podstawowa nr 360, ul. Dzieci Warszawy 42, 02-495 Warszawa";146512;"Ursus";"Warszawa";"mazowieckie";1;1;758;220
651;"Miejsce Aktywności Lokalnej, ul. Rejonowa 6/8, 02-441 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;876;318
652;"Biblioteka Publiczna, ul. ks. Juliana Chrościckiego 2, 02-421 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;479;227
653;"Zespół Szkół nr 17, ul. Promienista 12A, 02-428 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;444;250
654;"Szkoła Podstawowa Nr 66, ul. Przepiórki 16/18, 02-407 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;401;229
655;"Artystyczny Dom Animacji ""ADA"", ul. ks. Juliana Chrościckiego 14, 02-421 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1616;543
656;"CLIX Liceum Ogólnokształcące, ul. Solipska 17/19, 02-482 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;851;282
657;"CLIX Liceum Ogólnokształcące, ul. Solipska 17/19, 02-479 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;944;329
658;"Dom Kultury "" Włochy"", ul. Bolesława Chrobrego 27, 02-479 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1028;299
659;"Przedszkole Nr 71, ul. Śląska 50/52, 02-462 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1052;422
660;"Zakład Gospodarowania Nieruchomościami w Dzielnicy Włochy, ul. Naukowa 4, 02-463 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1214;403
661;"Szkoła Podstawowa Nr 94, ul. Cietrzewia 22A, 02-492 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1384;493
662;"Szkoła Podstawowa Nr 94, ul. Cietrzewia 22A, 02-492 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;454;118
663;"Ratusz, al. Aleja Krakowska 257, 02-133 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1801;518
664;"Zakład Gospodarowania Nieruchomościami w Dzielnicy Włochy, ul. Centralna 24, 02-271 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;364;205
665;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 87, ul. Malownicza 31, 02-272 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;589;371
666;"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 87, ul. Malownicza 31, 02-272 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;389;248
667;"Zespoł Szkół im. Bohaterów Narwiku, ul. Gładka 16, 02-172 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;338;183
668;"Zespół Szkolno-Przedszkolny Nr 5, ul. Astronautów 17, 02-154 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;536;248
669;"Przedszkole Nr 175 w Zespole Szkolno-Przedszkolnym Nr 5, ul. Astronautów 5, 02-154 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;806;344
670;"WSM OCHOTA, al. Aleja Dwudziestolatków 9, 02-157 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;667;358
671;"Przedszkole Nr 78, ul. Lechicka 12D, 02-156 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;396;186
672;"Szkoła Podstawowa nr 88, ul. Radarowa 4B, 02-137 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;666;261
673;"Szkoła Podstawowa Nr 88, ul. Radarowa 4B, 02-137 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;497;218
674;"Przedszkole Nr 313, ul. Sulmierzycka 1, 02-139 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;794;256
675;"Przedszkole Integracyjne Nr 314, ul. 1 Sierpnia 36A, 02-134 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;684;393
676;"Miejskie Przedsiębiorstwo Oczyszczania, ul. Instalatorów 23, 02-237 Warszawa";146517;"Włochy";"Warszawa";"mazowieckie";1;1;1624;434
261;"Hala Sportowa Koło, ul. Obozowa 60, 01-423 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;708;417
262;"Hala Sportowa Koło, ul. Obozowa 60, 01-423 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;847;384
263;"Szkoła Podstawowa nr 225, ul. Jana Brożka 15, 01-451 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;1171;493
264;"Szkoła Podstawowa nr 388, ul. Deotymy 25/33, 01-407 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;929;430
265;"Szkoła Podstawowa Integracyjna Nr 317, ul. Deotymy 37, 01-409 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;1458;667
266;"Szkoła Podstawowa nr 225, ul. Jana Brożka 15, 01-451 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;811;435
267;"Hala Sportowa Koło, ul. Obozowa 60, 01-423 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;502;268
268;"Szkoła Podstawowa nr 351, ul. Jana Olbrachta 48/56, 01-111 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;976;499
269;"Szkoła Podstawowa nr 351, ul. Jana Olbrachta 48/56, 01-111 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;1254;400
270;"Przedszkole nr 403, ul. Góralska 1, 01-112 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;704;382
271;"Przedszkole Nr 273, ul. Jana Olbrachta 28, 01-111 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;643;346
272;"LXXXVI Liceum Ogólnokształcące, ul. Kajetana Garbińskiego 1, 01-122 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;987;471
273;"Szkoła Podstawowa nr 236, ul. Elekcyjna 21/23, 01-128 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;687;365
274;"Hala Sportowa Reduta, ul. Redutowa 37, 01-106 Warszawa";146518;"Wola";"Warszawa";"mazowieckie";1;1;995;433
