"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Manuela Anna - KW BEZPARTYJNI SAMORZĄDOWCY";"MIKOŁAJCZYK Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"PIECHOWIAK Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MATECKA Ewa Jolanta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
17;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Kępnie, Szpital w Kępnie, ul. Szpitalna 7, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;4;8;2;3
18;"Dom Pomocy Społecznej, Rzetnia 87, 63-600 Kępno";300803;"gm. Kępno";"kępiński";"wielkopolskie";1;1;1;9;2;7
1;"Urząd Gminy, ul. Akacjowa 4, 63-645 Łęka Opatowska";300804;"gm. Łęka Opatowska";"kępiński";"wielkopolskie";1;1;102;420;149;371
2;"Szkoła Podstawowa im. Szembeków z Siemianic, Siemianice ul. Szkolna 2, 63-645 Łęka Opatowska";300804;"gm. Łęka Opatowska";"kępiński";"wielkopolskie";1;1;83;265;79;258
3;"Szkoła Podstawowa im. Kardynała Stefana Wyszyńskiego, Opatów ul. Poznańska 7, 63-645 Łęka Opatowska";300804;"gm. Łęka Opatowska";"kępiński";"wielkopolskie";1;1;67;304;94;268
4;"Sala Ochotniczej Straży Pożarnej, Trzebień 22, 63-645 Łęka Opatowska";300804;"gm. Łęka Opatowska";"kępiński";"wielkopolskie";1;1;34;203;49;117
1;"Zespół Szkół w Perzowie, Perzów 77A, 63-642 Perzów";300805;"gm. Perzów";"kępiński";"wielkopolskie";1;1;59;241;81;375
2;"Zespół Szkół w Trębaczowie, Trębaczów 142, 63-642 Perzów";300805;"gm. Perzów";"kępiński";"wielkopolskie";1;1;31;191;65;160
3;"Zespół Szkół w Trębaczowie, Oddział Przedszkolny w Miechowie, Miechów 56, 63-642 Perzów";300805;"gm. Perzów";"kępiński";"wielkopolskie";1;1;28;134;35;177
4;"Świetlica wiejska, Turkowy 10, 63-642 Perzów";300805;"gm. Perzów";"kępiński";"wielkopolskie";1;1;19;43;31;93
5;"Dzienny Dom Seniora, Domasłów 1, 63-642 Perzów";300805;"gm. Perzów";"kępiński";"wielkopolskie";1;1;22;87;21;61
1;"Gminny Ośrodek Kultury w Rychtalu, ul. Ogrodowa 12, 63-630 Rychtal";300806;"gm. Rychtal";"kępiński";"wielkopolskie";1;1;60;327;98;417
2;"Szkoła Podstawowa, Wielki Buczek 6B, 63-630 Rychtal";300806;"gm. Rychtal";"kępiński";"wielkopolskie";1;1;18;138;57;64
3;"Świetlica wiejska, Drożki 18A, 63-630 Rychtal";300806;"gm. Rychtal";"kępiński";"wielkopolskie";1;1;17;116;23;76
4;"Świetlica wiejska, Krzyżowniki 39, 63-630 Rychtal";300806;"gm. Rychtal";"kępiński";"wielkopolskie";1;1;34;164;46;129
5;"Świetlica wiejska, Skoroszów 36, 63-630 Rychtal";300806;"gm. Rychtal";"kępiński";"wielkopolskie";1;1;13;54;14;60
1;"Dom Ludowy w Trzcinicy, ul. Jana Pawła II 49, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;75;311;104;379
2;"Dom Ludowy w Laskach, Laski ul. Kępińska 17, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;55;449;94;332
3;"Dom Ludowy w Wodzicznie, Wodziczna 87, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;31;188;58;127
4;"Dom Ludowy, Piotrówka 39b, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;21;122;27;37
5;"Dom Ludowy, Kuźnica Trzcińska 2, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;14;70;19;36
6;"Dom Ludowy, Smardze 33, 63-620 Trzcinica";300807;"gm. Trzcinica";"kępiński";"wielkopolskie";1;1;13;65;36;63
1;"Szkoła Podstawowa im. S. F. Klonowicza, ul. Szkolna 2, 63-750 Sulmierzyce";301201;"m. Sulmierzyce";"krotoszyński";"wielkopolskie";1;1;178;605;159;525
1;"Sala szkolna, pl. Plac Andrzeja Glabera 1, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;87;317;109;347
2;"Zespół Szkoła Podstawowa im. Juliana Tuwima i Przedszkole, ul. 3 Maja 9, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;67;322;91;295
3;"Remiza Ochotniczej Straży Pożarnej, ul. Krobska 19, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;23;79;10;21
4;"Dom Strażaka, Smolice 73a, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;73;334;87;205
5;"Szkoła Podstawowa, Kuklinów 40, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;38;185;33;123
6;"Dom Strażaka, Zalesie Wielkie 20, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;16;70;27;64
7;"Dom Strażaka, Wyganów 38, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;41;228;46;78
8;"Świetlica Wiejska, Łagiewniki 19A, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;22;96;24;62
9;"Świetlica Wiejska, Stary Kobylin 26, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;14;90;20;55
10;"Świetlica Wiejska, Zalesie Małe 9a, 63-740 Kobylin";301202;"gm. Kobylin";"krotoszyński";"wielkopolskie";1;1;18;117;35;52
1;"Biblioteka Publiczna Miasta i Gminy, ul. Zamkowa 2a, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;144;467;149;675
2;"Budynek byłej Szkoły Podstawowej Nr 3, ul. Klasztorna 29, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;118;428;119;733
3;"Liceum Ogólnokształcące, ul. Borecka 28, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;43;166;45;313
4;"Szkoła Podstawowa, Mokronos 3, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;73;374;77;174
5;"Szkoła Podstawowa Nr 1, ul. Glinki 11, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;122;470;125;251
6;"Zespół Szkolno-Przedszkolny, Borzęciczki 9, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;54;306;77;160
7;"Dom Strażaka, Wałków 8, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;46;257;62;96
8;"Ośrodek Kulturalno-Oświatowy, Stara Obra ul. Wincentego Witosa 1A, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;53;223;80;164
9;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Krotoszynie, Szpital Powiatowy w Koźminie Wielkopolskim, ul. Czesława Stęszewskiego 9, 63-720 Koźmin Wielkopolski";301203;"gm. Koźmin Wielkopolski";"krotoszyński";"wielkopolskie";1;1;1;13;4;10
1;"Szkoła Podstawowa nr 7 z Oddziałami Integracyjnymi im. Henryka Jordana w Krotoszynie (świetlica), ul. Władysława Jagiełły 4, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;152;449;125;636
2;"Szkoła Podstawowa nr 7 z Oddziałami Integracyjnymi im. Henryka Jordana w Krotoszynie (sala nr 1), ul. Władysława Jagiełły 4, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;113;446;121;531
3;"Przedszkole nr 7 z Oddziałami Integracyjnymi w Krotoszynie, os. Osiedle Korczaka 10, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;74;262;88;429
4;"Szkoła Podstawowa nr 8 z Oddziałami Dwujęzycznymi im. Marii Skłodowskiej-Curie w Krotoszynie, ul. 23 Stycznia 20, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;78;266;88;422
5;"Szkoła Podstawowa nr 8 z Oddziałami Dwujęzycznymi im. Marii Skłodowskiej-Curie w Krotoszynie, ul. 23 Stycznia 20, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;70;272;65;422
6;"Krotoszyńska Biblioteka Publiczna im. Arkadego Fiedlera w Krotoszynie, ul. Benicka 9, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;59;234;59;452
7;"Zespół Szkół Ponadpodstawowych nr 1 w Krotoszynie, ul. Mickiewicza 11, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;68;302;66;388
8;"Zespół Szkół Ponadpodstawowych nr 1 w Krotoszynie, ul. Mickiewicza 11, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;57;231;61;317
9;"Muzeum Regionalne im. Hieronima Ławniczaka w Krotoszynie (budynek poklasztorny), rynek Mały Rynek 1, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;95;281;86;438
10;"Krotoszyńska Biblioteka Publiczna im. Arkadego Fiedlera w Krotoszynie, ul. Benicka 9, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;57;228;81;350
11;"Szkoła Podstawowa nr 1 im. Powstańców Wlkp. w Krotoszynie, al. Aleja Powstańców Wlkp. 13, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;99;327;110;528
12;"Zespół Szkół Specjalnych im. Marii Grzegorzewskiej w Krotoszynie (budynek byłego internatu), ul. Ostrowska 49, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;97;397;101;596
13;"Środowiskowy Dom Samopomocy (była Szkoła Rolnicza), ul. Langiewicza 2, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;117;375;131;697
14;"I Liceum Ogólnokształcące im. Hugona Kołłątaja w Krotoszynie, ul. Kołłątaja 1, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;147;401;153;772
15;"Zespół Szkół Specjalnych im. Marii Grzegorzewskiej w Krotoszynie (budynek szkoły), ul. Ostrowska 49, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;139;431;162;715
16;"Szkoła Podstawowa im. Jana Pawła II w Benicach, ul. Armii Krajowej 9, 63-700 Benice";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;41;193;36;82
17;"Dom Ludowy w Lutogniewie, ul. Krotoszyńska 154, 63-700 Lutogniew";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;95;318;87;211
18;"Szkoła Podstawowa im. Biskupa Michała Kozala w Kobiernie, ul. Kobierska 3, 63-714 Kobierno";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;101;247;84;232
19;"Szkoła Podstawowa im. rtm. Witolda Pileckiego w Orpiszewie, ul. Szkolna 6, 63-714 Orpiszew";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;45;256;52;87
20;"Szkoła Podstawowa im. Mikołaja Kopernika w Biadkach, ul. Szkolna 3, 63-714 Biadki";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;63;316;71;287
21;"Szkoła Podstawowa im. ks. Jana Twardowskiego w Chwaliszewie, ul. Ostrowska 39, 63-750 Chwaliszew";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;61;189;62;151
22;"Wiejski Dom Kultury w Ustkowie, Ustków 14a, 63-700 Ustków";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;8;48;5;18
23;"Oddział Przedszkolny w Wielowsi, ul. Krotoszyńska 10, 63-700 Wielowieś";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;36;116;42;50
24;"Dom Rolnika w Bożacinie, ul. Jagły 17, 63-700 Bożacin";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;24;126;20;74
25;"Sala Wiejska w Salni, ul. Leśna 48, 63-700 Salnia";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;15;89;31;85
26;"Szkoła Filialna w Brzozie, Brzoza 1, 63-700 Brzoza";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;15;90;11;42
27;"Wiejski Dom Kultury w Gorzupi, ul. Krotoszyńska 141, 63-714 Gorzupia";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;41;225;47;98
28;"Wiejski Dom Kultury w Różopolu, Różopole 37, 63-714 Różopole";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;15;66;23;47
29;"Świetlica Wiejska w Tomnicach, ul. Młyńska 12, 63-714 Tomnice";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;19;83;32;71
30;"Dom Strażaka w Jasnym Polu, Jasne Pole 27c, 63-714 Jasne Pole";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;25;53;14;58
31;"Szkoła Podstawowa w Roszkach, ul. Krotoszyńska 10, 63-714 Roszki";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;31;155;31;78
32;"Świetlica Wiejska w Smoszewie, ul. Ostrowska 52, 63-714 Smoszew";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;39;110;25;96
33;"Szkoła Podstawowa im. Andrzeja Zalewskiego w Świnkowie, ul. Szkolna 4, 63-714 Świnków";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;31;144;40;67
34;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Krotoszynie, Zakład Opiekuńczo-Leczniczy w Krotoszynie, Zakład Opieki Paliatywnej w Krotoszynie, ul. Bolewskiego 14, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;1;6;0;6
35;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Krotoszynie, Szpital Powiatowy im. Marcelego Nenckiego, ul. Mickiewicza 21, 63-700 Krotoszyn";301204;"gm. Krotoszyn";"krotoszyński";"wielkopolskie";1;1;3;15;2;18
1;"Sala Wiejska, ul. Rynek 3, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;103;395;116;308
2;"Kółko Rolnicze, ul. Rynek 3, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;38;261;55;95
3;"Szkoła Podstawowa, Nowa Wieś 36, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;61;272;54;87
4;"Sala Wiejska, Dąbrowa 26B, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;15;103;21;49
5;"Sala Wiejska, Rozdrażewek 61, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;16;86;18;24
6;"Sala Wiejska, Budy 24A, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;42;133;21;64
7;"Sala Wiejska, Grębów 23, 63-708 Rozdrażew";301205;"gm. Rozdrażew";"krotoszyński";"wielkopolskie";1;1;27;156;23;53
1;"Biblioteka Publiczna Gminy i Miasta Zduny, ul. Sienkiewicza 9, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;117;367;108;519
2;"Szkoła Podstawowa w Zdunach, ul. Łacnowa 26, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;100;407;129;480
3;"Szkoła Podstawowa im. Powstańców Wielkopolskich w Baszkowie, Baszków 34, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;15;66;19;61
4;"Świetlica wiejska, Konarzew ul. Baszkowska 85, 63-700 Krotoszyn";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;73;306;74;260
5;"Świetlica wiejska, Chachalnia ul. Wiejska 4, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;22;61;24;148
6;"Świetlica wiejska, Perzyce 1E, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;12;66;30;57
7;"Świetlica wiejska, Bestwin 31A, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;33;117;23;54
8;"Dom Pomocy Społecznej w Baszkowie, Baszków 112A, 63-760 Zduny";301206;"gm. Zduny";"krotoszyński";"wielkopolskie";1;1;5;40;6;15
1;"Świetlica Powiatowej Stacji Sanitarno-Epidemiologicznej, pl. Plac Stefana Rowińskiego 3, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;63;250;50;452
2;"II Liceum Ogólnokształcące, ul. Wrocławska 48, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;38;170;60;294
3;"Przedszkole Nr 16 Koszałek-Opałek, filia (sala gimnastyczna), ul. Królowej Jadwigi 3, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;42;242;40;456
4;"Szkoła Podstawowa Nr 1, ul. Partyzancka 15, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;28;151;50;289
5;"Zespół Szkół Budowlano-Energetycznych (sala gimnastyczna-wejście od ul. Sukienniczej), ul. Wolności 23, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;52;176;63;395
6;"III Liceum Ogólnokształcące, ul. Wojska Polskiego 17, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;50;191;49;365
7;"Zespół Szkół Sióstr Salezjanek, al. Aleja Słowackiego 33a, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;49;268;69;574
8;"Sala gimnastyczna Zespołu Szkół Siótr Salezjanek, ul. Melchiora Wańkowicza 10, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;43;173;44;331
9;"Zespół Szkół Muzycznych im. Krzysztofa Komedy-Trzcińskiego, al. Aleja Słowackiego 1C, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;39;150;35;409
10;"Szkoła Podstawowa Spółdzielni Oświatowej „Edukator”, ul. Tuwima 12, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;59;265;48;605
11;"Przedszkole Nr 10, ul. Andrzeja Frycza Modrzewskiego 4, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;77;239;83;595
12;"Budynek Urzędu Miejskiego, ul. Grunwaldzka 72, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;76;265;101;841
13;"Szkoła Podstawowa Nr 5, ul. Grabowska 1 - 3, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;74;387;86;878
14;"Przedszkole Nr 1, ul. Profesora Kaliny 2, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;64;306;70;628
15;"Szkoła Podstawowa Nr 4, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;80;341;99;827
16;"Szkoła Podstawowa Nr 4, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;40;199;53;510
17;"Przedszkole Nr 9, ul. Jana Brzechwy 2, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;67;301;61;578
18;"Szkoła Podstawowa Nr 4, ul. Ludwika Waryńskiego 29, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;41;176;51;541
19;"Szkoła Podstawowa Nr 9, ul. Asnyka 26, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;67;309;59;548
20;"Szkoła Podstawowa Nr 9, (łącznik z salą gimnastyczną-wejście od ul. Broniewskiego), ul. Asnyka 26, 63-400 Ostrów Wielkopolski";301701;"m. Ostrów Wielkopolski";"ostrowski";"wielkopolskie";1;1;70;285;64;562
