"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"BIEDA Halina Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WÓJTOWICZ Mariusz Kazimierz - KWW MARIUSZ KAZIMIERZ WÓJTOWICZ";"TYMIŃSKI Stanisław - KW ZWIĄZKU SŁOWIAŃSKIEGO"
64;"Szkoła Podstawowa Mistrzostwa Sportowego, ul. Tarnogórska 2, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;530;191;132
65;"I Liceum Ogólnokształcące, ul. Strzelców Bytomskich 11, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;560;152;112
66;"ZBM-Towarzystwo Budownictwa Społecznego Sp. z o. o., ul. Kolejowa 2a, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;675;215;129
67;"IV Liceum Ogólnokształcące, pl. Generała Władysława Sikorskiego 1, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;557;251;152
68;"IV Liceum Ogólnokształcące, pl. Generała Władysława Sikorskiego 1, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;357;109;58
69;"Szkoła Podstawowa Nr 3, ul. Strażacka 2, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;442;188;98
70;"Ewangelicki Domu Opieki Ostoja Pokoju Fundacji Diakonii im. Matki Ewy, ul. Matki Ewy 1, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;9;17;13
71;"Dom Pomocy Społecznej Stowarzyszenia na rzecz Osób Starszych i Niepełnosprawnych Fizycznie, Intelektualnie, Osób Chorych Psychicznie oraz Osób Uzależnionych od Alkoholu ""Pomocna Dłoń"", ul. Strzelców Bytomskich 450, 41-935 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;7;1;4
72;"Centrum Pomocy pw. Ducha Świętego, ul. Krakowska 30, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;4;11;0
73;"Szpital Specjalistyczny Nr 1, ul. Stefana Żeromskiego 7, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;19;12;9
74;"Szpital Specjalistyczny Nr 1, ul. Aleja Legionów 49, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;15;10;6
75;"Szpital Specjalistyczny Nr 2, ul. Stefana Batorego 15, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;44;30;10
76;"Wojewódzki Szpital Specjalistyczny Nr 4, ul. Aleja Legionów 10, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;57;21;16
77;"Areszt Śledczy, ul. Wrocławska 4, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;207;30;18
78;"Dom Pomocy Społecznej dla Dorosłych, ul. Dworcowa 7, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;18;10;21
79;"Zakład Opiekuńczo-Leczniczy dla Przewlekle Chorych Zgromadzenia Służebnic N. S. J., ul. Piekarska 59, 41-902 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;19;4;4
80;"Bytomskie Centrum Wsparcia, pl. Szpitalny 1, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;15;13;12
81;"Dom Pomocy Społecznej ""Kombatant"", ul. Stolarzowicka 33, 41-923 Bytom";246201;"m. Bytom";"Bytom";"śląskie";1;1;25;27;7
1;"Szkoła Podstawowa Nr 30, ul. Ludwiki Wawrzyńskiej 11, 41-813 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;348;228;89
2;"Szkoła Podstawowa Nr 30, ul. Ludwiki Wawrzyńskiej 11, 41-813 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;464;215;102
3;"Salezjański Zespół Szkół Publicznych im. Św. Dominika Savio, ul. płk. Franciszka Niepokólczyckiego 31, 41-813 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;278;128;57
4;"Szkoła Podstawowa Nr 33 im. Henryka Jordana, ul. Ludwika Zamenhofa 56, 41-813 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;482;243;92
5;"Szkoła Podstawowa Nr 33 im. Henryka Jordana, ul. Ludwika Zamenhofa 56, 41-813 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;583;322;140
6;"Szkoła Podstawowa Nr 31, ul. dr. Henryka Jordana 7, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;487;284;113
7;"Szkoła Podstawowa Nr 28 im. Miłośników Rokitnicy, ul. Ireny Kosmowskiej 43, 41-808 Zabrze";247801;"m. Zabrze";"Zabrze";"śląskie";1;1;255;193;76
